product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD09A1,sur_refl_b06,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b06,A2000057,2000-02-26,0.099,0.3188,64.9823,0.2198,0.2249,0.0016,0.0402,289,289,100.0,2020037221349,0.1834
MOD09A1,sur_refl_b06,A2000065,2000-03-05,0.0791,0.2394,49.4928,0.1603,0.1713,0.0007,0.0267,289,289,100.0,2020038171353,0.1451
MOD09A1,sur_refl_b06,A2000073,2000-03-13,0.1296,0.1896,1.8373,0.06,0.167,0.0004,0.0212,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b06,A2000081,2000-03-21,0.1346,0.2484,55.922,0.1138,0.1935,0.0007,0.0258,289,289,100.0,2020040191306,0.143
MOD09A1,sur_refl_b06,A2000089,2000-03-29,0.1027,0.2753,58.8458,0.1726,0.2036,0.0011,0.0325,289,289,100.0,2020041210159,0.1594
MOD09A1,sur_refl_b06,A2000097,2000-04-06,0.1222,0.284,56.8089,0.1618,0.1966,0.0009,0.0294,289,289,100.0,2020041041833,0.18
MOD09A1,sur_refl_b06,A2000105,2000-04-14,0.1066,0.2691,54.6744,0.1625,0.1892,0.0009,0.0298,289,289,100.0,2020041072415,0.1413
MOD09A1,sur_refl_b06,A2000113,2000-04-22,0.1016,0.2784,50.445,0.1768,0.1948,0.0011,0.0334,289,259,89.62,2020041220338,0.1527
MOD09A1,sur_refl_b06,A2000121,2000-04-30,0.0901,0.2482,52.079,0.1581,0.1802,0.001,0.0313,289,289,100.0,2020042020057,0.1508
MOD09A1,sur_refl_b06,A2000129,2000-05-08,0.0958,0.2483,48.6013,0.1525,0.1682,0.0008,0.0288,289,289,100.0,2020042170109,0.1234
MOD09A1,sur_refl_b06,A2000137,2000-05-16,0.0908,0.2713,52.05,0.1805,0.1801,0.001,0.0312,289,289,100.0,2020042225036,0.2278
MOD09A1,sur_refl_b06,A2000145,2000-05-24,0.1158,0.2742,56.5731,0.1584,0.1958,0.001,0.0314,289,289,100.0,2020043014527,0.2175
MOD09A1,sur_refl_b06,A2000153,2000-06-01,0.0962,0.2651,53.5641,0.1689,0.1853,0.0011,0.0331,289,289,100.0,2020045215048,0.1533
MOD09A1,sur_refl_b06,A2000161,2000-06-09,0.0954,0.2764,53.4798,0.181,0.1851,0.0013,0.0365,289,289,100.0,2020046020335,0.1696
MOD09A1,sur_refl_b06,A2000169,2000-06-17,0.0971,0.2929,53.1946,0.1958,0.1841,0.0014,0.0377,289,289,100.0,2020047235040,0.1604
MOD09A1,sur_refl_b06,A2000177,2000-06-25,0.0905,0.2952,55.1091,0.2047,0.1907,0.0018,0.0427,289,289,100.0,2020048052135,0.1314
MOD09A1,sur_refl_b06,A2000185,2000-07-03,0.0709,0.2662,46.2777,0.1953,0.1601,0.001,0.0318,289,289,100.0,2020048082123,0.1098
MOD09A1,sur_refl_b06,A2000193,2000-07-11,0.0953,0.2828,53.4884,0.1875,0.1851,0.0016,0.0404,289,289,100.0,2020051202034,0.1223
MOD09A1,sur_refl_b06,A2000201,2000-07-19,0.0989,0.3151,61.1192,0.2162,0.2115,0.002,0.0443,289,289,100.0,2020048195934,0.1522
MOD09A1,sur_refl_b06,A2000209,2000-07-27,0.0951,0.295,54.8569,0.1999,0.1898,0.0013,0.0366,289,289,100.0,2020048230434,0.1516
MOD09A1,sur_refl_b06,A2000217,2000-08-04,0.0926,0.2972,58.5808,0.2046,0.2027,0.0016,0.0396,289,289,100.0,2020049000121,0.1436
MOD09A1,sur_refl_b06,A2000225,2000-08-12,0.1454,0.3229,53.2123,0.1775,0.2487,0.0011,0.0331,289,214,74.05,2020049162705,F
MOD09A1,sur_refl_b06,A2000233,2000-08-20,0.1167,0.3259,65.36,0.2092,0.2262,0.0019,0.0435,289,289,100.0,2020050212726,0.1828
MOD09A1,sur_refl_b06,A2000241,2000-08-28,0.0784,0.5254,65.9072,0.447,0.2379,0.0024,0.0492,289,277,95.85,2020051032150,0.2301
MOD09A1,sur_refl_b06,A2000249,2000-09-05,0.0625,0.319,64.0869,0.2565,0.2218,0.0023,0.0475,289,289,100.0,2020051064038,0.1307
MOD09A1,sur_refl_b06,A2000257,2000-09-13,0.1093,0.3329,69.8341,0.2236,0.2416,0.0019,0.0436,289,289,100.0,2020051181326,0.1731
MOD09A1,sur_refl_b06,A2000265,2000-09-21,0.1007,0.3487,72.8682,0.248,0.2521,0.0019,0.0435,289,289,100.0,2020052002115,0.2148
MOD09A1,sur_refl_b06,A2000273,2000-09-29,0.119,0.3289,69.311,0.2099,0.2398,0.0014,0.0374,289,289,100.0,2020052034206,0.2105
