product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD11A2,LST_Night_1km,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048120245,F
MOD11A2,LST_Night_1km,A2000057,2000-02-26,288.18,290.82,23438.041,2.64,289.3585,0.4817,0.694,81,81,100.0,2020045130158,289.52
MOD11A2,LST_Night_1km,A2000065,2000-03-05,284.92,287.86,2574.46,2.94,286.0511,1.0063,1.0032,81,9,11.11,2020045130452,F
MOD11A2,LST_Night_1km,A2000073,2000-03-13,286.92,289.86,6625.2202,2.94,288.053,0.8706,0.9331,81,23,28.4,2020045130701,F
MOD11A2,LST_Night_1km,A2000081,2000-03-21,279.2,288.12,12742.7393,8.92,283.172,12.8574,3.5857,81,45,55.56,2020045130829,F
MOD11A2,LST_Night_1km,A2000089,2000-03-29,287.38,290.5,23417.0625,3.12,289.0995,0.5158,0.7182,81,81,100.0,2020045131118,288.44
MOD11A2,LST_Night_1km,A2000097,2000-04-06,284.0,286.98,23177.6582,2.98,286.1439,0.428,0.6542,81,81,100.0,2020045131300,285.92
MOD11A2,LST_Night_1km,A2000105,2000-04-14,283.82,285.44,23064.2051,1.62,284.7433,0.1951,0.4417,81,81,100.0,2020045131451,284.32
MOD11A2,LST_Night_1km,A2000113,2000-04-22,280.24,282.78,22805.8574,2.54,281.5538,0.3102,0.5569,81,81,100.0,2020045131618,280.72
MOD11A2,LST_Night_1km,A2000121,2000-04-30,282.5,287.96,23130.7012,5.46,285.5642,2.4092,1.5522,81,81,100.0,2020045131755,285.42
MOD11A2,LST_Night_1km,A2000129,2000-05-08,282.14,284.26,22933.7383,2.12,283.1326,0.2323,0.482,81,81,100.0,2020045132053,282.94
MOD11A2,LST_Night_1km,A2000137,2000-05-16,278.18,281.8,22674.8184,3.62,279.936,0.4288,0.6548,81,81,100.0,2020045132247,279.42
