product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD11A2,LST_Day_1km,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048120245,F
MOD11A2,LST_Night_1km,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048120245,F
MOD11A2,LST_Day_1km,A2000057,2000-02-26,299.86,309.66,24890.9199,9.8,307.2953,3.4433,1.8556,81,81,100.0,2020045130158,306.54
MOD11A2,LST_Night_1km,A2000057,2000-02-26,288.18,290.82,23438.041,2.64,289.3585,0.4817,0.694,81,81,100.0,2020045130158,289.52
MOD11A2,LST_Day_1km,A2000065,2000-03-05,296.76,302.56,24346.3438,5.8,300.5721,1.1727,1.0829,81,81,100.0,2020045130452,301.08
MOD11A2,LST_Night_1km,A2000065,2000-03-05,284.92,287.86,2574.46,2.94,286.0511,1.0063,1.0032,81,9,11.11,2020045130452,F
MOD11A2,LST_Day_1km,A2000073,2000-03-13,295.64,299.62,1188.76,3.98,297.19,2.7897,1.6702,81,4,4.94,2020045130701,F
MOD11A2,LST_Night_1km,A2000073,2000-03-13,286.92,289.86,6625.2202,2.94,288.053,0.8706,0.9331,81,23,28.4,2020045130701,F
MOD11A2,LST_Day_1km,A2000081,2000-03-21,296.0,301.28,24196.4199,5.28,298.7212,1.1332,1.0645,81,81,100.0,2020045130829,298.46
MOD11A2,LST_Night_1km,A2000081,2000-03-21,279.2,288.12,12742.7393,8.92,283.172,12.8574,3.5857,81,45,55.56,2020045130829,F
MOD11A2,LST_Day_1km,A2000089,2000-03-29,294.06,302.32,24291.9648,8.26,299.9008,1.7278,1.3145,81,81,100.0,2020045131118,299.7
MOD11A2,LST_Night_1km,A2000089,2000-03-29,287.38,290.5,23417.0625,3.12,289.0995,0.5158,0.7182,81,81,100.0,2020045131118,288.44
MOD11A2,LST_Day_1km,A2000097,2000-04-06,292.68,299.68,24097.1602,7.0,297.4958,1.7086,1.3071,81,81,100.0,2020045131300,298.12
MOD11A2,LST_Night_1km,A2000097,2000-04-06,284.0,286.98,23177.6582,2.98,286.1439,0.428,0.6542,81,81,100.0,2020045131300,285.92
MOD11A2,LST_Day_1km,A2000105,2000-04-14,292.98,297.88,23960.2637,4.9,295.8057,0.9005,0.9489,81,81,100.0,2020045131451,296.14
MOD11A2,LST_Night_1km,A2000105,2000-04-14,283.82,285.44,23064.2051,1.62,284.7433,0.1951,0.4417,81,81,100.0,2020045131451,284.32
MOD11A2,LST_Day_1km,A2000113,2000-04-22,288.1,294.5,23651.7773,6.4,291.9973,1.7533,1.3241,81,81,100.0,2020045131618,292.96
MOD11A2,LST_Night_1km,A2000113,2000-04-22,280.24,282.78,22805.8574,2.54,281.5538,0.3102,0.5569,81,81,100.0,2020045131618,280.72
MOD11A2,LST_Day_1km,A2000121,2000-04-30,290.82,296.2,23836.375,5.38,294.2762,0.7432,0.8621,81,81,100.0,2020045131755,294.22
MOD11A2,LST_Night_1km,A2000121,2000-04-30,282.5,287.96,23130.7012,5.46,285.5642,2.4092,1.5522,81,81,100.0,2020045131755,285.42
MOD11A2,LST_Day_1km,A2000129,2000-05-08,290.52,294.72,23726.084,4.2,292.9146,0.56,0.7484,81,81,100.0,2020045132053,292.6
MOD11A2,LST_Night_1km,A2000129,2000-05-08,282.14,284.26,22933.7383,2.12,283.1326,0.2323,0.482,81,81,100.0,2020045132053,282.94
MOD11A2,LST_Day_1km,A2000137,2000-05-16,287.26,290.9,23398.8828,3.64,288.8751,0.8446,0.919,81,81,100.0,2020045132247,288.56
MOD11A2,LST_Night_1km,A2000137,2000-05-16,278.18,281.8,22674.8184,3.62,279.936,0.4288,0.6548,81,81,100.0,2020045132247,279.42
MOD11A2,LST_Day_1km,A2000145,2000-05-24,285.26,289.42,23341.7363,4.16,288.1696,0.6188,0.7866,81,81,100.0,2020048135436,287.98
MOD11A2,LST_Night_1km,A2000145,2000-05-24,276.12,279.34,22480.918,3.22,277.5422,0.361,0.6009,81,81,100.0,2020048135436,276.98
MOD11A2,LST_Day_1km,A2000153,2000-06-01,285.14,288.96,23283.1758,3.82,287.4466,0.469,0.6848,81,81,100.0,2020051190823,287.48
MOD11A2,LST_Night_1km,A2000153,2000-06-01,274.14,278.64,22348.0039,4.5,275.9013,0.9247,0.9616,81,81,100.0,2020051190823,275.4
MOD11A2,LST_Day_1km,A2000161,2000-06-09,285.0,287.52,23180.8809,2.52,286.1837,0.4131,0.6427,81,81,100.0,2020051191751,286.04
MOD11A2,LST_Night_1km,A2000161,2000-06-09,276.26,280.0,22511.1387,3.74,277.9153,0.4749,0.6891,81,81,100.0,2020051191751,277.62
MOD11A2,LST_Day_1km,A2000169,2000-06-17,284.92,289.12,23277.8203,4.2,287.3805,0.9267,0.9626,81,81,100.0,2020051192739,287.8
MOD11A2,LST_Night_1km,A2000169,2000-06-17,276.88,281.44,22533.918,4.56,278.1965,0.8114,0.9008,81,81,100.0,2020051192739,278.24
MOD11A2,LST_Day_1km,A2000177,2000-06-25,284.58,289.4,23312.3789,4.82,287.8072,0.7257,0.8519,81,81,100.0,2020051193603,288.2
MOD11A2,LST_Night_1km,A2000177,2000-06-25,277.04,282.12,22664.8984,5.08,279.8136,2.311,1.5202,81,81,100.0,2020051193603,279.8
MOD11A2,LST_Day_1km,A2000185,2000-07-03,285.18,290.2,23347.625,5.02,288.2423,0.9045,0.9511,81,81,100.0,2020051194601,288.68
MOD11A2,LST_Night_1km,A2000185,2000-07-03,278.46,281.52,22674.5195,3.06,279.9323,0.4514,0.6718,81,81,100.0,2020051194601,279.4
MOD11A2,LST_Day_1km,A2000193,2000-07-11,285.0,287.36,23187.8184,2.36,286.2693,0.3214,0.5669,81,81,100.0,2020051195347,285.4
MOD11A2,LST_Night_1km,A2000193,2000-07-11,275.46,280.06,22457.7246,4.6,277.2559,0.9904,0.9952,81,81,100.0,2020051195347,276.6
MOD11A2,LST_Day_1km,A2000201,2000-07-19,286.14,290.58,23401.8984,4.44,288.9123,0.674,0.821,81,81,100.0,2020051200143,289.4
MOD11A2,LST_Night_1km,A2000201,2000-07-19,276.28,280.2,22528.5801,3.92,278.1306,0.706,0.8403,81,81,100.0,2020051200143,276.46
MOD11A2,LST_Day_1km,A2000209,2000-07-27,284.66,289.22,23269.3594,4.56,287.276,0.8623,0.9286,81,81,100.0,2020052011909,287.58
MOD11A2,LST_Night_1km,A2000209,2000-07-27,276.08,279.82,22482.6777,3.74,277.5639,0.801,0.895,81,81,100.0,2020052011909,276.72
MOD11A2,LST_Day_1km,A2000217,2000-08-04,287.9,290.7,23436.0586,2.8,289.334,0.3805,0.6169,81,81,100.0,2020055170454,289
MOD11A2,LST_Night_1km,A2000217,2000-08-04,279.26,282.68,20777.2363,3.42,280.7735,0.7575,0.8704,81,74,91.36,2020055170454,F
MOD11A2,LST_Day_1km,A2000225,2000-08-12,285.56,293.02,22130.2617,7.46,291.1877,1.5029,1.2259,81,76,93.83,2020055184254,291.9
MOD11A2,LST_Night_1km,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020055184254,F
MOD11A2,LST_Day_1km,A2000233,2000-08-20,287.74,295.4,23695.7441,7.66,292.54,1.9369,1.3917,81,81,100.0,2020056003559,293.38
MOD11A2,LST_Night_1km,A2000233,2000-08-20,276.68,280.32,22540.9805,3.64,278.2837,0.5793,0.7611,81,81,100.0,2020056003559,277.9
MOD11A2,LST_Day_1km,A2000241,2000-08-28,289.08,294.76,23748.9434,5.68,293.1968,0.84,0.9165,81,81,100.0,2020056060618,292.4
MOD11A2,LST_Night_1km,A2000241,2000-08-28,277.08,281.32,22593.1621,4.24,278.9279,0.9976,0.9988,81,81,100.0,2020056060618,278.24
MOD11A2,LST_Day_1km,A2000249,2000-09-05,290.32,297.68,23951.2012,7.36,295.6938,1.4643,1.2101,81,81,100.0,2020056162250,296.74
MOD11A2,LST_Night_1km,A2000249,2000-09-05,279.5,282.48,22754.0195,2.98,280.9138,0.36,0.6,81,81,100.0,2020056162250,280.48
MOD11A2,LST_Day_1km,A2000257,2000-09-13,295.16,304.2,24407.3145,9.04,301.3249,3.1447,1.7733,81,81,100.0,2020056220223,301.94
MOD11A2,LST_Night_1km,A2000257,2000-09-13,280.46,285.1,22888.8184,4.64,282.578,1.0047,1.0024,81,81,100.0,2020056220223,281.42
MOD11A2,LST_Day_1km,A2000265,2000-09-21,296.08,302.74,24320.418,6.66,300.2521,1.7615,1.3272,81,81,100.0,2020057034120,300.04
MOD11A2,LST_Night_1km,A2000265,2000-09-21,283.0,288.44,23067.9141,5.44,284.7891,1.4269,1.1945,81,81,100.0,2020057034120,283.54
MOD11A2,LST_Day_1km,A2000273,2000-09-29,294.28,302.14,24285.668,7.86,299.8231,1.9165,1.3844,81,81,100.0,2020057095140,298.98
MOD11A2,LST_Night_1km,A2000273,2000-09-29,282.74,287.62,23066.8633,4.88,284.7761,0.5592,0.7478,81,81,100.0,2020057095140,284.04
MOD11A2,LST_Day_1km,A2000281,2000-10-07,297.2,306.3,24582.1172,9.1,303.4829,3.766,1.9406,81,81,100.0,2020057155459,304.52
MOD11A2,LST_Night_1km,A2000281,2000-10-07,283.22,286.68,23090.1172,3.46,285.0632,0.886,0.9413,81,81,100.0,2020057155459,284.98
MOD11A2,LST_Day_1km,A2000289,2000-10-15,292.36,304.12,24351.3359,11.76,300.6338,3.7714,1.942,81,81,100.0,2020058220808,300.98
MOD11A2,LST_Night_1km,A2000289,2000-10-15,280.92,284.64,22869.4375,3.72,282.3387,0.593,0.7701,81,81,100.0,2020058220808,281.18
MOD11A2,LST_Day_1km,A2000297,2000-10-23,296.12,305.26,24468.1367,9.14,302.0758,2.2478,1.4993,81,81,100.0,2020059044018,301.34
MOD11A2,LST_Night_1km,A2000297,2000-10-23,282.5,287.06,23123.2812,4.56,285.4726,2.2454,1.4985,81,81,100.0,2020059044018,286.08
MOD11A2,LST_Day_1km,A2000305,2000-10-31,294.32,307.14,18116.5,12.82,301.9417,8.9457,2.9909,81,60,74.07,2020059110417,F
MOD11A2,LST_Night_1km,A2000305,2000-10-31,278.68,286.48,20517.4785,7.8,284.965,1.5423,1.2419,81,72,88.89,2020059110417,284.7
MOD11A2,LST_Day_1km,A2000313,2000-11-08,289.0,305.12,20190.0371,16.12,301.3438,7.5959,2.7561,81,67,82.72,2020059190029,299.7
MOD11A2,LST_Night_1km,A2000313,2000-11-08,282.56,285.52,23008.7617,2.96,284.0588,0.6801,0.8247,81,81,100.0,2020059190029,283.44
MOD11A2,LST_Day_1km,A2000321,2000-11-16,295.16,305.38,24297.7559,10.22,299.9723,6.1637,2.4827,81,81,100.0,2020060014909,302.2
MOD11A2,LST_Night_1km,A2000321,2000-11-16,286.3,289.5,23320.4609,3.2,287.9069,0.7967,0.8926,81,81,100.0,2020060014909,288.16
MOD11A2,LST_Day_1km,A2000329,2000-11-24,300.8,309.5,24732.4238,8.7,305.3386,3.7549,1.9378,81,81,100.0,2020060091336,304.7
MOD11A2,LST_Night_1km,A2000329,2000-11-24,285.84,291.1,23359.8594,5.26,288.3933,1.1762,1.0845,81,81,100.0,2020060091336,287.88
MOD11A2,LST_Day_1km,A2000337,2000-12-02,298.52,307.88,24628.3223,9.36,304.0534,2.6697,1.6339,81,81,100.0,2020060154110,303.74
MOD11A2,LST_Night_1km,A2000337,2000-12-02,288.04,291.06,23488.8262,3.02,289.9855,0.4415,0.6645,81,81,100.0,2020060154110,289.98
MOD11A2,LST_Day_1km,A2000345,2000-12-10,298.38,309.26,24666.1387,10.88,304.5202,6.1425,2.4784,81,81,100.0,2020079233605,304.1
MOD11A2,LST_Night_1km,A2000345,2000-12-10,290.1,292.8,23612.7578,2.7,291.5155,0.3117,0.5583,81,81,100.0,2020079233605,291.1
MOD11A2,LST_Day_1km,A2000353,2000-12-18,301.08,309.02,24820.2578,7.94,306.4229,2.0241,1.4227,81,81,100.0,2020080103754,307.4
MOD11A2,LST_Night_1km,A2000353,2000-12-18,291.16,293.68,23678.6426,2.52,292.3289,0.1641,0.4051,81,81,100.0,2020080103754,292.04
MOD11A2,LST_Day_1km,A2000361,2000-12-26,299.84,310.5,24802.7051,10.66,306.2062,4.3911,2.0955,81,81,100.0,2020081205228,306.36
MOD11A2,LST_Night_1km,A2000361,2000-12-26,285.08,290.88,7750.0,5.8,287.037,1.7999,1.3416,81,27,33.33,2020081205228,F
MOD11A2,LST_Day_1km,A2001001,2001-01-01,301.28,312.96,24880.0625,11.68,307.1613,12.197,3.4924,81,81,100.0,2020082064555,309.6
MOD11A2,LST_Night_1km,A2001001,2001-01-01,288.16,291.76,23491.2246,3.6,290.0151,0.8542,0.9243,81,81,100.0,2020082064555,289.98
MOD11A2,LST_Day_1km,A2001009,2001-01-09,300.78,312.48,25078.1289,11.7,309.6065,3.755,1.9378,81,81,100.0,2020083010145,309.52
MOD11A2,LST_Night_1km,A2001009,2001-01-09,288.58,291.3,23458.0176,2.72,289.6052,0.2678,0.5175,81,81,100.0,2020083010145,289.32
MOD11A2,LST_Day_1km,A2001017,2001-01-17,300.68,308.92,24801.3047,8.24,306.1889,2.7699,1.6643,81,81,100.0,2020083140325,306.84
MOD11A2,LST_Night_1km,A2001017,2001-01-17,292.56,294.68,23786.3008,2.12,293.658,0.286,0.5348,81,81,100.0,2020083140325,293.78
MOD11A2,LST_Day_1km,A2001025,2001-01-25,302.74,311.42,25023.7031,8.68,308.9346,2.6418,1.6254,81,81,100.0,2020084010101,309.94
MOD11A2,LST_Night_1km,A2001025,2001-01-25,288.98,292.84,10497.2988,3.86,291.5916,0.8046,0.897,81,36,44.44,2020084010101,291.14
MOD11A2,LST_Day_1km,A2001033,2001-02-02,299.58,307.46,24606.5996,7.88,303.7852,1.6266,1.2754,81,81,100.0,2020084101718,303.22
MOD11A2,LST_Night_1km,A2001033,2001-02-02,289.44,292.48,23603.9414,3.04,291.4067,0.5975,0.773,81,81,100.0,2020084101718,291.6
MOD11A2,LST_Day_1km,A2001041,2001-02-10,295.68,303.36,24272.0645,7.68,299.6551,1.8212,1.3495,81,81,100.0,2020086023928,298.98
MOD11A2,LST_Night_1km,A2001041,2001-02-10,282.26,291.2,23316.7754,8.94,287.8614,3.3151,1.8207,81,81,100.0,2020086023928,289.96
MOD11A2,LST_Day_1km,A2001049,2001-02-18,299.02,305.02,24434.6387,6.0,301.6622,0.9899,0.9949,81,81,100.0,2020086102403,301.98
MOD11A2,LST_Night_1km,A2001049,2001-02-18,288.9,291.42,23456.459,2.52,289.5859,0.3485,0.5903,81,81,100.0,2020086102403,289.22
MOD11A2,LST_Day_1km,A2001057,2001-02-26,295.26,300.86,22396.8809,5.6,298.6251,1.7865,1.3366,81,75,92.59,2020086181728,299.34
MOD11A2,LST_Night_1km,A2001057,2001-02-26,282.78,290.86,23064.7148,8.08,288.3089,3.4439,1.8558,81,80,98.77,2020086181728,286
MOD11A2,LST_Day_1km,A2001065,2001-03-06,293.72,297.48,3250.1399,3.76,295.4673,2.4262,1.5576,81,11,13.58,2020087054743,F
MOD11A2,LST_Night_1km,A2001065,2001-03-06,288.22,291.76,23527.3398,3.54,290.461,0.9458,0.9725,81,81,100.0,2020087054743,291.06
MOD11A2,LST_Day_1km,A2001073,2001-03-14,294.36,301.44,24189.5977,7.08,298.637,1.7676,1.3295,81,81,100.0,2020087135656,298.42
MOD11A2,LST_Night_1km,A2001073,2001-03-14,283.44,289.22,23244.2188,5.78,286.9657,2.1738,1.4744,81,81,100.0,2020087135656,286.24
MOD11A2,LST_Day_1km,A2001081,2001-03-22,294.72,301.76,24221.875,7.04,299.0355,1.5435,1.2424,81,81,100.0,2020087232036,298.74
MOD11A2,LST_Night_1km,A2001081,2001-03-22,285.66,287.66,23223.4746,2.0,286.7096,0.241,0.4909,81,81,100.0,2020087232036,286.02
MOD11A2,LST_Day_1km,A2001089,2001-03-30,294.62,300.66,24140.2344,6.04,298.0276,1.0731,1.0359,81,81,100.0,2020088085252,298.28
MOD11A2,LST_Night_1km,A2001089,2001-03-30,286.82,288.82,23311.9766,2.0,287.8022,0.1368,0.3699,81,81,100.0,2020088085252,287.42
