product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.06,0.59,32.2,0.53,0.2927,0.0124,0.1113,289,110,38.06,2020041210828,0.35
MOD15A2H,Lai_500m,A2000049,2000-02-18,0.1,1.5,60.1,1.4,0.5464,0.0834,0.2888,289,110,38.06,2020041210828,0.8
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.24,0.82,114.2801,0.58,0.4535,0.0122,0.1105,289,252,87.2,2020037221649,0.42
MOD15A2H,Lai_500m,A2000057,2000-02-26,0.5,4.2,321.5999,3.7,1.2762,0.3986,0.6313,289,252,87.2,2020037221649,1.3
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.16,0.75,79.89,0.59,0.3221,0.0075,0.0867,289,248,85.81,2020038182455,0.31
MOD15A2H,Lai_500m,A2000065,2000-03-05,0.3,3.2,222.0,2.9,0.8952,0.152,0.3899,289,248,85.81,2020038182455,0.9
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.2,0.81,80.48,0.61,0.3272,0.0052,0.0724,289,246,85.12,2020040192641,0.34
MOD15A2H,Lai_500m,A2000073,2000-03-13,0.3,3.3,188.3,3.0,0.7654,0.1138,0.3374,289,246,85.12,2020040192641,0.8
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.29,0.88,146.04,0.59,0.5795,0.0143,0.1196,289,252,87.2,2020040192650,0.44
MOD15A2H,Lai_500m,A2000081,2000-03-21,0.5,5.3,405.8002,4.8,1.6103,0.6134,0.7832,289,252,87.2,2020040192650,1.1
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.12,0.87,151.55,0.75,0.6038,0.0165,0.1284,289,251,86.85,2020041212553,0.53
MOD15A2H,Lai_500m,A2000089,2000-03-29,0.2,4.5,428.6001,4.3,1.7076,0.433,0.658,289,251,86.85,2020041212553,1.5
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.26,0.89,156.08,0.63,0.6268,0.0155,0.1245,289,249,86.16,2020041042002,0.58
MOD15A2H,Lai_500m,A2000097,2000-04-06,0.5,5.2,454.9001,4.7,1.8269,0.5144,0.7172,289,249,86.16,2020041042002,1.6
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.34,0.9,162.13,0.56,0.6434,0.0111,0.1055,289,252,87.2,2020041072656,0.54
MOD15A2H,Lai_500m,A2000105,2000-04-14,0.5,6.5,408.1003,6.0,1.6194,0.6997,0.8365,289,252,87.2,2020041072656,1
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.39,0.88,158.9999,0.49,0.6386,0.0091,0.0956,289,249,86.16,2020041221651,0.61
MOD15A2H,Lai_500m,A2000113,2000-04-22,0.6,5.0,386.4,4.4,1.5518,0.4569,0.6759,289,249,86.16,2020041221651,1.2
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.08,0.9,156.6,0.82,0.6289,0.0132,0.1148,289,249,86.16,2020042020434,0.53
MOD15A2H,Lai_500m,A2000121,2000-04-30,0.1,6.9,360.9001,6.8,1.4494,0.3909,0.6252,289,249,86.16,2020042020434,1.5
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.33,0.89,165.4899,0.56,0.6755,0.0116,0.1075,289,245,84.78,2020042171102,0.58
MOD15A2H,Lai_500m,A2000129,2000-05-08,0.5,5.0,368.1003,4.5,1.5024,0.2655,0.5152,289,245,84.78,2020042171102,1.2
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.3,0.9,162.73,0.6,0.6588,0.0088,0.0936,289,247,85.47,2020042225448,0.58
MOD15A2H,Lai_500m,A2000137,2000-05-16,0.5,6.5,353.1001,6.0,1.4296,0.4031,0.6349,289,247,85.47,2020042225448,1.1
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.3,0.9,156.7301,0.6,0.6294,0.0128,0.1131,289,249,86.16,2020043014828,0.63
MOD15A2H,Lai_500m,A2000145,2000-05-24,0.4,6.9,342.1,6.5,1.3739,0.6913,0.8315,289,249,86.16,2020043014828,1.4
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.31,0.91,160.45,0.6,0.6392,0.0111,0.1055,289,251,86.85,2020045220244,0.53
