product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD21A2,LST_Day_1KM,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020041212514,F
MOD21A2,LST_Day_1KM,A2000057,2000-02-26,300.74,311.76,25004.3574,11.02,308.6958,4.7293,2.1747,81,81,100.0,2020037222620,309.22
MOD21A2,LST_Day_1KM,A2000065,2000-03-05,298.4,304.94,24535.0859,6.54,302.9023,1.3704,1.1706,81,81,100.0,2020038181240,304.04
MOD21A2,LST_Day_1KM,A2000073,2000-03-13,287.96,304.86,1778.26,16.9,296.3767,28.8798,5.374,81,6,7.41,2020040195024,F
MOD21A2,LST_Day_1KM,A2000081,2000-03-21,296.36,301.4,21516.2363,5.04,298.8366,0.9098,0.9539,81,72,88.89,2020040195142,298.24
MOD21A2,LST_Day_1KM,A2000089,2000-03-29,296.86,303.7,24424.1152,6.84,301.5323,0.9566,0.978,81,81,100.0,2020041214954,301.1
MOD21A2,LST_Day_1KM,A2000097,2000-04-06,292.72,300.86,24145.4375,8.14,298.0918,1.9264,1.388,81,81,100.0,2020041043028,297.08
MOD21A2,LST_Day_1KM,A2000105,2000-04-14,293.98,300.16,24121.9805,6.18,297.8022,1.2488,1.1175,81,81,100.0,2020041073337,298.06
MOD21A2,LST_Day_1KM,A2000113,2000-04-22,288.44,295.06,23681.8652,6.62,292.3687,2.0416,1.4289,81,81,100.0,2020041223114,293.38
MOD21A2,LST_Day_1KM,A2000121,2000-04-30,291.34,296.98,23891.3613,5.64,294.9551,1.1494,1.0721,81,81,100.0,2020042021543,294.84
MOD21A2,LST_Day_1KM,A2000129,2000-05-08,290.38,294.76,23744.2852,4.38,293.1393,0.5949,0.7713,81,81,100.0,2020042173320,292.82
MOD21A2,LST_Day_1KM,A2000137,2000-05-16,288.4,292.8,23512.4004,4.4,290.2766,1.1056,1.0515,81,81,100.0,2020042231122,289.86
MOD21A2,LST_Day_1KM,A2000145,2000-05-24,286.32,290.06,23386.4941,3.74,288.7221,0.5116,0.7153,81,81,100.0,2020043015846,288.3
MOD21A2,LST_Day_1KM,A2000153,2000-06-01,285.64,289.58,23333.1777,3.94,288.0639,0.3615,0.6012,81,81,100.0,2020045222422,288
MOD21A2,LST_Day_1KM,A2000161,2000-06-09,284.62,289.56,23224.1562,4.94,286.718,1.8715,1.368,81,81,100.0,2020046022020,285.28
MOD21A2,LST_Day_1KM,A2000169,2000-06-17,284.66,289.96,23310.9961,5.3,287.7901,0.7943,0.8912,81,81,100.0,2020048002322,288.16
MOD21A2,LST_Day_1KM,A2000177,2000-06-25,284.16,290.52,23369.0566,6.36,288.5069,1.8071,1.3443,81,81,100.0,2020048053530,288.94
MOD21A2,LST_Day_1KM,A2000185,2000-07-03,285.56,291.62,23433.7969,6.06,289.3061,1.417,1.1904,81,81,100.0,2020048083814,290.18
MOD21A2,LST_Day_1KM,A2000193,2000-07-11,285.82,288.64,23273.4805,2.82,287.3269,0.403,0.6348,81,81,100.0,2020051211117,287.1
MOD21A2,LST_Day_1KM,A2000201,2000-07-19,287.38,291.5,23508.623,4.12,290.2299,0.5678,0.7535,81,81,100.0,2020048201052,290.64
MOD21A2,LST_Day_1KM,A2000209,2000-07-27,285.0,290.6,23355.2559,5.6,288.3365,1.1293,1.0627,81,81,100.0,2020048232125,288.68
MOD21A2,LST_Day_1KM,A2000217,2000-08-04,287.78,292.24,23519.5996,4.46,290.3654,1.3687,1.1699,81,81,100.0,2020049001326,290.46
MOD21A2,LST_Day_1KM,A2000225,2000-08-12,287.36,294.14,18131.7207,6.78,292.4471,1.1495,1.0721,81,62,76.54,2020049163335,293.1
MOD21A2,LST_Day_1KM,A2000233,2000-08-20,288.24,296.7,23781.3359,8.46,293.5967,2.9491,1.7173,81,81,100.0,2020050220104,293.96
MOD21A2,LST_Day_1KM,A2000241,2000-08-28,290.88,302.44,23827.1816,11.56,294.1628,3.0717,1.7526,81,81,100.0,2020051033356,292.92
MOD21A2,LST_Day_1KM,A2000249,2000-09-05,290.88,298.96,24045.1445,8.08,296.8536,1.83,1.3528,81,81,100.0,2020051065931,297.18
MOD21A2,LST_Day_1KM,A2000257,2000-09-13,297.7,305.24,24457.6016,7.54,301.9457,2.4105,1.5526,81,81,100.0,2020051185121,302.44
MOD21A2,LST_Day_1KM,A2000265,2000-09-21,297.76,305.28,24440.3594,7.52,301.7328,3.2962,1.8156,81,81,100.0,2020052004152,299.78
MOD21A2,LST_Day_1KM,A2000273,2000-09-29,294.52,302.42,24313.8398,7.9,300.1709,1.8291,1.3524,81,81,100.0,2020052035832,298.8
MOD21A2,LST_Day_1KM,A2000281,2000-10-07,295.14,306.54,24572.5039,11.4,303.3643,6.6254,2.574,81,81,100.0,2020052180549,304.72
