MOD15A2H.A2000049.h31v10.006.2020041210759.Fpar_500m,MOD15A2H,A2000049,Lat-17.1175Lon145.6301Samp17Line17,2020041210759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD15A2H.A2000057.h31v10.006.2020037220600.Fpar_500m,MOD15A2H,A2000057,Lat-17.1175Lon145.6301Samp17Line17,2020037220600,88.0,89.0,89.0,89.0,92.0,92.0,90.0,90.0,23.0,23.0,21.0,9.0,17.0,17.0,34.0,93.0,93.0,89.0,89.0,89.0,92.0,89.0,92.0,92.0,89.0,23.0,21.0,21.0,8.0,8.0,8.0,66.0,66.0,84.0,31.0,31.0,94.0,94.0,100.0,89.0,89.0,89.0,89.0,90.0,36.0,11.0,7.0,8.0,66.0,84.0,84.0,31.0,89.0,89.0,100.0,92.0,94.0,92.0,93.0,93.0,31.0,17.0,17.0,12.0,17.0,15.0,24.0,78.0,89.0,89.0,95.0,89.0,90.0,90.0,90.0,90.0,31.0,17.0,17.0,12.0,12.0,15.0,24.0,24.0,83.0,77.0,77.0,89.0,89.0,90.0,90.0,95.0,90.0,85.0,32.0,19.0,19.0,19.0,24.0,29.0,27.0,83.0,77.0,70.0,45.0,28.0,39.0,74.0,100.0,85.0,32.0,32.0,19.0,19.0,19.0,14.0,14.0,49.0,90.0,37.0,37.0,14.0,16.0,74.0,100.0,97.0,96.0,78.0,23.0,23.0,8.0,7.0,12.0,12.0,77.0,5.0,28.0,26.0,33.0,35.0,59.0,46.0,92.0,92.0,76.0,15.0,8.0,9.0,8.0,8.0,13.0,85.0,85.0,88.0,89.0,89.0,42.0,42.0,46.0,85.0,76.0,59.0,55.0,74.0,35.0,35.0,11.0,22.0,86.0,90.0,86.0,86.0,89.0,42.0,75.0,75.0,90.0,90.0,90.0,90.0,74.0,31.0,11.0,14.0,29.0,48.0,89.0,86.0,41.0,41.0,90.0,90.0,41.0,90.0,90.0,90.0,90.0,82.0,90.0,90.0,89.0,48.0,89.0,89.0,90.0,85.0,89.0,90.0,90.0,41.0,41.0,31.0,31.0,10.0,26.0,90.0,89.0,89.0,89.0,89.0,89.0,254.0,85.0,89.0,89.0,81.0,81.0,41.0,17.0,9.0,9.0,26.0,54.0,54.0,87.0,87.0,90.0,89.0,5.0,74.0,74.0,90.0,81.0,41.0,41.0,17.0,17.0,27.0,23.0,23.0,28.0,87.0,90.0,90.0,89.0,75.0,74.0,90.0,90.0,33.0,33.0,29.0,29.0,89.0,27.0,38.0,38.0,53.0,56.0,56.0,89.0,88.0,75.0,79.0,80.0,80.0,81.0,90.0,82.0,89.0,89.0,90.0,90.0,89.0,89.0,89.0,89.0,61.0,58.0
MOD15A2H.A2000065.h31v10.006.2020038180715.Fpar_500m,MOD15A2H,A2000065,Lat-17.1175Lon145.6301Samp17Line17,2020038180715,88.0,88.0,88.0,88.0,88.0,89.0,86.0,94.0,94.0,76.0,76.0,90.0,90.0,90.0,90.0,90.0,82.0,94.0,88.0,88.0,88.0,89.0,89.0,89.0,88.0,88.0,88.0,94.0,90.0,90.0,90.0,82.0,95.0,95.0,94.0,57.0,57.0,88.0,88.0,89.0,89.0,88.0,88.0,88.0,89.0,89.0,89.0,90.0,48.0,95.0,94.0,94.0,94.0,88.0,88.0,88.0,77.0,77.0,90.0,51.0,51.0,89.0,89.0,90.0,90.0,90.0,94.0,94.0,97.0,89.0,89.0,89.0,96.0,95.0,90.0,77.0,77.0,86.0,84.0,89.0,89.0,89.0,66.0,94.0,93.0,89.0,89.0,89.0,96.0,98.0,90.0,96.0,90.0,90.0,94.0,89.0,89.0,89.0,95.0,95.0,95.0,85.0,89.0,89.0,98.0,89.0,90.0,99.0,90.0,90.0,90.0,94.0,79.0,85.0,89.0,82.0,95.0,97.0,97.0,89.0,98.0,89.0,89.0,89.0,89.0,89.0,90.0,94.0,74.0,74.0,89.0,89.0,89.0,96.0,96.0,88.0,94.0,94.0,95.0,96.0,90.0,89.0,90.0,90.0,73.0,73.0,83.0,83.0,89.0,96.0,96.0,96.0,93.0,92.0,94.0,81.0,81.0,83.0,83.0,93.0,93.0,93.0,73.0,83.0,83.0,96.0,96.0,94.0,94.0,84.0,90.0,92.0,93.0,93.0,93.0,92.0,93.0,93.0,94.0,94.0,94.0,78.0,78.0,93.0,94.0,97.0,84.0,91.0,91.0,74.0,74.0,90.0,90.0,78.0,78.0,93.0,93.0,79.0,79.0,75.0,90.0,88.0,46.0,61.0,71.0,64.0,64.0,90.0,90.0,63.0,63.0,83.0,93.0,90.0,89.0,75.0,90.0,88.0,88.0,81.0,81.0,254.0,64.0,90.0,90.0,93.0,63.0,83.0,83.0,90.0,89.0,89.0,89.0,90.0,90.0,90.0,93.0,81.0,53.0,53.0,91.0,92.0,93.0,96.0,96.0,96.0,96.0,94.0,89.0,90.0,90.0,90.0,90.0,90.0,89.0,80.0,91.0,94.0,94.0,93.0,93.0,94.0,96.0,94.0,94.0,94.0,93.0,91.0,91.0,90.0,89.0,90.0,92.0,93.0,93.0,21.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,78.0,73.0,52.0,52.0
MOD15A2H.A2000073.h31v10.006.2020040193323.Fpar_500m,MOD15A2H,A2000073,Lat-17.1175Lon145.6301Samp17Line17,2020040193323,31.0,20.0,20.0,10.0,21.0,21.0,9.0,9.0,5.0,3.0,3.0,4.0,4.0,6.0,6.0,10.0,10.0,31.0,31.0,26.0,26.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,13.0,13.0,31.0,11.0,11.0,11.0,7.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,6.0,9.0,13.0,13.0,11.0,11.0,8.0,7.0,7.0,8.0,3.0,3.0,4.0,4.0,7.0,4.0,5.0,5.0,9.0,18.0,18.0,13.0,11.0,9.0,9.0,8.0,8.0,10.0,6.0,6.0,7.0,7.0,5.0,5.0,6.0,10.0,12.0,14.0,11.0,9.0,8.0,9.0,9.0,10.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,9.0,25.0,25.0,14.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,4.0,5.0,4.0,6.0,6.0,10.0,25.0,25.0,59.0,9.0,6.0,6.0,5.0,5.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,5.0,9.0,24.0,24.0,84.0,9.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,9.0,34.0,10.0,10.0,5.0,6.0,9.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,3.0,4.0,8.0,8.0,23.0,10.0,7.0,6.0,6.0,9.0,9.0,8.0,8.0,8.0,9.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,32.0,32.0,32.0,29.0,29.0,52.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,7.0,12.0,18.0,32.0,21.0,29.0,52.0,52.0,69.0,69.0,41.0,41.0,8.0,8.0,7.0,8.0,8.0,20.0,20.0,254.0,26.0,26.0,39.0,39.0,32.0,15.0,14.0,41.0,8.0,8.0,8.0,20.0,20.0,52.0,48.0,43.0,9.0,26.0,26.0,39.0,39.0,21.0,21.0,21.0,8.0,8.0,11.0,32.0,32.0,52.0,52.0,48.0,48.0,9.0,9.0,13.0,13.0,9.0,9.0,21.0,6.0,6.0,5.0,11.0,32.0,19.0,19.0,13.0,13.0,43.0,7.0,7.0,13.0,9.0,9.0,8.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,8.0,13.0,42.0,42.0
MOD15A2H.A2000081.h31v10.006.2020040193424.Fpar_500m,MOD15A2H,A2000081,Lat-17.1175Lon145.6301Samp17Line17,2020040193424,84.0,21.0,11.0,89.0,90.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,88.0,89.0,89.0,90.0,90.0,83.0,96.0,96.0,90.0,94.0,90.0,90.0,89.0,90.0,89.0,89.0,89.0,95.0,89.0,89.0,90.0,90.0,89.0,89.0,90.0,94.0,96.0,89.0,90.0,90.0,90.0,89.0,89.0,90.0,96.0,90.0,89.0,89.0,89.0,89.0,78.0,90.0,91.0,96.0,89.0,89.0,90.0,89.0,89.0,90.0,89.0,89.0,90.0,89.0,89.0,90.0,89.0,81.0,81.0,89.0,90.0,90.0,100.0,81.0,89.0,90.0,90.0,90.0,89.0,89.0,89.0,90.0,89.0,89.0,89.0,76.0,85.0,90.0,90.0,83.0,83.0,100.0,100.0,100.0,89.0,100.0,89.0,89.0,90.0,90.0,86.0,81.0,58.0,72.0,90.0,90.0,76.0,87.0,89.0,89.0,100.0,90.0,95.0,94.0,94.0,94.0,93.0,94.0,96.0,72.0,72.0,92.0,78.0,78.0,95.0,90.0,90.0,94.0,90.0,90.0,94.0,94.0,94.0,94.0,89.0,89.0,94.0,92.0,94.0,88.0,93.0,95.0,95.0,94.0,95.0,95.0,89.0,89.0,90.0,95.0,94.0,90.0,88.0,94.0,94.0,89.0,82.0,92.0,95.0,94.0,94.0,95.0,93.0,95.0,95.0,90.0,90.0,90.0,88.0,88.0,88.0,92.0,89.0,16.0,88.0,61.0,83.0,100.0,100.0,95.0,95.0,93.0,93.0,90.0,92.0,89.0,89.0,86.0,86.0,16.0,83.0,35.0,83.0,26.0,26.0,55.0,89.0,94.0,94.0,83.0,89.0,89.0,88.0,77.0,86.0,87.0,89.0,89.0,87.0,90.0,90.0,55.0,89.0,89.0,96.0,99.0,95.0,93.0,87.0,254.0,77.0,89.0,90.0,90.0,85.0,100.0,90.0,89.0,89.0,89.0,90.0,94.0,95.0,95.0,90.0,89.0,60.0,89.0,90.0,95.0,95.0,100.0,75.0,89.0,89.0,94.0,94.0,94.0,94.0,95.0,94.0,89.0,89.0,36.0,85.0,87.0,95.0,100.0,95.0,97.0,75.0,94.0,94.0,94.0,94.0,94.0,89.0,89.0,88.0,88.0,72.0,80.0,86.0,91.0,89.0,85.0,92.0,94.0,94.0,94.0,94.0,94.0,88.0,86.0,88.0,67.0,67.0
MOD15A2H.A2000089.h31v10.006.2020041212249.Fpar_500m,MOD15A2H,A2000089,Lat-17.1175Lon145.6301Samp17Line17,2020041212249,84.0,30.0,30.0,40.0,40.0,51.0,49.0,50.0,24.0,42.0,8.0,9.0,8.0,19.0,21.0,14.0,14.0,80.0,30.0,20.0,40.0,42.0,42.0,18.0,18.0,43.0,42.0,15.0,9.0,9.0,10.0,13.0,11.0,11.0,30.0,20.0,20.0,13.0,13.0,13.0,13.0,15.0,43.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,11.0,9.0,8.0,13.0,15.0,15.0,16.0,16.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,14.0,20.0,20.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,17.0,10.0,11.0,14.0,45.0,90.0,52.0,41.0,41.0,11.0,8.0,9.0,10.0,9.0,10.0,63.0,38.0,17.0,16.0,13.0,26.0,34.0,57.0,58.0,86.0,58.0,11.0,29.0,9.0,9.0,21.0,47.0,63.0,38.0,14.0,12.0,12.0,26.0,26.0,90.0,86.0,58.0,58.0,29.0,11.0,22.0,32.0,33.0,47.0,46.0,42.0,13.0,13.0,13.0,18.0,59.0,90.0,90.0,90.0,59.0,32.0,32.0,11.0,32.0,33.0,36.0,88.0,82.0,61.0,40.0,15.0,38.0,38.0,71.0,5.0,5.0,12.0,14.0,14.0,10.0,14.0,34.0,34.0,34.0,88.0,42.0,40.0,33.0,33.0,51.0,58.0,35.0,47.0,47.0,41.0,18.0,12.0,12.0,87.0,87.0,81.0,54.0,42.0,41.0,41.0,51.0,51.0,58.0,41.0,41.0,30.0,46.0,14.0,12.0,17.0,87.0,82.0,48.0,48.0,48.0,100.0,86.0,56.0,63.0,55.0,34.0,42.0,38.0,40.0,11.0,12.0,14.0,12.0,17.0,29.0,29.0,95.0,100.0,87.0,75.0,87.0,53.0,254.0,20.0,16.0,19.0,11.0,11.0,12.0,12.0,12.0,14.0,14.0,33.0,71.0,62.0,75.0,87.0,84.0,20.0,20.0,16.0,45.0,10.0,15.0,15.0,12.0,12.0,14.0,15.0,33.0,71.0,70.0,86.0,89.0,84.0,47.0,89.0,89.0,45.0,31.0,16.0,13.0,13.0,13.0,14.0,14.0,31.0,63.0,36.0,43.0,47.0,82.0,5.0,5.0,88.0,84.0,69.0,31.0,30.0,37.0,13.0,41.0,25.0,48.0,48.0,22.0,38.0,26.0,60.0
MOD15A2H.A2000097.h31v10.006.2020041041939.Fpar_500m,MOD15A2H,A2000097,Lat-17.1175Lon145.6301Samp17Line17,2020041041939,89.0,89.0,89.0,79.0,25.0,32.0,32.0,32.0,12.0,12.0,9.0,9.0,9.0,19.0,19.0,19.0,21.0,89.0,89.0,79.0,79.0,78.0,78.0,78.0,42.0,42.0,38.0,38.0,38.0,52.0,19.0,19.0,21.0,21.0,72.0,42.0,42.0,22.0,22.0,22.0,30.0,42.0,42.0,38.0,38.0,52.0,52.0,52.0,45.0,45.0,45.0,19.0,42.0,42.0,22.0,22.0,30.0,30.0,30.0,29.0,29.0,19.0,19.0,19.0,11.0,11.0,45.0,60.0,19.0,19.0,8.0,8.0,11.0,11.0,11.0,18.0,29.0,29.0,19.0,19.0,11.0,11.0,11.0,51.0,51.0,16.0,8.0,8.0,8.0,11.0,11.0,18.0,18.0,18.0,16.0,16.0,16.0,22.0,22.0,52.0,52.0,51.0,8.0,8.0,8.0,17.0,8.0,12.0,8.0,8.0,6.0,6.0,16.0,22.0,22.0,22.0,52.0,52.0,52.0,33.0,33.0,9.0,28.0,13.0,14.0,8.0,6.0,6.0,6.0,12.0,12.0,12.0,25.0,25.0,25.0,36.0,31.0,31.0,9.0,9.0,9.0,7.0,7.0,3.0,3.0,4.0,4.0,4.0,25.0,25.0,25.0,36.0,36.0,31.0,25.0,13.0,13.0,34.0,7.0,7.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,22.0,43.0,43.0,34.0,34.0,9.0,9.0,3.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,30.0,43.0,37.0,49.0,49.0,35.0,31.0,38.0,16.0,16.0,4.0,7.0,3.0,3.0,3.0,6.0,6.0,25.0,25.0,27.0,27.0,35.0,32.0,38.0,38.0,35.0,35.0,35.0,12.0,12.0,5.0,5.0,19.0,19.0,254.0,12.0,22.0,22.0,32.0,40.0,40.0,78.0,45.0,35.0,35.0,12.0,36.0,32.0,32.0,32.0,35.0,6.0,10.0,9.0,15.0,15.0,20.0,20.0,45.0,45.0,24.0,24.0,24.0,36.0,36.0,61.0,61.0,64.0,9.0,9.0,9.0,8.0,13.0,20.0,6.0,6.0,11.0,5.0,9.0,9.0,9.0,9.0,9.0,35.0,35.0,13.0,13.0,9.0,8.0,13.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0
MOD15A2H.A2000105.h31v10.006.2020041072238.Fpar_500m,MOD15A2H,A2000105,Lat-17.1175Lon145.6301Samp17Line17,2020041072238,86.0,84.0,81.0,87.0,88.0,88.0,85.0,87.0,90.0,89.0,72.0,72.0,72.0,92.0,80.0,97.0,100.0,70.0,89.0,72.0,72.0,88.0,88.0,89.0,87.0,93.0,87.0,87.0,91.0,93.0,93.0,97.0,100.0,88.0,73.0,70.0,70.0,70.0,86.0,84.0,85.0,73.0,87.0,87.0,49.0,88.0,92.0,89.0,94.0,93.0,91.0,70.0,70.0,70.0,93.0,93.0,88.0,93.0,83.0,87.0,82.0,92.0,89.0,89.0,94.0,79.0,79.0,92.0,67.0,67.0,39.0,39.0,93.0,93.0,93.0,83.0,52.0,94.0,90.0,93.0,93.0,93.0,79.0,79.0,79.0,67.0,39.0,39.0,93.0,93.0,93.0,93.0,86.0,94.0,93.0,93.0,93.0,93.0,91.0,88.0,79.0,92.0,93.0,93.0,68.0,68.0,73.0,73.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,93.0,68.0,68.0,73.0,73.0,93.0,93.0,93.0,35.0,35.0,93.0,89.0,55.0,55.0,90.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,35.0,35.0,92.0,78.0,78.0,90.0,93.0,93.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,78.0,92.0,92.0,92.0,90.0,89.0,92.0,89.0,49.0,49.0,21.0,21.0,11.0,93.0,93.0,93.0,93.0,88.0,90.0,93.0,93.0,89.0,89.0,89.0,49.0,49.0,49.0,21.0,11.0,11.0,72.0,84.0,93.0,91.0,83.0,94.0,94.0,93.0,89.0,89.0,89.0,88.0,79.0,87.0,73.0,73.0,71.0,71.0,92.0,92.0,92.0,92.0,92.0,93.0,91.0,88.0,89.0,254.0,66.0,65.0,73.0,73.0,71.0,71.0,75.0,75.0,71.0,79.0,79.0,84.0,84.0,84.0,87.0,87.0,71.0,52.0,52.0,76.0,89.0,84.0,85.0,75.0,86.0,79.0,89.0,79.0,84.0,93.0,92.0,87.0,87.0,63.0,52.0,52.0,52.0,89.0,85.0,85.0,86.0,86.0,92.0,93.0,93.0,93.0,88.0,88.0,88.0,88.0,29.0,29.0,28.0,92.0,98.0,92.0,93.0,92.0,92.0,91.0,89.0,90.0,92.0,88.0,87.0,66.0,68.0
MOD15A2H.A2000113.h31v10.006.2020041221316.Fpar_500m,MOD15A2H,A2000113,Lat-17.1175Lon145.6301Samp17Line17,2020041221316,79.0,98.0,98.0,11.0,22.0,14.0,7.0,6.0,6.0,3.0,3.0,3.0,4.0,4.0,8.0,12.0,11.0,42.0,98.0,11.0,11.0,14.0,9.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,7.0,8.0,8.0,42.0,11.0,11.0,5.0,6.0,6.0,6.0,8.0,11.0,7.0,4.0,8.0,8.0,6.0,7.0,7.0,6.0,10.0,8.0,6.0,5.0,8.0,8.0,6.0,28.0,27.0,7.0,7.0,21.0,21.0,8.0,6.0,5.0,7.0,9.0,7.0,5.0,9.0,9.0,18.0,42.0,28.0,10.0,8.0,21.0,21.0,8.0,8.0,5.0,7.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,28.0,28.0,9.0,8.0,8.0,9.0,9.0,6.0,6.0,5.0,5.0,19.0,19.0,8.0,6.0,7.0,7.0,11.0,20.0,17.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,19.0,6.0,5.0,5.0,5.0,13.0,14.0,6.0,6.0,8.0,8.0,12.0,12.0,10.0,11.0,9.0,19.0,21.0,21.0,8.0,4.0,9.0,15.0,6.0,8.0,10.0,11.0,9.0,9.0,6.0,7.0,9.0,9.0,15.0,15.0,7.0,5.0,4.0,9.0,15.0,10.0,19.0,10.0,10.0,9.0,7.0,7.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,13.0,10.0,20.0,20.0,7.0,7.0,5.0,5.0,9.0,9.0,20.0,68.0,11.0,10.0,8.0,10.0,19.0,19.0,22.0,17.0,8.0,6.0,5.0,5.0,5.0,7.0,42.0,90.0,94.0,25.0,10.0,8.0,8.0,17.0,16.0,24.0,24.0,16.0,6.0,5.0,5.0,11.0,32.0,36.0,36.0,86.0,254.0,28.0,31.0,20.0,42.0,42.0,24.0,16.0,11.0,10.0,10.0,12.0,49.0,87.0,87.0,86.0,50.0,9.0,10.0,15.0,26.0,42.0,71.0,55.0,59.0,39.0,39.0,48.0,90.0,88.0,87.0,88.0,93.0,93.0,16.0,12.0,11.0,26.0,86.0,35.0,39.0,39.0,18.0,27.0,29.0,90.0,88.0,85.0,52.0,52.0,84.0,11.0,12.0,9.0,20.0,47.0,48.0,48.0,16.0,8.0,6.0,29.0,14.0,11.0,7.0,7.0,16.0,68.0
MOD15A2H.A2000121.h31v10.006.2020042015451.Fpar_500m,MOD15A2H,A2000121,Lat-17.1175Lon145.6301Samp17Line17,2020042015451,93.0,60.0,87.0,87.0,87.0,90.0,94.0,94.0,94.0,94.0,89.0,89.0,87.0,53.0,83.0,88.0,88.0,86.0,85.0,87.0,87.0,88.0,88.0,87.0,87.0,87.0,94.0,89.0,87.0,87.0,93.0,94.0,94.0,94.0,85.0,85.0,85.0,87.0,84.0,87.0,87.0,87.0,93.0,93.0,93.0,93.0,93.0,95.0,94.0,93.0,94.0,87.0,87.0,89.0,89.0,92.0,87.0,87.0,94.0,94.0,93.0,94.0,97.0,97.0,93.0,93.0,93.0,89.0,87.0,92.0,100.0,93.0,86.0,86.0,89.0,94.0,91.0,93.0,88.0,89.0,93.0,93.0,92.0,92.0,92.0,86.0,100.0,84.0,86.0,88.0,89.0,89.0,94.0,83.0,88.0,93.0,83.0,87.0,87.0,87.0,92.0,92.0,35.0,87.0,87.0,87.0,88.0,88.0,88.0,41.0,41.0,93.0,93.0,83.0,85.0,85.0,88.0,90.0,90.0,93.0,88.0,88.0,88.0,89.0,94.0,55.0,55.0,93.0,93.0,86.0,86.0,86.0,88.0,88.0,90.0,90.0,89.0,88.0,87.0,89.0,89.0,94.0,94.0,40.0,93.0,88.0,86.0,86.0,86.0,92.0,92.0,92.0,94.0,88.0,89.0,87.0,89.0,93.0,93.0,94.0,40.0,92.0,92.0,92.0,49.0,25.0,86.0,90.0,90.0,90.0,88.0,89.0,90.0,90.0,90.0,90.0,90.0,74.0,89.0,88.0,88.0,88.0,86.0,88.0,95.0,90.0,90.0,90.0,83.0,83.0,86.0,80.0,90.0,84.0,84.0,96.0,88.0,92.0,91.0,96.0,96.0,94.0,89.0,90.0,83.0,83.0,88.0,90.0,90.0,88.0,89.0,95.0,92.0,88.0,41.0,95.0,96.0,97.0,84.0,100.0,89.0,254.0,76.0,88.0,89.0,89.0,89.0,89.0,81.0,81.0,92.0,93.0,94.0,90.0,89.0,89.0,100.0,88.0,80.0,85.0,88.0,89.0,90.0,88.0,88.0,43.0,92.0,95.0,94.0,90.0,90.0,89.0,90.0,89.0,88.0,88.0,87.0,98.0,95.0,89.0,89.0,98.0,48.0,93.0,94.0,91.0,91.0,91.0,90.0,89.0,88.0,89.0,91.0,90.0,89.0,95.0,89.0,89.0,48.0,48.0,97.0,89.0,91.0,91.0,90.0,90.0,88.0,73.0,66.0
