MOD15A2H.A2000049.h31v10.006.2020041210759.Lai_500m,MOD15A2H,A2000049,Lat-17.1175Lon145.6301Samp17Line17,2020041210759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD15A2H.A2000057.h31v10.006.2020037220600.Lai_500m,MOD15A2H,A2000057,Lat-17.1175Lon145.6301Samp17Line17,2020037220600,59.0,62.0,62.0,62.0,61.0,61.0,66.0,66.0,5.0,5.0,5.0,2.0,4.0,4.0,8.0,62.0,62.0,62.0,62.0,62.0,61.0,62.0,60.0,60.0,61.0,5.0,5.0,5.0,2.0,2.0,2.0,23.0,23.0,47.0,8.0,8.0,63.0,63.0,70.0,64.0,61.0,64.0,62.0,65.0,9.0,3.0,1.0,2.0,23.0,47.0,47.0,8.0,62.0,61.0,70.0,61.0,63.0,61.0,62.0,62.0,7.0,4.0,4.0,3.0,4.0,4.0,6.0,35.0,62.0,62.0,64.0,63.0,65.0,65.0,66.0,66.0,7.0,4.0,4.0,3.0,3.0,4.0,6.0,6.0,45.0,34.0,34.0,63.0,63.0,66.0,66.0,64.0,66.0,50.0,8.0,4.0,4.0,4.0,6.0,7.0,6.0,45.0,34.0,26.0,11.0,7.0,9.0,31.0,70.0,50.0,8.0,8.0,4.0,4.0,4.0,3.0,3.0,13.0,66.0,9.0,9.0,3.0,4.0,31.0,70.0,67.0,65.0,35.0,5.0,5.0,2.0,2.0,3.0,3.0,34.0,1.0,7.0,6.0,8.0,8.0,18.0,12.0,60.0,60.0,33.0,3.0,2.0,2.0,2.0,2.0,3.0,50.0,50.0,56.0,62.0,62.0,10.0,10.0,12.0,51.0,33.0,19.0,16.0,30.0,8.0,8.0,2.0,5.0,54.0,66.0,52.0,52.0,62.0,10.0,32.0,32.0,66.0,66.0,66.0,66.0,30.0,7.0,2.0,3.0,7.0,12.0,62.0,52.0,10.0,10.0,66.0,66.0,10.0,66.0,66.0,66.0,66.0,42.0,65.0,65.0,63.0,12.0,62.0,62.0,66.0,49.0,63.0,66.0,66.0,10.0,10.0,7.0,7.0,2.0,6.0,65.0,63.0,63.0,64.0,64.0,62.0,254.0,49.0,63.0,63.0,41.0,41.0,10.0,4.0,2.0,2.0,6.0,16.0,16.0,54.0,54.0,66.0,62.0,1.0,31.0,31.0,66.0,41.0,10.0,10.0,4.0,4.0,6.0,5.0,5.0,7.0,54.0,66.0,66.0,62.0,36.0,31.0,66.0,66.0,8.0,8.0,7.0,7.0,64.0,6.0,9.0,9.0,15.0,17.0,17.0,62.0,58.0,36.0,41.0,42.0,42.0,44.0,64.0,45.0,64.0,64.0,65.0,65.0,62.0,62.0,62.0,62.0,21.0,19.0
MOD15A2H.A2000065.h31v10.006.2020038180715.Lai_500m,MOD15A2H,A2000065,Lat-17.1175Lon145.6301Samp17Line17,2020038180715,55.0,59.0,59.0,59.0,59.0,62.0,54.0,63.0,63.0,36.0,36.0,66.0,66.0,66.0,66.0,66.0,45.0,63.0,59.0,59.0,59.0,62.0,62.0,62.0,59.0,59.0,59.0,63.0,66.0,66.0,66.0,45.0,65.0,65.0,63.0,21.0,21.0,59.0,59.0,62.0,62.0,59.0,59.0,59.0,62.0,62.0,62.0,66.0,15.0,65.0,63.0,63.0,63.0,59.0,59.0,59.0,37.0,37.0,66.0,16.0,16.0,62.0,62.0,66.0,66.0,66.0,63.0,63.0,67.0,62.0,62.0,62.0,66.0,64.0,66.0,37.0,37.0,55.0,49.0,62.0,62.0,62.0,26.0,63.0,62.0,62.0,62.0,62.0,66.0,67.0,65.0,66.0,66.0,66.0,63.0,62.0,62.0,62.0,64.0,64.0,64.0,51.0,62.0,62.0,68.0,61.0,65.0,69.0,66.0,66.0,66.0,63.0,41.0,51.0,64.0,45.0,64.0,66.0,66.0,62.0,68.0,61.0,61.0,62.0,62.0,62.0,66.0,62.0,34.0,34.0,64.0,64.0,64.0,65.0,65.0,56.0,62.0,62.0,64.0,65.0,66.0,62.0,66.0,66.0,33.0,33.0,46.0,46.0,64.0,66.0,65.0,65.0,62.0,61.0,62.0,44.0,44.0,48.0,48.0,62.0,62.0,62.0,33.0,46.0,46.0,66.0,66.0,63.0,63.0,48.0,66.0,61.0,62.0,61.0,61.0,60.0,62.0,62.0,63.0,63.0,63.0,40.0,40.0,61.0,63.0,66.0,48.0,60.0,60.0,31.0,31.0,58.0,65.0,40.0,40.0,62.0,62.0,40.0,40.0,34.0,65.0,56.0,13.0,20.0,28.0,23.0,23.0,65.0,65.0,25.0,25.0,47.0,62.0,66.0,62.0,34.0,65.0,56.0,56.0,44.0,44.0,254.0,23.0,59.0,59.0,61.0,25.0,47.0,47.0,66.0,62.0,62.0,62.0,66.0,66.0,66.0,62.0,44.0,19.0,19.0,60.0,61.0,62.0,65.0,65.0,66.0,66.0,63.0,62.0,66.0,66.0,66.0,65.0,65.0,62.0,39.0,60.0,63.0,63.0,62.0,62.0,63.0,66.0,63.0,63.0,63.0,61.0,60.0,60.0,65.0,62.0,66.0,61.0,62.0,62.0,5.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,35.0,33.0,16.0,16.0
MOD15A2H.A2000073.h31v10.006.2020040193323.Lai_500m,MOD15A2H,A2000073,Lat-17.1175Lon145.6301Samp17Line17,2020040193323,7.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,19.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,48.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,8.0,8.0,7.0,7.0,14.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,8.0,5.0,7.0,14.0,14.0,25.0,25.0,10.0,10.0,2.0,2.0,1.0,2.0,2.0,5.0,5.0,254.0,6.0,6.0,10.0,10.0,8.0,3.0,3.0,10.0,2.0,2.0,2.0,5.0,5.0,14.0,13.0,10.0,2.0,6.0,6.0,10.0,10.0,5.0,5.0,5.0,2.0,2.0,2.0,8.0,8.0,14.0,14.0,13.0,13.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,8.0,4.0,4.0,3.0,3.0,11.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,12.0,12.0
MOD15A2H.A2000081.h31v10.006.2020040193424.Lai_500m,MOD15A2H,A2000081,Lat-17.1175Lon145.6301Samp17Line17,2020040193424,45.0,5.0,2.0,63.0,64.0,66.0,65.0,66.0,66.0,62.0,62.0,60.0,59.0,62.0,62.0,66.0,66.0,43.0,66.0,66.0,66.0,64.0,66.0,65.0,62.0,66.0,62.0,60.0,62.0,64.0,62.0,62.0,65.0,65.0,62.0,62.0,66.0,64.0,65.0,62.0,66.0,66.0,66.0,61.0,60.0,66.0,66.0,65.0,62.0,63.0,60.0,62.0,36.0,66.0,60.0,65.0,64.0,64.0,66.0,62.0,62.0,66.0,60.0,62.0,66.0,62.0,62.0,65.0,62.0,40.0,41.0,62.0,66.0,66.0,69.0,41.0,62.0,66.0,65.0,66.0,64.0,62.0,62.0,65.0,62.0,62.0,61.0,33.0,48.0,66.0,66.0,43.0,43.0,70.0,70.0,70.0,62.0,70.0,62.0,62.0,66.0,66.0,50.0,41.0,19.0,29.0,59.0,66.0,33.0,53.0,62.0,62.0,70.0,65.0,64.0,63.0,63.0,63.0,62.0,62.0,66.0,29.0,29.0,61.0,37.0,37.0,64.0,65.0,65.0,63.0,66.0,66.0,62.0,62.0,62.0,63.0,62.0,62.0,63.0,61.0,62.0,57.0,61.0,64.0,64.0,62.0,64.0,64.0,63.0,63.0,66.0,64.0,63.0,66.0,56.0,63.0,63.0,62.0,42.0,61.0,64.0,63.0,63.0,64.0,62.0,64.0,64.0,66.0,66.0,65.0,56.0,56.0,56.0,60.0,62.0,3.0,56.0,20.0,43.0,70.0,70.0,64.0,64.0,62.0,62.0,66.0,60.0,64.0,62.0,52.0,52.0,3.0,44.0,8.0,43.0,6.0,6.0,16.0,63.0,63.0,63.0,44.0,60.0,60.0,57.0,36.0,52.0,55.0,62.0,62.0,54.0,66.0,66.0,16.0,63.0,63.0,65.0,69.0,64.0,62.0,54.0,254.0,36.0,62.0,66.0,66.0,48.0,70.0,66.0,62.0,62.0,62.0,66.0,63.0,64.0,64.0,66.0,62.0,20.0,62.0,58.0,64.0,64.0,70.0,32.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,63.0,62.0,62.0,9.0,47.0,55.0,64.0,70.0,64.0,66.0,32.0,63.0,63.0,64.0,63.0,63.0,62.0,62.0,57.0,59.0,30.0,40.0,51.0,60.0,61.0,49.0,61.0,63.0,63.0,63.0,64.0,63.0,57.0,50.0,57.0,25.0,25.0
MOD15A2H.A2000089.h31v10.006.2020041212249.Lai_500m,MOD15A2H,A2000089,Lat-17.1175Lon145.6301Samp17Line17,2020041212249,46.0,7.0,7.0,10.0,10.0,14.0,13.0,14.0,6.0,10.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,39.0,7.0,5.0,10.0,10.0,10.0,4.0,4.0,10.0,10.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,7.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,11.0,66.0,17.0,12.0,12.0,3.0,2.0,2.0,2.0,2.0,2.0,21.0,9.0,4.0,4.0,3.0,6.0,8.0,17.0,18.0,51.0,18.0,2.0,7.0,2.0,2.0,5.0,12.0,21.0,9.0,3.0,3.0,3.0,6.0,6.0,66.0,51.0,18.0,18.0,7.0,2.0,5.0,8.0,8.0,12.0,12.0,12.0,3.0,3.0,3.0,4.0,19.0,66.0,66.0,66.0,18.0,8.0,8.0,3.0,8.0,8.0,9.0,55.0,41.0,20.0,10.0,3.0,9.0,9.0,28.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,8.0,8.0,8.0,56.0,11.0,10.0,8.0,8.0,14.0,18.0,8.0,12.0,12.0,10.0,4.0,3.0,3.0,53.0,53.0,40.0,16.0,11.0,10.0,10.0,14.0,14.0,18.0,10.0,10.0,7.0,12.0,3.0,3.0,4.0,54.0,41.0,14.0,14.0,14.0,70.0,52.0,17.0,21.0,16.0,8.0,10.0,10.0,11.0,2.0,3.0,3.0,3.0,4.0,7.0,7.0,64.0,70.0,52.0,32.0,53.0,15.0,254.0,5.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,8.0,27.0,21.0,32.0,53.0,37.0,5.0,5.0,4.0,14.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,27.0,26.0,51.0,62.0,37.0,12.0,63.0,63.0,14.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,21.0,9.0,11.0,12.0,42.0,1.0,1.0,56.0,47.0,27.0,7.0,7.0,9.0,3.0,10.0,6.0,13.0,13.0,5.0,9.0,6.0,20.0
MOD15A2H.A2000097.h31v10.006.2020041041939.Lai_500m,MOD15A2H,A2000097,Lat-17.1175Lon145.6301Samp17Line17,2020041041939,58.0,58.0,58.0,38.0,6.0,8.0,8.0,8.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,58.0,58.0,38.0,38.0,36.0,36.0,36.0,10.0,10.0,9.0,9.0,9.0,15.0,4.0,4.0,5.0,5.0,30.0,10.0,10.0,5.0,5.0,5.0,7.0,10.0,10.0,9.0,9.0,15.0,15.0,15.0,11.0,11.0,11.0,4.0,10.0,10.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,3.0,3.0,11.0,19.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,7.0,7.0,4.0,4.0,3.0,3.0,3.0,14.0,14.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,14.0,14.0,14.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,14.0,14.0,14.0,8.0,8.0,2.0,7.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,6.0,6.0,9.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,9.0,9.0,7.0,6.0,3.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,12.0,12.0,9.0,9.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,12.0,9.0,14.0,14.0,8.0,8.0,10.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,3.0,3.0,1.0,1.0,4.0,4.0,254.0,3.0,5.0,5.0,8.0,10.0,10.0,36.0,11.0,8.0,8.0,3.0,9.0,8.0,8.0,8.0,8.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,11.0,11.0,6.0,6.0,6.0,9.0,9.0,20.0,20.0,23.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MOD15A2H.A2000105.h31v10.006.2020041072238.Lai_500m,MOD15A2H,A2000105,Lat-17.1175Lon145.6301Samp17Line17,2020041072238,51.0,47.0,41.0,52.0,58.0,58.0,48.0,54.0,66.0,62.0,28.0,28.0,28.0,61.0,40.0,66.0,70.0,27.0,62.0,30.0,30.0,58.0,58.0,60.0,55.0,62.0,55.0,55.0,60.0,61.0,62.0,67.0,70.0,57.0,31.0,27.0,27.0,27.0,50.0,47.0,49.0,31.0,54.0,55.0,13.0,57.0,61.0,62.0,63.0,61.0,60.0,27.0,27.0,27.0,62.0,61.0,58.0,62.0,43.0,54.0,42.0,61.0,62.0,61.0,63.0,38.0,38.0,61.0,25.0,25.0,10.0,10.0,62.0,62.0,62.0,43.0,15.0,63.0,66.0,62.0,62.0,62.0,38.0,38.0,38.0,25.0,10.0,10.0,62.0,62.0,62.0,62.0,50.0,62.0,62.0,62.0,62.0,62.0,59.0,59.0,38.0,61.0,62.0,62.0,26.0,26.0,31.0,31.0,62.0,62.0,61.0,62.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,62.0,26.0,26.0,31.0,31.0,62.0,62.0,62.0,8.0,8.0,62.0,62.0,16.0,16.0,59.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,8.0,8.0,61.0,36.0,36.0,59.0,61.0,61.0,61.0,62.0,61.0,62.0,62.0,62.0,62.0,62.0,61.0,61.0,62.0,62.0,36.0,61.0,61.0,61.0,67.0,64.0,60.0,62.0,14.0,14.0,5.0,5.0,2.0,62.0,62.0,62.0,62.0,58.0,66.0,62.0,62.0,58.0,64.0,58.0,14.0,14.0,14.0,5.0,2.0,2.0,30.0,45.0,62.0,59.0,44.0,63.0,63.0,61.0,62.0,61.0,58.0,57.0,36.0,52.0,29.0,29.0,27.0,27.0,61.0,61.0,60.0,60.0,60.0,61.0,59.0,57.0,62.0,254.0,24.0,24.0,29.0,29.0,27.0,27.0,32.0,32.0,27.0,37.0,37.0,45.0,45.0,45.0,55.0,56.0,29.0,15.0,14.0,33.0,62.0,45.0,48.0,32.0,49.0,37.0,60.0,37.0,45.0,62.0,60.0,55.0,56.0,21.0,14.0,14.0,14.0,62.0,48.0,48.0,49.0,49.0,61.0,62.0,61.0,61.0,58.0,58.0,59.0,56.0,7.0,7.0,7.0,60.0,67.0,60.0,62.0,61.0,61.0,60.0,62.0,66.0,61.0,58.0,56.0,25.0,28.0
MOD15A2H.A2000113.h31v10.006.2020041221316.Lai_500m,MOD15A2H,A2000113,Lat-17.1175Lon145.6301Samp17Line17,2020041221316,36.0,68.0,68.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,10.0,68.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,10.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,7.0,6.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,10.0,7.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,26.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,59.0,63.0,6.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,4.0,1.0,1.0,1.0,3.0,8.0,9.0,9.0,52.0,254.0,7.0,7.0,5.0,10.0,10.0,6.0,4.0,2.0,2.0,2.0,3.0,13.0,55.0,55.0,52.0,13.0,2.0,2.0,3.0,6.0,10.0,29.0,16.0,19.0,9.0,9.0,12.0,66.0,59.0,55.0,56.0,62.0,62.0,4.0,3.0,2.0,6.0,50.0,8.0,9.0,9.0,4.0,6.0,7.0,66.0,59.0,48.0,14.0,14.0,46.0,3.0,3.0,2.0,5.0,12.0,14.0,14.0,4.0,2.0,1.0,7.0,3.0,3.0,1.0,1.0,3.0,28.0
MOD15A2H.A2000121.h31v10.006.2020042015451.Lai_500m,MOD15A2H,A2000121,Lat-17.1175Lon145.6301Samp17Line17,2020042015451,62.0,18.0,48.0,48.0,48.0,60.0,63.0,63.0,63.0,63.0,55.0,55.0,54.0,15.0,37.0,57.0,57.0,45.0,40.0,48.0,48.0,52.0,52.0,48.0,48.0,48.0,63.0,55.0,54.0,54.0,62.0,63.0,63.0,62.0,40.0,40.0,40.0,48.0,39.0,49.0,48.0,48.0,62.0,62.0,62.0,62.0,62.0,64.0,63.0,61.0,62.0,49.0,49.0,57.0,57.0,61.0,49.0,49.0,63.0,63.0,61.0,62.0,66.0,66.0,62.0,62.0,61.0,56.0,49.0,60.0,70.0,62.0,44.0,44.0,56.0,63.0,59.0,62.0,54.0,55.0,62.0,62.0,61.0,61.0,61.0,44.0,70.0,40.0,44.0,51.0,56.0,56.0,63.0,37.0,50.0,62.0,38.0,46.0,46.0,46.0,60.0,60.0,8.0,45.0,49.0,46.0,50.0,53.0,53.0,11.0,11.0,61.0,61.0,38.0,41.0,41.0,51.0,60.0,60.0,62.0,53.0,50.0,52.0,55.0,63.0,19.0,19.0,62.0,61.0,44.0,44.0,44.0,51.0,51.0,60.0,60.0,56.0,53.0,49.0,57.0,55.0,63.0,62.0,11.0,62.0,51.0,44.0,44.0,44.0,61.0,61.0,61.0,63.0,51.0,56.0,49.0,57.0,62.0,62.0,62.0,11.0,61.0,61.0,61.0,12.0,5.0,42.0,60.0,60.0,60.0,52.0,56.0,60.0,60.0,58.0,62.0,62.0,31.0,58.0,50.0,50.0,51.0,42.0,53.0,64.0,60.0,61.0,60.0,36.0,36.0,44.0,39.0,62.0,39.0,39.0,66.0,51.0,60.0,60.0,65.0,65.0,63.0,55.0,60.0,38.0,36.0,48.0,57.0,57.0,54.0,55.0,64.0,61.0,51.0,11.0,64.0,65.0,66.0,39.0,70.0,55.0,254.0,29.0,50.0,54.0,54.0,55.0,55.0,41.0,41.0,60.0,61.0,63.0,59.0,58.0,55.0,70.0,48.0,32.0,40.0,50.0,54.0,58.0,52.0,52.0,11.0,60.0,64.0,63.0,59.0,59.0,56.0,58.0,57.0,52.0,52.0,49.0,67.0,65.0,57.0,57.0,68.0,14.0,62.0,63.0,69.0,67.0,67.0,60.0,54.0,53.0,55.0,59.0,58.0,51.0,65.0,54.0,54.0,14.0,14.0,67.0,53.0,69.0,67.0,60.0,60.0,54.0,23.0,20.0
