product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041210759,F
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.05,0.9,84.54,0.85,0.8454,0.0248,0.1575,289,100,34.6,2020037220600,F
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.21,0.9,149.1599,0.69,0.8287,0.0124,0.1115,289,180,62.28,2020038180715,0.73
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.42,0.42,0.84,0.0,0.42,0.0,0.0,289,2,0.69,2020040193323,F
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.11,0.9,161.14,0.79,0.8393,0.0201,0.1417,289,192,66.44,2020040193424,F
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.05,0.9,37.23,0.85,0.6005,0.0826,0.2874,289,62,21.45,2020041212249,F
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.13,0.79,14.75,0.66,0.4214,0.0511,0.2261,289,35,12.11,2020041041939,F
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.11,0.9,114.39,0.79,0.7476,0.032,0.1789,289,153,52.94,2020041072238,0.35
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.11,0.9,17.78,0.79,0.6131,0.0848,0.2911,289,29,10.03,2020041221316,F
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.25,0.91,160.85,0.66,0.8378,0.0151,0.1229,289,192,66.44,2020042015451,F
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.06,0.91,113.28,0.85,0.7215,0.0489,0.2212,289,157,54.33,2020042172951,F
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.16,0.9,34.63,0.74,0.787,0.039,0.1976,289,44,15.22,2020042224801,F
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.15,0.9,195.1499,0.75,0.8597,0.0078,0.0881,289,227,78.55,2020043015236,0.77
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.35,0.9,53.65,0.55,0.8007,0.0186,0.1364,289,67,23.18,2020045215458,F
MOD15A2H,Fpar_500m,A2000161,2000-06-09,0.13,0.88,12.72,0.75,0.4103,0.0392,0.1979,289,31,10.73,2020046021110,F
