product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Lai_500m,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041210759,F
MOD15A2H,Lai_500m,A2000057,2000-02-26,0.1,6.6,580.3003,6.5,5.803,2.2313,1.4938,289,100,34.6,2020037220600,F
MOD15A2H,Lai_500m,A2000065,2000-03-05,0.5,6.6,939.8,6.1,5.2211,2.3549,1.5346,289,180,62.28,2020038180715,3.3
MOD15A2H,Lai_500m,A2000073,2000-03-13,1.2,1.2,2.4,0.0,1.2,0.0,0.0,289,2,0.69,2020040193323,F
MOD15A2H,Lai_500m,A2000081,2000-03-21,0.2,6.6,1052.2,6.4,5.4802,2.3885,1.5455,289,192,66.44,2020040193424,F
MOD15A2H,Lai_500m,A2000089,2000-03-29,0.1,6.6,189.9,6.5,3.0629,5.012,2.2388,289,62,21.45,2020041212249,F
MOD15A2H,Lai_500m,A2000097,2000-04-06,0.3,3.8,51.7,3.5,1.4771,1.5029,1.2259,289,35,12.11,2020041041939,F
MOD15A2H,Lai_500m,A2000105,2000-04-14,0.2,6.7,607.3001,6.5,3.9693,3.0545,1.7477,289,153,52.94,2020041072238,0.8
MOD15A2H,Lai_500m,A2000113,2000-04-22,0.2,6.6,93.4,6.4,3.2207,5.1423,2.2677,289,29,10.03,2020041221316,F
MOD15A2H,Lai_500m,A2000121,2000-04-30,0.5,6.9,911.6003,6.4,4.7479,1.7256,1.3136,289,192,66.44,2020042015451,F
MOD15A2H,Lai_500m,A2000129,2000-05-08,0.1,6.7,530.2999,6.6,3.3777,3.0397,1.7435,289,157,54.33,2020042172951,F
MOD15A2H,Lai_500m,A2000137,2000-05-16,0.3,6.0,181.9,5.7,4.1341,2.6682,1.6334,289,44,15.22,2020042224801,F
MOD15A2H,Lai_500m,A2000145,2000-05-24,0.3,6.4,1120.8994,6.1,4.9379,1.124,1.0602,289,227,78.55,2020043015236,3
MOD15A2H,Lai_500m,A2000153,2000-06-01,0.7,6.0,271.2,5.3,4.0478,2.2186,1.4895,289,67,23.18,2020045215458,F
MOD15A2H,Lai_500m,A2000161,2000-06-09,0.2,5.1,35.5,4.9,1.1452,0.9463,0.9728,289,31,10.73,2020046021110,F
MOD15A2H,Lai_500m,A2000169,2000-06-17,0.1,0.8,1.9,0.7,0.475,0.0669,0.2586,289,4,1.38,2020048001144,F
MOD15A2H,Lai_500m,A2000177,2000-06-25,0.3,6.9,656.8999,6.6,4.1056,1.9783,1.4065,289,160,55.36,2020048052242,F
MOD15A2H,Lai_500m,A2000185,2000-07-03,0.2,6.9,613.0002,6.7,3.564,3.6189,1.9023,289,172,59.52,2020048081754,4.8
MOD15A2H,Lai_500m,A2000193,2000-07-11,0.5,6.6,865.8,6.1,3.3172,1.1007,1.0491,289,261,90.31,2020051204830,2.4
MOD15A2H,Lai_500m,A2000201,2000-07-19,0.4,6.9,1160.0,6.5,4.5312,0.8895,0.9431,289,256,88.58,2020048200146,3.7
MOD15A2H,Lai_500m,A2000209,2000-07-27,0.1,6.7,189.2,6.6,2.8667,4.3983,2.0972,289,66,22.84,2020048230547,5.7
MOD15A2H,Lai_500m,A2000217,2000-08-04,0.2,2.1,13.5,1.9,0.75,0.2169,0.4658,289,18,6.23,2020049000423,F
MOD15A2H,Lai_500m,A2000233,2000-08-20,1.7,6.9,1411.3998,5.2,5.1138,1.7003,1.304,289,276,95.5,2020050213924,2.6
MOD15A2H,Lai_500m,A2000241,2000-08-28,0.5,6.6,1550.4,6.1,5.44,1.0881,1.0431,289,285,98.62,2020051032950,5.6
MOD15A2H,Lai_500m,A2000249,2000-09-05,1.8,6.9,1711.3978,5.1,5.9424,0.3066,0.5537,289,288,99.65,2020051064556,5.9
MOD15A2H,Lai_500m,A2000257,2000-09-13,0.1,6.6,807.5997,6.5,4.4131,4.2188,2.054,289,183,63.32,2020051183412,5.4
MOD15A2H,Lai_500m,A2000265,2000-09-21,0.2,6.2,78.2,6.0,3.7238,6.8209,2.6117,289,21,7.27,2020052002010,F
MOD15A2H,Lai_500m,A2000273,2000-09-29,0.3,6.6,1258.999,6.3,5.3347,1.4814,1.2171,289,236,81.66,2020052034132,F
MOD15A2H,Lai_500m,A2000281,2000-10-07,0.1,6.7,1181.8994,6.6,5.4718,3.1322,1.7698,289,216,74.74,2020052175900,6.3
MOD15A2H,Lai_500m,A2000289,2000-10-15,0.1,6.6,370.2,6.5,3.4925,5.1777,2.2755,289,106,36.68,2020052224927,4.6
MOD15A2H,Lai_500m,A2000297,2000-10-23,2.0,6.6,1841.4968,4.6,6.4841,0.1832,0.4281,289,284,98.27,2020053013755,6.6
MOD15A2H,Lai_500m,A2000305,2000-10-31,1.8,6.6,1817.998,4.8,6.3345,0.267,0.5167,289,287,99.31,2020055203711,6.3
MOD15A2H,Lai_500m,A2000313,2000-11-08,0.1,6.6,650.4002,6.5,4.1961,2.8441,1.6865,289,155,53.63,2020056073144,5.9
MOD15A2H,Lai_500m,A2000321,2000-11-16,0.1,6.6,1677.1992,6.5,6.2118,1.3771,1.1735,289,270,93.43,2020056160745,6.6
MOD15A2H,Lai_500m,A2000329,2000-11-24,0.1,0.1,0.1,0.0,0.1,0.0,0.0,289,1,0.35,2020056194518,F
MOD15A2H,Lai_500m,A2000337,2000-12-02,0.9,6.5,34.6,5.6,4.9429,6.0682,2.4634,289,7,2.42,2020057061318,F
MOD15A2H,Lai_500m,A2000345,2000-12-10,0.1,6.6,48.2,6.5,2.41,8.7799,2.9631,289,20,6.92,2020057105641,F
MOD15A2H,Lai_500m,A2000353,2000-12-18,1.8,6.6,1769.6969,4.8,6.4119,0.2526,0.5026,289,276,95.5,2020057142604,6.5
MOD15A2H,Lai_500m,A2000361,2000-12-26,0.7,6.6,1344.2,5.9,6.0009,0.7391,0.8597,289,224,77.51,2020058215036,6.2
MOD15A2H,Lai_500m,A2001001,2001-01-01,0.1,6.6,479.8,6.5,3.4518,3.7038,1.9245,289,139,48.1,2020059013308,F
MOD15A2H,Lai_500m,A2001009,2001-01-09,0.1,6.6,494.0002,6.5,5.3696,3.5882,1.8943,289,92,31.83,2020062010041,F
MOD15A2H,Lai_500m,A2001017,2001-01-17,2.1,6.6,1696.0968,4.5,6.3052,0.2096,0.4578,289,269,93.08,2020062021315,6.6
MOD15A2H,Lai_500m,A2001025,2001-01-25,0.1,6.6,1241.0999,6.5,4.9055,4.5759,2.1391,289,253,87.54,2020062032046,6.2
MOD15A2H,Lai_500m,A2001033,2001-02-02,0.1,0.2,0.3,0.1,0.15,0.0025,0.05,289,2,0.69,2020064200141,F
MOD15A2H,Lai_500m,A2001041,2001-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020062042303,F
MOD15A2H,Lai_500m,A2001049,2001-02-18,0.2,6.6,277.9999,6.4,3.8611,2.911,1.7062,289,72,24.91,2020062050500,F
MOD15A2H,Lai_500m,A2001057,2001-02-26,0.2,6.6,546.5002,6.4,3.6926,3.456,1.859,289,148,51.21,2020062060549,1.4
MOD15A2H,Lai_500m,A2001065,2001-03-06,2.1,6.9,1732.3965,4.8,6.2541,0.2127,0.4612,289,277,95.85,2020062070106,6.2
MOD15A2H,Lai_500m,A2001073,2001-03-14,1.0,6.9,1172.5001,5.9,5.6917,0.7883,0.8879,289,206,71.28,2020062075611,6.6
MOD15A2H,Lai_500m,A2001081,2001-03-22,0.3,6.9,1095.1,6.6,4.544,4.1851,2.0458,289,241,83.39,2020062093724,6.3
MOD15A2H,Lai_500m,A2001089,2001-03-30,0.5,6.6,129.4,6.1,5.176,4.0858,2.0213,289,25,8.65,2020062103115,F
MOD15A2H,Lai_500m,A2001097,2001-04-07,0.6,6.6,464.8001,6.0,4.4692,2.3773,1.5419,289,104,35.99,2020062111557,1.4
MOD15A2H,Lai_500m,A2001105,2001-04-15,0.1,6.9,652.4,6.8,4.4081,3.407,1.8458,289,148,51.21,2020062114909,F
MOD15A2H,Lai_500m,A2001113,2001-04-23,0.1,6.1,1030.0994,6.0,3.6017,0.9172,0.9577,289,286,98.96,2020062121858,3.6
