product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD09A1,sur_refl_b01,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b02,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b03,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b04,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b05,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b06,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b07,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b01,A2000057,2000-02-26,0.0086,0.0886,8.8953,0.08,0.0308,0.0001,0.0115,289,289,100.0,2020037221349,0.0303
MOD09A1,sur_refl_b02,A2000057,2000-02-26,0.183,0.3155,71.3212,0.1325,0.2468,0.0005,0.0234,289,289,100.0,2020037221349,0.2355
MOD09A1,sur_refl_b03,A2000057,2000-02-26,0.0006,0.0384,2.9552,0.0378,0.0102,0.0,0.0064,289,289,100.0,2020037221349,0.0075
MOD09A1,sur_refl_b04,A2000057,2000-02-26,0.0137,0.0721,8.9727,0.0584,0.031,0.0001,0.009,289,289,100.0,2020037221349,0.0279
MOD09A1,sur_refl_b05,A2000057,2000-02-26,0.1623,0.3627,68.5736,0.2004,0.2373,0.0007,0.0274,289,289,100.0,2020037221349,0.2383
MOD09A1,sur_refl_b06,A2000057,2000-02-26,0.0644,0.3149,34.7992,0.2505,0.1204,0.0015,0.0385,289,289,100.0,2020037221349,0.1196
MOD09A1,sur_refl_b07,A2000057,2000-02-26,0.0203,0.1868,13.299,0.1665,0.046,0.0008,0.0274,289,289,100.0,2020037221349,0.0452
MOD09A1,sur_refl_b01,A2000065,2000-03-05,0.0134,0.0906,8.584,0.0772,0.0299,0.0001,0.0103,289,287,99.31,2020038171353,0.0303
MOD09A1,sur_refl_b02,A2000065,2000-03-05,0.1706,0.2938,64.8582,0.1232,0.226,0.0005,0.0228,289,287,99.31,2020038171353,0.2127
MOD09A1,sur_refl_b03,A2000065,2000-03-05,0.0018,0.0383,2.9857,0.0365,0.0104,0.0,0.0055,289,287,99.31,2020038171353,0.0099
MOD09A1,sur_refl_b04,A2000065,2000-03-05,0.0188,0.0684,8.2834,0.0496,0.0289,0.0001,0.0079,289,287,99.31,2020038171353,0.0261
MOD09A1,sur_refl_b05,A2000065,2000-03-05,0.1606,0.3468,64.2195,0.1862,0.2238,0.0007,0.0262,289,287,99.31,2020038171353,0.2212
MOD09A1,sur_refl_b06,A2000065,2000-03-05,0.0729,0.3109,32.6084,0.238,0.1136,0.0013,0.0366,289,287,99.31,2020038171353,0.1109
MOD09A1,sur_refl_b07,A2000065,2000-03-05,0.0242,0.1911,13.8188,0.1669,0.0481,0.0006,0.0255,289,287,99.31,2020038171353,0.0437
MOD09A1,sur_refl_b01,A2000073,2000-03-13,0.012,0.1473,9.2923,0.1353,0.0325,0.0003,0.0162,289,286,98.96,2020040191419,0.026
MOD09A1,sur_refl_b02,A2000073,2000-03-13,0.1558,0.3252,69.7632,0.1694,0.2439,0.0005,0.023,289,286,98.96,2020040191419,0.241
MOD09A1,sur_refl_b03,A2000073,2000-03-13,0.0008,0.1228,3.589,0.122,0.0125,0.0002,0.0138,289,286,98.96,2020040191419,0.0053
MOD09A1,sur_refl_b04,A2000073,2000-03-13,0.0193,0.1432,9.2688,0.1239,0.0324,0.0002,0.0148,289,286,98.96,2020040191419,0.0235
MOD09A1,sur_refl_b05,A2000073,2000-03-13,0.1731,0.421,74.4217,0.2479,0.2602,0.0014,0.0373,289,286,98.96,2020040191419,0.2761
MOD09A1,sur_refl_b06,A2000073,2000-03-13,0.0815,0.2955,34.4547,0.214,0.1205,0.0014,0.037,289,286,98.96,2020040191419,0.1094
MOD09A1,sur_refl_b07,A2000073,2000-03-13,0.0213,0.1865,14.3244,0.1652,0.0501,0.0008,0.0287,289,286,98.96,2020040191419,0.0446
MOD09A1,sur_refl_b01,A2000081,2000-03-21,0.0092,0.0749,7.6442,0.0657,0.0265,0.0001,0.0089,289,289,100.0,2020040191306,0.0273
MOD09A1,sur_refl_b02,A2000081,2000-03-21,0.1634,0.2766,61.1056,0.1132,0.2114,0.0004,0.0197,289,289,100.0,2020040191306,0.2014
MOD09A1,sur_refl_b03,A2000081,2000-03-21,0.0006,0.0332,2.5216,0.0326,0.0087,0.0,0.0048,289,289,100.0,2020040191306,0.0094
MOD09A1,sur_refl_b04,A2000081,2000-03-21,0.0148,0.062,7.5918,0.0472,0.0263,0.0001,0.0071,289,289,100.0,2020040191306,0.0244
MOD09A1,sur_refl_b05,A2000081,2000-03-21,0.1684,0.3158,59.6865,0.1474,0.2065,0.0005,0.0222,289,289,100.0,2020040191306,0.2048
MOD09A1,sur_refl_b06,A2000081,2000-03-21,0.0633,0.276,30.0186,0.2127,0.1039,0.0011,0.0335,289,289,100.0,2020040191306,0.1024
MOD09A1,sur_refl_b07,A2000081,2000-03-21,0.0203,0.1648,11.964,0.1445,0.0414,0.0005,0.0231,289,289,100.0,2020040191306,0.039
MOD09A1,sur_refl_b01,A2000089,2000-03-29,0.012,0.0767,7.3149,0.0647,0.0253,0.0001,0.0095,289,289,100.0,2020041210159,0.0236
MOD09A1,sur_refl_b02,A2000089,2000-03-29,0.1572,0.2787,64.8708,0.1215,0.2245,0.0007,0.0257,289,289,100.0,2020041210159,0.2304
MOD09A1,sur_refl_b03,A2000089,2000-03-29,0.0007,0.0336,2.3509,0.0329,0.0081,0.0,0.0053,289,289,100.0,2020041210159,0.0049
MOD09A1,sur_refl_b04,A2000089,2000-03-29,0.0144,0.0611,7.3869,0.0467,0.0256,0.0001,0.0076,289,289,100.0,2020041210159,0.0217
MOD09A1,sur_refl_b05,A2000089,2000-03-29,0.1516,0.3071,61.2966,0.1555,0.2121,0.0006,0.0244,289,289,100.0,2020041210159,0.2271
