product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD09A1,sur_refl_b04,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b04,A2000057,2000-02-26,0.0137,0.0721,8.9727,0.0584,0.031,0.0001,0.009,289,289,100.0,2020037221349,0.0279
MOD09A1,sur_refl_b04,A2000065,2000-03-05,0.0188,0.0684,8.2834,0.0496,0.0289,0.0001,0.0079,289,287,99.31,2020038171353,0.0261
MOD09A1,sur_refl_b04,A2000073,2000-03-13,0.0193,0.1432,9.2688,0.1239,0.0324,0.0002,0.0148,289,286,98.96,2020040191419,0.0235
MOD09A1,sur_refl_b04,A2000081,2000-03-21,0.0148,0.062,7.5918,0.0472,0.0263,0.0001,0.0071,289,289,100.0,2020040191306,0.0244
MOD09A1,sur_refl_b04,A2000089,2000-03-29,0.0144,0.0611,7.3869,0.0467,0.0256,0.0001,0.0076,289,289,100.0,2020041210159,0.0217
MOD09A1,sur_refl_b04,A2000097,2000-04-06,0.0147,0.0581,6.7943,0.0434,0.0235,0.0001,0.0075,289,289,100.0,2020041041833,0.02
MOD09A1,sur_refl_b04,A2000105,2000-04-14,0.0133,0.179,5.412,0.1657,0.022,0.0002,0.0125,289,246,85.12,2020041072415,0.0182
MOD09A1,sur_refl_b04,A2000113,2000-04-22,0.0133,0.0554,6.2576,0.0421,0.0217,0.0,0.0063,289,289,100.0,2020041220338,0.0193
MOD09A1,sur_refl_b04,A2000121,2000-04-30,0.0108,0.127,4.6456,0.1162,0.0404,0.0007,0.027,289,115,39.79,2020042020057,0.0282
MOD09A1,sur_refl_b04,A2000129,2000-05-08,0.016,0.0518,6.9492,0.0358,0.024,0.0,0.0055,289,289,100.0,2020042170109,0.0212
MOD09A1,sur_refl_b04,A2000137,2000-05-16,0.0108,0.0592,5.598,0.0484,0.0194,0.0,0.0066,289,289,100.0,2020042225036,0.0128
MOD09A1,sur_refl_b04,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020043014527,F
MOD09A1,sur_refl_b04,A2000153,2000-06-01,0.0222,0.1042,10.7996,0.082,0.0456,0.0002,0.0138,289,237,82.01,2020045215048,0.0378
MOD09A1,sur_refl_b04,A2000161,2000-06-09,0.0165,0.0959,9.7265,0.0794,0.0347,0.0002,0.0125,289,280,96.89,2020046020335,0.0442
MOD09A1,sur_refl_b04,A2000169,2000-06-17,0.0226,0.1582,7.7972,0.1356,0.0313,0.0001,0.0106,289,249,86.16,2020047235040,0.0359
MOD09A1,sur_refl_b04,A2000177,2000-06-25,0.0136,0.0431,5.9389,0.0295,0.0205,0.0,0.0049,289,289,100.0,2020048052135,0.0198
MOD09A1,sur_refl_b04,A2000185,2000-07-03,0.0134,0.1033,8.0731,0.0899,0.0279,0.0002,0.0137,289,289,100.0,2020048082123,0.0687
MOD09A1,sur_refl_b04,A2000193,2000-07-11,0.0131,0.0438,5.6377,0.0307,0.0195,0.0,0.0044,289,289,100.0,2020051202034,0.0193
MOD09A1,sur_refl_b04,A2000201,2000-07-19,0.02,0.1009,8.7133,0.0809,0.0323,0.0001,0.01,289,270,93.43,2020048195934,0.0439
MOD09A1,sur_refl_b04,A2000209,2000-07-27,0.0182,0.0836,10.1325,0.0654,0.0352,0.0001,0.0115,289,288,99.65,2020048230434,0.0836
MOD09A1,sur_refl_b04,A2000217,2000-08-04,0.0175,0.0548,7.4582,0.0373,0.026,0.0,0.0065,289,287,99.31,2020049000121,0.026
MOD09A1,sur_refl_b04,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020049162705,F
MOD09A1,sur_refl_b04,A2000233,2000-08-20,0.0309,0.0309,0.0618,0.0,0.0309,0.0,0.0,289,2,0.69,2020050212726,F
MOD09A1,sur_refl_b04,A2000241,2000-08-28,0.0143,0.2133,3.5409,0.199,0.0398,0.0008,0.0291,289,89,30.8,2020051032150,F
MOD09A1,sur_refl_b04,A2000249,2000-09-05,0.0305,0.1398,0.8957,0.1093,0.0746,0.0014,0.037,289,12,4.15,2020051064038,F
MOD09A1,sur_refl_b04,A2000257,2000-09-13,0.0197,0.0616,8.1946,0.0419,0.0284,0.0,0.0065,289,289,100.0,2020051181326,0.0273
MOD09A1,sur_refl_b04,A2000265,2000-09-21,0.0198,0.0712,8.4543,0.0514,0.0293,0.0001,0.0072,289,289,100.0,2020052002115,0.0312
MOD09A1,sur_refl_b04,A2000273,2000-09-29,0.0196,0.0625,8.365,0.0429,0.0289,0.0,0.006,289,289,100.0,2020052034206,0.0271
MOD09A1,sur_refl_b04,A2000281,2000-10-07,0.0232,0.0685,9.2314,0.0453,0.0319,0.0,0.007,289,289,100.0,2020052173235,0.0312
MOD09A1,sur_refl_b04,A2000289,2000-10-15,0.019,0.1659,8.4993,0.1469,0.0336,0.0001,0.0122,289,253,87.54,2020052225212,0.0274
MOD09A1,sur_refl_b04,A2000297,2000-10-23,0.0147,0.0564,6.5546,0.0417,0.0227,0.0,0.007,289,289,100.0,2020053014610,0.0199
MOD09A1,sur_refl_b04,A2000305,2000-10-31,0.0221,0.0938,8.6447,0.0717,0.0307,0.0001,0.0079,289,282,97.58,2020055200256,0.025
MOD09A1,sur_refl_b04,A2000313,2000-11-08,0.023,0.0798,9.6251,0.0568,0.0333,0.0001,0.009,289,289,100.0,2020056072639,0.031
MOD09A1,sur_refl_b04,A2000321,2000-11-16,0.0155,0.1925,11.0416,0.177,0.0415,0.0003,0.0179,289,266,92.04,2020056160542,0.0285
MOD09A1,sur_refl_b04,A2000329,2000-11-24,0.0212,0.0809,9.5433,0.0597,0.033,0.0001,0.0096,289,289,100.0,2020056195254,0.0313
MOD09A1,sur_refl_b04,A2000337,2000-12-02,0.0149,0.0628,6.7794,0.0479,0.0235,0.0001,0.0085,289,289,100.0,2020057054547,0.0313
MOD09A1,sur_refl_b04,A2000345,2000-12-10,0.0217,0.0795,9.5305,0.0578,0.033,0.0001,0.0092,289,289,100.0,2020057105812,0.0323
MOD09A1,sur_refl_b04,A2000353,2000-12-18,0.0268,0.082,10.5583,0.0552,0.0365,0.0001,0.0096,289,289,100.0,2020057142443,0.0337
MOD09A1,sur_refl_b04,A2000361,2000-12-26,0.0216,0.0768,9.3702,0.0552,0.0324,0.0001,0.0092,289,289,100.0,2020058214732,0.0277
MOD09A1,sur_refl_b04,A2001001,2001-01-01,0.0227,0.0767,10.355,0.054,0.0358,0.0001,0.0096,289,289,100.0,2020059012735,0.0319
MOD09A1,sur_refl_b04,A2001009,2001-01-09,0.0198,0.076,9.0369,0.0562,0.0313,0.0001,0.0095,289,289,100.0,2020062004533,0.0273
MOD09A1,sur_refl_b04,A2001017,2001-01-17,0.0205,0.0838,10.2829,0.0633,0.0356,0.0001,0.0101,289,289,100.0,2020062020352,0.0324
MOD09A1,sur_refl_b04,A2001025,2001-01-25,0.0135,0.0513,6.0104,0.0378,0.0208,0.0,0.0065,289,289,100.0,2020062030504,0.0193
MOD09A1,sur_refl_b04,A2001033,2001-02-02,0.0116,0.1598,6.1579,0.1482,0.0299,0.0006,0.0241,289,206,71.28,2020064194621,0.0236
MOD09A1,sur_refl_b04,A2001041,2001-02-10,0.0131,0.0725,8.2187,0.0594,0.0284,0.0001,0.0118,289,289,100.0,2020062040809,0.0322
MOD09A1,sur_refl_b04,A2001049,2001-02-18,0.0143,0.0724,9.7714,0.0581,0.0338,0.0001,0.0095,289,289,100.0,2020062045816,0.03
MOD09A1,sur_refl_b04,A2001057,2001-02-26,0.0147,0.0606,6.9888,0.0459,0.0242,0.0,0.0067,289,289,100.0,2020062060024,0.0333
MOD09A1,sur_refl_b04,A2001065,2001-03-06,0.0183,0.0719,8.5318,0.0536,0.0295,0.0001,0.0079,289,289,100.0,2020062064549,0.027
MOD09A1,sur_refl_b04,A2001073,2001-03-14,0.013,0.1277,7.0881,0.1147,0.0318,0.0003,0.0174,289,223,77.16,2020062090916,0.0398
