product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD11A2,LST_Day_1km,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048120245,F
MOD11A2,LST_Night_1km,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048120245,F
MOD11A2,LST_Day_1km,A2000057,2000-02-26,293.52,301.08,23956.4395,7.56,295.7585,3.2025,1.7895,81,81,100.0,2020045130158,294.56
MOD11A2,LST_Night_1km,A2000057,2000-02-26,286.02,289.48,23303.8418,3.46,287.7018,0.4215,0.6492,81,81,100.0,2020045130158,287.3
MOD11A2,LST_Day_1km,A2000065,2000-03-05,291.1,298.54,23772.7227,7.44,293.4904,3.2329,1.798,81,81,100.0,2020045130452,292.12
MOD11A2,LST_Night_1km,A2000065,2000-03-05,283.16,286.5,23059.7344,3.34,284.6881,0.6421,0.8013,81,81,100.0,2020045130452,284.76
MOD11A2,LST_Day_1km,A2000073,2000-03-13,291.32,299.24,23781.3633,7.92,293.5971,3.0681,1.7516,81,81,100.0,2020045130701,292.46
MOD11A2,LST_Night_1km,A2000073,2000-03-13,281.96,287.1,23050.918,5.14,284.5792,1.5559,1.2474,81,81,100.0,2020045130701,283.72
MOD11A2,LST_Day_1km,A2000081,2000-03-21,288.4,294.48,23486.7637,6.08,289.9601,1.8832,1.3723,81,81,100.0,2020045130829,289.32
MOD11A2,LST_Night_1km,A2000081,2000-03-21,280.56,283.86,22830.8379,3.3,281.8622,0.4599,0.6782,81,81,100.0,2020045130829,281.98
MOD11A2,LST_Day_1km,A2000089,2000-03-29,286.54,290.9,23345.6758,4.36,288.2182,1.1851,1.0886,81,81,100.0,2020045131118,287.12
MOD11A2,LST_Night_1km,A2000089,2000-03-29,280.26,283.02,22821.6992,2.76,281.7494,0.5163,0.7185,81,81,100.0,2020045131118,281.64
MOD11A2,LST_Day_1km,A2000097,2000-04-06,286.38,291.2,23324.2812,4.82,287.9541,1.5048,1.2267,81,81,100.0,2020045131300,286.94
MOD11A2,LST_Night_1km,A2000097,2000-04-06,278.96,283.0,22767.541,4.04,281.0807,0.8448,0.9192,81,81,100.0,2020045131300,280.82
MOD11A2,LST_Day_1km,A2000105,2000-04-14,281.94,285.9,22968.0762,3.96,283.5565,1.1277,1.0619,81,81,100.0,2020045131451,282.38
MOD11A2,LST_Night_1km,A2000105,2000-04-14,276.28,279.12,22510.9434,2.84,277.9129,0.4576,0.6765,81,81,100.0,2020045131451,278.2
MOD11A2,LST_Day_1km,A2000113,2000-04-22,283.88,287.68,23085.2617,3.8,285.0032,1.1931,1.0923,81,81,100.0,2020045131618,284.22
MOD11A2,LST_Night_1km,A2000113,2000-04-22,275.22,280.34,22535.4961,5.12,278.216,0.9903,0.9951,81,81,100.0,2020045131618,276.36
MOD11A2,LST_Day_1km,A2000121,2000-04-30,285.8,289.82,23248.2988,4.02,287.016,1.5566,1.2476,81,81,100.0,2020045131755,286.6
MOD11A2,LST_Night_1km,A2000121,2000-04-30,278.6,282.68,22741.0605,4.08,280.7538,1.1968,1.094,81,81,100.0,2020045131755,280.6
MOD11A2,LST_Day_1km,A2000129,2000-05-08,281.58,287.26,22993.7734,5.68,283.8737,1.3423,1.1586,81,81,100.0,2020045132053,283.42
MOD11A2,LST_Night_1km,A2000129,2000-05-08,274.24,279.42,19916.3203,5.18,276.6156,1.1539,1.0742,81,72,88.89,2020045132053,276.96
MOD11A2,LST_Day_1km,A2000137,2000-05-16,280.56,283.76,22835.9551,3.2,281.9254,0.6587,0.8116,81,81,100.0,2020045132247,281.12
MOD11A2,LST_Night_1km,A2000137,2000-05-16,272.9,276.58,22288.7969,3.68,275.1703,0.7449,0.8631,81,81,100.0,2020045132247,275.42
MOD11A2,LST_Day_1km,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048135436,F
MOD11A2,LST_Night_1km,A2000145,2000-05-24,272.36,278.5,17702.9805,6.14,276.6091,1.9565,1.3988,81,64,79.01,2020048135436,F
MOD11A2,LST_Day_1km,A2000153,2000-06-01,275.48,278.38,22444.0566,2.9,277.0871,0.4839,0.6957,81,81,100.0,2020051190823,276.9
MOD11A2,LST_Night_1km,A2000153,2000-06-01,271.76,274.18,19646.7363,2.42,272.8713,0.2981,0.546,81,72,88.89,2020051190823,272.84
MOD11A2,LST_Day_1km,A2000161,2000-06-09,277.62,281.54,22602.5215,3.92,279.0435,1.3829,1.176,81,81,100.0,2020051191751,278.58
MOD11A2,LST_Night_1km,A2000161,2000-06-09,272.8,275.56,22207.1621,2.76,274.1625,0.4788,0.6919,81,81,100.0,2020051191751,273.84
MOD11A2,LST_Day_1km,A2000169,2000-06-17,279.06,282.84,22744.9453,3.78,280.8018,1.1048,1.0511,81,81,100.0,2020051192739,280.54
MOD11A2,LST_Night_1km,A2000169,2000-06-17,273.88,276.28,22264.8965,2.4,274.8753,0.2658,0.5156,81,81,100.0,2020051192739,275.28
MOD11A2,LST_Day_1km,A2000177,2000-06-25,278.7,282.48,22670.7246,3.78,279.8855,1.0633,1.0312,81,81,100.0,2020051193603,278.98
MOD11A2,LST_Night_1km,A2000177,2000-06-25,272.82,275.9,22224.9824,3.08,274.3825,0.4093,0.6397,81,81,100.0,2020051193603,273.98
MOD11A2,LST_Day_1km,A2000185,2000-07-03,277.7,281.3,22606.6406,3.6,279.0943,0.9362,0.9676,81,81,100.0,2020051194601,278.22
MOD11A2,LST_Night_1km,A2000185,2000-07-03,273.58,275.88,22237.6758,2.3,274.5392,0.3697,0.608,81,81,100.0,2020051194601,274.54
MOD11A2,LST_Day_1km,A2000193,2000-07-11,277.1,280.62,22527.7383,3.52,278.1202,0.5152,0.7178,81,81,100.0,2020051195347,277.72
MOD11A2,LST_Night_1km,A2000193,2000-07-11,272.46,275.38,22190.1953,2.92,273.953,0.3801,0.6165,81,81,100.0,2020051195347,273.44
MOD11A2,LST_Day_1km,A2000201,2000-07-19,277.36,281.14,22585.4414,3.78,278.8326,1.1027,1.0501,81,81,100.0,2020051200143,277.62
MOD11A2,LST_Night_1km,A2000201,2000-07-19,271.08,275.28,6584.2598,4.2,274.3441,1.6143,1.2706,81,24,29.63,2020051200143,F
MOD11A2,LST_Day_1km,A2000209,2000-07-27,276.34,280.76,22539.5488,4.42,278.266,1.1608,1.0774,81,81,100.0,2020052011909,278.4
MOD11A2,LST_Night_1km,A2000209,2000-07-27,272.68,276.06,22235.2949,3.38,274.5098,0.476,0.6899,81,81,100.0,2020052011909,274.34
MOD11A2,LST_Day_1km,A2000217,2000-08-04,280.56,285.78,22877.9805,5.22,282.4442,2.5186,1.587,81,81,100.0,2020055170454,280.7
MOD11A2,LST_Night_1km,A2000217,2000-08-04,275.04,278.46,22380.1387,3.42,276.298,0.3968,0.6299,81,81,100.0,2020055170454,275.92
MOD11A2,LST_Day_1km,A2000225,2000-08-12,276.26,276.88,553.14,0.62,276.57,0.0961,0.31,81,2,2.47,2020055184254,F
MOD11A2,LST_Night_1km,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020055184254,F
MOD11A2,LST_Day_1km,A2000233,2000-08-20,275.94,277.06,1107.12,1.12,276.78,0.2352,0.485,81,4,4.94,2020056003559,F
MOD11A2,LST_Night_1km,A2000233,2000-08-20,266.64,275.82,7946.04,9.18,274.0014,2.5858,1.608,81,29,35.8,2020056003559,F
MOD11A2,LST_Day_1km,A2000241,2000-08-28,275.28,280.7,19726.9746,5.42,277.8447,1.1371,1.0663,81,71,87.65,2020056060618,F
MOD11A2,LST_Night_1km,A2000241,2000-08-28,271.84,275.88,18164.6602,4.04,275.2221,0.4656,0.6823,81,66,81.48,2020056060618,F
MOD11A2,LST_Day_1km,A2000249,2000-09-05,276.82,286.28,22734.8418,9.46,280.6771,6.8343,2.6142,81,81,100.0,2020056162250,281.92
MOD11A2,LST_Night_1km,A2000249,2000-09-05,272.94,275.26,22181.5586,2.32,273.8464,0.3862,0.6214,81,81,100.0,2020056162250,272.96
MOD11A2,LST_Day_1km,A2000257,2000-09-13,285.02,290.16,23237.0586,5.14,286.8773,1.6722,1.2931,81,81,100.0,2020056220223,285.52
MOD11A2,LST_Night_1km,A2000257,2000-09-13,276.14,279.92,22503.9863,3.78,277.827,0.5678,0.7535,81,81,100.0,2020056220223,277.36
MOD11A2,LST_Day_1km,A2000265,2000-09-21,287.74,293.54,23440.8398,5.8,289.3931,2.1758,1.4751,81,81,100.0,2020057034120,288.58
MOD11A2,LST_Night_1km,A2000265,2000-09-21,278.48,280.74,22652.918,2.26,279.6656,0.3426,0.5853,81,81,100.0,2020057034120,279.3
MOD11A2,LST_Day_1km,A2000273,2000-09-29,285.12,291.92,23293.1406,6.8,287.5696,3.2136,1.7926,81,81,100.0,2020057095140,286.16
MOD11A2,LST_Night_1km,A2000273,2000-09-29,277.38,281.56,22632.5625,4.18,279.4143,0.8857,0.9411,81,81,100.0,2020057095140,279.04
MOD11A2,LST_Day_1km,A2000281,2000-10-07,285.98,296.98,23423.7988,11.0,289.1827,5.1145,2.2615,81,81,100.0,2020057155459,288.38
MOD11A2,LST_Night_1km,A2000281,2000-10-07,275.38,278.38,22421.6992,3.0,276.8111,0.4223,0.6498,81,81,100.0,2020057155459,276.98
MOD11A2,LST_Day_1km,A2000289,2000-10-15,282.92,292.6,23145.0273,9.68,285.7411,2.9223,1.7095,81,81,100.0,2020058220808,284.36
MOD11A2,LST_Night_1km,A2000289,2000-10-15,276.32,280.36,22505.2188,4.04,277.8422,0.5449,0.7382,81,81,100.0,2020058220808,278.82
MOD11A2,LST_Day_1km,A2000297,2000-10-23,282.72,293.02,23142.6953,10.3,285.7123,4.9429,2.2233,81,81,100.0,2020059044018,285.66
MOD11A2,LST_Night_1km,A2000297,2000-10-23,275.08,278.54,22453.0156,3.46,277.1977,0.6118,0.7822,81,81,100.0,2020059044018,277.12
MOD11A2,LST_Day_1km,A2000305,2000-10-31,283.6,293.28,23282.6797,9.68,287.4405,5.0015,2.2364,81,81,100.0,2020059110417,286.7
MOD11A2,LST_Night_1km,A2000305,2000-10-31,278.66,281.16,22655.2598,2.5,279.6946,0.3246,0.5697,81,81,100.0,2020059110417,279.38
MOD11A2,LST_Day_1km,A2000313,2000-11-08,286.62,297.84,23651.7852,11.22,291.9973,3.0977,1.76,81,81,100.0,2020059190029,291.82
MOD11A2,LST_Night_1km,A2000313,2000-11-08,279.6,281.7,21583.2012,2.1,280.3013,0.2054,0.4532,81,77,95.06,2020059190029,280.04
MOD11A2,LST_Day_1km,A2000321,2000-11-16,289.44,297.26,23651.1367,7.82,291.9893,3.5566,1.8859,81,81,100.0,2020060014909,290.64
MOD11A2,LST_Night_1km,A2000321,2000-11-16,282.46,286.06,22991.9648,3.6,283.8514,0.566,0.7523,81,81,100.0,2020060014909,283.22
MOD11A2,LST_Day_1km,A2000329,2000-11-24,293.76,303.4,24010.4219,9.64,296.425,4.0381,2.0095,81,81,100.0,2020060091336,294.26
MOD11A2,LST_Night_1km,A2000329,2000-11-24,283.12,288.5,23067.1855,5.38,284.7801,0.6303,0.7939,81,81,100.0,2020060091336,284.52
MOD11A2,LST_Day_1km,A2000337,2000-12-02,291.44,302.44,23840.6562,11.0,294.3291,4.6454,2.1553,81,81,100.0,2020060154110,293.02
MOD11A2,LST_Night_1km,A2000337,2000-12-02,281.54,286.1,22992.0371,4.56,283.8523,0.8431,0.9182,81,81,100.0,2020060154110,283.46
MOD11A2,LST_Day_1km,A2000345,2000-12-10,295.86,305.46,24156.998,9.6,298.2346,4.7121,2.1707,81,81,100.0,2020079233605,296.38
MOD11A2,LST_Night_1km,A2000345,2000-12-10,285.36,289.22,23275.1152,3.86,287.3471,0.6917,0.8317,81,81,100.0,2020079233605,287.06
MOD11A2,LST_Day_1km,A2000353,2000-12-18,293.96,304.82,23974.0762,10.86,295.9763,4.3956,2.0966,81,81,100.0,2020080103754,294.44
MOD11A2,LST_Night_1km,A2000353,2000-12-18,283.6,287.16,23123.2012,3.56,285.4716,0.6449,0.803,81,81,100.0,2020080103754,285.38
MOD11A2,LST_Day_1km,A2000361,2000-12-26,291.52,302.32,23791.7012,10.8,293.7247,5.1196,2.2627,81,81,100.0,2020081205228,292.08
MOD11A2,LST_Night_1km,A2000361,2000-12-26,280.48,283.14,22825.4199,2.66,281.7953,0.2898,0.5383,81,81,100.0,2020081205228,281.72
MOD11A2,LST_Day_1km,A2001001,2001-01-01,294.96,303.62,24138.1621,8.66,298.002,3.8894,1.9722,81,81,100.0,2020082064555,296.34
MOD11A2,LST_Night_1km,A2001001,2001-01-01,282.5,288.66,23172.8789,6.16,286.0849,1.4332,1.1972,81,81,100.0,2020082064555,286.3
MOD11A2,LST_Day_1km,A2001009,2001-01-09,291.9,304.36,24035.5156,12.46,296.7348,7.0622,2.6575,81,81,100.0,2020083010145,296.46
MOD11A2,LST_Night_1km,A2001009,2001-01-09,285.86,289.88,23323.8242,4.02,287.9485,0.6066,0.7788,81,81,100.0,2020083010145,287.68
MOD11A2,LST_Day_1km,A2001017,2001-01-17,295.16,303.5,24161.6992,8.34,298.2926,4.6945,2.1667,81,81,100.0,2020083140325,296.8
MOD11A2,LST_Night_1km,A2001017,2001-01-17,285.76,288.46,23224.4238,2.7,286.7213,0.5447,0.738,81,81,100.0,2020083140325,286.06
MOD11A2,LST_Day_1km,A2001025,2001-01-25,293.96,299.8,23946.8984,5.84,295.6407,2.3538,1.5342,81,81,100.0,2020084010101,294.54
MOD11A2,LST_Night_1km,A2001025,2001-01-25,285.22,287.88,23207.2031,2.66,286.5087,0.2963,0.5444,81,81,100.0,2020084010101,286.26
MOD11A2,LST_Day_1km,A2001033,2001-02-02,294.5,302.8,23474.8613,8.3,297.1501,4.586,2.1415,81,79,97.53,2020084101718,296.1
MOD11A2,LST_Night_1km,A2001033,2001-02-02,287.14,290.26,23361.2383,3.12,288.4103,0.6072,0.7792,81,81,100.0,2020084101718,287.94
MOD11A2,LST_Day_1km,A2001041,2001-02-10,291.68,298.88,23823.543,7.2,294.1178,3.1448,1.7734,81,81,100.0,2020086023928,292
MOD11A2,LST_Night_1km,A2001041,2001-02-10,284.18,287.54,23151.0195,3.36,285.8151,0.5048,0.7105,81,81,100.0,2020086023928,285.52
MOD11A2,LST_Day_1km,A2001049,2001-02-18,293.08,300.2,23958.5,7.12,295.7839,2.6175,1.6179,81,81,100.0,2020086102403,293.42
MOD11A2,LST_Night_1km,A2001049,2001-02-18,284.42,288.72,23204.9004,4.3,286.4803,0.9156,0.9569,81,81,100.0,2020086102403,285.94
MOD11A2,LST_Day_1km,A2001057,2001-02-26,292.78,298.76,23877.0195,5.98,294.778,2.2573,1.5024,81,81,100.0,2020086181728,293.56
MOD11A2,LST_Night_1km,A2001057,2001-02-26,285.28,288.02,23208.9551,2.74,286.5303,0.4047,0.6362,81,81,100.0,2020086181728,286.18
MOD11A2,LST_Day_1km,A2001065,2001-03-06,290.7,297.66,23731.8223,6.96,292.9855,3.3334,1.8258,81,81,100.0,2020087054743,291.44
MOD11A2,LST_Night_1km,A2001065,2001-03-06,282.58,285.88,23036.7773,3.3,284.4047,0.457,0.676,81,81,100.0,2020087054743,284.24
MOD11A2,LST_Day_1km,A2001073,2001-03-14,286.58,296.74,23316.2637,10.16,291.4533,4.4876,2.1184,81,80,98.77,2020087135656,290.64
MOD11A2,LST_Night_1km,A2001073,2001-03-14,282.18,284.98,22972.8848,2.8,283.6159,0.4501,0.6709,81,81,100.0,2020087135656,283.26
MOD11A2,LST_Day_1km,A2001081,2001-03-22,286.0,291.3,23302.418,5.3,287.6842,1.4332,1.1972,81,81,100.0,2020087232036,286.54
MOD11A2,LST_Night_1km,A2001081,2001-03-22,277.76,281.86,22675.5605,4.1,279.9452,0.4678,0.684,81,81,100.0,2020087232036,279.62
MOD11A2,LST_Day_1km,A2001089,2001-03-30,289.64,294.26,23585.377,4.62,291.1775,1.4049,1.1853,81,81,100.0,2020088085252,290.06
