product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.85,0.91,37.84,0.06,0.88,0.0003,0.0173,289,43,14.88,2020041210828,F
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.2,0.9,239.0001,0.7,0.8505,0.0028,0.0533,289,281,97.23,2020037221649,0.85
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.42,0.89,217.56,0.47,0.8148,0.0022,0.047,289,267,92.39,2020038182455,0.8
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.13,0.89,184.9,0.76,0.8218,0.0063,0.0792,289,225,77.85,2020040192641,0.85
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.37,0.89,179.2799,0.52,0.8112,0.0038,0.0617,289,221,76.47,2020040192650,0.83
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.06,0.9,232.5098,0.84,0.8274,0.0093,0.0967,289,281,97.23,2020041212553,0.9
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.06,0.89,119.75,0.83,0.7128,0.029,0.1703,289,168,58.13,2020041042002,0.79
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.19,0.9,160.0799,0.71,0.847,0.0117,0.1081,289,189,65.4,2020041072656,F
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.74,0.9,124.9201,0.16,0.8615,0.002,0.0445,289,145,50.17,2020041221651,0.9
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.3,0.9,235.3895,0.6,0.8783,0.0041,0.064,289,268,92.73,2020042020434,0.9
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.08,0.9,76.22,0.82,0.7057,0.0389,0.1972,289,108,37.37,2020042171102,F
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.45,0.9,130.23,0.45,0.7616,0.0033,0.057,289,171,59.17,2020042225448,0.72
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.08,0.23,2.72,0.15,0.1183,0.0012,0.0345,289,23,7.96,2020043014828,F
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.7,0.9,214.0401,0.2,0.8527,0.0024,0.0488,289,251,86.85,2020045220244,0.9
MOD15A2H,Fpar_500m,A2000161,2000-06-09,0.56,0.9,202.3001,0.34,0.8125,0.0052,0.072,289,249,86.16,2020046020642,0.9
MOD15A2H,Fpar_500m,A2000169,2000-06-17,0.08,0.9,217.3198,0.82,0.8391,0.0233,0.1525,289,259,89.62,2020047235920,0.9
MOD15A2H,Fpar_500m,A2000177,2000-06-25,0.08,0.9,142.23,0.82,0.7331,0.0422,0.2055,289,194,67.13,2020048052454,0.86
MOD15A2H,Fpar_500m,A2000185,2000-07-03,0.08,0.9,183.5298,0.82,0.8085,0.026,0.1612,289,227,78.55,2020048082503,0.9
MOD15A2H,Fpar_500m,A2000193,2000-07-11,0.58,0.9,178.0401,0.32,0.7913,0.004,0.0631,289,225,77.85,2020051203821,F
MOD15A2H,Fpar_500m,A2000201,2000-07-19,0.08,0.9,128.31,0.82,0.807,0.0177,0.1331,289,159,55.02,2020048200244,0.88
MOD15A2H,Fpar_500m,A2000209,2000-07-27,0.66,0.9,243.79,0.24,0.8645,0.0023,0.0475,289,282,97.58,2020048230806,0.86
MOD15A2H,Fpar_500m,A2000217,2000-08-04,0.48,0.87,112.95,0.39,0.7287,0.0051,0.0713,289,155,53.63,2020049000514,0.75
MOD15A2H,Fpar_500m,A2000225,2000-08-12,0.7,0.84,4.57,0.14,0.7617,0.0031,0.0558,289,6,2.08,2020049163013,F
MOD15A2H,Fpar_500m,A2000233,2000-08-20,0.06,0.71,14.88,0.65,0.2255,0.0263,0.1623,289,66,22.84,2020050214255,F
MOD15A2H,Fpar_500m,A2000241,2000-08-28,0.06,0.89,113.58,0.83,0.6381,0.055,0.2346,289,178,61.59,2020051032457,F
MOD15A2H,Fpar_500m,A2000249,2000-09-05,0.06,0.89,209.35,0.83,0.8146,0.0135,0.1163,289,257,88.93,2020051064641,0.88
MOD15A2H,Fpar_500m,A2000257,2000-09-13,0.39,0.88,226.69,0.49,0.7982,0.0039,0.0628,289,284,98.27,2020051182658,0.81
MOD15A2H,Fpar_500m,A2000265,2000-09-21,0.58,0.87,216.9301,0.29,0.7803,0.0025,0.0496,289,278,96.19,2020052002622,0.77
MOD15A2H,Fpar_500m,A2000273,2000-09-29,0.4,0.85,219.16,0.45,0.7744,0.0037,0.0611,289,283,97.92,2020052034513,0.78
MOD15A2H,Fpar_500m,A2000281,2000-10-07,0.28,0.86,218.2902,0.58,0.7553,0.0054,0.0735,289,289,100.0,2020052174435,0.76
MOD15A2H,Fpar_500m,A2000289,2000-10-15,0.11,0.89,198.78,0.78,0.7049,0.0232,0.1523,289,282,97.58,2020052225604,0.67
MOD15A2H,Fpar_500m,A2000297,2000-10-23,0.05,0.83,148.2701,0.78,0.5815,0.0156,0.1249,289,255,88.24,2020053015016,0.63
MOD15A2H,Fpar_500m,A2000305,2000-10-31,0.35,0.89,219.9099,0.54,0.7743,0.0041,0.0642,289,284,98.27,2020055201948,0.83
MOD15A2H,Fpar_500m,A2000313,2000-11-08,0.31,0.86,190.1001,0.55,0.6624,0.0054,0.0737,289,287,99.31,2020056073837,0.66
MOD15A2H,Fpar_500m,A2000321,2000-11-16,0.05,0.89,175.7801,0.84,0.7234,0.0417,0.2042,289,243,84.08,2020056160834,0.81
MOD15A2H,Fpar_500m,A2000329,2000-11-24,0.42,0.9,234.0201,0.48,0.8098,0.0024,0.0489,289,289,100.0,2020056200206,0.81
MOD15A2H,Fpar_500m,A2000337,2000-12-02,0.55,0.9,224.3101,0.35,0.7762,0.0095,0.0973,289,289,100.0,2020057060838,0.81
MOD15A2H,Fpar_500m,A2000345,2000-12-10,0.61,0.9,239.8202,0.29,0.8298,0.0017,0.0415,289,289,100.0,2020057110021,0.82
MOD15A2H,Fpar_500m,A2000353,2000-12-18,0.42,0.9,245.9803,0.48,0.8511,0.0031,0.0554,289,289,100.0,2020057142714,0.85
MOD15A2H,Fpar_500m,A2000361,2000-12-26,0.63,0.9,246.1503,0.27,0.8517,0.001,0.0318,289,289,100.0,2020058220012,0.85
MOD15A2H,Fpar_500m,A2001001,2001-01-01,0.38,0.9,233.09,0.52,0.8093,0.0053,0.0731,289,288,99.65,2020059013120,0.8
MOD15A2H,Fpar_500m,A2001009,2001-01-09,0.43,0.89,236.7702,0.46,0.8193,0.0049,0.07,289,289,100.0,2020062010129,0.84
MOD15A2H,Fpar_500m,A2001017,2001-01-17,0.65,0.9,251.1501,0.25,0.869,0.0006,0.0249,289,289,100.0,2020062021622,0.86
MOD15A2H,Fpar_500m,A2001025,2001-01-25,0.21,0.9,211.9,0.69,0.8181,0.0169,0.13,289,259,89.62,2020062031923,F
MOD15A2H,Fpar_500m,A2001033,2001-02-02,0.05,0.9,152.51,0.85,0.7093,0.0276,0.1662,289,215,74.39,2020064200431,0.71
MOD15A2H,Fpar_500m,A2001041,2001-02-10,0.49,0.9,247.2401,0.41,0.8675,0.0014,0.0373,289,285,98.62,2020062041914,0.87
MOD15A2H,Fpar_500m,A2001049,2001-02-18,0.74,0.9,242.3801,0.16,0.8687,0.0008,0.0284,289,279,96.54,2020062050904,0.88
MOD15A2H,Fpar_500m,A2001057,2001-02-26,0.31,0.9,231.7199,0.59,0.8646,0.0027,0.052,289,268,92.73,2020062060520,0.89
MOD15A2H,Fpar_500m,A2001065,2001-03-06,0.61,0.91,248.21,0.3,0.8802,0.0007,0.026,289,282,97.58,2020062065520,0.88
MOD15A2H,Fpar_500m,A2001073,2001-03-14,0.06,0.9,155.19,0.84,0.7497,0.031,0.176,289,207,71.63,2020062080214,0.86
MOD15A2H,Fpar_500m,A2001081,2001-03-22,0.06,0.9,158.9,0.84,0.8107,0.0173,0.1314,289,196,67.82,2020062093934,0.85
MOD15A2H,Fpar_500m,A2001089,2001-03-30,0.5,0.9,160.7899,0.4,0.8507,0.0016,0.0395,289,189,65.4,2020062103557,0.84
MOD15A2H,Fpar_500m,A2001097,2001-04-07,0.73,0.9,206.4701,0.17,0.8567,0.0024,0.0489,289,241,83.39,2020062111637,0.89
MOD15A2H,Fpar_500m,A2001105,2001-04-15,0.67,0.9,230.1099,0.23,0.8783,0.0017,0.0414,289,262,90.66,2020062115216,0.9
MOD15A2H,Fpar_500m,A2001113,2001-04-23,0.48,0.9,143.9,0.42,0.8465,0.0042,0.0646,289,170,58.82,2020062122408,0.9
MOD15A2H,Fpar_500m,A2001121,2001-05-01,0.08,0.9,162.7701,0.82,0.7299,0.0359,0.1895,289,223,77.16,2020062125911,0.9
MOD15A2H,Fpar_500m,A2001129,2001-05-09,0.16,0.9,174.2599,0.74,0.8627,0.0048,0.069,289,202,69.9,2020062132443,0.9
MOD15A2H,Fpar_500m,A2001137,2001-05-17,0.08,0.9,111.15,0.82,0.8295,0.0119,0.109,289,134,46.37,2020062140123,F
MOD15A2H,Fpar_500m,A2001145,2001-05-25,0.4,0.9,169.11,0.5,0.829,0.0049,0.0702,289,204,70.59,2020062143515,0.89
MOD15A2H,Fpar_500m,A2001153,2001-06-02,0.08,0.9,140.5801,0.82,0.8572,0.0223,0.1493,289,164,56.75,2020062150855,0.9
MOD15A2H,Fpar_500m,A2001161,2001-06-10,0.16,0.9,98.12,0.74,0.7913,0.0172,0.1313,289,124,42.91,2020062153059,F
MOD15A2H,Fpar_500m,A2001185,2001-07-04,0.08,0.9,138.04,0.82,0.7304,0.0423,0.2057,289,189,65.4,2020062160834,0.83
MOD15A2H,Fpar_500m,A2001193,2001-07-12,0.08,0.88,13.43,0.8,0.4332,0.1133,0.3366,289,31,10.73,2020062164318,F
MOD15A2H,Fpar_500m,A2001201,2001-07-20,0.68,0.9,146.45,0.22,0.8182,0.0039,0.0625,289,179,61.94,2020062222123,F
MOD15A2H,Fpar_500m,A2001209,2001-07-28,0.66,0.9,101.32,0.24,0.8305,0.0041,0.0644,289,122,42.21,2020063054218,0.88
MOD15A2H,Fpar_500m,A2001217,2001-08-05,0.08,0.9,52.88,0.82,0.6528,0.0526,0.2293,289,81,28.03,2020063103359,F
