product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.85,0.91,37.84,0.06,0.88,0.0003,0.0173,289,43,14.88,2020041210828,F
MOD15A2H,Lai_500m,A2000049,2000-02-18,4.1,6.9,224.5,2.8,5.2209,0.6951,0.8338,289,43,14.88,2020041210828,F
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.2,0.9,239.0001,0.7,0.8505,0.0028,0.0533,289,281,97.23,2020037221649,0.85
MOD15A2H,Lai_500m,A2000057,2000-02-26,0.4,5.8,1229.5996,5.4,4.3758,0.494,0.7029,289,281,97.23,2020037221649,4.1
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.42,0.89,217.56,0.47,0.8148,0.0022,0.047,289,267,92.39,2020038182455,0.8
MOD15A2H,Lai_500m,A2000065,2000-03-05,1.0,5.7,999.4998,4.7,3.7434,0.4443,0.6666,289,267,92.39,2020038182455,3.3
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.13,0.89,184.9,0.76,0.8218,0.0063,0.0792,289,225,77.85,2020040192641,0.85
MOD15A2H,Lai_500m,A2000073,2000-03-13,0.2,5.7,858.0005,5.5,3.8133,0.5297,0.7278,289,225,77.85,2020040192641,4.1
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.37,0.89,179.2799,0.52,0.8112,0.0038,0.0617,289,221,76.47,2020040192650,0.83
MOD15A2H,Lai_500m,A2000081,2000-03-21,0.9,5.6,802.7001,4.7,3.6321,0.6528,0.8079,289,221,76.47,2020040192650,3.7
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.06,0.9,232.5098,0.84,0.8274,0.0093,0.0967,289,281,97.23,2020041212553,0.9
MOD15A2H,Lai_500m,A2000089,2000-03-29,0.1,6.9,1225.9009,6.8,4.3626,2.4927,1.5788,289,281,97.23,2020041212553,6.9
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.06,0.89,119.75,0.83,0.7128,0.029,0.1703,289,168,58.13,2020041042002,0.79
MOD15A2H,Lai_500m,A2000097,2000-04-06,0.1,5.7,469.5,5.6,2.7946,1.1857,1.0889,289,168,58.13,2020041042002,3.2
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.19,0.9,160.0799,0.71,0.847,0.0117,0.1081,289,189,65.4,2020041072656,F
MOD15A2H,Lai_500m,A2000105,2000-04-14,0.3,6.9,942.0004,6.6,4.9841,3.4449,1.8561,289,189,65.4,2020041072656,F
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.74,0.9,124.9201,0.16,0.8615,0.002,0.0445,289,145,50.17,2020041221651,0.9
MOD15A2H,Lai_500m,A2000113,2000-04-22,2.0,6.9,708.4002,4.9,4.8855,3.9523,1.988,289,145,50.17,2020041221651,6.9
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.3,0.9,235.3895,0.6,0.8783,0.0041,0.064,289,268,92.73,2020042020434,0.9
MOD15A2H,Lai_500m,A2000121,2000-04-30,0.5,6.9,1523.201,6.4,5.6836,2.0598,1.4352,289,268,92.73,2020042020434,6.6
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.08,0.9,76.22,0.82,0.7057,0.0389,0.1972,289,108,37.37,2020042171102,F
MOD15A2H,Lai_500m,A2000129,2000-05-08,0.1,6.9,298.3999,6.8,2.763,3.8499,1.9621,289,108,37.37,2020042171102,F
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.45,0.9,130.23,0.45,0.7616,0.0033,0.057,289,171,59.17,2020042225448,0.72
MOD15A2H,Lai_500m,A2000137,2000-05-16,0.9,6.9,414.4999,6.0,2.424,0.9849,0.9924,289,171,59.17,2020042225448,1.9
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.08,0.23,2.72,0.15,0.1183,0.0012,0.0345,289,23,7.96,2020043014828,F
MOD15A2H,Lai_500m,A2000145,2000-05-24,0.1,0.4,3.7,0.3,0.1609,0.005,0.0706,289,23,7.96,2020043014828,F
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.7,0.9,214.0401,0.2,0.8527,0.0024,0.0488,289,251,86.85,2020045220244,0.9
MOD15A2H,Lai_500m,A2000153,2000-06-01,1.8,6.9,1045.3,5.1,4.1645,2.1673,1.4722,289,251,86.85,2020045220244,6.9
MOD15A2H,Fpar_500m,A2000161,2000-06-09,0.56,0.9,202.3001,0.34,0.8125,0.0052,0.072,289,249,86.16,2020046020642,0.9
MOD15A2H,Lai_500m,A2000161,2000-06-09,1.1,6.9,821.8997,5.8,3.3008,2.1704,1.4732,289,249,86.16,2020046020642,6.5
MOD15A2H,Fpar_500m,A2000169,2000-06-17,0.08,0.9,217.3198,0.82,0.8391,0.0233,0.1525,289,259,89.62,2020047235920,0.9
MOD15A2H,Lai_500m,A2000169,2000-06-17,0.1,6.9,1336.2007,6.8,5.1591,3.7189,1.9285,289,259,89.62,2020047235920,6.2
MOD15A2H,Fpar_500m,A2000177,2000-06-25,0.08,0.9,142.23,0.82,0.7331,0.0422,0.2055,289,194,67.13,2020048052454,0.86
MOD15A2H,Lai_500m,A2000177,2000-06-25,0.1,6.8,511.2999,6.7,2.6356,1.5644,1.2507,289,194,67.13,2020048052454,3.4
MOD15A2H,Fpar_500m,A2000185,2000-07-03,0.08,0.9,183.5298,0.82,0.8085,0.026,0.1612,289,227,78.55,2020048082503,0.9
MOD15A2H,Lai_500m,A2000185,2000-07-03,0.1,6.9,1060.9004,6.8,4.6736,5.4566,2.3359,289,227,78.55,2020048082503,6.6
MOD15A2H,Fpar_500m,A2000193,2000-07-11,0.58,0.9,178.0401,0.32,0.7913,0.004,0.0631,289,225,77.85,2020051203821,F
MOD15A2H,Lai_500m,A2000193,2000-07-11,1.2,6.9,657.9996,5.7,2.9244,2.0143,1.4193,289,225,77.85,2020051203821,F
MOD15A2H,Fpar_500m,A2000201,2000-07-19,0.08,0.9,128.31,0.82,0.807,0.0177,0.1331,289,159,55.02,2020048200244,0.88
MOD15A2H,Lai_500m,A2000201,2000-07-19,0.1,6.9,598.1001,6.8,3.7616,3.1214,1.7667,289,159,55.02,2020048200244,4.8
MOD15A2H,Fpar_500m,A2000209,2000-07-27,0.66,0.9,243.79,0.24,0.8645,0.0023,0.0475,289,282,97.58,2020048230806,0.86
MOD15A2H,Lai_500m,A2000209,2000-07-27,1.5,6.9,1361.3004,5.4,4.8273,3.0131,1.7358,289,282,97.58,2020048230806,3.6
MOD15A2H,Fpar_500m,A2000217,2000-08-04,0.48,0.87,112.95,0.39,0.7287,0.0051,0.0713,289,155,53.63,2020049000514,0.75
MOD15A2H,Lai_500m,A2000217,2000-08-04,0.9,4.0,316.1,3.1,2.0394,0.1977,0.4447,289,155,53.63,2020049000514,2.1
MOD15A2H,Fpar_500m,A2000225,2000-08-12,0.7,0.84,4.57,0.14,0.7617,0.0031,0.0558,289,6,2.08,2020049163013,F
MOD15A2H,Lai_500m,A2000225,2000-08-12,1.8,3.1,13.7,1.3,2.2833,0.2447,0.4947,289,6,2.08,2020049163013,F
MOD15A2H,Fpar_500m,A2000233,2000-08-20,0.06,0.71,14.88,0.65,0.2255,0.0263,0.1623,289,66,22.84,2020050214255,F
MOD15A2H,Lai_500m,A2000233,2000-08-20,0.1,2.4,34.6,2.3,0.5242,0.2637,0.5135,289,66,22.84,2020050214255,F
MOD15A2H,Fpar_500m,A2000241,2000-08-28,0.06,0.89,113.58,0.83,0.6381,0.055,0.2346,289,178,61.59,2020051032457,F
MOD15A2H,Lai_500m,A2000241,2000-08-28,0.1,5.5,431.9,5.4,2.4264,1.8928,1.3758,289,178,61.59,2020051032457,F
MOD15A2H,Fpar_500m,A2000249,2000-09-05,0.06,0.89,209.35,0.83,0.8146,0.0135,0.1163,289,257,88.93,2020051064641,0.88
