product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD16A2GF,LE_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256103450,F
MOD16A2GF,LE_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256130645,F
MOD16A2GF,LE_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256151926,F
MOD16A2GF,LE_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256174426,F
MOD16A2GF,LE_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256201613,F
MOD16A2GF,LE_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256222400,F
MOD16A2GF,LE_500m,A2000049,2000-02-18,5980000.0,10290000.0,283220000.0,4310000.0,9136129.0,834281865216.0,913390.3125,289,31,10.73,2020257002255,F
MOD16A2GF,LE_500m,A2000057,2000-02-26,4440000.0,10580000.0,2544499968.0,6140000.0,9087500.0,743772192768.0,862422.3125,289,280,96.89,2020257024716,8820000
MOD16A2GF,LE_500m,A2000065,2000-03-05,2860000.0,8450000.0,1743169664.0,5590000.0,6553269.5,455770112000.0,675107.5,289,266,92.04,2020257064341,6140000
MOD16A2GF,LE_500m,A2000073,2000-03-13,3000000.0,8380000.0,1497700224.0,5380000.0,6870184.5,635836497920.0,797393.5625,289,218,75.43,2020257093003,7150000
MOD16A2GF,LE_500m,A2000081,2000-03-21,2180000.0,7790000.0,1287070208.0,5610000.0,6042583.0,726412492800.0,852298.375,289,213,73.7,2020257114305,6230000
MOD16A2GF,LE_500m,A2000089,2000-03-29,3240000.0,7910000.0,1703750144.0,4670000.0,6263787.5,1031493976064.0,1015624.9375,289,272,94.12,2020257141506,7800000
MOD16A2GF,LE_500m,A2000097,2000-04-06,2070000.0,7180000.0,692140224.0,5110000.0,4553554.0,641382023168.0,800863.3125,289,152,52.6,2020257165639,4740000
MOD16A2GF,LE_500m,A2000105,2000-04-14,2300000.0,5900000.0,846619968.0,3600000.0,4980117.5,787731775488.0,887542.5625,289,170,58.82,2020257191304,F
MOD16A2GF,LE_500m,A2000113,2000-04-22,2920000.0,6220000.0,725600128.0,3300000.0,5004139.0,1392727687168.0,1180138.875,289,145,50.17,2020257214334,6160000
MOD16A2GF,LE_500m,A2000121,2000-04-30,2150000.0,4770000.0,1105350144.0,2620000.0,4202852.5,347687223296.0,589650.0625,289,263,91.0,2020257234524,4540000
MOD16A2GF,LE_500m,A2000129,2000-05-08,2010000.0,4270000.0,239860000.0,2260000.0,2961234.5,627731726336.0,792295.25,289,81,28.03,2020258031130,F
MOD16A2GF,LE_500m,A2000137,2000-05-16,1870000.0,3760000.0,458589952.0,1890000.0,2729702.0,439270866944.0,662775.125,289,168,58.13,2020258065503,3690000
MOD16A2GF,LE_500m,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020258100600,F
