MOD21A2.A2000049.h30v12.006.2020041212514.LST_Night_1KM,MOD21A2,A2000049,Lat-35.6566Lon148.1517Samp9Line9,2020041212514,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD21A2.A2000057.h30v12.006.2020037222620.LST_Night_1KM,MOD21A2,A2000057,Lat-35.6566Lon148.1517Samp9Line9,2020037222620,290.7,290.16,289.42,288.6,288.86,288.36,288.36,288.2,287.92,290.4,289.0,288.72,288.62,288.3,288.46,287.9,287.68,287.62,289.72,288.84,289.08,289.44,289.16,288.06,287.58,287.7,287.7,289.56,289.74,289.52,288.96,288.42,287.58,287.34,287.38,287.6,289.52,289.32,288.8,287.96,287.16,286.82,286.92,287.54,287.5,288.92,288.54,287.7,287.32,286.94,286.52,286.84,286.76,286.88,288.42,287.74,287.04,286.98,286.5,286.48,287.36,286.96,287.96,286.48,285.74,285.72,286.46,286.52,287.38,287.7,287.92,287.36,285.78,286.48,287.04,287.34,287.6,287.54,287.52,286.54,287.38
MOD21A2.A2000065.h30v12.006.2020038181240.LST_Night_1KM,MOD21A2,A2000065,Lat-35.6566Lon148.1517Samp9Line9,2020038181240,285.06,285.06,283.96,282.74,285.12,283.48,284.12,283.84,283.96,286.6,285.72,283.36,283.04,284.26,284.26,284.14,283.8,284.26,284.72,283.36,284.48,285.94,283.98,283.76,284.12,283.92,284.04,283.26,284.46,285.4,285.02,285.16,284.38,284.24,285.52,285.52,284.66,286.72,286.26,285.88,283.94,284.14,285.02,284.6,284.2,286.02,286.38,284.82,284.82,283.78,283.36,283.56,283.64,283.6,286.24,285.06,284.9,282.94,282.8,282.84,283.12,283.44,284.64,283.52,283.0,282.5,283.42,283.88,284.98,285.8,285.28,284.72,282.1,283.52,284.32,284.68,285.4,285.68,283.56,283.44,285.76
MOD21A2.A2000073.h30v12.006.2020040195024.LST_Night_1KM,MOD21A2,A2000073,Lat-35.6566Lon148.1517Samp9Line9,2020040195024,286.26,285.82,285.14,284.34,284.58,284.34,284.56,284.56,284.56,286.5,287.3,286.48,284.58,284.18,285.6,283.78,284.46,284.46,284.22,284.24,284.46,286.32,286.32,284.14,284.94,285.12,285.3,283.98,287.48,286.76,285.74,285.62,285.64,284.22,285.62,285.02,287.46,286.56,286.24,284.9,283.06,283.08,284.92,285.02,284.2,286.56,285.98,285.62,284.82,283.98,283.76,282.88,283.34,282.8,285.9,285.04,284.02,284.02,282.9,282.76,283.94,283.94,285.96,283.4,281.3,281.12,281.66,284.68,285.02,285.74,285.74,284.84,281.02,282.2,283.9,284.68,286.06,285.8,282.9,283.7,283.7
MOD21A2.A2000081.h30v12.006.2020040195142.LST_Night_1KM,MOD21A2,A2000081,Lat-35.6566Lon148.1517Samp9Line9,2020040195142,284.02,283.6,283.02,282.16,282.36,281.06,281.4,281.36,281.28,283.82,283.08,282.72,281.1,281.08,282.26,281.4,281.6,281.64,282.68,282.06,282.74,282.92,282.44,282.24,282.06,282.02,282.14,281.94,282.42,282.26,282.88,281.66,281.56,281.72,281.52,281.32,282.34,281.68,281.8,281.3,281.36,281.18,280.9,280.76,280.86,281.66,281.94,281.56,281.4,280.62,280.46,280.44,280.24,280.22,281.92,281.92,281.36,280.48,280.06,279.7,280.34,280.34,280.6,280.5,280.56,279.86,279.58,280.18,280.58,280.42,280.9,280.68,279.54,279.98,279.88,280.14,280.34,280.32,280.88,280.6,280.86
MOD21A2.A2000089.h30v12.006.2020041214954.LST_Night_1KM,MOD21A2,A2000089,Lat-35.6566Lon148.1517Samp9Line9,2020041214954,282.8,282.4,281.3,280.92,281.82,281.6,281.46,281.46,281.96,283.4,281.44,281.46,280.58,280.8,282.04,282.04,281.9,282.22,282.0,281.42,280.32,280.4,282.3,282.4,281.98,282.2,282.16,281.22,280.98,281.16,282.62,282.2,281.72,282.08,281.9,281.7,281.34,281.0,282.26,281.62,281.02,281.64,281.62,281.68,281.14,280.68,280.02,279.78,281.18,281.5,281.1,281.1,280.92,280.6,279.76,279.74,281.08,281.04,280.0,280.72,280.62,281.34,281.7,278.98,278.64,278.54,280.22,281.24,281.48,281.56,281.72,281.54,278.62,278.62,280.14,280.46,281.74,281.4,281.64,281.3,282.56
MOD21A2.A2000097.h30v12.006.2020041043028.LST_Night_1KM,MOD21A2,A2000097,Lat-35.6566Lon148.1517Samp9Line9,2020041043028,283.5,283.1,282.36,281.46,281.3,280.76,281.04,280.86,280.92,283.3,282.4,281.94,280.66,280.98,281.06,281.04,280.76,280.84,281.94,281.62,281.4,282.14,281.56,280.82,280.9,280.96,281.06,282.2,282.62,282.74,281.9,281.4,280.86,280.8,281.08,281.14,283.06,282.52,281.78,281.3,280.46,280.36,280.12,280.26,280.28,282.4,281.54,281.2,280.84,280.14,279.66,279.74,279.68,279.3,281.3,280.94,280.46,279.14,278.9,278.84,279.2,280.18,280.5,279.54,279.2,278.28,278.64,279.76,280.28,280.88,280.8,280.86,278.24,278.84,279.66,280.56,280.94,280.94,280.34,280.28,282.16
MOD21A2.A2000105.h30v12.006.2020041073337.LST_Night_1KM,MOD21A2,A2000105,Lat-35.6566Lon148.1517Samp9Line9,2020041073337,278.68,276.3,276.92,276.92,276.86,276.4,276.32,276.48,276.58,278.06,277.24,276.88,276.44,276.44,276.52,276.6,276.62,277.28,277.1,276.0,276.66,276.8,276.64,277.42,277.26,277.58,277.74,276.7,277.18,276.98,276.86,277.46,277.2,277.3,277.28,277.14,278.78,278.38,278.06,277.34,276.68,276.6,276.6,276.86,277.18,277.78,277.26,277.02,276.86,276.38,276.46,276.94,276.88,276.64,277.18,276.92,276.2,276.18,276.16,276.4,276.74,277.24,277.9,276.1,274.74,275.02,275.96,276.3,276.62,277.58,278.0,278.06,274.74,274.7,275.5,276.16,276.64,277.7,277.72,277.82,278.32
MOD21A2.A2000113.h30v12.006.2020041223114.LST_Night_1KM,MOD21A2,A2000113,Lat-35.6566Lon148.1517Samp9Line9,2020041223114,278.3,278.24,278.2,278.2,277.44,277.86,277.12,277.02,277.0,278.6,278.08,277.2,276.8,278.06,278.9,277.04,276.96,277.04,278.06,277.86,278.88,279.36,277.98,276.8,277.06,277.04,277.46,279.0,280.14,278.44,277.76,277.7,277.34,276.6,276.96,276.74,280.0,279.46,277.96,276.98,276.36,275.8,277.64,277.52,277.44,279.26,278.98,278.02,277.7,277.62,277.04,275.38,276.44,276.02,278.88,276.58,275.6,275.6,274.84,275.56,277.76,278.16,278.08,277.2,276.7,275.0,275.62,278.7,278.82,276.6,276.66,277.56,277.46,277.58,278.22,278.86,279.32,278.0,275.74,275.66,277.3
MOD21A2.A2000121.h30v12.006.2020042021543.LST_Night_1KM,MOD21A2,A2000121,Lat-35.6566Lon148.1517Samp9Line9,2020042021543,282.06,281.72,281.72,276.68,276.68,275.66,276.48,281.8,281.8,282.46,280.84,276.5,275.98,280.28,280.52,281.88,281.72,279.88,281.72,280.3,280.58,280.72,281.62,281.4,281.22,280.8,280.8,282.98,282.38,282.32,281.9,281.54,280.3,279.98,280.18,279.98,281.0,280.78,281.6,281.24,278.92,278.76,278.58,279.58,279.82,280.18,279.62,279.44,279.18,278.78,278.5,279.66,279.56,278.42,279.62,279.2,279.02,278.7,278.16,278.92,279.14,278.78,278.98,277.72,278.46,278.18,277.72,278.18,278.48,279.22,279.5,279.26,276.92,277.76,278.2,278.52,279.0,279.0,278.9,278.6,279.8
MOD21A2.A2000129.h30v12.006.2020042173320.LST_Night_1KM,MOD21A2,A2000129,Lat-35.6566Lon148.1517Samp9Line9,2020042173320,276.46,276.48,275.54,275.54,275.1,F,F,F,F,F,F,F,275.2,F,275.42,F,277.0,277.2,F,F,F,F,F,F,F,275.52,F,F,F,276.12,275.44,275.44,273.8,276.84,275.16,277.6,F,277.54,276.12,275.44,276.32,276.34,277.22,277.28,277.28,F,F,F,276.36,274.08,275.7,275.74,275.78,277.32,275.3,275.3,276.7,275.82,274.56,274.4,275.08,273.98,276.92,271.7,271.7,273.28,274.88,274.48,275.12,276.06,276.98,276.66,273.24,274.14,275.82,275.92,276.0,276.06,276.16,276.02,276.38
