product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD21A2,LST_Night_1KM,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020041212514,F
MOD21A2,LST_Night_1KM,A2000057,2000-02-26,285.72,290.7,23318.5605,4.98,287.8835,1.1943,1.0928,81,81,100.0,2020037222620,287.16
MOD21A2,LST_Night_1KM,A2000065,2000-03-05,282.1,286.72,23034.998,4.62,284.3827,1.0505,1.0249,81,81,100.0,2020038181240,283.94
MOD21A2,LST_Night_1KM,A2000073,2000-03-13,281.02,287.48,23057.7578,6.46,284.6637,1.9304,1.3894,81,81,100.0,2020040195024,283.06
MOD21A2,LST_Night_1KM,A2000081,2000-03-21,279.54,284.02,22790.7793,4.48,281.3676,1.009,1.0045,81,81,100.0,2020040195142,281.36
MOD21A2,LST_Night_1KM,A2000089,2000-03-29,278.54,283.4,22778.959,4.86,281.2217,0.9398,0.9694,81,81,100.0,2020041214954,281.02
MOD21A2,LST_Night_1KM,A2000097,2000-04-06,278.24,283.5,22749.7148,5.26,280.8607,1.3074,1.1434,81,81,100.0,2020041043028,280.46
MOD21A2,LST_Night_1KM,A2000105,2000-04-14,274.7,278.78,22428.1406,4.08,276.8906,0.6378,0.7986,81,81,100.0,2020041073337,276.68
MOD21A2,LST_Night_1KM,A2000113,2000-04-22,274.84,280.14,22476.918,5.3,277.4928,1.2918,1.1366,81,81,100.0,2020041223114,276.36
MOD21A2,LST_Night_1KM,A2000121,2000-04-30,275.66,282.98,22652.9434,7.32,279.666,2.6918,1.6407,81,81,100.0,2020042021543,278.92
MOD21A2,LST_Night_1KM,A2000129,2000-05-08,271.7,277.6,15987.042,5.9,275.6386,1.6201,1.2728,81,58,71.6,2020042173320,276.32
MOD21A2,LST_Night_1KM,A2000137,2000-05-16,272.5,276.56,22272.6406,4.06,274.9709,0.8398,0.9164,81,81,100.0,2020042231122,274.92
