product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Lai_500m,A2000049,2000-02-18,0.1,0.9,116.7,0.8,0.4038,0.0392,0.198,289,289,100.0,2020041210522,0.6
MOD15A2H,Lai_500m,A2000057,2000-02-26,0.2,1.5,205.6999,1.3,0.7118,0.0881,0.2968,289,289,100.0,2020037221808,1
MOD15A2H,Lai_500m,A2000065,2000-03-05,0.3,1.2,187.4001,0.9,0.6484,0.0639,0.2527,289,289,100.0,2020038182640,1.1
MOD15A2H,Lai_500m,A2000073,2000-03-13,0.2,2.4,210.2,2.2,0.7273,0.1545,0.3931,289,289,100.0,2020040193626,1.3
MOD15A2H,Lai_500m,A2000081,2000-03-21,0.3,1.0,180.9001,0.7,0.626,0.0499,0.2233,289,289,100.0,2020040193119,1
MOD15A2H,Lai_500m,A2000089,2000-03-29,0.3,1.9,203.1,1.6,0.7028,0.094,0.3067,289,289,100.0,2020041212200,1.4
MOD15A2H,Lai_500m,A2000097,2000-04-06,0.3,1.1,173.3001,0.8,0.5997,0.0422,0.2054,289,289,100.0,2020041042513,0.8
MOD15A2H,Lai_500m,A2000105,2000-04-14,0.3,1.1,182.7001,0.8,0.6322,0.0276,0.1661,289,289,100.0,2020041072817,0.7
MOD15A2H,Lai_500m,A2000113,2000-04-22,0.4,1.0,187.7,0.6,0.6495,0.0112,0.1059,289,289,100.0,2020041221450,0.8
MOD15A2H,Lai_500m,A2000121,2000-04-30,0.3,1.3,180.1001,1.0,0.6232,0.0199,0.1411,289,289,100.0,2020042015716,0.6
MOD15A2H,Lai_500m,A2000129,2000-05-08,0.6,1.8,272.4,1.2,0.9426,0.0438,0.2094,289,289,100.0,2020042172430,1.1
MOD15A2H,Lai_500m,A2000137,2000-05-16,0.5,2.5,258.0,2.0,0.8927,0.1231,0.3509,289,289,100.0,2020042225450,0.8
MOD15A2H,Lai_500m,A2000145,2000-05-24,0.1,2.5,251.1001,2.4,0.8842,0.1194,0.3455,289,284,98.27,2020043014831,0.8
MOD15A2H,Lai_500m,A2000153,2000-06-01,0.6,2.2,325.3002,1.6,1.1256,0.133,0.3647,289,289,100.0,2020045220713,1.1
MOD15A2H,Lai_500m,A2000161,2000-06-09,0.6,2.6,327.9001,2.0,1.1346,0.1942,0.4406,289,289,100.0,2020046020758,0.8
MOD15A2H,Lai_500m,A2000169,2000-06-17,0.4,3.0,321.3998,2.6,1.1121,0.2013,0.4486,289,289,100.0,2020048001930,0.8
MOD15A2H,Lai_500m,A2000177,2000-06-25,0.3,2.1,272.8,1.8,0.9439,0.1408,0.3752,289,289,100.0,2020048052634,0.7
MOD15A2H,Lai_500m,A2000185,2000-07-03,0.5,3.0,272.6001,2.5,0.9531,0.1361,0.3689,289,286,98.96,2020048083246,0.8
MOD15A2H,Lai_500m,A2000193,2000-07-11,0.3,3.2,314.5,2.9,1.0882,0.3489,0.5907,289,289,100.0,2020051203615,0.8
MOD15A2H,Lai_500m,A2000201,2000-07-19,0.3,6.2,332.8998,5.9,1.1519,0.4304,0.656,289,289,100.0,2020048200137,1
MOD15A2H,Lai_500m,A2000209,2000-07-27,0.4,6.7,343.3998,6.3,1.1882,0.4949,0.7035,289,289,100.0,2020048231133,0.7
MOD15A2H,Lai_500m,A2000217,2000-08-04,0.3,3.3,341.9999,3.0,1.1834,0.4067,0.6377,289,289,100.0,2020049000543,0.8
MOD15A2H,Lai_500m,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020049162250,F
MOD15A2H,Lai_500m,A2000233,2000-08-20,0.2,4.7,271.4999,4.5,1.0774,0.3135,0.5599,289,252,87.2,2020050212911,1.1
MOD15A2H,Lai_500m,A2000241,2000-08-28,0.4,6.5,461.3001,6.1,1.5962,1.5437,1.2425,289,289,100.0,2020051032658,0.9
MOD15A2H,Lai_500m,A2000249,2000-09-05,0.3,4.5,341.9,4.2,1.1913,0.425,0.6519,289,287,99.31,2020051064541,1.1
MOD15A2H,Lai_500m,A2000257,2000-09-13,0.6,6.7,499.0001,6.1,1.7266,1.4712,1.2129,289,289,100.0,2020051181111,1.3
MOD15A2H,Lai_500m,A2000265,2000-09-21,0.2,6.5,430.9998,6.3,1.523,1.0148,1.0074,289,283,97.92,2020052002956,1
