product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.05,0.28,46.0899,0.23,0.1595,0.0032,0.0562,289,289,100.0,2020041210522,0.22
MOD15A2H,Lai_500m,A2000049,2000-02-18,0.1,0.9,116.7,0.8,0.4038,0.0392,0.198,289,289,100.0,2020041210522,0.6
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.15,0.54,94.85,0.39,0.3282,0.0087,0.0933,289,289,100.0,2020037221808,0.42
MOD15A2H,Lai_500m,A2000057,2000-02-26,0.2,1.5,205.6999,1.3,0.7118,0.0881,0.2968,289,289,100.0,2020037221808,1
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.16,0.5,88.5199,0.34,0.3063,0.0069,0.0829,289,289,100.0,2020038182640,0.45
MOD15A2H,Lai_500m,A2000065,2000-03-05,0.3,1.2,187.4001,0.9,0.6484,0.0639,0.2527,289,289,100.0,2020038182640,1.1
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.13,0.75,94.5999,0.62,0.3273,0.014,0.1181,289,289,100.0,2020040193626,0.5
MOD15A2H,Lai_500m,A2000073,2000-03-13,0.2,2.4,210.2,2.2,0.7273,0.1545,0.3931,289,289,100.0,2020040193626,1.3
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.16,0.42,86.9699,0.26,0.3009,0.0046,0.0682,289,289,100.0,2020040193119,0.42
MOD15A2H,Lai_500m,A2000081,2000-03-21,0.3,1.0,180.9001,0.7,0.626,0.0499,0.2233,289,289,100.0,2020040193119,1
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.2,0.61,104.2399,0.41,0.3607,0.0069,0.0828,289,289,100.0,2020041212200,0.52
MOD15A2H,Lai_500m,A2000089,2000-03-29,0.3,1.9,203.1,1.6,0.7028,0.094,0.3067,289,289,100.0,2020041212200,1.4
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.2,0.45,96.53,0.25,0.334,0.0039,0.0623,289,289,100.0,2020041042513,0.45
MOD15A2H,Lai_500m,A2000097,2000-04-06,0.3,1.1,173.3001,0.8,0.5997,0.0422,0.2054,289,289,100.0,2020041042513,0.8
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.25,0.51,101.7901,0.26,0.3522,0.0024,0.0486,289,289,100.0,2020041072817,0.42
MOD15A2H,Lai_500m,A2000105,2000-04-14,0.3,1.1,182.7001,0.8,0.6322,0.0276,0.1661,289,289,100.0,2020041072817,0.7
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.33,0.56,117.5,0.23,0.4066,0.0022,0.0464,289,289,100.0,2020041221450,0.46
MOD15A2H,Lai_500m,A2000113,2000-04-22,0.4,1.0,187.7,0.6,0.6495,0.0112,0.1059,289,289,100.0,2020041221450,0.8
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.25,0.66,111.07,0.41,0.3843,0.004,0.063,289,289,100.0,2020042015716,0.35
MOD15A2H,Lai_500m,A2000121,2000-04-30,0.3,1.3,180.1001,1.0,0.6232,0.0199,0.1411,289,289,100.0,2020042015716,0.6
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.36,0.76,151.88,0.4,0.5255,0.0065,0.0809,289,289,100.0,2020042172430,0.55
MOD15A2H,Lai_500m,A2000129,2000-05-08,0.6,1.8,272.4,1.2,0.9426,0.0438,0.2094,289,289,100.0,2020042172430,1.1
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.3,0.84,139.6599,0.54,0.4833,0.0154,0.1241,289,289,100.0,2020042225450,0.43
MOD15A2H,Lai_500m,A2000137,2000-05-16,0.5,2.5,258.0,2.0,0.8927,0.1231,0.3509,289,289,100.0,2020042225450,0.8
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.09,0.83,137.53,0.74,0.4843,0.0161,0.1271,289,284,98.27,2020043014831,0.46
MOD15A2H,Lai_500m,A2000145,2000-05-24,0.1,2.5,251.1001,2.4,0.8842,0.1194,0.3455,289,284,98.27,2020043014831,0.8
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.39,0.81,164.85,0.42,0.5704,0.0144,0.1202,289,289,100.0,2020045220713,0.55
MOD15A2H,Lai_500m,A2000153,2000-06-01,0.6,2.2,325.3002,1.6,1.1256,0.133,0.3647,289,289,100.0,2020045220713,1.1
MOD15A2H,Fpar_500m,A2000161,2000-06-09,0.35,0.84,163.1599,0.49,0.5646,0.0185,0.1359,289,289,100.0,2020046020758,0.47
MOD15A2H,Lai_500m,A2000161,2000-06-09,0.6,2.6,327.9001,2.0,1.1346,0.1942,0.4406,289,289,100.0,2020046020758,0.8
MOD15A2H,Fpar_500m,A2000169,2000-06-17,0.3,0.85,160.36,0.55,0.5549,0.0207,0.1439,289,289,100.0,2020048001930,0.47
MOD15A2H,Lai_500m,A2000169,2000-06-17,0.4,3.0,321.3998,2.6,1.1121,0.2013,0.4486,289,289,100.0,2020048001930,0.8
MOD15A2H,Fpar_500m,A2000177,2000-06-25,0.22,0.79,144.74,0.57,0.5008,0.0191,0.1381,289,289,100.0,2020048052634,0.42
MOD15A2H,Lai_500m,A2000177,2000-06-25,0.3,2.1,272.8,1.8,0.9439,0.1408,0.3752,289,289,100.0,2020048052634,0.7
MOD15A2H,Fpar_500m,A2000185,2000-07-03,0.29,0.86,146.4601,0.57,0.5121,0.0167,0.1294,289,286,98.96,2020048083246,0.46
MOD15A2H,Lai_500m,A2000185,2000-07-03,0.5,3.0,272.6001,2.5,0.9531,0.1361,0.3689,289,286,98.96,2020048083246,0.8
MOD15A2H,Fpar_500m,A2000193,2000-07-11,0.23,0.87,151.54,0.64,0.5244,0.029,0.1703,289,289,100.0,2020051203615,0.43
MOD15A2H,Lai_500m,A2000193,2000-07-11,0.3,3.2,314.5,2.9,1.0882,0.3489,0.5907,289,289,100.0,2020051203615,0.8
MOD15A2H,Fpar_500m,A2000201,2000-07-19,0.25,0.94,158.53,0.69,0.5485,0.0258,0.1606,289,289,100.0,2020048200137,0.52
MOD15A2H,Lai_500m,A2000201,2000-07-19,0.3,6.2,332.8998,5.9,1.1519,0.4304,0.656,289,289,100.0,2020048200137,1
MOD15A2H,Fpar_500m,A2000209,2000-07-27,0.3,0.94,160.0101,0.64,0.5537,0.0283,0.1682,289,289,100.0,2020048231133,0.41
MOD15A2H,Lai_500m,A2000209,2000-07-27,0.4,6.7,343.3998,6.3,1.1882,0.4949,0.7035,289,289,100.0,2020048231133,0.7
MOD15A2H,Fpar_500m,A2000217,2000-08-04,0.23,0.87,158.17,0.64,0.5473,0.0333,0.1825,289,289,100.0,2020049000543,0.43
MOD15A2H,Lai_500m,A2000217,2000-08-04,0.3,3.3,341.9999,3.0,1.1834,0.4067,0.6377,289,289,100.0,2020049000543,0.8
MOD15A2H,Fpar_500m,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020049162250,F
MOD15A2H,Lai_500m,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020049162250,F
MOD15A2H,Fpar_500m,A2000233,2000-08-20,0.15,0.92,133.9801,0.77,0.5317,0.0265,0.1628,289,252,87.2,2020050212911,0.56
MOD15A2H,Lai_500m,A2000233,2000-08-20,0.2,4.7,271.4999,4.5,1.0774,0.3135,0.5599,289,252,87.2,2020050212911,1.1
MOD15A2H,Fpar_500m,A2000241,2000-08-28,0.26,0.94,162.16,0.68,0.5611,0.0416,0.2041,289,289,100.0,2020051032658,0.47
MOD15A2H,Lai_500m,A2000241,2000-08-28,0.4,6.5,461.3001,6.1,1.5962,1.5437,1.2425,289,289,100.0,2020051032658,0.9
MOD15A2H,Fpar_500m,A2000249,2000-09-05,0.22,0.9,133.9801,0.68,0.4668,0.0229,0.1513,289,287,99.31,2020051064541,0.43
MOD15A2H,Lai_500m,A2000249,2000-09-05,0.3,4.5,341.9,4.2,1.1913,0.425,0.6519,289,287,99.31,2020051064541,1.1
MOD15A2H,Fpar_500m,A2000257,2000-09-13,0.26,0.94,159.86,0.68,0.5531,0.0422,0.2055,289,289,100.0,2020051181111,0.53
MOD15A2H,Lai_500m,A2000257,2000-09-13,0.6,6.7,499.0001,6.1,1.7266,1.4712,1.2129,289,289,100.0,2020051181111,1.3
MOD15A2H,Fpar_500m,A2000265,2000-09-21,0.09,0.94,146.92,0.85,0.5192,0.042,0.2048,289,283,97.92,2020052002956,0.4
MOD15A2H,Lai_500m,A2000265,2000-09-21,0.2,6.5,430.9998,6.3,1.523,1.0148,1.0074,289,283,97.92,2020052002956,1
MOD15A2H,Fpar_500m,A2000273,2000-09-29,0.26,0.92,141.88,0.66,0.4909,0.0377,0.194,289,289,100.0,2020052034841,0.3
MOD15A2H,Lai_500m,A2000273,2000-09-29,0.6,5.1,390.0999,4.5,1.3498,0.5215,0.7222,289,289,100.0,2020052034841,0.7
MOD15A2H,Fpar_500m,A2000281,2000-10-07,0.26,0.91,148.73,0.65,0.5146,0.0377,0.1942,289,289,100.0,2020052173155,0.35
MOD15A2H,Lai_500m,A2000281,2000-10-07,0.6,5.6,437.4999,5.0,1.5138,0.8549,0.9246,289,289,100.0,2020052173155,0.8
MOD15A2H,Fpar_500m,A2000289,2000-10-15,0.17,0.88,125.82,0.71,0.4354,0.0342,0.1849,289,289,100.0,2020052225159,0.27
MOD15A2H,Lai_500m,A2000289,2000-10-15,0.4,4.8,391.8001,4.4,1.3557,0.6391,0.7995,289,289,100.0,2020052225159,0.8
MOD15A2H,Fpar_500m,A2000297,2000-10-23,0.12,0.86,115.6699,0.74,0.4002,0.0247,0.1572,289,289,100.0,2020053013707,0.32
MOD15A2H,Lai_500m,A2000297,2000-10-23,0.2,4.3,339.5999,4.1,1.1751,0.4127,0.6424,289,289,100.0,2020053013707,1
MOD15A2H,Fpar_500m,A2000305,2000-10-31,0.15,0.74,119.75,0.59,0.4144,0.0206,0.1435,289,289,100.0,2020055202016,0.28
MOD15A2H,Lai_500m,A2000305,2000-10-31,0.4,2.7,341.2998,2.3,1.181,0.2017,0.4492,289,289,100.0,2020055202016,0.8
MOD15A2H,Fpar_500m,A2000313,2000-11-08,0.13,0.73,121.6999,0.6,0.4211,0.0166,0.129,289,289,100.0,2020056073903,0.32
MOD15A2H,Lai_500m,A2000313,2000-11-08,0.2,2.4,345.6001,2.2,1.1958,0.1594,0.3993,289,289,100.0,2020056073903,0.9
MOD15A2H,Fpar_500m,A2000321,2000-11-16,0.17,0.62,104.47,0.45,0.3615,0.0053,0.0726,289,289,100.0,2020056160510,0.35
MOD15A2H,Lai_500m,A2000321,2000-11-16,0.3,1.9,275.8,1.6,0.9543,0.0369,0.1922,289,289,100.0,2020056160510,1
MOD15A2H,Fpar_500m,A2000329,2000-11-24,0.25,0.58,118.69,0.33,0.4107,0.0034,0.0584,289,289,100.0,2020056200045,0.37
MOD15A2H,Lai_500m,A2000329,2000-11-24,0.6,2.1,325.7,1.5,1.127,0.0569,0.2386,289,289,100.0,2020056200045,1.1
MOD15A2H,Fpar_500m,A2000337,2000-12-02,0.15,0.51,99.41,0.36,0.344,0.0023,0.0478,289,289,100.0,2020057063003,0.4
MOD15A2H,Lai_500m,A2000337,2000-12-02,0.3,1.7,268.3,1.4,0.9284,0.0606,0.2461,289,289,100.0,2020057063003,1.2
MOD15A2H,Fpar_500m,A2000345,2000-12-10,0.26,0.58,113.13,0.32,0.3915,0.0043,0.0659,289,289,100.0,2020057105851,0.46
MOD15A2H,Lai_500m,A2000345,2000-12-10,0.5,1.9,305.7,1.4,1.0578,0.1137,0.3371,289,289,100.0,2020057105851,1.4
MOD15A2H,Fpar_500m,A2000353,2000-12-18,0.17,0.59,111.0799,0.42,0.3844,0.006,0.0772,289,289,100.0,2020057143559,0.46
MOD15A2H,Lai_500m,A2000353,2000-12-18,0.3,2.0,299.9001,1.7,1.0377,0.1309,0.3617,289,289,100.0,2020057143559,1.4
MOD15A2H,Fpar_500m,A2000361,2000-12-26,0.21,0.55,113.52,0.34,0.3928,0.0108,0.104,289,289,100.0,2020058214727,0.5
MOD15A2H,Lai_500m,A2000361,2000-12-26,0.4,1.8,313.1003,1.4,1.0834,0.2053,0.4531,289,289,100.0,2020058214727,1.5
MOD15A2H,Fpar_500m,A2001001,2001-01-01,0.21,0.5,106.4099,0.29,0.3682,0.0088,0.094,289,289,100.0,2020059013134,0.47
MOD15A2H,Lai_500m,A2001001,2001-01-01,0.4,1.5,287.7002,1.1,0.9955,0.1642,0.4052,289,289,100.0,2020059013134,1.4
MOD15A2H,Fpar_500m,A2001009,2001-01-09,0.18,0.53,109.16,0.35,0.3777,0.0102,0.1009,289,289,100.0,2020062005106,0.53
MOD15A2H,Lai_500m,A2001009,2001-01-09,0.3,1.6,292.7001,1.3,1.0128,0.196,0.4427,289,289,100.0,2020062005106,1.6
MOD15A2H,Fpar_500m,A2001017,2001-01-17,0.19,0.48,103.01,0.29,0.3564,0.0097,0.0986,289,289,100.0,2020062021023,0.45
MOD15A2H,Lai_500m,A2001017,2001-01-17,0.3,1.5,273.6,1.2,0.9467,0.1624,0.403,289,289,100.0,2020062021023,1.3
MOD15A2H,Fpar_500m,A2001025,2001-01-25,0.16,0.6,111.6499,0.44,0.3863,0.015,0.1225,289,289,100.0,2020062031728,0.55
MOD15A2H,Lai_500m,A2001025,2001-01-25,0.3,1.8,310.5001,1.5,1.0744,0.2633,0.5131,289,289,100.0,2020062031728,1.8
MOD15A2H,Fpar_500m,A2001033,2001-02-02,0.15,0.54,107.3,0.39,0.3713,0.0148,0.1215,289,289,100.0,2020064201345,0.54
MOD15A2H,Lai_500m,A2001033,2001-02-02,0.2,1.5,252.2998,1.3,0.873,0.1636,0.4045,289,289,100.0,2020064201345,1.4
MOD15A2H,Fpar_500m,A2001041,2001-02-10,0.16,0.59,117.42,0.43,0.4063,0.0164,0.1281,289,289,100.0,2020062042320,0.56
MOD15A2H,Lai_500m,A2001041,2001-02-10,0.3,2.0,305.5999,1.7,1.0574,0.3186,0.5644,289,289,100.0,2020062042320,1.5
MOD15A2H,Fpar_500m,A2001049,2001-02-18,0.16,0.54,111.07,0.38,0.3843,0.0137,0.1169,289,289,100.0,2020062050757,0.53
MOD15A2H,Lai_500m,A2001049,2001-02-18,0.3,1.4,257.0999,1.1,0.8896,0.1467,0.383,289,289,100.0,2020062050757,1.4
MOD15A2H,Fpar_500m,A2001057,2001-02-26,0.17,0.58,119.0,0.41,0.4118,0.0141,0.1187,289,289,100.0,2020062060240,0.57
MOD15A2H,Lai_500m,A2001057,2001-02-26,0.3,1.6,275.3,1.3,0.9526,0.1782,0.4221,289,289,100.0,2020062060240,1.5
MOD15A2H,Fpar_500m,A2001065,2001-03-06,0.17,0.61,112.9799,0.44,0.3909,0.0144,0.1202,289,289,100.0,2020062065953,0.56
MOD15A2H,Lai_500m,A2001065,2001-03-06,0.3,1.7,260.2999,1.4,0.9007,0.1669,0.4085,289,289,100.0,2020062065953,1.5
MOD15A2H,Fpar_500m,A2001073,2001-03-14,0.19,0.83,120.82,0.64,0.4181,0.0185,0.1359,289,289,100.0,2020062080611,0.57
MOD15A2H,Lai_500m,A2001073,2001-03-14,0.3,3.4,285.4999,3.1,0.9879,0.2592,0.5091,289,289,100.0,2020062080611,1.5
MOD15A2H,Fpar_500m,A2001081,2001-03-22,0.2,0.64,117.2299,0.44,0.4056,0.0107,0.1032,289,289,100.0,2020062093058,0.56
MOD15A2H,Lai_500m,A2001081,2001-03-22,0.3,2.0,265.0001,1.7,0.917,0.1746,0.4179,289,289,100.0,2020062093058,1.5
MOD15A2H,Fpar_500m,A2001089,2001-03-30,0.27,0.62,132.3699,0.35,0.458,0.0113,0.1065,289,289,100.0,2020062103453,0.62
MOD15A2H,Lai_500m,A2001089,2001-03-30,0.3,1.3,235.9997,1.0,0.8166,0.0797,0.2824,289,289,100.0,2020062103453,1.3
MOD15A2H,Fpar_500m,A2001097,2001-04-07,0.26,0.68,130.2498,0.42,0.4507,0.0121,0.1102,289,289,100.0,2020062111544,0.6
MOD15A2H,Lai_500m,A2001097,2001-04-07,0.3,1.6,231.2999,1.3,0.8003,0.091,0.3017,289,289,100.0,2020062111544,1.2
MOD15A2H,Fpar_500m,A2001105,2001-04-15,0.26,0.6,126.7699,0.34,0.4387,0.01,0.0998,289,289,100.0,2020062115249,0.6
MOD15A2H,Lai_500m,A2001105,2001-04-15,0.3,1.3,220.9999,1.0,0.7647,0.0747,0.2734,289,289,100.0,2020062115249,1.2
MOD15A2H,Fpar_500m,A2001113,2001-04-23,0.26,0.62,134.54,0.36,0.4655,0.0065,0.0803,289,289,100.0,2020062122535,0.6
MOD15A2H,Lai_500m,A2001113,2001-04-23,0.3,1.2,234.1001,0.9,0.81,0.0545,0.2334,289,289,100.0,2020062122535,1.2
MOD15A2H,Fpar_500m,A2001121,2001-05-01,0.26,0.75,139.81,0.49,0.4838,0.0053,0.073,289,289,100.0,2020062130215,0.53
MOD15A2H,Lai_500m,A2001121,2001-05-01,0.3,1.8,248.8001,1.5,0.8609,0.0442,0.2104,289,289,100.0,2020062130215,1
MOD15A2H,Fpar_500m,A2001129,2001-05-09,0.27,0.75,142.86,0.48,0.4943,0.0048,0.0691,289,289,100.0,2020062132626,0.57
MOD15A2H,Lai_500m,A2001129,2001-05-09,0.3,1.7,255.4003,1.4,0.8837,0.0403,0.2006,289,289,100.0,2020062132626,1.1
MOD15A2H,Fpar_500m,A2001137,2001-05-17,0.36,0.74,161.1501,0.38,0.5576,0.0045,0.0669,289,289,100.0,2020062135752,0.61
MOD15A2H,Lai_500m,A2001137,2001-05-17,0.5,1.7,303.0998,1.2,1.0488,0.0432,0.2078,289,289,100.0,2020062135752,1.3
MOD15A2H,Fpar_500m,A2001145,2001-05-25,0.28,0.72,145.42,0.44,0.5032,0.0066,0.0812,289,289,100.0,2020062143514,0.49
MOD15A2H,Lai_500m,A2001145,2001-05-25,0.3,1.5,260.4001,1.2,0.901,0.054,0.2324,289,289,100.0,2020062143514,0.9
MOD15A2H,Fpar_500m,A2001153,2001-06-02,0.26,0.72,146.66,0.46,0.5075,0.0048,0.0694,289,289,100.0,2020062151036,0.56
MOD15A2H,Lai_500m,A2001153,2001-06-02,0.3,1.6,263.8001,1.3,0.9128,0.0376,0.1939,289,289,100.0,2020062151036,1.1
MOD15A2H,Fpar_500m,A2001161,2001-06-10,0.07,0.76,50.02,0.69,0.2718,0.038,0.1949,289,184,63.67,2020062152624,0.08
MOD15A2H,Lai_500m,A2001161,2001-06-10,0.1,1.8,80.1,1.7,0.4353,0.1559,0.3948,289,184,63.67,2020062152624,0.1
MOD15A2H,Fpar_500m,A2001185,2001-07-04,0.28,0.82,151.67,0.54,0.5248,0.0099,0.0995,289,289,100.0,2020062161258,0.51
MOD15A2H,Lai_500m,A2001185,2001-07-04,0.4,2.3,288.6001,1.9,0.9986,0.0926,0.3043,289,289,100.0,2020062161258,1
MOD15A2H,Fpar_500m,A2001193,2001-07-12,0.29,0.83,154.9798,0.54,0.5381,0.0087,0.0932,289,288,99.65,2020062164723,0.54
MOD15A2H,Lai_500m,A2001193,2001-07-12,0.4,2.5,288.2,2.1,1.0007,0.0666,0.2581,289,288,99.65,2020062164723,1.1
MOD15A2H,Fpar_500m,A2001201,2001-07-20,0.49,0.87,179.8899,0.38,0.6225,0.0089,0.0943,289,289,100.0,2020062221838,0.68
