MOD15A2H.A2000049.h29v12.006.2020041210522.Fpar_500m,MOD15A2H,A2000049,Lat-37.422222Lon144.094444Samp17Line17,2020041210522,9.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,6.0,6.0,5.0,11.0,11.0,4.0,4.0,2.0,3.0,3.0,3.0,10.0,10.0,10.0,11.0,13.0,6.0,7.0,5.0,11.0,11.0,11.0,2.0,2.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,12.0,12.0,10.0,8.0,8.0,9.0,9.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,12.0,11.0,7.0,8.0,8.0,10.0,10.0,10.0,6.0,6.0,6.0,3.0,3.0,3.0,8.0,7.0,7.0,11.0,5.0,6.0,7.0,7.0,9.0,8.0,8.0,6.0,6.0,5.0,4.0,4.0,4.0,7.0,6.0,4.0,5.0,6.0,9.0,9.0,9.0,9.0,9.0,10.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,7.0,7.0,12.0,12.0,14.0,11.0,11.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,9.0,9.0,7.0,7.0,14.0,14.0,11.0,6.0,8.0,12.0,4.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,14.0,14.0,27.0,27.0,14.0,14.0,3.0,4.0,4.0,6.0,6.0,6.0,9.0,10.0,14.0,14.0,10.0,31.0,24.0,41.0,26.0,26.0,26.0,5.0,5.0,5.0,6.0,6.0,6.0,10.0,27.0,27.0,49.0,49.0,86.0,81.0,81.0,81.0,44.0,44.0,6.0,6.0,6.0,6.0,23.0,23.0,27.0,27.0,86.0,86.0,86.0,84.0,84.0,84.0,84.0,16.0,16.0,7.0,7.0,7.0,23.0,41.0,41.0,46.0,28.0,25.0,31.0,31.0,17.0,20.0,20.0,20.0,16.0,9.0,18.0,18.0,18.0,41.0,35.0,35.0,25.0,25.0,13.0,17.0,17.0,17.0,11.0,11.0,11.0,9.0,6.0,33.0,33.0,33.0,35.0,22.0,5.0,11.0,11.0,11.0,11.0,12.0,12.0,9.0,9.0,9.0,6.0,6.0,15.0,15.0,15.0,22.0,5.0,4.0,9.0,20.0,10.0,13.0,13.0,13.0,17.0,17.0,17.0,6.0,15.0,15.0,18.0,18.0,23.0,17.0,11.0,11.0,11.0,13.0,32.0,32.0,32.0,17.0,46.0,46.0,15.0,42.0
MOD15A2H.A2000057.h29v12.006.2020037221808.Fpar_500m,MOD15A2H,A2000057,Lat-37.422222Lon144.094444Samp17Line17,2020037221808,51.0,52.0,58.0,58.0,47.0,58.0,43.0,43.0,38.0,38.0,56.0,50.0,42.0,43.0,54.0,87.0,87.0,42.0,47.0,52.0,56.0,51.0,42.0,44.0,45.0,46.0,53.0,71.0,48.0,43.0,54.0,88.0,88.0,88.0,70.0,65.0,46.0,38.0,39.0,40.0,45.0,52.0,59.0,71.0,46.0,45.0,52.0,88.0,89.0,89.0,89.0,46.0,38.0,46.0,39.0,37.0,45.0,40.0,40.0,40.0,41.0,50.0,52.0,73.0,89.0,89.0,89.0,89.0,36.0,46.0,42.0,44.0,46.0,39.0,39.0,39.0,42.0,56.0,46.0,85.0,89.0,89.0,89.0,89.0,89.0,38.0,40.0,55.0,38.0,39.0,28.0,35.0,52.0,53.0,69.0,85.0,89.0,89.0,89.0,89.0,89.0,70.0,57.0,52.0,40.0,37.0,38.0,36.0,51.0,54.0,86.0,89.0,89.0,88.0,88.0,88.0,88.0,71.0,71.0,37.0,47.0,56.0,50.0,50.0,51.0,86.0,88.0,89.0,89.0,88.0,88.0,88.0,65.0,53.0,65.0,87.0,52.0,82.0,74.0,76.0,86.0,85.0,88.0,88.0,89.0,89.0,88.0,89.0,71.0,51.0,50.0,89.0,88.0,48.0,74.0,79.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,72.0,71.0,65.0,89.0,89.0,89.0,88.0,79.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,88.0,88.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0,89.0,88.0,88.0,89.0,89.0,88.0,88.0,88.0,59.0,87.0,89.0,88.0,88.0,87.0,88.0,88.0,87.0,89.0,89.0,88.0,89.0,89.0,89.0,54.0,51.0,87.0,89.0,88.0,89.0,89.0,88.0,88.0,87.0,88.0,88.0,88.0,88.0,88.0,89.0,55.0,55.0,62.0,71.0,72.0,90.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,51.0,52.0,63.0,68.0,72.0,90.0,89.0,89.0,89.0,89.0,88.0,88.0,87.0,86.0,87.0,80.0,81.0,57.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,87.0,87.0
MOD15A2H.A2000065.h29v12.006.2020038182640.Fpar_500m,MOD15A2H,A2000065,Lat-37.422222Lon144.094444Samp17Line17,2020038182640,44.0,44.0,49.0,49.0,49.0,45.0,45.0,40.0,40.0,49.0,49.0,49.0,49.0,51.0,57.0,89.0,89.0,49.0,49.0,49.0,49.0,49.0,44.0,42.0,46.0,49.0,49.0,58.0,51.0,43.0,57.0,85.0,89.0,89.0,49.0,49.0,49.0,44.0,44.0,44.0,42.0,48.0,45.0,58.0,49.0,40.0,51.0,85.0,90.0,90.0,89.0,49.0,40.0,40.0,44.0,44.0,42.0,40.0,45.0,40.0,39.0,40.0,60.0,86.0,86.0,89.0,89.0,89.0,40.0,42.0,44.0,44.0,44.0,40.0,40.0,35.0,39.0,47.0,52.0,84.0,89.0,89.0,90.0,90.0,90.0,40.0,40.0,40.0,40.0,40.0,34.0,38.0,38.0,55.0,76.0,89.0,89.0,89.0,89.0,89.0,90.0,76.0,43.0,43.0,40.0,41.0,41.0,33.0,55.0,76.0,90.0,89.0,89.0,89.0,88.0,90.0,90.0,76.0,60.0,44.0,40.0,43.0,43.0,53.0,60.0,87.0,89.0,89.0,89.0,89.0,89.0,90.0,71.0,51.0,71.0,89.0,47.0,81.0,86.0,81.0,86.0,89.0,89.0,90.0,90.0,90.0,89.0,90.0,59.0,62.0,53.0,89.0,88.0,47.0,82.0,89.0,89.0,89.0,89.0,88.0,89.0,89.0,89.0,72.0,69.0,83.0,90.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,90.0,88.0,88.0,88.0,88.0,87.0,88.0,88.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,64.0,88.0,89.0,89.0,88.0,88.0,88.0,87.0,88.0,89.0,89.0,88.0,88.0,88.0,88.0,63.0,65.0,88.0,88.0,89.0,90.0,89.0,89.0,88.0,88.0,88.0,86.0,86.0,88.0,88.0,86.0,53.0,58.0,56.0,58.0,70.0,90.0,89.0,88.0,88.0,88.0,88.0,88.0,86.0,86.0,87.0,86.0,52.0,57.0,59.0,65.0,70.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,87.0,57.0,85.0,83.0,87.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,86.0
MOD15A2H.A2000073.h29v12.006.2020040193626.Fpar_500m,MOD15A2H,A2000073,Lat-37.422222Lon144.094444Samp17Line17,2020040193626,37.0,48.0,45.0,45.0,47.0,47.0,43.0,40.0,48.0,44.0,47.0,52.0,38.0,37.0,53.0,86.0,89.0,43.0,54.0,54.0,47.0,39.0,39.0,38.0,40.0,48.0,44.0,47.0,46.0,38.0,46.0,86.0,85.0,89.0,49.0,63.0,50.0,38.0,39.0,37.0,43.0,48.0,54.0,44.0,39.0,40.0,50.0,85.0,85.0,89.0,89.0,51.0,37.0,46.0,38.0,37.0,40.0,38.0,38.0,38.0,40.0,40.0,46.0,76.0,88.0,88.0,89.0,89.0,34.0,46.0,38.0,40.0,39.0,39.0,30.0,39.0,39.0,47.0,43.0,86.0,88.0,90.0,90.0,87.0,90.0,34.0,40.0,40.0,46.0,31.0,30.0,24.0,40.0,46.0,67.0,86.0,85.0,87.0,85.0,85.0,88.0,66.0,52.0,49.0,40.0,37.0,28.0,31.0,48.0,59.0,86.0,86.0,86.0,86.0,85.0,85.0,85.0,69.0,68.0,41.0,47.0,54.0,50.0,50.0,59.0,86.0,85.0,85.0,85.0,85.0,85.0,85.0,62.0,54.0,68.0,89.0,48.0,73.0,80.0,75.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,89.0,70.0,54.0,52.0,90.0,89.0,47.0,83.0,85.0,86.0,85.0,85.0,85.0,85.0,86.0,87.0,69.0,66.0,71.0,90.0,90.0,89.0,89.0,83.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,87.0,88.0,88.0,88.0,86.0,85.0,89.0,89.0,89.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,85.0,85.0,86.0,77.0,86.0,86.0,88.0,89.0,89.0,89.0,85.0,86.0,85.0,85.0,85.0,85.0,85.0,85.0,54.0,78.0,84.0,85.0,89.0,89.0,89.0,89.0,88.0,86.0,85.0,86.0,86.0,86.0,85.0,58.0,54.0,86.0,87.0,89.0,89.0,90.0,89.0,89.0,89.0,89.0,85.0,84.0,84.0,86.0,85.0,54.0,53.0,51.0,58.0,64.0,90.0,90.0,90.0,89.0,89.0,85.0,89.0,83.0,84.0,86.0,87.0,51.0,54.0,54.0,58.0,66.0,85.0,90.0,90.0,89.0,89.0,86.0,89.0,83.0,84.0,89.0,89.0,77.0,68.0,88.0,87.0,87.0,88.0,87.0,89.0,89.0,89.0,84.0,89.0,83.0,89.0
MOD15A2H.A2000081.h29v12.006.2020040193119.Fpar_500m,MOD15A2H,A2000081,Lat-37.422222Lon144.094444Samp17Line17,2020040193119,35.0,39.0,40.0,39.0,38.0,37.0,37.0,37.0,40.0,42.0,47.0,42.0,40.0,41.0,47.0,88.0,88.0,40.0,46.0,46.0,44.0,39.0,37.0,34.0,40.0,40.0,40.0,40.0,44.0,38.0,52.0,82.0,89.0,88.0,44.0,51.0,39.0,39.0,38.0,38.0,39.0,41.0,40.0,38.0,38.0,41.0,41.0,89.0,88.0,88.0,88.0,39.0,38.0,38.0,38.0,39.0,38.0,40.0,40.0,35.0,38.0,40.0,47.0,77.0,82.0,89.0,89.0,89.0,38.0,39.0,38.0,40.0,39.0,40.0,34.0,35.0,35.0,40.0,52.0,79.0,89.0,89.0,89.0,89.0,89.0,33.0,40.0,40.0,39.0,33.0,30.0,28.0,36.0,43.0,59.0,90.0,89.0,88.0,89.0,89.0,89.0,66.0,40.0,40.0,38.0,33.0,27.0,26.0,46.0,60.0,88.0,90.0,89.0,88.0,88.0,88.0,89.0,66.0,61.0,37.0,38.0,41.0,44.0,48.0,53.0,80.0,88.0,88.0,88.0,88.0,88.0,88.0,65.0,51.0,60.0,89.0,46.0,75.0,78.0,75.0,80.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,66.0,53.0,51.0,89.0,88.0,47.0,84.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,66.0,67.0,66.0,85.0,89.0,88.0,87.0,84.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,88.0,88.0,88.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0,86.0,88.0,88.0,88.0,88.0,89.0,88.0,78.0,80.0,55.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,85.0,88.0,88.0,89.0,89.0,89.0,88.0,55.0,58.0,88.0,79.0,84.0,84.0,88.0,88.0,87.0,87.0,88.0,86.0,86.0,86.0,88.0,88.0,49.0,55.0,48.0,52.0,60.0,89.0,89.0,89.0,89.0,87.0,88.0,88.0,86.0,88.0,88.0,88.0,57.0,55.0,56.0,66.0,61.0,85.0,89.0,89.0,89.0,88.0,88.0,87.0,87.0,87.0,88.0,88.0,88.0,54.0,81.0,88.0,84.0,84.0,89.0,89.0,88.0,88.0,88.0,87.0,87.0,86.0
MOD15A2H.A2000089.h29v12.006.2020041212200.Fpar_500m,MOD15A2H,A2000089,Lat-37.422222Lon144.094444Samp17Line17,2020041212200,36.0,35.0,40.0,38.0,37.0,37.0,36.0,36.0,39.0,39.0,39.0,53.0,36.0,38.0,52.0,89.0,89.0,40.0,40.0,48.0,40.0,38.0,36.0,29.0,29.0,42.0,39.0,47.0,37.0,35.0,45.0,73.0,89.0,89.0,38.0,46.0,38.0,38.0,38.0,36.0,38.0,42.0,39.0,39.0,37.0,37.0,37.0,76.0,79.0,88.0,84.0,37.0,36.0,38.0,38.0,38.0,38.0,38.0,38.0,32.0,34.0,37.0,48.0,75.0,89.0,88.0,86.0,82.0,36.0,36.0,38.0,36.0,37.0,42.0,32.0,22.0,32.0,37.0,48.0,74.0,81.0,83.0,83.0,87.0,84.0,30.0,30.0,34.0,44.0,35.0,35.0,22.0,34.0,42.0,48.0,82.0,79.0,83.0,86.0,86.0,86.0,88.0,44.0,43.0,43.0,33.0,21.0,21.0,42.0,61.0,82.0,79.0,84.0,87.0,87.0,85.0,85.0,88.0,83.0,40.0,42.0,36.0,45.0,44.0,62.0,82.0,82.0,82.0,84.0,84.0,90.0,85.0,56.0,65.0,69.0,84.0,49.0,76.0,73.0,75.0,79.0,82.0,86.0,83.0,83.0,89.0,90.0,86.0,60.0,60.0,57.0,87.0,81.0,43.0,44.0,81.0,79.0,92.0,87.0,75.0,89.0,89.0,86.0,72.0,62.0,83.0,89.0,87.0,84.0,86.0,80.0,81.0,89.0,89.0,87.0,86.0,86.0,89.0,86.0,82.0,84.0,89.0,85.0,85.0,79.0,82.0,77.0,79.0,81.0,85.0,86.0,86.0,86.0,86.0,86.0,89.0,89.0,87.0,89.0,86.0,86.0,86.0,81.0,76.0,85.0,85.0,85.0,85.0,79.0,83.0,87.0,86.0,55.0,88.0,88.0,86.0,86.0,84.0,84.0,79.0,76.0,79.0,79.0,74.0,88.0,86.0,86.0,50.0,55.0,85.0,85.0,85.0,84.0,84.0,85.0,85.0,82.0,82.0,70.0,74.0,88.0,86.0,86.0,54.0,53.0,45.0,49.0,59.0,79.0,89.0,88.0,88.0,26.0,75.0,87.0,81.0,77.0,82.0,83.0,54.0,64.0,59.0,57.0,62.0,91.0,89.0,89.0,89.0,47.0,6.0,87.0,78.0,77.0,84.0,81.0,85.0,61.0,85.0,85.0,84.0,86.0,84.0,89.0,89.0,80.0,87.0,81.0,78.0,87.0
MOD15A2H.A2000097.h29v12.006.2020041042513.Fpar_500m,MOD15A2H,A2000097,Lat-37.422222Lon144.094444Samp17Line17,2020041042513,33.0,39.0,39.0,39.0,35.0,34.0,36.0,36.0,34.0,36.0,44.0,45.0,38.0,38.0,51.0,85.0,89.0,37.0,39.0,39.0,41.0,37.0,37.0,37.0,33.0,33.0,33.0,34.0,39.0,45.0,51.0,88.0,89.0,89.0,43.0,45.0,36.0,37.0,37.0,37.0,40.0,39.0,39.0,39.0,43.0,43.0,46.0,88.0,88.0,89.0,89.0,38.0,37.0,37.0,37.0,39.0,37.0,39.0,35.0,35.0,37.0,46.0,52.0,85.0,90.0,90.0,89.0,89.0,38.0,34.0,36.0,39.0,37.0,35.0,35.0,34.0,38.0,54.0,53.0,87.0,88.0,89.0,89.0,89.0,89.0,36.0,36.0,36.0,36.0,36.0,27.0,31.0,40.0,53.0,55.0,88.0,89.0,89.0,90.0,90.0,89.0,69.0,43.0,43.0,36.0,36.0,27.0,30.0,47.0,59.0,88.0,89.0,89.0,90.0,90.0,90.0,89.0,69.0,69.0,31.0,36.0,43.0,52.0,52.0,56.0,86.0,88.0,90.0,90.0,90.0,90.0,90.0,66.0,50.0,61.0,86.0,51.0,73.0,75.0,85.0,86.0,88.0,90.0,90.0,90.0,90.0,90.0,88.0,69.0,52.0,53.0,88.0,88.0,45.0,85.0,85.0,88.0,90.0,90.0,90.0,90.0,90.0,89.0,75.0,62.0,60.0,88.0,88.0,90.0,90.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,85.0,62.0,86.0,88.0,88.0,88.0,89.0,90.0,90.0,84.0,90.0,90.0,90.0,90.0,90.0,88.0,67.0,60.0,86.0,86.0,86.0,87.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.0,56.0,56.0,53.0,56.0,62.0,87.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.0,68.0,54.0,58.0,61.0,65.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,85.0,57.0,86.0,87.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,89.0
MOD15A2H.A2000105.h29v12.006.2020041072817.Fpar_500m,MOD15A2H,A2000105,Lat-37.422222Lon144.094444Samp17Line17,2020041072817,35.0,19.0,16.0,15.0,15.0,15.0,15.0,22.0,22.0,22.0,22.0,25.0,35.0,28.0,31.0,37.0,41.0,9.0,16.0,17.0,17.0,15.0,19.0,19.0,21.0,22.0,14.0,9.0,9.0,10.0,33.0,85.0,85.0,85.0,46.0,50.0,40.0,27.0,35.0,35.0,35.0,35.0,16.0,18.0,28.0,28.0,28.0,33.0,33.0,82.0,86.0,41.0,37.0,44.0,31.0,32.0,35.0,26.0,17.0,19.0,19.0,28.0,26.0,8.0,64.0,46.0,52.0,52.0,37.0,44.0,43.0,25.0,15.0,19.0,19.0,19.0,19.0,28.0,26.0,64.0,64.0,73.0,73.0,83.0,88.0,43.0,28.0,24.0,19.0,41.0,21.0,19.0,19.0,25.0,27.0,43.0,44.0,46.0,83.0,83.0,76.0,75.0,25.0,24.0,32.0,22.0,28.0,21.0,26.0,26.0,35.0,39.0,44.0,79.0,79.0,73.0,73.0,31.0,37.0,28.0,25.0,23.0,26.0,26.0,26.0,23.0,39.0,39.0,40.0,38.0,38.0,73.0,41.0,31.0,44.0,36.0,52.0,23.0,23.0,25.0,31.0,35.0,8.0,44.0,44.0,44.0,44.0,34.0,32.0,31.0,35.0,93.0,79.0,26.0,25.0,29.0,29.0,41.0,100.0,38.0,40.0,40.0,40.0,30.0,39.0,32.0,42.0,81.0,81.0,84.0,34.0,35.0,35.0,100.0,76.0,76.0,76.0,40.0,40.0,38.0,38.0,58.0,78.0,81.0,84.0,84.0,88.0,100.0,51.0,100.0,100.0,76.0,21.0,20.0,40.0,40.0,39.0,78.0,78.0,83.0,83.0,90.0,90.0,15.0,89.0,98.0,55.0,51.0,100.0,20.0,69.0,59.0,40.0,71.0,86.0,86.0,85.0,90.0,13.0,28.0,90.0,81.0,30.0,97.0,83.0,100.0,74.0,44.0,45.0,75.0,17.0,85.0,85.0,89.0,89.0,88.0,90.0,87.0,63.0,86.0,83.0,79.0,43.0,41.0,40.0,43.0,43.0,55.0,88.0,88.0,89.0,88.0,86.0,52.0,87.0,79.0,83.0,39.0,41.0,41.0,54.0,54.0,61.0,55.0,88.0,88.0,89.0,89.0,86.0,86.0,87.0,100.0,78.0,78.0,78.0,82.0,64.0,86.0,86.0,88.0,88.0,88.0,89.0,86.0,86.0,85.0,85.0,91.0,52.0
MOD15A2H.A2000113.h29v12.006.2020041221450.Fpar_500m,MOD15A2H,A2000113,Lat-37.422222Lon144.094444Samp17Line17,2020041221450,41.0,46.0,47.0,41.0,33.0,40.0,40.0,48.0,46.0,40.0,40.0,45.0,46.0,41.0,53.0,84.0,89.0,49.0,53.0,47.0,41.0,40.0,42.0,48.0,43.0,35.0,43.0,43.0,46.0,46.0,46.0,89.0,89.0,89.0,46.0,46.0,46.0,44.0,46.0,46.0,47.0,48.0,46.0,46.0,47.0,47.0,47.0,85.0,88.0,90.0,90.0,46.0,44.0,48.0,50.0,50.0,50.0,48.0,47.0,46.0,46.0,46.0,49.0,85.0,90.0,90.0,90.0,90.0,40.0,40.0,41.0,50.0,46.0,42.0,42.0,35.0,46.0,47.0,48.0,88.0,88.0,90.0,90.0,90.0,88.0,41.0,41.0,43.0,43.0,42.0,35.0,35.0,45.0,44.0,44.0,89.0,90.0,90.0,90.0,90.0,90.0,70.0,44.0,43.0,43.0,35.0,35.0,45.0,47.0,47.0,89.0,89.0,90.0,90.0,90.0,90.0,89.0,71.0,71.0,45.0,45.0,43.0,38.0,50.0,47.0,88.0,88.0,90.0,90.0,90.0,89.0,89.0,66.0,54.0,65.0,88.0,48.0,83.0,75.0,76.0,85.0,88.0,88.0,90.0,90.0,90.0,90.0,89.0,66.0,54.0,49.0,85.0,90.0,46.0,77.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0,90.0,71.0,78.0,70.0,85.0,90.0,90.0,90.0,86.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,87.0,84.0,84.0,85.0,90.0,89.0,89.0,89.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,85.0,60.0,85.0,85.0,87.0,87.0,89.0,87.0,85.0,86.0,90.0,90.0,90.0,90.0,90.0,85.0,62.0,55.0,84.0,85.0,87.0,87.0,89.0,89.0,90.0,90.0,88.0,90.0,90.0,90.0,89.0,89.0,56.0,55.0,56.0,56.0,56.0,87.0,87.0,90.0,90.0,90.0,90.0,90.0,79.0,90.0,89.0,85.0,56.0,55.0,53.0,57.0,66.0,88.0,90.0,90.0,90.0,90.0,90.0,86.0,87.0,90.0,90.0,88.0,88.0,63.0,85.0,87.0,87.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,86.0,84.0
MOD15A2H.A2000121.h29v12.006.2020042015716.Fpar_500m,MOD15A2H,A2000121,Lat-37.422222Lon144.094444Samp17Line17,2020042015716,40.0,56.0,46.0,49.0,36.0,46.0,46.0,44.0,57.0,60.0,48.0,48.0,48.0,48.0,48.0,85.0,85.0,56.0,56.0,49.0,49.0,46.0,46.0,48.0,53.0,40.0,40.0,48.0,48.0,45.0,59.0,85.0,90.0,90.0,45.0,49.0,46.0,46.0,49.0,49.0,49.0,45.0,40.0,40.0,46.0,46.0,48.0,85.0,90.0,90.0,90.0,46.0,46.0,47.0,50.0,50.0,49.0,47.0,47.0,47.0,46.0,48.0,48.0,84.0,84.0,90.0,90.0,90.0,45.0,47.0,56.0,56.0,48.0,48.0,47.0,47.0,47.0,47.0,52.0,79.0,90.0,90.0,90.0,90.0,89.0,47.0,47.0,47.0,48.0,48.0,40.0,29.0,29.0,60.0,57.0,89.0,89.0,90.0,90.0,89.0,89.0,64.0,45.0,47.0,47.0,40.0,44.0,29.0,38.0,60.0,85.0,90.0,90.0,90.0,91.0,91.0,86.0,65.0,62.0,44.0,48.0,68.0,51.0,48.0,59.0,83.0,90.0,90.0,90.0,90.0,90.0,88.0,65.0,57.0,62.0,85.0,49.0,86.0,82.0,83.0,83.0,90.0,90.0,90.0,90.0,90.0,90.0,88.0,68.0,51.0,51.0,83.0,85.0,61.0,83.0,83.0,86.0,86.0,90.0,90.0,90.0,90.0,88.0,74.0,78.0,60.0,83.0,83.0,90.0,90.0,84.0,88.0,88.0,90.0,90.0,91.0,91.0,90.0,90.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,88.0,88.0,88.0,90.0,90.0,91.0,90.0,90.0,85.0,85.0,83.0,83.0,84.0,90.0,85.0,85.0,88.0,88.0,90.0,90.0,90.0,91.0,90.0,90.0,87.0,84.0,55.0,84.0,84.0,84.0,84.0,88.0,88.0,87.0,87.0,90.0,90.0,91.0,91.0,89.0,87.0,54.0,54.0,83.0,83.0,83.0,88.0,88.0,89.0,90.0,91.0,89.0,91.0,91.0,90.0,90.0,85.0,60.0,52.0,55.0,54.0,55.0,87.0,89.0,89.0,90.0,91.0,89.0,88.0,89.0,88.0,90.0,86.0,63.0,53.0,52.0,54.0,62.0,86.0,89.0,89.0,90.0,90.0,89.0,90.0,90.0,88.0,89.0,85.0,85.0,61.0,84.0,84.0,85.0,86.0,86.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
