MOD15A2H.A2000049.h29v12.006.2020041210522.Lai_500m,MOD15A2H,A2000049,Lat-37.422222Lon144.094444Samp17Line17,2020041210522,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,7.0,6.0,10.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,13.0,13.0,49.0,40.0,40.0,40.0,12.0,12.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,49.0,49.0,49.0,44.0,44.0,44.0,44.0,3.0,3.0,2.0,2.0,2.0,5.0,10.0,10.0,12.0,7.0,6.0,7.0,7.0,4.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,10.0,8.0,8.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,8.0,8.0,8.0,8.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,6.0,4.0,2.0,3.0,3.0,3.0,8.0,8.0,8.0,4.0,12.0,12.0,3.0,10.0
MOD15A2H.A2000057.h29v12.006.2020037221808.Lai_500m,MOD15A2H,A2000057,Lat-37.422222Lon144.094444Samp17Line17,2020037221808,11.0,11.0,14.0,14.0,10.0,13.0,9.0,9.0,7.0,7.0,13.0,11.0,8.0,9.0,14.0,45.0,45.0,8.0,10.0,12.0,13.0,11.0,8.0,9.0,9.0,10.0,12.0,21.0,10.0,8.0,14.0,53.0,53.0,53.0,19.0,16.0,10.0,8.0,7.0,7.0,9.0,11.0,14.0,21.0,9.0,9.0,12.0,53.0,56.0,56.0,56.0,10.0,7.0,10.0,7.0,7.0,9.0,7.0,7.0,7.0,8.0,11.0,13.0,31.0,56.0,56.0,56.0,56.0,7.0,10.0,8.0,9.0,10.0,7.0,8.0,8.0,8.0,13.0,10.0,41.0,55.0,55.0,56.0,56.0,57.0,7.0,7.0,12.0,7.0,7.0,5.0,7.0,11.0,13.0,21.0,41.0,56.0,56.0,56.0,55.0,55.0,22.0,13.0,12.0,7.0,7.0,7.0,6.0,13.0,14.0,45.0,54.0,55.0,53.0,53.0,53.0,53.0,22.0,22.0,6.0,10.0,15.0,13.0,13.0,13.0,43.0,53.0,55.0,55.0,53.0,53.0,53.0,19.0,10.0,18.0,49.0,13.0,36.0,27.0,29.0,44.0,41.0,53.0,53.0,54.0,54.0,53.0,54.0,22.0,10.0,10.0,57.0,51.0,11.0,31.0,32.0,51.0,51.0,53.0,53.0,55.0,55.0,56.0,23.0,21.0,18.0,55.0,55.0,55.0,51.0,32.0,52.0,52.0,52.0,52.0,53.0,53.0,55.0,54.0,54.0,57.0,56.0,56.0,55.0,53.0,50.0,50.0,52.0,52.0,54.0,54.0,56.0,56.0,52.0,51.0,50.0,50.0,53.0,53.0,53.0,53.0,47.0,49.0,47.0,56.0,54.0,54.0,55.0,55.0,51.0,51.0,50.0,16.0,46.0,53.0,53.0,53.0,49.0,51.0,51.0,48.0,56.0,56.0,50.0,55.0,55.0,54.0,13.0,12.0,46.0,53.0,51.0,56.0,56.0,51.0,51.0,48.0,50.0,50.0,50.0,50.0,53.0,54.0,12.0,18.0,16.0,21.0,22.0,60.0,57.0,54.0,54.0,54.0,50.0,50.0,50.0,53.0,53.0,53.0,11.0,12.0,17.0,19.0,22.0,60.0,55.0,55.0,56.0,56.0,52.0,50.0,46.0,44.0,49.0,32.0,41.0,16.0,54.0,54.0,54.0,55.0,55.0,55.0,52.0,52.0,50.0,50.0,46.0,46.0
MOD15A2H.A2000065.h29v12.006.2020038182640.Lai_500m,MOD15A2H,A2000065,Lat-37.422222Lon144.094444Samp17Line17,2020038182640,8.0,8.0,10.0,10.0,10.0,9.0,9.0,7.0,7.0,10.0,10.0,10.0,10.0,11.0,14.0,51.0,54.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,14.0,10.0,7.0,14.0,41.0,55.0,54.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,14.0,10.0,10.0,10.0,41.0,60.0,60.0,57.0,10.0,7.0,7.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,7.0,16.0,51.0,51.0,57.0,57.0,57.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,9.0,10.0,13.0,39.0,56.0,57.0,66.0,66.0,60.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,9.0,14.0,25.0,56.0,55.0,56.0,56.0,54.0,60.0,25.0,9.0,9.0,7.0,8.0,8.0,5.0,14.0,25.0,59.0,57.0,57.0,55.0,53.0,60.0,60.0,25.0,16.0,8.0,7.0,10.0,10.0,14.0,16.0,49.0,57.0,57.0,56.0,56.0,56.0,58.0,22.0,9.0,21.0,57.0,10.0,39.0,44.0,40.0,43.0,55.0,55.0,60.0,60.0,57.0,54.0,58.0,15.0,13.0,10.0,57.0,50.0,10.0,42.0,54.0,57.0,57.0,55.0,52.0,54.0,54.0,54.0,22.0,24.0,31.0,60.0,53.0,53.0,50.0,53.0,54.0,57.0,57.0,53.0,53.0,56.0,56.0,56.0,56.0,56.0,60.0,53.0,53.0,53.0,53.0,47.0,53.0,53.0,55.0,53.0,53.0,53.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,49.0,49.0,55.0,55.0,55.0,55.0,53.0,51.0,51.0,51.0,17.0,50.0,54.0,54.0,53.0,53.0,53.0,49.0,50.0,55.0,55.0,53.0,53.0,53.0,53.0,18.0,19.0,50.0,50.0,56.0,58.0,54.0,54.0,50.0,50.0,50.0,42.0,42.0,53.0,53.0,43.0,13.0,16.0,12.0,13.0,21.0,58.0,54.0,54.0,53.0,53.0,53.0,50.0,42.0,42.0,49.0,43.0,12.0,15.0,16.0,17.0,22.0,56.0,54.0,54.0,54.0,53.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0,14.0,41.0,38.0,48.0,56.0,56.0,56.0,54.0,51.0,51.0,51.0,49.0,45.0
MOD15A2H.A2000073.h29v12.006.2020040193626.Lai_500m,MOD15A2H,A2000073,Lat-37.422222Lon144.094444Samp17Line17,2020040193626,7.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,7.0,7.0,14.0,44.0,56.0,9.0,12.0,12.0,10.0,7.0,7.0,7.0,8.0,10.0,9.0,10.0,9.0,6.0,11.0,44.0,41.0,56.0,10.0,16.0,11.0,7.0,7.0,7.0,9.0,10.0,12.0,10.0,7.0,7.0,11.0,41.0,41.0,56.0,56.0,11.0,7.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,11.0,29.0,50.0,50.0,58.0,58.0,6.0,9.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,10.0,10.0,42.0,50.0,60.0,60.0,49.0,59.0,6.0,8.0,8.0,9.0,6.0,5.0,4.0,8.0,11.0,20.0,42.0,42.0,46.0,42.0,42.0,50.0,20.0,11.0,11.0,8.0,7.0,5.0,5.0,11.0,17.0,45.0,45.0,45.0,43.0,42.0,41.0,41.0,20.0,20.0,7.0,10.0,14.0,12.0,13.0,16.0,45.0,41.0,41.0,41.0,42.0,42.0,40.0,17.0,10.0,20.0,57.0,12.0,25.0,34.0,27.0,41.0,41.0,41.0,41.0,41.0,44.0,44.0,53.0,20.0,10.0,10.0,63.0,55.0,11.0,37.0,41.0,43.0,40.0,41.0,41.0,41.0,44.0,48.0,20.0,18.0,21.0,63.0,63.0,55.0,55.0,37.0,41.0,41.0,40.0,41.0,41.0,42.0,43.0,48.0,51.0,51.0,51.0,44.0,41.0,56.0,55.0,55.0,41.0,41.0,41.0,41.0,41.0,42.0,43.0,41.0,41.0,42.0,30.0,44.0,44.0,49.0,55.0,55.0,55.0,41.0,44.0,41.0,41.0,42.0,41.0,41.0,41.0,14.0,30.0,39.0,42.0,57.0,57.0,55.0,55.0,51.0,44.0,41.0,44.0,44.0,45.0,42.0,16.0,14.0,42.0,45.0,52.0,57.0,60.0,56.0,56.0,56.0,56.0,41.0,38.0,39.0,45.0,42.0,13.0,13.0,11.0,14.0,18.0,60.0,60.0,60.0,56.0,56.0,41.0,54.0,38.0,39.0,44.0,49.0,11.0,14.0,14.0,14.0,18.0,40.0,60.0,60.0,56.0,56.0,44.0,55.0,38.0,40.0,55.0,55.0,30.0,19.0,51.0,47.0,47.0,48.0,49.0,55.0,55.0,56.0,39.0,56.0,38.0,54.0
MOD15A2H.A2000081.h29v12.006.2020040193119.Lai_500m,MOD15A2H,A2000081,Lat-37.422222Lon144.094444Samp17Line17,2020040193119,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,11.0,50.0,50.0,7.0,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,6.0,14.0,36.0,54.0,53.0,9.0,12.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,54.0,53.0,53.0,54.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,30.0,36.0,54.0,54.0,54.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,12.0,31.0,54.0,55.0,55.0,54.0,54.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,9.0,17.0,57.0,54.0,53.0,55.0,54.0,55.0,18.0,8.0,7.0,7.0,6.0,5.0,4.0,11.0,17.0,53.0,57.0,54.0,53.0,52.0,51.0,53.0,18.0,16.0,6.0,7.0,10.0,11.0,11.0,13.0,34.0,53.0,53.0,52.0,52.0,52.0,51.0,18.0,10.0,16.0,55.0,10.0,28.0,31.0,27.0,34.0,51.0,50.0,50.0,52.0,52.0,53.0,56.0,18.0,10.0,10.0,55.0,51.0,11.0,38.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0,53.0,18.0,19.0,19.0,41.0,54.0,51.0,49.0,38.0,49.0,50.0,49.0,49.0,51.0,52.0,53.0,53.0,53.0,53.0,52.0,54.0,51.0,50.0,50.0,49.0,51.0,51.0,49.0,51.0,51.0,51.0,50.0,50.0,53.0,52.0,51.0,51.0,51.0,52.0,49.0,48.0,45.0,51.0,51.0,52.0,52.0,54.0,50.0,31.0,33.0,14.0,49.0,51.0,52.0,53.0,53.0,50.0,49.0,40.0,50.0,52.0,54.0,54.0,54.0,52.0,14.0,15.0,49.0,32.0,39.0,40.0,50.0,50.0,49.0,49.0,50.0,42.0,42.0,42.0,52.0,52.0,12.0,14.0,10.0,11.0,16.0,56.0,56.0,54.0,54.0,49.0,50.0,50.0,42.0,51.0,51.0,51.0,13.0,14.0,14.0,18.0,16.0,41.0,54.0,54.0,54.0,53.0,53.0,47.0,47.0,49.0,51.0,51.0,51.0,13.0,34.0,51.0,40.0,39.0,54.0,54.0,50.0,50.0,53.0,47.0,47.0,43.0
MOD15A2H.A2000089.h29v12.006.2020041212200.Lai_500m,MOD15A2H,A2000089,Lat-37.422222Lon144.094444Samp17Line17,2020041212200,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,11.0,7.0,7.0,13.0,56.0,56.0,7.0,7.0,10.0,7.0,7.0,7.0,5.0,5.0,8.0,7.0,10.0,7.0,6.0,11.0,19.0,57.0,57.0,7.0,10.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,29.0,31.0,51.0,39.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,12.0,28.0,55.0,51.0,53.0,36.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,4.0,6.0,7.0,12.0,20.0,33.0,28.0,28.0,55.0,39.0,5.0,5.0,7.0,8.0,7.0,7.0,4.0,7.0,10.0,12.0,36.0,25.0,28.0,41.0,41.0,41.0,39.0,9.0,8.0,8.0,6.0,3.0,3.0,10.0,16.0,27.0,25.0,38.0,55.0,46.0,39.0,33.0,39.0,32.0,7.0,8.0,8.0,11.0,11.0,17.0,27.0,27.0,27.0,38.0,38.0,57.0,33.0,15.0,15.0,20.0,39.0,13.0,29.0,26.0,28.0,32.0,35.0,52.0,29.0,29.0,54.0,57.0,35.0,16.0,12.0,12.0,45.0,26.0,10.0,11.0,34.0,32.0,60.0,49.0,21.0,54.0,54.0,35.0,22.0,15.0,34.0,55.0,45.0,39.0,45.0,33.0,34.0,52.0,52.0,49.0,43.0,43.0,53.0,53.0,37.0,39.0,55.0,41.0,42.0,24.0,35.0,29.0,32.0,26.0,41.0,43.0,43.0,43.0,44.0,44.0,51.0,52.0,47.0,55.0,43.0,43.0,43.0,33.0,21.0,41.0,41.0,41.0,41.0,24.0,38.0,46.0,44.0,15.0,53.0,53.0,43.0,43.0,39.0,39.0,32.0,21.0,32.0,32.0,26.0,51.0,43.0,43.0,13.0,15.0,40.0,40.0,40.0,39.0,39.0,41.0,41.0,36.0,36.0,23.0,26.0,51.0,44.0,44.0,12.0,14.0,10.0,11.0,16.0,32.0,56.0,50.0,50.0,5.0,27.0,49.0,33.0,29.0,35.0,29.0,12.0,18.0,16.0,14.0,18.0,67.0,56.0,56.0,54.0,12.0,1.0,49.0,31.0,29.0,39.0,33.0,41.0,15.0,32.0,32.0,39.0,42.0,39.0,54.0,54.0,33.0,49.0,34.0,31.0,46.0
MOD15A2H.A2000097.h29v12.006.2020041042513.Lai_500m,MOD15A2H,A2000097,Lat-37.422222Lon144.094444Samp17Line17,2020041042513,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,9.0,33.0,50.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,9.0,48.0,52.0,52.0,6.0,7.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,48.0,48.0,52.0,52.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,9.0,33.0,62.0,62.0,52.0,51.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,13.0,9.0,37.0,48.0,53.0,52.0,51.0,51.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,8.0,10.0,10.0,49.0,53.0,53.0,58.0,58.0,52.0,15.0,6.0,6.0,5.0,5.0,3.0,3.0,11.0,11.0,49.0,55.0,53.0,64.0,64.0,67.0,52.0,15.0,15.0,3.0,5.0,7.0,9.0,9.0,10.0,35.0,49.0,67.0,67.0,63.0,63.0,67.0,14.0,7.0,12.0,35.0,9.0,25.0,28.0,33.0,34.0,48.0,69.0,69.0,69.0,63.0,63.0,48.0,15.0,7.0,8.0,47.0,48.0,8.0,33.0,33.0,43.0,69.0,69.0,69.0,69.0,63.0,51.0,18.0,11.0,12.0,47.0,48.0,69.0,69.0,41.0,43.0,51.0,69.0,56.0,63.0,68.0,64.0,48.0,48.0,48.0,47.0,48.0,60.0,69.0,65.0,65.0,49.0,63.0,65.0,69.0,69.0,68.0,64.0,54.0,48.0,47.0,46.0,48.0,48.0,48.0,68.0,69.0,66.0,63.0,63.0,65.0,69.0,65.0,69.0,69.0,33.0,12.0,35.0,47.0,48.0,49.0,53.0,69.0,65.0,32.0,63.0,65.0,65.0,65.0,65.0,47.0,14.0,12.0,35.0,35.0,34.0,42.0,49.0,65.0,65.0,69.0,65.0,69.0,69.0,65.0,65.0,47.0,10.0,10.0,9.0,10.0,12.0,36.0,47.0,47.0,65.0,69.0,65.0,65.0,65.0,65.0,69.0,45.0,14.0,10.0,11.0,11.0,13.0,48.0,42.0,65.0,65.0,56.0,67.0,67.0,69.0,69.0,69.0,69.0,33.0,10.0,35.0,45.0,45.0,42.0,49.0,49.0,65.0,69.0,67.0,65.0,69.0,58.0
MOD15A2H.A2000105.h29v12.006.2020041072817.Lai_500m,MOD15A2H,A2000105,Lat-37.422222Lon144.094444Samp17Line17,2020041072817,5.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,9.0,10.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,31.0,31.0,31.0,7.0,8.0,6.0,3.0,7.0,7.0,7.0,7.0,2.0,2.0,3.0,3.0,3.0,8.0,8.0,28.0,34.0,6.0,5.0,7.0,4.0,4.0,7.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,15.0,12.0,14.0,15.0,5.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,15.0,15.0,19.0,19.0,45.0,49.0,6.0,4.0,3.0,2.0,6.0,3.0,2.0,2.0,3.0,4.0,11.0,11.0,12.0,45.0,45.0,22.0,17.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,8.0,9.0,11.0,24.0,24.0,19.0,19.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,9.0,9.0,10.0,9.0,9.0,19.0,7.0,3.0,7.0,9.0,9.0,6.0,6.0,6.0,7.0,8.0,1.0,11.0,11.0,11.0,11.0,8.0,5.0,3.0,4.0,62.0,24.0,3.0,6.0,7.0,7.0,7.0,70.0,9.0,10.0,10.0,10.0,5.0,6.0,5.0,10.0,26.0,26.0,32.0,6.0,8.0,8.0,70.0,28.0,28.0,28.0,10.0,10.0,9.0,9.0,12.0,23.0,26.0,32.0,32.0,49.0,70.0,14.0,70.0,70.0,28.0,3.0,3.0,10.0,10.0,9.0,23.0,23.0,30.0,30.0,66.0,66.0,3.0,50.0,67.0,16.0,14.0,70.0,3.0,16.0,13.0,6.0,19.0,53.0,53.0,34.0,66.0,2.0,6.0,69.0,27.0,5.0,66.0,29.0,70.0,20.0,7.0,7.0,21.0,2.0,34.0,34.0,50.0,50.0,49.0,69.0,41.0,15.0,33.0,29.0,25.0,11.0,6.0,6.0,7.0,7.0,10.0,41.0,41.0,50.0,49.0,34.0,14.0,39.0,24.0,30.0,9.0,10.0,6.0,10.0,10.0,11.0,10.0,41.0,41.0,47.0,47.0,34.0,36.0,39.0,70.0,30.0,23.0,23.0,28.0,13.0,36.0,36.0,43.0,43.0,44.0,47.0,35.0,36.0,31.0,31.0,59.0,11.0
MOD15A2H.A2000113.h29v12.006.2020041221450.Lai_500m,MOD15A2H,A2000113,Lat-37.422222Lon144.094444Samp17Line17,2020041221450,6.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,10.0,31.0,50.0,8.0,9.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,8.0,50.0,50.0,50.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,34.0,48.0,57.0,56.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,34.0,57.0,57.0,69.0,58.0,6.0,6.0,6.0,8.0,7.0,6.0,6.0,5.0,7.0,7.0,8.0,48.0,48.0,62.0,69.0,58.0,48.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,49.0,56.0,63.0,55.0,59.0,64.0,15.0,7.0,6.0,6.0,5.0,5.0,6.0,9.0,9.0,49.0,49.0,63.0,63.0,63.0,59.0,52.0,16.0,16.0,6.0,7.0,7.0,6.0,9.0,8.0,49.0,49.0,65.0,63.0,63.0,50.0,50.0,14.0,8.0,13.0,48.0,8.0,28.0,21.0,22.0,34.0,49.0,49.0,65.0,65.0,59.0,59.0,54.0,14.0,8.0,7.0,34.0,66.0,8.0,22.0,34.0,34.0,64.0,69.0,69.0,59.0,59.0,59.0,16.0,20.0,16.0,33.0,66.0,68.0,69.0,35.0,47.0,47.0,64.0,69.0,66.0,66.0,66.0,64.0,49.0,48.0,48.0,48.0,64.0,68.0,69.0,69.0,47.0,63.0,63.0,63.0,65.0,66.0,64.0,64.0,40.0,31.0,31.0,34.0,64.0,55.0,55.0,57.0,56.0,61.0,61.0,65.0,65.0,66.0,66.0,66.0,34.0,12.0,34.0,34.0,45.0,39.0,51.0,40.0,35.0,35.0,63.0,63.0,69.0,69.0,66.0,34.0,12.0,10.0,32.0,33.0,45.0,45.0,51.0,51.0,69.0,69.0,47.0,63.0,69.0,69.0,50.0,50.0,10.0,10.0,10.0,10.0,10.0,40.0,40.0,69.0,69.0,69.0,69.0,69.0,24.0,69.0,50.0,33.0,10.0,10.0,10.0,10.0,14.0,45.0,59.0,59.0,59.0,69.0,68.0,40.0,40.0,69.0,68.0,47.0,47.0,12.0,33.0,42.0,42.0,45.0,48.0,59.0,69.0,68.0,68.0,64.0,33.0,32.0
MOD15A2H.A2000121.h29v12.006.2020042015716.Lai_500m,MOD15A2H,A2000121,Lat-37.422222Lon144.094444Samp17Line17,2020042015716,6.0,9.0,8.0,7.0,5.0,7.0,7.0,7.0,10.0,11.0,7.0,7.0,7.0,7.0,9.0,33.0,33.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,9.0,6.0,6.0,7.0,7.0,6.0,11.0,33.0,69.0,69.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0,33.0,69.0,69.0,66.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,32.0,32.0,66.0,66.0,63.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,25.0,66.0,66.0,63.0,63.0,52.0,8.0,8.0,7.0,7.0,7.0,6.0,4.0,4.0,12.0,11.0,54.0,54.0,69.0,69.0,52.0,52.0,13.0,7.0,7.0,7.0,6.0,7.0,3.0,6.0,12.0,32.0,68.0,69.0,69.0,59.0,59.0,39.0,14.0,12.0,6.0,8.0,15.0,10.0,8.0,12.0,30.0,69.0,68.0,69.0,69.0,69.0,45.0,14.0,8.0,12.0,36.0,8.0,36.0,27.0,28.0,30.0,69.0,69.0,59.0,59.0,69.0,69.0,45.0,15.0,7.0,7.0,30.0,36.0,12.0,28.0,28.0,38.0,38.0,59.0,58.0,69.0,69.0,49.0,17.0,20.0,12.0,30.0,30.0,58.0,58.0,31.0,48.0,48.0,69.0,58.0,59.0,59.0,69.0,69.0,48.0,48.0,50.0,50.0,69.0,69.0,58.0,57.0,48.0,48.0,69.0,69.0,59.0,69.0,69.0,36.0,36.0,29.0,29.0,31.0,69.0,33.0,33.0,57.0,56.0,66.0,66.0,69.0,59.0,69.0,69.0,55.0,30.0,10.0,31.0,31.0,32.0,32.0,49.0,57.0,56.0,54.0,69.0,69.0,60.0,60.0,58.0,55.0,10.0,10.0,29.0,30.0,30.0,49.0,49.0,57.0,58.0,59.0,58.0,59.0,60.0,58.0,58.0,34.0,11.0,9.0,10.0,9.0,10.0,37.0,50.0,50.0,58.0,59.0,58.0,57.0,57.0,57.0,68.0,37.0,12.0,10.0,9.0,9.0,12.0,35.0,50.0,50.0,58.0,58.0,57.0,58.0,58.0,57.0,57.0,34.0,34.0,11.0,32.0,32.0,34.0,35.0,35.0,69.0,69.0,58.0,58.0,58.0,58.0,58.0
