product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Lai_500m,A2000049,2000-02-18,0.1,4.9,71.4,4.8,0.8602,2.0636,1.4365,289,83,28.72,2020041210522,F
MOD15A2H,Lai_500m,A2000057,2000-02-26,0.5,6.0,1023.4996,5.5,3.5415,4.0675,2.0168,289,289,100.0,2020037221808,5.4
MOD15A2H,Lai_500m,A2000065,2000-03-05,0.5,6.6,1041.5997,6.1,3.6042,4.391,2.0955,289,289,100.0,2020038182640,6
MOD15A2H,Lai_500m,A2000073,2000-03-13,0.4,6.3,923.8001,5.9,3.1965,3.5565,1.8859,289,289,100.0,2020040193626,4.1
MOD15A2H,Lai_500m,A2000081,2000-03-21,0.4,5.7,958.9001,5.3,3.318,4.1255,2.0311,289,289,100.0,2020040193119,5.2
MOD15A2H,Lai_500m,A2000089,2000-03-29,0.1,6.7,759.5,6.6,2.6933,2.8797,1.697,289,282,97.58,2020041212200,2.9
MOD15A2H,Lai_500m,A2000097,2000-04-06,0.3,6.9,1032.0004,6.6,3.5833,6.4565,2.541,289,288,99.65,2020041042513,6.9
MOD15A2H,Lai_500m,A2000105,2000-04-14,0.1,6.9,348.2,6.8,1.59,2.7156,1.6479,289,219,75.78,2020041072817,F
MOD15A2H,Lai_500m,A2000113,2000-04-22,0.5,6.9,1002.4003,6.4,3.4927,6.0504,2.4597,289,287,99.31,2020041221450,6.5
MOD15A2H,Lai_500m,A2000121,2000-04-30,0.3,6.9,701.4001,6.6,2.9471,5.6569,2.3784,289,238,82.35,2020042015716,F
MOD15A2H,Lai_500m,A2000129,2000-05-08,0.1,6.9,794.9998,6.8,2.9121,4.525,2.1272,289,273,94.46,2020042172430,F
MOD15A2H,Lai_500m,A2000137,2000-05-16,0.3,6.9,591.1,6.6,2.6747,4.3775,2.0923,289,221,76.47,2020042225450,F
MOD15A2H,Lai_500m,A2000145,2000-05-24,0.1,6.9,457.5999,6.8,2.0613,4.6508,2.1566,289,222,76.82,2020043014831,0.1
MOD15A2H,Lai_500m,A2000153,2000-06-01,0.1,6.9,748.4001,6.8,2.803,5.424,2.329,289,267,92.39,2020045220713,F
