TIMESTAMP,NEE_VUT_REF,Fpar_500m,Lai_500m,Gpp_500m,ET_500m,LE_500m,PET_500m,PLE_500m,LST_Day_1km,LST_Night_1km,LSTE_Day_1KM,LSTE_Night_1KM,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,Maximum_temperature_BOM,Minimum_temperature_BOM,Rainfall_BOM,target_class,year,month,day_of_year,week_of_year
2012-01-01,-0.96303,0.52,1.7000000000000002,0.0546,21.0,6430000.0,59.7,18260000.0,31.15000000000004,17.510000000000048,31.390000000000043,18.79000000000002,48.2,222.1,24.0,50.1,284.90000000000003,205.0,91.1,30.5,12.4,0.8,NS,2012,1,1,52
2012-01-09,-0.798454,0.6,2.1,0.0604,24.4,7500000.0,54.900000000000006,16840000.0,30.23000000000001,12.850000000000025,31.970000000000027,13.810000000000002,52.1,252.8,28.200000000000003,57.6,292.5,230.2,105.0,30.7,20.5,25.0,NS,2012,1,9,2
2012-01-17,-0.475561,0.45,1.5,0.0474,22.0,6740000.0,51.1,15640000.0,28.31,18.55000000000001,28.03000000000003,18.350000000000023,32.4,217.0,16.8,37.8,241.8,169.4,68.2,28.0,15.6,7.4,NS,2012,1,17,3
2012-01-25,-0.96303,0.06,0.1,0.0363,23.200000000000003,7090000.0,41.5,12690000.0,0.0,0.0,0.0,0.0,346.70000000000005,450.2000000000001,328.1,343.0,493.3,417.3,338.8,22.8,19.4,19.0,NS,2012,1,25,4
2012-02-02,-0.798454,0.36,1.2000000000000002,0.0355,27.6,8470000.0,40.400000000000006,12400000.0,27.27000000000004,18.19000000000005,30.71000000000004,21.21000000000004,54.1,170.20000000000002,54.7,62.1,186.7,129.1,61.3,18.1,16.2,9.4,NS,2012,2,33,5
2012-02-10,-0.475561,0.58,1.5,0.0669,25.1,7710000.0,50.0,15330000.0,24.610000000000014,15.510000000000048,28.03000000000003,15.430000000000009,62.8,303.8,30.1,70.7,333.8,247.0,105.8,26.1,18.2,19.6,NS,2012,2,41,6
2012-02-18,-0.96303,0.58,1.5,0.0629,24.4,7480000.0,47.7,14620000.0,25.55000000000001,17.850000000000023,26.57000000000005,15.870000000000005,36.7,193.0,17.400000000000002,39.900000000000006,232.5,143.8,58.900000000000006,29.4,17.8,0.2,NS,2012,2,49,7
2012-02-26,-0.798454,0.1,0.2,0.0457,24.8,7580000.0,36.9,11280000.0,23.03000000000003,0.0,0.0,0.0,64.3,337.5,25.700000000000003,73.8,381.6,254.7,108.4,27.1,17.8,0.0,NS,2012,2,57,8
2012-03-05,-0.475561,0.61,1.6,0.0588,22.700000000000003,6960000.0,39.400000000000006,12100000.0,26.430000000000007,15.07000000000005,27.79000000000002,17.230000000000018,34.5,208.9,17.3,41.3,234.6,151.8,61.6,27.7,18.9,13.0,NS,2012,3,65,10
2012-03-13,-0.96303,0.6900000000000001,2.0,0.0641,26.700000000000003,8200000.0,39.400000000000006,12080000.0,25.49000000000001,15.890000000000043,29.15000000000004,16.83000000000004,34.0,202.9,17.7,39.5,251.1,155.60000000000002,63.6,28.4,14.3,0.0,NS,2012,3,73,11
2012-03-21,-0.798454,0.56,1.6,0.0465,20.1,6180000.0,34.5,10590000.0,24.83000000000004,14.350000000000025,26.19000000000005,15.230000000000018,37.0,214.4,16.8,41.0,245.3,173.0,68.10000000000001,27.6,17.9,5.289655172413793,NS,2012,3,81,12
2012-03-29,-0.475561,0.59,1.7000000000000002,0.0527,18.9,5800000.0,38.6,11850000.0,24.510000000000048,15.650000000000034,25.49000000000001,16.810000000000002,30.700000000000003,210.8,15.7,37.5,251.1,149.20000000000002,56.900000000000006,27.3,14.0,0.0,NS,2012,3,89,13
2012-04-06,-0.96303,0.61,1.7000000000000002,0.042,14.8,4560000.0,30.4,9350000.0,21.55000000000001,10.130000000000052,22.07000000000005,10.57000000000005,40.8,238.6,18.8,46.900000000000006,293.8,188.9,85.80000000000001,26.8,15.5,0.0,NS,2012,4,97,14
2012-04-14,-0.798454,0.47,1.2000000000000002,0.0256,12.3,3780000.0,21.4,6560000.0,20.79000000000002,15.930000000000009,22.350000000000023,0.0,38.1,198.5,18.6,40.6,215.2,138.1,61.8,25.9,11.1,0.0,NS,2012,4,105,15
2012-04-22,-0.475561,0.54,1.1,0.0304,10.2,3150000.0,21.3,6560000.0,20.63000000000005,10.670000000000016,21.930000000000007,11.230000000000018,43.900000000000006,206.0,21.3,41.3,253.0,158.5,63.1,23.6,15.0,0.0,NS,2012,4,113,16
2012-04-30,-0.96303,0.53,1.0,0.0272,8.200000000000001,2520000.0,20.700000000000003,6380000.0,18.170000000000016,7.150000000000034,18.57000000000005,8.010000000000048,33.300000000000004,186.2,20.700000000000003,38.1,219.0,141.8,58.7,21.8,8.1,0.0,NS,2012,4,121,18
2012-05-08,-0.798454,0.53,1.0,0.0257,7.2,2210000.0,23.1,7100000.0,17.79000000000002,7.770000000000039,17.970000000000027,8.350000000000023,31.8,186.9,17.6,34.800000000000004,226.3,153.8,72.0,23.0,4.4,0.0,NS,2012,5,129,19
2012-05-16,-0.475561,0.55,1.1,0.0224,7.1000000000000005,2180000.0,18.7,5780000.0,15.470000000000027,6.350000000000023,18.05000000000001,6.490000000000009,31.5,187.0,17.1,33.0,218.6,144.9,60.1,19.9,2.2,0.0,NS,2012,5,137,20
2012-05-24,-0.96303,0.53,1.0,0.0205,7.800000000000001,2410000.0,14.6,4500000.0,17.07000000000005,5.690000000000055,17.05000000000001,5.770000000000039,38.2,189.1,16.900000000000002,36.5,247.6,172.60000000000002,78.0,13.9,1.9,0.0,NS,2012,5,145,21
2012-06-01,-0.798454,0.44,0.8,0.0117,6.7,2070000.0,11.2,3460000.0,16.27000000000004,4.110000000000014,17.510000000000048,3.870000000000005,45.900000000000006,177.60000000000002,23.0,41.400000000000006,229.2,150.8,64.5,17.1,7.6,0.0,NS,2012,6,153,22
2012-06-09,-0.475561,0.58,1.2000000000000002,0.0178,7.7,2390000.0,11.4,3520000.0,14.470000000000027,5.690000000000055,15.390000000000043,7.090000000000032,28.0,196.0,16.8,33.2,210.4,126.2,45.3,16.6,0.5,0.0,NS,2012,6,161,23
2012-06-17,-0.96303,0.5,0.9,0.017,5.9,1820000.0,15.4,4760000.0,12.930000000000009,3.8100000000000014,13.79000000000002,3.9500000000000455,34.1,188.2,17.3,34.6,244.6,148.70000000000002,64.7,19.1,3.5,4.8,NS,2012,6,169,24
2012-06-25,-0.798454,0.42,0.7000000000000001,0.0127,6.300000000000001,1950000.0,12.4,3840000.0,13.490000000000007,3.750000000000057,15.050000000000011,4.9500000000000455,47.5,194.1,24.700000000000003,42.400000000000006,278.2,181.9,91.6,18.0,-1.0,0.0,NS,2012,6,177,26
2012-07-03,-0.475561,0.36,0.6000000000000001,0.0112,6.800000000000001,2100000.0,13.1,4050000.0,8.770000000000039,3.790000000000021,7.990000000000009,3.8100000000000014,211.6,297.2,213.3,214.7,334.3,234.9,141.8,16.2,-0.4,0.0,NS,2012,7,185,27
2012-07-11,-0.96303,0.54,1.1,0.0216,7.7,2370000.0,16.1,4980000.0,16.390000000000043,4.430000000000007,16.810000000000002,5.410000000000025,38.6,182.7,18.2,36.7,243.3,166.5,83.2,20.5,6.9,6.0,NS,2012,7,193,28
2012-07-19,-0.798454,0.43,0.8,0.0157,7.6,2350000.0,15.4,4750000.0,12.630000000000052,4.670000000000016,13.890000000000043,5.490000000000009,34.7,167.70000000000002,16.1,32.5,208.5,158.10000000000002,69.5,16.1,0.9,0.0,NS,2012,7,201,29
2012-07-27,-0.475561,0.51,0.9,0.0184,6.0,1850000.0,16.900000000000002,5230000.0,14.370000000000005,2.670000000000016,15.810000000000002,3.5300000000000296,61.3,199.4,25.8,49.400000000000006,284.5,217.2,116.1,17.5,3.0,0.0,NS,2012,7,209,30
2012-08-04,-0.96303,0.47,0.9,0.0212,5.9,1820000.0,22.8,7040000.0,16.77000000000004,4.110000000000014,18.010000000000048,4.730000000000018,75.9,212.7,31.8,57.2,309.6,252.6,145.0,21.0,-0.6,0.0,NS,2012,8,217,31
2012-08-12,-0.798454,0.51,0.9,0.0232,6.2,1920000.0,22.200000000000003,6860000.0,18.090000000000032,4.07000000000005,20.83000000000004,4.590000000000032,66.5,217.4,29.5,54.900000000000006,278.2,244.2,123.9,16.9,10.4,0.0,NS,2012,8,225,32
2012-08-20,-0.475561,0.51,0.9,0.029,6.5,2000000.0,29.200000000000003,9000000.0,21.430000000000007,6.270000000000039,21.99000000000001,6.910000000000025,46.7,187.9,22.700000000000003,42.2,258.40000000000003,194.0,97.3,19.3,-0.8,0.0,NS,2012,8,233,34
2012-08-28,-0.96303,0.49,1.2000000000000002,0.0263,7.1000000000000005,2200000.0,32.6,10070000.0,20.03000000000003,4.210000000000036,20.450000000000045,4.890000000000043,43.2,185.7,27.700000000000003,41.8,232.5,172.70000000000002,79.10000000000001,21.7,1.6,0.0,NS,2012,8,241,35
2012-09-05,-0.798454,0.48,1.2000000000000002,0.0341,8.9,2730000.0,39.7,12220000.0,23.29000000000002,7.990000000000009,25.53000000000003,8.330000000000041,40.3,186.3,18.6,36.8,259.90000000000003,184.0,102.0,27.8,1.6,0.0,NS,2012,9,249,36
