TIMESTAMP,NEE_VUT_REF,Fpar_500m,Lai_500m,Gpp_500m,ET_500m,LE_500m,PET_500m,PLE_500m,LST_Day_1km,LST_Night_1km,LSTE_Day_1KM,LSTE_Night_1KM,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,Maximum_temperature_BOM,Minimum_temperature_BOM,Rainfall_BOM,target_class,year,month,day_of_year,week_of_year
2014-01-01,0.471061,0.9,6.6000000000000005,0.1134,49.7,15130000.0,70.4,21450000.0,27.55000000000001,19.29000000000002,31.21000000000004,19.57000000000005,32.1,372.0,17.2,54.6,388.1,190.7,62.0,36.5,20.14181818181818,0.0,NS,2014,1,1,1
2014-01-09,-2.89186,0.21,0.5,0.078,36.8,11260000.0,50.0,15280000.0,0.0,16.410000000000025,0.0,19.510000000000048,163.3,316.8,156.3,168.0,310.3,230.4,165.8,31.6,20.0,0.0,S,2014,1,9,2
2014-01-17,-4.47559,0.6900000000000001,3.0,0.0681,30.700000000000003,9380000.0,49.0,14970000.0,23.410000000000025,0.0,25.670000000000016,0.0,38.2,203.3,27.8,40.5,199.9,110.5,59.0,30.027272727272727,19.2,2.0,S,2014,1,17,3
2014-01-25,-1.59825,0.9,6.5,0.0808,39.5,12050000.0,56.3,17180000.0,24.77000000000004,0.0,27.090000000000032,0.0,48.2,365.9,36.3,69.4,374.7000000000001,181.2,67.7,29.59433962264151,20.048214285714288,5.931666666666667,NS,2014,1,25,4
2014-02-02,2.35859,0.04,0.1,0.0478,24.6,7530000.0,29.4,9000000.0,0.0,0.0,0.0,0.0,589.2,675.0,567.9,589.8000000000001,673.6,514.0,319.90000000000003,33.9,20.67636363636364,9.61,NS,2014,2,33,5
2014-02-10,0.756645,0.9,6.6000000000000005,0.097,42.900000000000006,13090000.0,55.7,17000000.0,25.63000000000005,17.170000000000016,27.250000000000057,18.55000000000001,40.400000000000006,388.8,29.1,62.7,374.5,208.2,73.0,28.2,20.5,23.0,NS,2014,2,41,7
2014-02-18,-2.52962,0.16,0.3,0.0803,38.6,11800000.0,50.5,15410000.0,0.0,18.77000000000004,0.0,17.930000000000007,113.1,239.4,119.0,120.6,243.5,144.5,75.8,30.1,21.5,5.2,S,2014,2,49,8
2014-02-26,-3.49323,0.05,0.1,0.0875,42.3,12910000.0,57.6,17600000.0,0.0,17.250000000000057,0.0,15.610000000000014,475.3,566.3000000000001,468.8,476.3,573.4,426.9,276.1,29.5,19.5,0.0,S,2014,2,57,9
2014-03-06,-2.79914,0.06,0.1,0.0647,34.6,10580000.0,46.900000000000006,14330000.0,0.0,0.0,0.0,0.0,398.9,492.5,399.8,403.8,452.8,380.1,227.9,27.0,18.8,0.8,S,2014,3,65,10
2014-03-14,-1.59896,0.95,6.4,0.0656,35.2,10770000.0,51.5,15740000.0,23.49000000000001,18.31,26.15000000000004,18.090000000000032,18.4,278.7,10.1,33.1,287.1,128.0,37.6,27.78518518518519,19.6,0.0,NS,2014,3,73,11
2014-03-22,-1.02364,0.09,0.2,0.0373,26.1,7980000.0,32.800000000000004,10010000.0,0.0,14.610000000000014,0.0,0.0,293.3,408.2000000000001,290.90000000000003,299.3,394.1,269.7,180.4,27.89814814814815,19.205555555555552,4.287931034482759,NS,2014,3,81,12
