TIMESTAMP,NEE_VUT_REF,Fpar_500m,Lai_500m,Gpp_500m,ET_500m,LE_500m,PET_500m,PLE_500m,LST_Day_1km,LST_Night_1km,LSTE_Day_1KM,LSTE_Night_1KM,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,Maximum_temperature_BOM,Minimum_temperature_BOM,Rainfall_BOM,target_class,year,month,day_of_year,week_of_year
2011-01-01,-2.86264,0.46,1.3,0.039,13.5,4130000.0,62.6,19150000.0,32.85000000000002,15.950000000000044,33.59000000000003,17.05000000000001,69.9,227.1,34.5,57.1,273.8,213.4,127.0,30.2,20.2,0.0,S,2011,1,1,52
2011-01-09,-3.15018,0.51,1.7000000000000002,0.0407,22.9,6980000.0,47.3,14430000.0,29.23000000000001,19.350000000000023,34.110000000000014,21.03000000000003,53.3,236.7,26.200000000000003,51.2,275.3,187.0,88.7,23.2,17.0,0.0,S,2011,1,9,1
2011-01-17,-2.77379,0.5,1.5,0.0512,17.2,5270000.0,62.8,19210000.0,29.090000000000032,17.07000000000005,32.870000000000005,17.350000000000023,73.7,254.9,38.3,63.6,297.3,248.5,152.3,24.0,14.0,0.0,S,2011,1,17,3
2011-01-25,-2.86264,0.5,1.5,0.0324,13.0,3960000.0,67.0,20420000.0,35.410000000000025,17.55000000000001,35.870000000000005,19.430000000000007,80.0,238.3,40.3,66.4,301.7,256.0,162.10000000000002,29.1,12.4,0.0,S,2011,1,25,4
2011-02-02,-3.15018,0.5700000000000001,1.5,0.0487,18.8,5760000.0,44.3,13560000.0,26.77000000000004,15.390000000000043,26.69000000000005,16.99000000000001,61.7,249.4,30.6,53.7,280.40000000000003,220.2,124.4,33.0,16.4,0.0,S,2011,2,33,5
2011-02-10,-2.77379,0.46,1.5,0.0413,21.700000000000003,6630000.0,44.900000000000006,13750000.0,25.05000000000001,14.930000000000009,25.010000000000048,14.79000000000002,43.8,207.5,21.4,39.1,243.2,158.70000000000002,84.30000000000001,30.6,15.0,0.0,S,2011,2,41,6
2011-02-18,-2.86264,0.58,1.5,0.0545,18.9,5780000.0,48.1,14740000.0,27.750000000000057,13.950000000000044,28.49000000000001,14.29000000000002,56.5,223.9,30.6,50.5,254.9,202.2,117.3,29.8,17.8,0.0,S,2011,2,49,7
2011-02-26,-3.15018,0.59,1.6,0.0497,18.2,5580000.0,41.400000000000006,12710000.0,24.31,12.190000000000056,28.53000000000003,13.07000000000005,58.2,267.7,30.1,52.7,301.2,196.8,110.9,30.2,12.8,0.0,S,2011,2,57,8
2011-03-06,-2.77379,0.5700000000000001,1.6,0.045,19.700000000000003,6020000.0,44.900000000000006,13740000.0,25.670000000000016,16.470000000000027,28.83000000000004,15.910000000000023,47.8,227.7,25.5,43.2,275.40000000000003,177.4,90.5,25.9,8.8,0.0,S,2011,3,65,9
2011-03-14,-2.86264,0.59,1.6,0.0468,16.900000000000002,5200000.0,39.6,12130000.0,25.090000000000032,13.650000000000034,26.27000000000004,14.77000000000004,50.5,233.6,25.8,44.400000000000006,255.8,179.70000000000002,95.9,24.5,14.3,4.6,S,2011,3,73,11
2011-03-22,-3.15018,0.58,1.6,0.0477,15.5,4760000.0,37.7,11570000.0,21.510000000000048,11.370000000000005,23.590000000000032,11.57000000000005,49.400000000000006,221.7,27.8,44.6,249.2,180.0,97.2,25.4,17.3,10.0,S,2011,3,81,12
2011-03-30,-2.77379,0.62,1.3,0.0443,11.8,3620000.0,32.2,9910000.0,20.850000000000023,10.430000000000009,22.23000000000001,11.130000000000052,52.900000000000006,258.1,26.1,48.900000000000006,293.5,179.20000000000002,88.9,23.6,11.7,0.0,S,2011,3,89,13
2011-04-07,-2.86264,0.44,1.1,0.024,10.5,3220000.0,26.5,8140000.0,22.970000000000027,10.710000000000036,22.23000000000001,10.83000000000004,53.0,238.3,25.200000000000003,45.2,272.40000000000003,194.0,109.0,24.8,6.6,0.0,S,2011,4,97,14
2011-04-15,-3.15018,0.6,1.2000000000000002,0.0318,10.1,3100000.0,24.200000000000003,7460000.0,17.79000000000002,9.350000000000025,18.850000000000023,10.110000000000014,49.0,217.2,22.5,43.2,262.0,173.8,91.8,20.9,7.8,0.0,S,2011,4,105,15
2011-04-23,-2.77379,0.61,1.2000000000000002,0.0342,10.1,3110000.0,25.700000000000003,7900000.0,19.13000000000005,8.730000000000018,19.970000000000027,9.410000000000023,36.8,209.1,18.6,32.5,235.3,142.4,68.0,17.9,2.3,0.0,S,2011,4,113,16
2011-05-01,-2.86264,0.6900000000000001,1.5,0.0283,9.5,2930000.0,17.0,5240000.0,15.230000000000018,6.410000000000025,16.29000000000002,6.990000000000009,58.8,277.5,27.4,53.2,317.20000000000005,193.7,110.9,19.0,10.1,0.0,S,2011,5,121,17
2011-05-09,-3.15018,0.68,1.5,0.0193,7.800000000000001,2410000.0,13.6,4210000.0,12.710000000000036,5.550000000000011,14.750000000000057,6.010000000000048,39.8,247.5,17.900000000000002,36.0,273.2,150.1,71.7,15.3,4.7,0.0,S,2011,5,129,19
2011-05-17,-2.77379,0.66,1.4,0.0185,9.2,2850000.0,13.4,4150000.0,14.79000000000002,7.090000000000032,0.0,8.230000000000018,70.9,299.40000000000003,32.0,59.0,306.0,220.3,109.0,16.7,9.1,0.0,S,2011,5,137,20
2011-05-25,-2.86264,0.66,1.5,0.0204,8.3,2560000.0,13.4,4140000.0,11.450000000000044,4.730000000000018,13.33000000000004,6.190000000000055,33.5,229.6,17.2,31.5,217.5,118.3,40.1,13.2,2.4,0.0,S,2011,5,145,21
2011-06-02,-3.15018,0.62,1.3,0.0163,7.1000000000000005,2200000.0,12.1,3740000.0,9.010000000000048,3.2700000000000387,12.230000000000018,3.5300000000000296,47.3,287.1,19.9,47.1,301.1,163.3,69.8,18.0,2.2,0.0,S,2011,6,153,22
2011-06-10,-2.77379,0.6,1.2000000000000002,0.0169,6.300000000000001,1940000.0,11.5,3570000.0,11.050000000000011,4.170000000000016,12.970000000000027,5.3700000000000045,40.1,213.8,21.200000000000003,38.1,217.4,135.20000000000002,59.6,14.2,3.2,0.0,S,2011,6,161,23
2011-06-18,-2.86264,0.7000000000000001,1.6,0.0172,8.8,2710000.0,11.4,3530000.0,8.970000000000027,3.750000000000057,9.930000000000009,4.03000000000003,37.6,302.40000000000003,18.0,39.1,265.3,137.5,51.7,16.4,4.9,0.0,S,2011,6,169,24
2011-06-26,-3.15018,0.66,1.5,0.0181,8.200000000000001,2530000.0,12.1,3730000.0,11.130000000000052,3.57000000000005,11.490000000000007,3.650000000000034,34.0,207.5,16.6,30.1,207.9,120.5,50.900000000000006,14.4,2.8,0.0,S,2011,6,177,25
2011-07-04,-2.77379,0.68,1.5,0.0127,7.300000000000001,2280000.0,9.7,3000000.0,9.29000000000002,4.650000000000034,9.970000000000027,5.650000000000034,28.5,197.9,13.4,26.3,220.0,104.8,40.8,14.0,8.0,16.0,S,2011,7,185,27
2011-07-12,-2.86264,0.63,1.3,0.0133,6.7,2070000.0,10.0,3090000.0,7.730000000000018,5.330000000000041,0.0,5.990000000000009,44.5,340.5,19.8,44.6,330.40000000000003,140.0,52.6,11.2,5.9,0.0,S,2011,7,193,28
2011-07-20,-3.15018,0.61,1.2000000000000002,0.0158,7.300000000000001,2270000.0,12.1,3730000.0,10.590000000000032,3.850000000000023,11.470000000000027,5.4500000000000455,32.800000000000004,205.5,17.7,30.5,235.5,129.20000000000002,59.7,14.9,7.3,0.0,S,2011,7,201,29
2011-07-28,-2.77379,0.6,1.2000000000000002,0.0216,8.6,2650000.0,18.0,5540000.0,12.57000000000005,9.57000000000005,11.79000000000002,10.53000000000003,32.800000000000004,193.6,15.3,29.0,202.4,120.0,50.400000000000006,13.9,-2.1,0.0,S,2011,7,209,30
2011-08-05,-2.86264,0.61,1.2000000000000002,0.021,8.5,2630000.0,14.9,4610000.0,11.170000000000016,4.57000000000005,10.970000000000027,4.910000000000025,42.3,245.4,17.6,39.7,273.40000000000003,140.4,69.10000000000001,18.1,7.2,0.0,S,2011,8,217,31
2011-08-13,-3.15018,0.61,1.2000000000000002,0.0216,9.6,2980000.0,16.400000000000002,5080000.0,14.250000000000057,6.8700000000000045,16.090000000000032,7.230000000000018,33.7,206.2,15.0,33.4,227.8,119.2,42.6,11.9,0.6,0.0,S,2011,8,225,32
2011-08-21,-2.77379,0.5700000000000001,1.1,0.0285,9.3,2860000.0,25.4,7840000.0,15.090000000000032,5.07000000000005,15.350000000000025,4.890000000000043,39.2,204.8,18.3,35.0,246.4,150.20000000000002,86.10000000000001,17.1,0.4,0.0,S,2011,8,233,33
