product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD09A1,sur_refl_b01,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b02,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b03,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b04,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b05,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b06,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b07,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b01,A2000057,2000-02-26,0.0201,0.1514,20.0952,0.1313,0.0695,0.0003,0.0187,289,289,100.0,2020037221349,0.0434
MOD09A1,sur_refl_b02,A2000057,2000-02-26,0.1587,0.3099,67.6082,0.1512,0.2339,0.0008,0.0274,289,289,100.0,2020037221349,0.1996
MOD09A1,sur_refl_b03,A2000057,2000-02-26,0.0072,0.0645,9.9572,0.0573,0.0345,0.0001,0.0091,289,289,100.0,2020037221349,0.0241
MOD09A1,sur_refl_b04,A2000057,2000-02-26,0.0254,0.1179,18.2773,0.0925,0.0632,0.0002,0.0134,289,289,100.0,2020037221349,0.0452
MOD09A1,sur_refl_b05,A2000057,2000-02-26,0.1871,0.3559,81.7719,0.1688,0.2829,0.001,0.0317,289,289,100.0,2020037221349,0.2553
MOD09A1,sur_refl_b06,A2000057,2000-02-26,0.099,0.3188,64.9823,0.2198,0.2249,0.0016,0.0402,289,289,100.0,2020037221349,0.1834
MOD09A1,sur_refl_b07,A2000057,2000-02-26,0.0359,0.2303,36.3159,0.1944,0.1257,0.0009,0.0305,289,289,100.0,2020037221349,0.0905
MOD09A1,sur_refl_b01,A2000065,2000-03-05,0.0161,0.0752,13.8185,0.0591,0.0478,0.0001,0.0114,289,289,100.0,2020038171353,0.0333
MOD09A1,sur_refl_b02,A2000065,2000-03-05,0.1649,0.2526,59.5988,0.0877,0.2062,0.0004,0.02,289,289,100.0,2020038171353,0.179
MOD09A1,sur_refl_b03,A2000065,2000-03-05,0.0059,0.0381,6.8938,0.0322,0.0239,0.0,0.0063,289,289,100.0,2020038171353,0.017
MOD09A1,sur_refl_b04,A2000065,2000-03-05,0.0218,0.0721,14.3346,0.0503,0.0496,0.0001,0.0095,289,289,100.0,2020038171353,0.0372
MOD09A1,sur_refl_b05,A2000065,2000-03-05,0.1747,0.285,66.8246,0.1103,0.2312,0.0006,0.0252,289,289,100.0,2020038171353,0.2108
MOD09A1,sur_refl_b06,A2000065,2000-03-05,0.0791,0.2394,49.4928,0.1603,0.1713,0.0007,0.0267,289,289,100.0,2020038171353,0.1451
MOD09A1,sur_refl_b07,A2000065,2000-03-05,0.0244,0.1185,23.7576,0.0941,0.0822,0.0003,0.0159,289,289,100.0,2020038171353,0.0665
MOD09A1,sur_refl_b01,A2000073,2000-03-13,0.0439,0.0743,0.5965,0.0304,0.0542,0.0001,0.0105,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b02,A2000073,2000-03-13,0.1859,0.239,2.29,0.0531,0.2082,0.0003,0.0184,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b03,A2000073,2000-03-13,0.0252,0.0749,0.4887,0.0497,0.0444,0.0002,0.0147,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b04,A2000073,2000-03-13,0.0485,0.0821,0.6757,0.0336,0.0614,0.0001,0.0103,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b05,A2000073,2000-03-13,0.2075,0.2622,2.51,0.0547,0.2282,0.0004,0.0197,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b06,A2000073,2000-03-13,0.1296,0.1896,1.8373,0.06,0.167,0.0004,0.0212,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b07,A2000073,2000-03-13,0.0578,0.0921,0.8155,0.0343,0.0741,0.0001,0.0108,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b01,A2000081,2000-03-21,0.024,0.0985,13.7095,0.0745,0.0474,0.0002,0.0136,289,289,100.0,2020040191306,0.024
MOD09A1,sur_refl_b02,A2000081,2000-03-21,0.18,0.3791,75.9898,0.1991,0.2629,0.0018,0.0419,289,289,100.0,2020040191306,0.18
MOD09A1,sur_refl_b03,A2000081,2000-03-21,0.0071,0.049,6.9459,0.0419,0.024,0.0001,0.0075,289,289,100.0,2020040191306,0.0136
MOD09A1,sur_refl_b04,A2000081,2000-03-21,0.0317,0.0919,16.1753,0.0602,0.056,0.0001,0.011,289,289,100.0,2020040191306,0.0317
MOD09A1,sur_refl_b05,A2000081,2000-03-21,0.2117,0.3561,81.1549,0.1444,0.2808,0.0011,0.0339,289,289,100.0,2020040191306,0.2202
MOD09A1,sur_refl_b06,A2000081,2000-03-21,0.1346,0.2484,55.922,0.1138,0.1935,0.0007,0.0258,289,289,100.0,2020040191306,0.143
MOD09A1,sur_refl_b07,A2000081,2000-03-21,0.0457,0.1336,26.1697,0.0879,0.0906,0.0003,0.0164,289,289,100.0,2020040191306,0.0598
MOD09A1,sur_refl_b01,A2000089,2000-03-29,0.0197,0.1257,15.1542,0.106,0.0524,0.0003,0.0166,289,289,100.0,2020041210159,0.0319
MOD09A1,sur_refl_b02,A2000089,2000-03-29,0.1628,0.3885,75.0378,0.2257,0.2596,0.0017,0.0408,289,289,100.0,2020041210159,0.1955
MOD09A1,sur_refl_b03,A2000089,2000-03-29,0.0077,0.0521,7.6063,0.0444,0.0263,0.0001,0.0082,289,289,100.0,2020041210159,0.0153
MOD09A1,sur_refl_b04,A2000089,2000-03-29,0.0259,0.1026,16.8355,0.0767,0.0583,0.0002,0.0132,289,289,100.0,2020041210159,0.0374
MOD09A1,sur_refl_b05,A2000089,2000-03-29,0.2003,0.3601,82.1453,0.1598,0.2842,0.0011,0.0333,289,289,100.0,2020041210159,0.2413
MOD09A1,sur_refl_b06,A2000089,2000-03-29,0.1027,0.2753,58.8458,0.1726,0.2036,0.0011,0.0325,289,289,100.0,2020041210159,0.1594
