product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD09A1,sur_refl_b02,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b02,A2000057,2000-02-26,0.1587,0.3099,67.6082,0.1512,0.2339,0.0008,0.0274,289,289,100.0,2020037221349,0.1996
MOD09A1,sur_refl_b02,A2000065,2000-03-05,0.1649,0.2526,59.5988,0.0877,0.2062,0.0004,0.02,289,289,100.0,2020038171353,0.179
MOD09A1,sur_refl_b02,A2000073,2000-03-13,0.1859,0.239,2.29,0.0531,0.2082,0.0003,0.0184,289,11,3.81,2020040191419,F
MOD09A1,sur_refl_b02,A2000081,2000-03-21,0.18,0.3791,75.9898,0.1991,0.2629,0.0018,0.0419,289,289,100.0,2020040191306,0.18
MOD09A1,sur_refl_b02,A2000089,2000-03-29,0.1628,0.3885,75.0378,0.2257,0.2596,0.0017,0.0408,289,289,100.0,2020041210159,0.1955
MOD09A1,sur_refl_b02,A2000097,2000-04-06,0.1731,0.3885,77.7779,0.2154,0.2691,0.0017,0.0416,289,289,100.0,2020041041833,0.219
MOD09A1,sur_refl_b02,A2000105,2000-04-14,0.1578,0.3714,73.1938,0.2136,0.2533,0.0016,0.0397,289,289,100.0,2020041072415,0.1836
MOD09A1,sur_refl_b02,A2000113,2000-04-22,0.1934,0.4241,72.2329,0.2307,0.2789,0.0015,0.0383,289,259,89.62,2020041220338,0.2024
MOD09A1,sur_refl_b02,A2000121,2000-04-30,0.1606,0.3917,73.7274,0.2311,0.2551,0.0017,0.0416,289,289,100.0,2020042020057,0.2014
MOD09A1,sur_refl_b02,A2000129,2000-05-08,0.1677,0.3967,74.3929,0.229,0.2574,0.0019,0.0435,289,289,100.0,2020042170109,0.1774
MOD09A1,sur_refl_b02,A2000137,2000-05-16,0.166,0.3922,75.0776,0.2262,0.2598,0.0019,0.0431,289,289,100.0,2020042225036,0.2077
MOD09A1,sur_refl_b02,A2000145,2000-05-24,0.1791,0.3834,80.2068,0.2043,0.2775,0.0016,0.0401,289,289,100.0,2020043014527,0.2706
MOD09A1,sur_refl_b02,A2000153,2000-06-01,0.1553,0.3952,72.9212,0.2399,0.2523,0.0018,0.0428,289,289,100.0,2020045215048,0.1839
MOD09A1,sur_refl_b02,A2000161,2000-06-09,0.1864,0.3578,72.2543,0.1714,0.25,0.0013,0.0364,289,289,100.0,2020046020335,0.2135
MOD09A1,sur_refl_b02,A2000169,2000-06-17,0.1656,0.349,67.9452,0.1834,0.2351,0.0011,0.0336,289,289,100.0,2020047235040,0.1808
MOD09A1,sur_refl_b02,A2000177,2000-06-25,0.1493,0.3566,65.9268,0.2073,0.2281,0.0012,0.034,289,289,100.0,2020048052135,0.1705
MOD09A1,sur_refl_b02,A2000185,2000-07-03,0.1111,0.3811,63.0641,0.27,0.2182,0.0015,0.0386,289,289,100.0,2020048082123,0.1531
MOD09A1,sur_refl_b02,A2000193,2000-07-11,0.1386,0.3586,63.155,0.22,0.2185,0.001,0.0315,289,289,100.0,2020051202034,0.1699
MOD09A1,sur_refl_b02,A2000201,2000-07-19,0.1547,0.403,66.4243,0.2483,0.2298,0.0012,0.0346,289,289,100.0,2020048195934,0.1794
MOD09A1,sur_refl_b02,A2000209,2000-07-27,0.1426,0.4052,63.8418,0.2626,0.2209,0.0013,0.036,289,289,100.0,2020048230434,0.1781
MOD09A1,sur_refl_b02,A2000217,2000-08-04,0.1354,0.3568,64.239,0.2214,0.2223,0.0012,0.0342,289,289,100.0,2020049000121,0.1637
MOD09A1,sur_refl_b02,A2000225,2000-08-12,0.2423,0.4132,63.3015,0.1709,0.2958,0.0009,0.0307,289,214,74.05,2020049162705,F
MOD09A1,sur_refl_b02,A2000233,2000-08-20,0.1544,0.4121,68.0755,0.2577,0.2356,0.0014,0.0379,289,289,100.0,2020050212726,0.192
MOD09A1,sur_refl_b02,A2000241,2000-08-28,0.0756,0.4544,68.0497,0.3788,0.2457,0.0017,0.0413,289,277,95.85,2020051032150,0.2076
MOD09A1,sur_refl_b02,A2000249,2000-09-05,0.0622,0.4085,65.007,0.3463,0.2249,0.002,0.0449,289,289,100.0,2020051064038,0.1211
MOD09A1,sur_refl_b02,A2000257,2000-09-13,0.1482,0.4555,68.0039,0.3073,0.2353,0.0014,0.0375,289,289,100.0,2020051181326,0.1745
MOD09A1,sur_refl_b02,A2000265,2000-09-21,0.1815,0.4856,73.0474,0.3041,0.2528,0.0013,0.0365,289,289,100.0,2020052002115,0.2056
MOD09A1,sur_refl_b02,A2000273,2000-09-29,0.1509,0.4659,65.4157,0.315,0.2264,0.0012,0.035,289,289,100.0,2020052034206,0.1762
MOD09A1,sur_refl_b02,A2000281,2000-10-07,0.1481,0.3516,64.0029,0.2035,0.2215,0.0009,0.03,289,289,100.0,2020052173235,0.1634
MOD09A1,sur_refl_b02,A2000289,2000-10-15,0.169,0.3778,67.7332,0.2088,0.2463,0.0014,0.0367,289,275,95.16,2020052225212,0.1964
MOD09A1,sur_refl_b02,A2000297,2000-10-23,0.1616,0.3789,71.9796,0.2173,0.2491,0.0017,0.0407,289,289,100.0,2020053014610,0.1708
MOD09A1,sur_refl_b02,A2000305,2000-10-31,0.2303,0.3943,23.6361,0.164,0.3151,0.0019,0.0433,289,75,25.95,2020055200256,F
MOD09A1,sur_refl_b02,A2000313,2000-11-08,0.1071,0.4182,33.8396,0.3111,0.2583,0.0033,0.0571,289,131,45.33,2020056072639,0.1429
MOD09A1,sur_refl_b02,A2000321,2000-11-16,0.2065,0.4057,85.6788,0.1992,0.2996,0.0016,0.0404,289,286,98.96,2020056160542,0.2324
MOD09A1,sur_refl_b02,A2000329,2000-11-24,0.1756,0.3922,82.325,0.2166,0.2849,0.0023,0.0479,289,289,100.0,2020056195254,0.2208
MOD09A1,sur_refl_b02,A2000337,2000-12-02,0.1618,0.4103,84.45,0.2485,0.2922,0.0028,0.0529,289,289,100.0,2020057054547,0.2192
MOD09A1,sur_refl_b02,A2000345,2000-12-10,0.1537,0.3989,78.2241,0.2452,0.2707,0.0025,0.0499,289,289,100.0,2020057105812,0.2116
MOD09A1,sur_refl_b02,A2000353,2000-12-18,0.1523,0.4352,81.0808,0.2829,0.2806,0.0043,0.0659,289,289,100.0,2020057142443,0.1813
MOD09A1,sur_refl_b02,A2000361,2000-12-26,0.163,0.3742,78.9247,0.2112,0.2731,0.0021,0.0461,289,289,100.0,2020058214732,0.2226
MOD09A1,sur_refl_b02,A2001001,2001-01-01,0.1595,0.4168,75.0811,0.2573,0.2598,0.0016,0.0405,289,289,100.0,2020059012735,0.1855
MOD09A1,sur_refl_b02,A2001009,2001-01-09,0.171,0.376,74.7525,0.205,0.2587,0.0012,0.035,289,289,100.0,2020062004533,0.1959
MOD09A1,sur_refl_b02,A2001017,2001-01-17,0.2201,0.4212,93.3697,0.2011,0.3231,0.0014,0.0373,289,289,100.0,2020062020352,0.2741
MOD09A1,sur_refl_b02,A2001025,2001-01-25,0.1809,0.3543,70.9232,0.1734,0.2463,0.0008,0.0283,289,288,99.65,2020062030504,0.22
MOD09A1,sur_refl_b02,A2001033,2001-02-02,0.1876,0.4109,79.7447,0.2233,0.2932,0.0019,0.0439,289,272,94.12,2020064194621,0.2565
MOD09A1,sur_refl_b02,A2001041,2001-02-10,0.2082,0.4116,84.9602,0.2034,0.3013,0.0024,0.0485,289,282,97.58,2020062040809,0.2686
MOD09A1,sur_refl_b02,A2001049,2001-02-18,0.2047,0.4481,77.4483,0.2434,0.268,0.0013,0.0358,289,289,100.0,2020062045816,0.2663
MOD09A1,sur_refl_b02,A2001057,2001-02-26,0.1138,0.4203,56.9087,0.3065,0.3535,0.0022,0.0466,289,161,55.71,2020062060024,F
MOD09A1,sur_refl_b02,A2001065,2001-03-06,0.1674,0.2661,1.1806,0.0987,0.2361,0.0012,0.035,289,5,1.73,2020062064549,F
MOD09A1,sur_refl_b02,A2001073,2001-03-14,0.1965,0.3971,81.6056,0.2006,0.2824,0.0015,0.0385,289,289,100.0,2020062090916,0.2435
MOD09A1,sur_refl_b02,A2001081,2001-03-22,0.2003,0.4061,82.5138,0.2058,0.2855,0.0013,0.0363,289,289,100.0,2020062092755,0.2382
MOD09A1,sur_refl_b02,A2001089,2001-03-30,0.1832,0.3734,76.3959,0.1902,0.2643,0.0012,0.0352,289,289,100.0,2020062102704,0.2098
MOD09A1,sur_refl_b02,A2001097,2001-04-07,0.228,0.3854,87.5822,0.1574,0.3062,0.0011,0.0329,289,286,98.96,2020062111015,0.2567
MOD09A1,sur_refl_b02,A2001105,2001-04-15,0.1724,0.3615,74.1992,0.1891,0.2567,0.0011,0.0333,289,289,100.0,2020062114852,0.2076
MOD09A1,sur_refl_b02,A2001113,2001-04-23,0.168,0.3461,72.0614,0.1781,0.2493,0.0011,0.0328,289,289,100.0,2020062122058,0.2018
MOD09A1,sur_refl_b02,A2001121,2001-05-01,0.1705,0.3344,71.9966,0.1639,0.25,0.0011,0.0335,289,288,99.65,2020062125501,0.2054
MOD09A1,sur_refl_b02,A2001129,2001-05-09,0.1717,0.343,72.1059,0.1713,0.2495,0.0011,0.0336,289,289,100.0,2020062132259,0.2088
MOD09A1,sur_refl_b02,A2001137,2001-05-17,0.1862,0.3712,72.8808,0.185,0.2522,0.0013,0.0356,289,289,100.0,2020062135828,0.2206
MOD09A1,sur_refl_b02,A2001145,2001-05-25,0.1765,0.361,74.627,0.1845,0.2582,0.0012,0.0351,289,289,100.0,2020062143138,0.2104
MOD09A1,sur_refl_b02,A2001153,2001-06-02,0.1843,0.37,71.5493,0.1857,0.2476,0.0011,0.0336,289,289,100.0,2020062150527,0.2
MOD09A1,sur_refl_b02,A2001161,2001-06-10,0.1769,0.4017,73.0683,0.2248,0.2528,0.0012,0.0341,289,289,100.0,2020062152636,0.2244
MOD09A1,sur_refl_b02,A2001177,2001-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020062154210,F
MOD09A1,sur_refl_b02,A2001185,2001-07-04,0.1142,0.378,66.1366,0.2638,0.2329,0.0028,0.0525,289,284,98.27,2020062160456,0.1697
MOD09A1,sur_refl_b02,A2001193,2001-07-12,0.2015,0.4051,72.6329,0.2036,0.2661,0.0011,0.033,289,273,94.46,2020062164114,0.2289
MOD09A1,sur_refl_b02,A2001201,2001-07-20,0.1595,0.3346,65.6046,0.1751,0.2302,0.0007,0.0271,289,285,98.62,2020062220840,0.2055
MOD09A1,sur_refl_b02,A2001209,2001-07-28,0.1634,0.3913,64.2152,0.2279,0.2237,0.001,0.0312,289,287,99.31,2020063053245,0.1846
MOD09A1,sur_refl_b02,A2001217,2001-08-05,0.1706,0.4012,68.8308,0.2306,0.2382,0.0013,0.0355,289,289,100.0,2020063103229,0.1951
MOD09A1,sur_refl_b02,A2001225,2001-08-13,0.1621,0.4107,68.8151,0.2486,0.2415,0.0014,0.0371,289,285,98.62,2020063144220,0.2176
MOD09A1,sur_refl_b02,A2001233,2001-08-21,0.1607,0.3868,72.2407,0.2261,0.25,0.0015,0.0384,289,289,100.0,2020063184047,0.1999
MOD09A1,sur_refl_b02,A2001241,2001-08-29,0.1951,0.3952,65.5335,0.2001,0.2849,0.0014,0.0375,289,230,79.58,2020063222754,0.2857
MOD09A1,sur_refl_b02,A2001249,2001-09-06,0.1655,0.4139,71.6309,0.2484,0.2479,0.0015,0.0388,289,289,100.0,2020064023539,0.2035
MOD09A1,sur_refl_b02,A2001257,2001-09-14,0.1772,0.44,76.2745,0.2628,0.2639,0.0015,0.0391,289,289,100.0,2020064211208,0.2148
MOD09A1,sur_refl_b02,A2001265,2001-09-22,0.1577,0.4084,70.2015,0.2507,0.2429,0.0014,0.038,289,289,100.0,2020065041642,0.1899
MOD09A1,sur_refl_b02,A2001273,2001-09-30,0.152,0.4407,73.4749,0.2887,0.2542,0.0022,0.0466,289,289,100.0,2020065095347,0.1988
MOD09A1,sur_refl_b02,A2001281,2001-10-08,0.1805,0.4441,76.8107,0.2636,0.2658,0.0018,0.042,289,289,100.0,2020065134727,0.2144
MOD09A1,sur_refl_b02,A2001289,2001-10-16,0.1668,0.3662,71.6561,0.1994,0.2479,0.002,0.0443,289,289,100.0,2020065221839,0.2119
MOD09A1,sur_refl_b02,A2001297,2001-10-24,0.1913,0.4081,79.6434,0.2168,0.2756,0.0014,0.0376,289,289,100.0,2020066035056,0.2222
MOD09A1,sur_refl_b02,A2001305,2001-11-01,0.1896,0.3365,40.7074,0.1469,0.2576,0.0009,0.0303,289,158,54.67,2020066072551,0.2191
MOD09A1,sur_refl_b02,A2001313,2001-11-09,0.1675,0.362,76.6201,0.1945,0.2651,0.0016,0.0406,289,289,100.0,2020066112140,0.2197
MOD09A1,sur_refl_b02,A2001321,2001-11-17,0.2205,0.4093,33.3566,0.1888,0.3336,0.0016,0.0398,289,100,34.6,2020066153828,F
MOD09A1,sur_refl_b02,A2001329,2001-11-25,0.191,0.379,78.6867,0.188,0.2723,0.0013,0.0356,289,289,100.0,2020066235126,0.2301
MOD09A1,sur_refl_b02,A2001337,2001-12-03,0.1715,0.3201,67.7307,0.1486,0.2344,0.0009,0.0296,289,289,100.0,2020067065440,0.1849
MOD09A1,sur_refl_b02,A2001345,2001-12-11,0.1696,0.3575,71.2128,0.1879,0.2464,0.0011,0.0334,289,289,100.0,2020067105658,0.2013
MOD09A1,sur_refl_b02,A2001353,2001-12-19,0.1292,0.3923,83.6393,0.2631,0.2894,0.0016,0.0394,289,289,100.0,2020067142028,0.1292
MOD09A1,sur_refl_b02,A2001361,2001-12-27,0.159,0.3953,85.685,0.2363,0.2965,0.0015,0.0394,289,289,100.0,2020067182144,0.2722
MOD09A1,sur_refl_b02,A2002001,2002-01-01,0.1851,0.3953,84.9757,0.2102,0.294,0.0013,0.0367,289,289,100.0,2020067215837,0.2381
MOD09A1,sur_refl_b02,A2002009,2002-01-09,0.2198,0.4293,93.0689,0.2095,0.322,0.0015,0.0384,289,289,100.0,2020068043830,0.2884
MOD09A1,sur_refl_b02,A2002017,2002-01-17,0.1656,0.3544,66.2779,0.1888,0.2293,0.001,0.0323,289,289,100.0,2020068111337,0.1818
MOD09A1,sur_refl_b02,A2002025,2002-01-25,0.116,0.6194,63.9393,0.5034,0.2558,0.0056,0.0746,289,250,86.51,2020068155048,0.2522
MOD09A1,sur_refl_b02,A2002033,2002-02-02,0.1987,0.4033,82.9521,0.2046,0.287,0.0017,0.0416,289,289,100.0,2020068201428,0.251
MOD09A1,sur_refl_b02,A2002041,2002-02-10,0.1236,0.4168,64.7945,0.2932,0.2613,0.0029,0.0538,289,248,85.81,2020069003615,0.1984
MOD09A1,sur_refl_b02,A2002049,2002-02-18,0.1613,0.418,73.8078,0.2567,0.2599,0.0025,0.0499,289,284,98.27,2020069044804,0.186
MOD09A1,sur_refl_b02,A2002057,2002-02-26,0.1657,0.3925,74.6453,0.2268,0.2583,0.0024,0.049,289,289,100.0,2020069083012,0.2148
MOD09A1,sur_refl_b02,A2002065,2002-03-06,0.169,0.4202,80.5054,0.2512,0.2786,0.0028,0.0525,289,289,100.0,2020069120751,0.2145
MOD09A1,sur_refl_b02,A2002073,2002-03-14,0.1854,0.3954,77.4072,0.21,0.2678,0.0018,0.0423,289,289,100.0,2020069144137,0.1973
MOD09A1,sur_refl_b02,A2002081,2002-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020069160250,F
MOD09A1,sur_refl_b02,A2002089,2002-03-30,0.1703,0.4158,78.7789,0.2455,0.2726,0.0022,0.0474,289,289,100.0,2020070000233,0.1938
MOD09A1,sur_refl_b02,A2002097,2002-04-07,0.1674,0.3569,72.7997,0.1895,0.2554,0.0016,0.0401,289,285,98.62,2020070052102,0.22
MOD09A1,sur_refl_b02,A2002105,2002-04-15,0.1626,0.3536,73.867,0.191,0.2556,0.0018,0.0419,289,289,100.0,2020070084558,0.1999
MOD09A1,sur_refl_b02,A2002113,2002-04-23,0.1798,0.3847,78.8649,0.2049,0.2767,0.0016,0.0404,289,285,98.62,2020070122454,0.2314
MOD09A1,sur_refl_b02,A2002121,2002-05-01,0.1641,0.3668,73.3802,0.2027,0.2566,0.0017,0.0413,289,286,98.96,2020070160009,0.21
MOD09A1,sur_refl_b02,A2002129,2002-05-09,0.1355,0.3687,71.2839,0.2332,0.2467,0.0019,0.0433,289,289,100.0,2020070225634,0.1825
MOD09A1,sur_refl_b02,A2002137,2002-05-17,0.1681,0.4055,77.683,0.2374,0.2784,0.0018,0.0429,289,279,96.54,2020071041414,0.2663
MOD09A1,sur_refl_b02,A2002145,2002-05-25,0.1601,0.412,73.2701,0.2519,0.2589,0.0021,0.0461,289,283,97.92,2020071074920,0.1989
MOD09A1,sur_refl_b02,A2002153,2002-06-02,0.1573,0.4151,68.7225,0.2578,0.2378,0.0016,0.0398,289,289,100.0,2020071111148,0.1799
MOD09A1,sur_refl_b02,A2002161,2002-06-10,0.1547,0.4001,69.7814,0.2454,0.2415,0.0017,0.0409,289,289,100.0,2020071192521,0.1812
MOD09A1,sur_refl_b02,A2002169,2002-06-18,0.1929,0.3959,80.8103,0.203,0.2816,0.0016,0.0394,289,287,99.31,2020072004142,0.2375
MOD09A1,sur_refl_b02,A2002177,2002-06-26,0.1575,0.4074,68.5838,0.2499,0.2373,0.0016,0.0406,289,289,100.0,2020072043902,0.1875
MOD09A1,sur_refl_b02,A2002185,2002-07-04,0.1505,0.3798,67.3872,0.2293,0.245,0.0017,0.0407,289,275,95.16,2020072181837,0.1898
MOD09A1,sur_refl_b02,A2002193,2002-07-12,0.1533,0.3972,69.0496,0.2439,0.2398,0.0018,0.0426,289,288,99.65,2020077153541,0.1974
MOD09A1,sur_refl_b02,A2002201,2002-07-20,0.1415,0.4038,63.7975,0.2623,0.2381,0.0017,0.0409,289,268,92.73,2020073052413,0.1845
MOD09A1,sur_refl_b02,A2002209,2002-07-28,0.1554,0.3994,65.2371,0.244,0.2257,0.0015,0.039,289,289,100.0,2020077180808,0.1954
MOD09A1,sur_refl_b02,A2002217,2002-08-05,0.1541,0.3895,66.2873,0.2354,0.2294,0.0015,0.0391,289,289,100.0,2020073230506,0.1762
MOD09A1,sur_refl_b02,A2002225,2002-08-13,0.1426,0.4157,65.762,0.2731,0.2291,0.0016,0.0397,289,287,99.31,2020074190528,0.1766
