product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD11A2,LST_Day_1km,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048120245,F
MOD11A2,LST_Day_1km,A2000057,2000-02-26,299.86,309.66,24890.9199,9.8,307.2953,3.4433,1.8556,81,81,100.0,2020045130158,306.54
MOD11A2,LST_Day_1km,A2000065,2000-03-05,296.76,302.56,24346.3438,5.8,300.5721,1.1727,1.0829,81,81,100.0,2020045130452,301.08
MOD11A2,LST_Day_1km,A2000073,2000-03-13,295.64,299.62,1188.76,3.98,297.19,2.7897,1.6702,81,4,4.94,2020045130701,F
MOD11A2,LST_Day_1km,A2000081,2000-03-21,296.0,301.28,24196.4199,5.28,298.7212,1.1332,1.0645,81,81,100.0,2020045130829,298.46
MOD11A2,LST_Day_1km,A2000089,2000-03-29,294.06,302.32,24291.9648,8.26,299.9008,1.7278,1.3145,81,81,100.0,2020045131118,299.7
MOD11A2,LST_Day_1km,A2000097,2000-04-06,292.68,299.68,24097.1602,7.0,297.4958,1.7086,1.3071,81,81,100.0,2020045131300,298.12
MOD11A2,LST_Day_1km,A2000105,2000-04-14,292.98,297.88,23960.2637,4.9,295.8057,0.9005,0.9489,81,81,100.0,2020045131451,296.14
MOD11A2,LST_Day_1km,A2000113,2000-04-22,288.1,294.5,23651.7773,6.4,291.9973,1.7533,1.3241,81,81,100.0,2020045131618,292.96
MOD11A2,LST_Day_1km,A2000121,2000-04-30,290.82,296.2,23836.375,5.38,294.2762,0.7432,0.8621,81,81,100.0,2020045131755,294.22
MOD11A2,LST_Day_1km,A2000129,2000-05-08,290.52,294.72,23726.084,4.2,292.9146,0.56,0.7484,81,81,100.0,2020045132053,292.6
MOD11A2,LST_Day_1km,A2000137,2000-05-16,287.26,290.9,23398.8828,3.64,288.8751,0.8446,0.919,81,81,100.0,2020045132247,288.56
MOD11A2,LST_Day_1km,A2000145,2000-05-24,285.26,289.42,23341.7363,4.16,288.1696,0.6188,0.7866,81,81,100.0,2020048135436,287.98
MOD11A2,LST_Day_1km,A2000153,2000-06-01,285.14,288.96,23283.1758,3.82,287.4466,0.469,0.6848,81,81,100.0,2020051190823,287.48
MOD11A2,LST_Day_1km,A2000161,2000-06-09,285.0,287.52,23180.8809,2.52,286.1837,0.4131,0.6427,81,81,100.0,2020051191751,286.04
MOD11A2,LST_Day_1km,A2000169,2000-06-17,284.92,289.12,23277.8203,4.2,287.3805,0.9267,0.9626,81,81,100.0,2020051192739,287.8
MOD11A2,LST_Day_1km,A2000177,2000-06-25,284.58,289.4,23312.3789,4.82,287.8072,0.7257,0.8519,81,81,100.0,2020051193603,288.2
MOD11A2,LST_Day_1km,A2000185,2000-07-03,285.18,290.2,23347.625,5.02,288.2423,0.9045,0.9511,81,81,100.0,2020051194601,288.68
MOD11A2,LST_Day_1km,A2000193,2000-07-11,285.0,287.36,23187.8184,2.36,286.2693,0.3214,0.5669,81,81,100.0,2020051195347,285.4
MOD11A2,LST_Day_1km,A2000201,2000-07-19,286.14,290.58,23401.8984,4.44,288.9123,0.674,0.821,81,81,100.0,2020051200143,289.4
MOD11A2,LST_Day_1km,A2000209,2000-07-27,284.66,289.22,23269.3594,4.56,287.276,0.8623,0.9286,81,81,100.0,2020052011909,287.58
MOD11A2,LST_Day_1km,A2000217,2000-08-04,287.9,290.7,23436.0586,2.8,289.334,0.3805,0.6169,81,81,100.0,2020055170454,289
MOD11A2,LST_Day_1km,A2000225,2000-08-12,285.56,293.02,22130.2617,7.46,291.1877,1.5029,1.2259,81,76,93.83,2020055184254,291.9
MOD11A2,LST_Day_1km,A2000233,2000-08-20,287.74,295.4,23695.7441,7.66,292.54,1.9369,1.3917,81,81,100.0,2020056003559,293.38
MOD11A2,LST_Day_1km,A2000241,2000-08-28,289.08,294.76,23748.9434,5.68,293.1968,0.84,0.9165,81,81,100.0,2020056060618,292.4
MOD11A2,LST_Day_1km,A2000249,2000-09-05,290.32,297.68,23951.2012,7.36,295.6938,1.4643,1.2101,81,81,100.0,2020056162250,296.74
MOD11A2,LST_Day_1km,A2000257,2000-09-13,295.16,304.2,24407.3145,9.04,301.3249,3.1447,1.7733,81,81,100.0,2020056220223,301.94
MOD11A2,LST_Day_1km,A2000265,2000-09-21,296.08,302.74,24320.418,6.66,300.2521,1.7615,1.3272,81,81,100.0,2020057034120,300.04
MOD11A2,LST_Day_1km,A2000273,2000-09-29,294.28,302.14,24285.668,7.86,299.8231,1.9165,1.3844,81,81,100.0,2020057095140,298.98
MOD11A2,LST_Day_1km,A2000281,2000-10-07,297.2,306.3,24582.1172,9.1,303.4829,3.766,1.9406,81,81,100.0,2020057155459,304.52
MOD11A2,LST_Day_1km,A2000289,2000-10-15,292.36,304.12,24351.3359,11.76,300.6338,3.7714,1.942,81,81,100.0,2020058220808,300.98
MOD11A2,LST_Day_1km,A2000297,2000-10-23,296.12,305.26,24468.1367,9.14,302.0758,2.2478,1.4993,81,81,100.0,2020059044018,301.34
MOD11A2,LST_Day_1km,A2000305,2000-10-31,294.32,307.14,18116.5,12.82,301.9417,8.9457,2.9909,81,60,74.07,2020059110417,F
MOD11A2,LST_Day_1km,A2000313,2000-11-08,289.0,305.12,20190.0371,16.12,301.3438,7.5959,2.7561,81,67,82.72,2020059190029,299.7
MOD11A2,LST_Day_1km,A2000321,2000-11-16,295.16,305.38,24297.7559,10.22,299.9723,6.1637,2.4827,81,81,100.0,2020060014909,302.2
MOD11A2,LST_Day_1km,A2000329,2000-11-24,300.8,309.5,24732.4238,8.7,305.3386,3.7549,1.9378,81,81,100.0,2020060091336,304.7
MOD11A2,LST_Day_1km,A2000337,2000-12-02,298.52,307.88,24628.3223,9.36,304.0534,2.6697,1.6339,81,81,100.0,2020060154110,303.74
MOD11A2,LST_Day_1km,A2000345,2000-12-10,298.38,309.26,24666.1387,10.88,304.5202,6.1425,2.4784,81,81,100.0,2020079233605,304.1
MOD11A2,LST_Day_1km,A2000353,2000-12-18,301.08,309.02,24820.2578,7.94,306.4229,2.0241,1.4227,81,81,100.0,2020080103754,307.4
MOD11A2,LST_Day_1km,A2000361,2000-12-26,299.84,310.5,24802.7051,10.66,306.2062,4.3911,2.0955,81,81,100.0,2020081205228,306.36
MOD11A2,LST_Day_1km,A2001001,2001-01-01,301.28,312.96,24880.0625,11.68,307.1613,12.197,3.4924,81,81,100.0,2020082064555,309.6
MOD11A2,LST_Day_1km,A2001009,2001-01-09,300.78,312.48,25078.1289,11.7,309.6065,3.755,1.9378,81,81,100.0,2020083010145,309.52
MOD11A2,LST_Day_1km,A2001017,2001-01-17,300.68,308.92,24801.3047,8.24,306.1889,2.7699,1.6643,81,81,100.0,2020083140325,306.84
MOD11A2,LST_Day_1km,A2001025,2001-01-25,302.74,311.42,25023.7031,8.68,308.9346,2.6418,1.6254,81,81,100.0,2020084010101,309.94
MOD11A2,LST_Day_1km,A2001033,2001-02-02,299.58,307.46,24606.5996,7.88,303.7852,1.6266,1.2754,81,81,100.0,2020084101718,303.22
MOD11A2,LST_Day_1km,A2001041,2001-02-10,295.68,303.36,24272.0645,7.68,299.6551,1.8212,1.3495,81,81,100.0,2020086023928,298.98
MOD11A2,LST_Day_1km,A2001049,2001-02-18,299.02,305.02,24434.6387,6.0,301.6622,0.9899,0.9949,81,81,100.0,2020086102403,301.98
MOD11A2,LST_Day_1km,A2001057,2001-02-26,295.26,300.86,22396.8809,5.6,298.6251,1.7865,1.3366,81,75,92.59,2020086181728,299.34
MOD11A2,LST_Day_1km,A2001065,2001-03-06,293.72,297.48,3250.1399,3.76,295.4673,2.4262,1.5576,81,11,13.58,2020087054743,F
MOD11A2,LST_Day_1km,A2001073,2001-03-14,294.36,301.44,24189.5977,7.08,298.637,1.7676,1.3295,81,81,100.0,2020087135656,298.42
MOD11A2,LST_Day_1km,A2001081,2001-03-22,294.72,301.76,24221.875,7.04,299.0355,1.5435,1.2424,81,81,100.0,2020087232036,298.74
MOD11A2,LST_Day_1km,A2001089,2001-03-30,294.62,300.66,24140.2344,6.04,298.0276,1.0731,1.0359,81,81,100.0,2020088085252,298.28
MOD11A2,LST_Day_1km,A2001097,2001-04-07,293.86,297.62,23934.1582,3.76,295.4834,0.7298,0.8543,81,81,100.0,2020090160955,294.32
