MOD15A2H.A2000049.h30v12.006.2020041210828.Fpar_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,0.15,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,F,F,F,F,F,F,F,F,F,F,F,0.06,0.06,0.15,0.13,0.13,F,F,F,0.36,F,F,F,F,F,F,F,0.06,0.15,0.23,0.17,0.25,F,0.2,0.36,0.24,0.24,F,F,F,F,F,F,F,F,F,F,0.25,F,0.15,0.29,0.29,0.31,F,F,F,F,F,F,F,0.08,F,F,F,0.25,0.25,0.25,0.29,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,0.25,0.37,0.42,0.42,0.28,F,F,F,F,F,F,F,F,F,F,0.25,0.35,0.44,0.42,F,F,F,F,F,F,F,F,F,F,0.22,0.23,0.35,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,0.22,0.22,0.35,0.35,0.35,F,F,0.4,0.4,0.36,F,F,F,F,F,F,0.21,0.35,0.35,0.34,F,F,F,0.47,0.4,F,F,0.38,0.47,0.47,F,0.21,F,0.25,0.28,0.28,F,F,0.44,0.47,0.44,0.31,0.31,F,F,0.47,F,0.22,0.25,F,F,F,0.28,0.29,0.29,0.32,0.35,0.31,0.31,F,F,F,F,F,0.22,0.23,F,F,0.29,0.29,0.29,F,F,F,F,F,F,F,F,F,F,F,F,F,0.29,0.25,0.25,0.39,F,F,F,F,F,0.13,F,F,0.28,0.28,F,0.45,0.45,0.25,0.36,0.36,0.39,F,F,F,0.13,0.13,0.25,0.25,0.25,F,F,F,0.45,0.58,0.59,0.59,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000057.h30v12.006.2020037221649.Fpar_500m,MOD15A2H,A2000057,Lat-33.6152Lon150.7236Samp17Line17,2020037221649,0.8,0.81,0.79,0.82,0.6,0.58,0.71,0.57,0.6,0.52,0.48,0.52,0.51,0.49,0.42,0.4,0.34,F,0.79,0.61,0.6,0.58,0.59,0.59,0.5,0.48,0.48,0.45,0.45,0.49,0.4,0.34,0.34,F,0.79,0.81,0.56,0.56,0.56,0.81,0.55,0.48,0.47,0.47,0.52,0.44,0.36,0.38,0.41,F,0.45,0.75,0.53,0.54,0.52,0.81,0.55,0.51,0.46,0.52,0.51,0.46,0.55,0.53,0.47,0.4,0.36,0.4,0.5,0.5,0.52,0.49,0.42,0.55,0.53,0.52,0.48,0.43,0.43,0.54,0.33,0.41,0.5,0.43,F,0.5,0.55,0.45,0.49,0.55,0.51,0.4,0.41,0.39,0.56,0.49,0.44,0.39,0.41,F,F,F,0.65,0.46,0.49,0.48,0.53,0.4,0.62,0.44,0.38,0.37,0.37,0.34,0.37,0.38,0.35,F,F,0.58,0.48,0.48,0.44,0.52,0.43,F,F,0.31,0.45,0.45,0.35,0.4,0.36,F,F,0.36,0.6,0.53,0.45,0.52,F,0.44,0.45,0.43,0.42,0.45,0.39,0.4,0.46,0.4,0.44,0.44,0.39,0.43,0.44,0.43,F,0.27,0.39,0.39,0.37,0.41,0.51,0.46,0.48,0.4,0.37,0.44,0.53,0.38,0.45,F,F,0.27,0.35,0.37,0.37,0.43,0.43,0.52,0.48,0.48,0.48,0.37,0.29,0.33,0.38,F,0.24,F,0.37,0.3,0.37,0.37,0.37,0.41,0.33,0.52,0.39,0.41,0.37,F,0.4,F,0.28,0.32,F,F,F,0.32,0.38,0.38,0.49,0.37,0.38,0.37,0.31,0.35,F,F,F,0.28,0.34,0.28,0.31,0.33,0.37,0.43,0.49,0.4,0.4,0.37,0.34,F,F,F,F,F,0.55,0.5,0.47,0.37,0.43,0.52,0.44,0.38,0.44,0.37,0.41,F,0.31,F,F,0.32,0.3,F,0.41,0.38,0.55,0.55,0.55,0.38,0.49,0.53,0.42,0.31,0.37,0.33,0.33,0.32,0.3,0.36,F,0.56,0.59,0.46,0.44,0.49,0.44,0.37,0.29,0.26,0.37,0.6,0.65,0.65,0.39,0.39,0.39
MOD15A2H.A2000065.h30v12.006.2020038182455.Fpar_500m,MOD15A2H,A2000065,Lat-33.6152Lon150.7236Samp17Line17,2020038182455,F,F,F,0.75,0.47,0.44,0.38,0.44,0.39,0.39,0.39,0.36,0.39,0.39,0.36,0.36,0.24,F,0.69,0.46,0.44,0.44,0.45,0.42,0.39,0.39,0.35,0.36,0.33,0.33,0.3,0.22,0.29,F,0.69,0.69,0.44,0.42,0.41,0.41,0.38,0.38,0.37,0.37,0.37,0.39,0.22,0.22,0.3,F,0.29,F,0.4,0.4,0.41,0.41,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.3,0.3,0.25,0.29,0.29,0.4,0.4,0.4,0.37,0.37,0.38,0.38,0.39,0.39,0.29,0.29,0.37,0.22,0.22,0.3,0.35,F,0.38,0.39,0.38,0.37,0.39,0.39,0.29,0.29,0.29,0.37,0.29,0.29,0.29,0.31,F,F,F,0.39,0.36,0.36,0.39,0.41,0.31,0.36,0.36,0.29,0.29,0.29,0.29,0.3,0.3,0.26,F,F,0.33,0.38,0.44,0.28,0.36,0.36,F,F,0.29,0.34,0.32,0.3,0.3,0.29,F,F,0.3,0.4,0.4,0.37,0.34,F,0.3,0.33,0.31,0.31,0.31,0.31,0.34,0.34,0.34,0.34,0.34,0.35,0.35,0.35,0.31,F,0.29,0.29,0.31,0.31,0.31,0.33,0.34,0.34,0.32,0.29,0.32,0.32,0.29,0.36,F,F,0.23,0.25,0.25,0.25,0.31,0.32,0.32,0.28,0.28,0.28,0.29,0.29,0.29,0.25,F,0.16,F,0.23,0.21,0.22,0.22,0.28,0.32,0.28,0.29,0.29,0.29,0.29,F,0.28,F,0.16,0.23,F,F,F,0.24,0.22,0.22,0.25,0.25,0.26,0.26,0.26,0.26,F,F,F,0.16,0.2,0.16,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.26,F,F,F,F,F,0.22,0.26,0.26,0.26,0.28,0.28,0.25,0.25,0.27,0.25,0.26,F,0.23,F,F,0.22,0.22,F,0.25,0.29,0.32,0.32,0.31,0.29,0.25,0.26,0.26,0.23,0.23,0.23,0.22,0.22,0.22,0.27,F,0.32,0.32,0.29,0.29,0.29,0.25,0.27,0.25,0.27,0.26,0.63,0.63,0.63,0.29,0.29,0.27
MOD15A2H.A2000073.h30v12.006.2020040192641.Fpar_500m,MOD15A2H,A2000073,Lat-33.6152Lon150.7236Samp17Line17,2020040192641,0.81,0.81,F,F,0.42,0.42,0.35,0.4,0.38,0.38,0.38,0.38,0.42,0.42,0.41,0.38,0.33,F,F,0.34,0.34,0.41,0.41,0.42,0.38,0.38,0.37,0.35,0.35,0.35,0.33,0.31,0.31,F,F,F,0.34,0.41,0.41,0.36,0.37,0.37,0.37,0.32,0.32,0.35,0.31,0.31,0.33,F,0.36,F,0.36,0.36,0.36,0.34,0.34,0.33,0.35,0.32,0.32,0.32,0.35,0.33,0.33,0.32,0.27,0.38,0.33,0.36,0.33,0.31,0.31,0.33,0.33,0.33,0.36,0.31,0.31,0.32,0.31,0.32,0.31,0.31,F,0.33,0.33,0.29,0.32,0.32,0.34,0.31,0.31,0.31,0.34,0.27,0.28,0.28,0.33,F,F,F,0.28,0.32,0.32,0.34,0.34,0.31,0.36,0.34,0.31,0.31,0.31,0.31,0.33,0.33,0.32,F,F,0.29,0.29,0.34,0.31,0.31,0.33,F,F,0.26,0.34,0.35,0.33,0.32,0.28,F,F,0.31,0.32,0.32,0.33,0.33,F,0.32,0.34,0.34,0.34,0.35,0.33,0.35,0.35,0.35,0.35,0.45,0.45,0.32,0.33,0.23,F,0.3,0.3,0.33,0.34,0.34,0.37,0.35,0.33,0.35,0.32,0.45,0.45,0.36,0.37,F,F,0.2,0.23,0.33,0.29,0.34,0.37,0.37,0.33,0.33,0.33,0.33,0.31,0.34,0.33,F,0.2,F,0.25,0.29,0.29,0.3,0.3,0.28,0.25,0.28,0.28,0.27,0.27,F,0.33,F,0.2,0.23,F,F,F,0.27,0.27,0.26,0.25,0.27,0.27,0.27,0.27,0.3,F,F,F,0.2,0.27,0.2,0.2,0.26,0.24,0.24,0.28,0.28,0.28,0.28,0.25,F,F,F,F,F,0.26,0.31,0.29,0.26,0.29,0.25,0.27,0.25,0.32,0.31,0.33,F,0.26,F,F,0.27,0.28,F,0.29,0.3,0.32,0.32,0.32,0.3,0.3,0.32,0.32,0.26,0.26,0.25,0.25,0.27,0.33,0.34,F,0.32,0.32,0.29,0.29,0.29,0.31,0.31,0.27,0.28,0.27,0.61,0.64,0.64,0.34,0.4,0.4
MOD15A2H.A2000081.h30v12.006.2020040192650.Fpar_500m,MOD15A2H,A2000081,Lat-33.6152Lon150.7236Samp17Line17,2020040192650,F,0.83,0.88,0.88,0.75,0.76,0.63,0.7,0.7,0.7,0.66,0.63,0.68,0.7,0.67,0.67,0.51,0.87,0.87,0.74,0.75,0.76,0.76,0.71,0.71,0.7,0.63,0.63,0.67,0.73,0.77,0.59,0.57,F,0.87,0.88,0.72,0.72,0.69,0.71,0.7,0.65,0.65,0.59,0.59,0.69,0.66,0.59,0.51,F,0.57,0.87,0.7,0.69,0.69,0.67,0.67,0.67,0.64,0.64,0.69,0.68,0.7,0.7,0.43,0.49,0.48,0.59,0.68,0.64,0.67,0.67,0.63,0.67,0.64,0.7,0.7,0.58,0.58,0.62,0.41,0.46,0.54,0.56,F,0.64,0.67,0.68,0.63,0.64,0.64,0.6,0.55,0.55,0.62,0.54,0.51,0.51,0.58,F,F,F,0.67,0.66,0.66,0.66,0.72,0.6,0.64,0.64,0.46,0.51,0.51,0.49,0.58,0.64,0.64,F,F,0.51,0.58,0.66,0.63,0.65,0.57,F,F,0.51,0.6,0.58,0.65,0.65,0.51,F,F,0.57,0.68,0.62,0.53,0.49,F,0.49,0.55,0.55,0.44,0.44,0.53,0.65,0.6,0.65,0.65,0.78,0.87,0.5,0.65,0.44,F,0.39,0.39,0.52,0.52,0.56,0.56,0.65,0.66,0.66,0.49,0.76,0.87,0.71,0.63,F,F,0.29,0.43,0.52,0.51,0.54,0.56,0.56,0.51,0.66,0.55,0.72,0.6,0.51,0.53,F,0.31,F,0.43,0.41,0.43,0.48,0.48,0.54,0.51,0.48,0.48,0.53,0.45,F,0.51,F,0.31,0.39,F,F,F,0.48,0.48,0.48,0.51,0.48,0.5,0.53,0.39,0.5,F,F,F,0.32,0.4,0.29,0.47,0.47,0.48,0.5,0.51,0.5,0.5,0.54,0.53,F,F,F,F,F,0.39,0.43,0.45,0.47,0.5,0.52,0.5,0.49,0.56,0.53,0.55,F,0.43,F,F,0.35,0.42,F,0.45,0.53,0.58,0.57,0.55,0.51,0.53,0.55,0.55,0.42,0.42,0.41,0.41,0.35,0.42,0.42,F,0.53,0.56,0.54,0.49,0.51,0.51,0.52,0.43,0.43,0.41,0.72,0.74,0.74,0.47,0.56,0.59
MOD15A2H.A2000089.h30v12.006.2020041212553.Fpar_500m,MOD15A2H,A2000089,Lat-33.6152Lon150.7236Samp17Line17,2020041212553,0.12,0.84,0.13,0.87,0.75,0.74,0.61,0.69,0.72,0.74,0.74,0.72,0.69,0.75,0.79,0.71,0.64,0.12,F,0.76,0.77,0.73,0.76,0.75,0.72,0.7,0.7,0.71,0.67,0.82,0.8,0.63,0.58,F,F,0.83,0.7,0.74,0.72,0.75,0.74,0.72,0.74,0.68,0.66,0.82,0.69,0.58,0.65,F,0.62,0.83,0.72,0.7,0.72,0.69,0.68,0.71,0.74,0.7,0.75,0.75,0.77,0.77,0.56,0.41,0.5,0.57,0.68,0.65,0.67,0.67,0.65,0.74,0.7,0.7,0.77,0.62,0.6,0.63,0.57,0.56,0.58,0.65,F,0.62,0.68,0.65,0.67,0.72,0.7,0.59,0.64,0.57,0.6,0.51,0.52,0.51,0.53,F,F,F,0.64,0.73,0.71,0.71,0.78,0.66,0.68,0.57,0.52,0.51,0.6,0.53,0.72,0.75,0.67,F,F,0.63,0.59,0.75,0.64,0.74,0.56,F,F,0.55,0.67,0.63,0.68,0.68,0.51,F,F,0.59,0.72,0.68,0.62,0.58,F,0.55,0.6,0.59,0.53,0.53,0.59,0.57,0.64,0.55,0.73,0.86,0.86,0.55,0.68,0.58,F,0.55,0.47,0.55,0.55,0.59,0.66,0.59,0.7,0.7,0.54,0.6,0.82,0.61,0.74,F,F,0.32,0.48,0.59,0.48,0.59,0.62,0.71,0.65,0.66,0.59,0.69,0.73,0.71,0.58,F,0.35,F,0.44,0.43,0.42,0.49,0.5,0.52,0.46,0.54,0.53,0.75,0.64,F,0.55,F,0.28,0.41,F,F,F,0.44,0.48,0.5,0.58,0.47,0.53,0.54,0.39,0.53,F,F,F,0.28,0.33,0.32,0.46,0.52,0.47,0.5,0.58,0.58,0.55,0.58,0.53,F,F,F,F,F,0.38,0.51,0.43,0.46,0.65,0.59,0.5,0.48,0.59,0.57,0.63,F,0.54,F,F,0.45,0.4,F,0.41,0.46,0.65,0.64,0.57,0.5,0.54,0.62,0.63,0.57,0.44,0.44,0.4,0.44,0.47,0.39,F,0.64,0.62,0.53,0.52,0.51,0.51,0.62,0.46,0.36,0.45,0.71,0.72,0.71,0.47,0.55,0.64
MOD15A2H.A2000097.h30v12.006.2020041042002.Fpar_500m,MOD15A2H,A2000097,Lat-33.6152Lon150.7236Samp17Line17,2020041042002,0.83,0.83,F,0.89,0.8,0.78,0.63,0.77,0.76,0.78,0.78,0.76,0.72,0.77,0.84,0.85,0.64,F,F,0.81,0.81,0.79,0.81,0.74,0.76,0.73,0.73,0.73,0.72,0.77,0.77,0.58,0.58,F,F,0.85,0.75,0.76,0.81,0.74,0.71,0.73,0.76,0.7,0.72,0.72,0.59,0.59,0.55,F,0.59,0.85,0.75,0.76,0.7,0.72,0.75,0.75,0.76,0.7,0.8,0.79,0.76,0.76,0.55,0.58,0.45,0.61,0.71,0.65,0.65,0.72,0.68,0.75,0.71,0.76,0.76,0.59,0.64,0.53,0.45,0.38,0.49,0.59,F,0.67,0.71,0.74,0.68,0.75,0.74,0.64,0.69,0.54,0.76,0.56,0.58,0.54,0.66,F,F,F,0.67,0.74,0.71,0.74,0.8,0.66,0.81,0.68,0.51,0.59,0.58,0.54,0.66,0.76,0.58,F,F,0.69,0.64,0.77,0.52,0.78,0.63,F,F,0.45,0.59,0.67,0.68,0.68,0.59,F,F,0.6,0.68,0.62,0.68,0.64,F,0.59,0.64,0.58,0.58,0.58,0.58,0.58,0.71,0.69,0.56,0.74,0.76,0.62,0.51,0.57,F,0.29,0.58,0.58,0.54,0.55,0.65,0.69,0.71,0.69,0.58,0.7,0.88,0.58,0.73,F,F,0.29,0.42,0.62,0.56,0.59,0.59,0.74,0.72,0.64,0.64,0.75,0.74,0.68,0.61,F,0.26,F,0.53,0.45,0.45,0.54,0.52,0.57,0.46,0.55,0.55,0.79,0.61,F,0.57,F,0.28,0.33,F,F,F,0.45,0.54,0.54,0.6,0.53,0.55,0.55,0.46,0.43,F,F,F,0.33,0.33,0.26,0.45,0.52,0.51,0.55,0.6,0.6,0.6,0.61,0.6,F,F,F,F,F,0.37,0.52,0.46,0.47,0.68,0.61,0.56,0.55,0.65,0.62,0.64,F,0.5,F,F,0.41,0.44,F,0.49,0.49,0.68,0.68,0.6,0.57,0.59,0.66,0.64,0.5,0.45,0.45,0.46,0.47,0.44,0.58,F,0.64,0.64,0.56,0.56,0.58,0.58,0.6,0.53,0.4,0.48,0.74,0.75,0.73,0.52,0.55,0.66
MOD15A2H.A2000105.h30v12.006.2020041072656.Fpar_500m,MOD15A2H,A2000105,Lat-33.6152Lon150.7236Samp17Line17,2020041072656,0.82,F,0.9,0.9,0.73,0.73,0.63,0.73,0.73,0.74,0.73,0.76,0.77,0.82,0.78,0.86,0.61,0.82,0.84,0.72,0.75,0.75,0.78,0.72,0.72,0.72,0.68,0.7,0.69,0.74,0.78,0.61,0.61,F,0.82,0.89,0.72,0.76,0.75,0.72,0.68,0.68,0.71,0.67,0.69,0.72,0.61,0.63,0.68,F,0.6,0.89,0.72,0.76,0.69,0.73,0.74,0.73,0.71,0.74,0.74,0.75,0.76,0.75,0.57,0.52,0.45,0.45,0.65,0.67,0.69,0.71,0.71,0.73,0.71,0.72,0.73,0.61,0.62,0.69,0.58,0.49,0.56,0.65,F,0.64,0.71,0.73,0.73,0.72,0.73,0.66,0.66,0.66,0.74,0.57,0.59,0.5,0.62,F,F,F,0.72,0.75,0.75,0.72,0.74,0.69,0.83,0.75,0.57,0.57,0.62,0.57,0.71,0.73,0.68,F,F,0.65,0.65,0.74,0.64,0.63,0.68,F,F,0.54,0.66,0.66,0.62,0.73,0.57,F,F,0.62,0.71,0.59,0.61,0.69,F,0.59,0.61,0.56,0.54,0.59,0.62,0.66,0.72,0.65,0.69,0.74,0.66,0.69,0.61,0.55,F,0.63,0.53,0.55,0.58,0.57,0.6,0.73,0.8,0.74,0.63,0.82,0.82,0.66,0.77,F,F,0.37,0.51,0.54,0.58,0.65,0.65,0.72,0.65,0.7,0.74,0.82,0.67,0.77,0.6,F,0.46,F,0.41,0.52,0.58,0.51,0.56,0.59,0.53,0.6,0.71,0.77,0.64,F,0.62,F,0.34,0.42,F,F,F,0.57,0.56,0.56,0.59,0.56,0.57,0.54,0.55,0.52,F,F,F,0.34,0.42,0.4,0.52,0.57,0.59,0.59,0.61,0.61,0.59,0.64,0.59,F,F,F,F,F,0.47,0.55,0.52,0.58,0.61,0.61,0.6,0.58,0.62,0.62,0.63,F,0.52,F,F,0.43,0.43,F,0.51,0.54,0.61,0.63,0.61,0.58,0.58,0.65,0.62,0.52,0.47,0.46,0.46,0.44,0.44,0.6,F,0.58,0.63,0.61,0.6,0.58,0.58,0.59,0.56,0.47,0.51,0.81,0.77,0.79,0.51,0.66,0.69
MOD15A2H.A2000113.h30v12.006.2020041221651.Fpar_500m,MOD15A2H,A2000113,Lat-33.6152Lon150.7236Samp17Line17,2020041221651,0.83,F,F,0.86,0.74,0.75,0.54,0.7,0.71,0.74,0.74,0.72,0.7,0.79,0.78,0.77,0.59,F,0.88,0.77,0.77,0.75,0.74,0.76,0.73,0.69,0.71,0.71,0.7,0.74,0.73,0.62,0.65,F,F,0.83,0.69,0.75,0.77,0.73,0.65,0.65,0.74,0.71,0.72,0.77,0.66,0.63,0.69,F,0.64,0.83,0.69,0.75,0.7,0.71,0.74,0.75,0.72,0.78,0.77,0.75,0.78,0.76,0.69,0.59,0.45,0.49,0.72,0.64,0.73,0.69,0.77,0.71,0.78,0.78,0.77,0.65,0.65,0.71,0.61,0.52,0.56,0.55,F,0.61,0.69,0.77,0.64,0.71,0.77,0.69,0.69,0.65,0.71,0.57,0.57,0.58,0.62,F,F,F,0.62,0.68,0.65,0.7,0.78,0.69,0.8,0.72,0.63,0.57,0.64,0.58,0.7,0.7,0.64,F,F,0.63,0.67,0.66,0.64,0.72,0.67,F,F,0.59,0.67,0.65,0.66,0.7,0.58,F,F,0.59,0.69,0.68,0.72,0.72,F,0.65,0.62,0.62,0.61,0.65,0.66,0.66,0.59,0.59,0.57,0.72,0.6,0.68,0.68,0.57,F,0.54,0.62,0.61,0.61,0.61,0.68,0.67,0.77,0.68,0.6,0.74,0.61,0.58,0.71,F,F,0.49,0.53,0.53,0.59,0.68,0.68,0.7,0.65,0.65,0.65,0.74,0.74,0.63,0.62,F,0.41,F,0.53,0.59,0.62,0.62,0.57,0.6,0.62,0.68,0.7,0.74,0.65,F,0.63,F,0.41,0.43,F,F,F,0.56,0.56,0.56,0.54,0.55,0.54,0.53,0.56,0.53,F,F,F,0.44,0.52,0.47,0.56,0.56,0.59,0.55,0.54,0.54,0.54,0.54,0.54,F,F,F,F,F,0.57,0.57,0.56,0.59,0.63,0.55,0.54,0.54,0.54,0.54,0.54,F,0.48,F,F,0.45,0.39,F,0.57,0.57,0.55,0.55,0.55,0.54,0.54,0.55,0.54,0.54,0.48,0.48,0.49,0.49,0.39,0.46,F,0.6,0.65,0.55,0.54,0.56,0.56,0.55,0.53,0.51,0.5,0.8,0.8,0.8,0.61,0.61,0.61
MOD15A2H.A2000121.h30v12.006.2020042020434.Fpar_500m,MOD15A2H,A2000121,Lat-33.6152Lon150.7236Samp17Line17,2020042020434,F,F,0.16,F,0.71,0.69,0.62,0.7,0.73,0.73,0.7,0.69,0.71,0.75,0.74,0.75,0.64,0.37,0.08,0.76,0.76,0.73,0.73,0.74,0.74,0.68,0.68,0.69,0.71,0.81,0.8,0.7,0.7,F,0.84,0.9,0.71,0.71,0.7,0.7,0.71,0.68,0.68,0.67,0.66,0.72,0.64,0.65,0.85,F,0.56,0.23,0.7,0.7,0.7,0.7,0.71,0.73,0.73,0.68,0.73,0.71,0.77,0.71,0.69,0.53,0.43,0.56,0.66,0.66,0.69,0.67,0.67,0.71,0.68,0.71,0.73,0.64,0.58,0.7,0.5,0.47,0.62,0.58,F,0.62,0.72,0.67,0.67,0.71,0.75,0.68,0.68,0.58,0.7,0.6,0.6,0.58,0.64,F,F,F,0.72,0.74,0.74,0.76,0.78,0.68,0.8,0.74,0.65,0.57,0.59,0.58,0.64,0.69,0.67,F,F,0.69,0.65,0.73,0.61,0.74,0.63,F,F,0.57,0.66,0.65,0.67,0.67,0.58,F,F,0.66,0.78,0.68,0.6,0.67,F,0.61,0.64,0.55,0.53,0.62,0.68,0.67,0.66,0.66,0.75,0.75,0.7,0.57,0.67,0.55,F,0.55,0.46,0.55,0.52,0.57,0.61,0.68,0.75,0.75,0.65,0.83,0.85,0.74,0.77,F,F,0.49,0.5,0.57,0.57,0.63,0.6,0.7,0.75,0.68,0.74,0.86,0.75,0.67,0.7,F,0.4,F,0.49,0.46,0.57,0.57,0.55,0.58,0.53,0.56,0.76,0.76,0.6,F,0.64,F,0.29,0.39,F,F,F,0.57,0.57,0.6,0.56,0.54,0.56,0.56,0.52,0.54,F,F,F,0.3,0.42,0.37,0.54,0.57,0.6,0.6,0.62,0.61,0.61,0.54,0.52,F,F,F,F,F,0.4,0.46,0.54,0.55,0.62,0.62,0.59,0.57,0.65,0.63,0.65,F,0.49,F,F,0.41,0.45,F,0.49,0.55,0.62,0.6,0.6,0.59,0.61,0.63,0.61,0.61,0.46,0.46,0.46,0.46,0.53,0.48,F,0.6,0.65,0.61,0.61,0.6,0.59,0.57,0.54,0.45,0.5,F,0.77,0.8,0.56,0.65,0.69
MOD15A2H.A2000129.h30v12.006.2020042171102.Fpar_500m,MOD15A2H,A2000129,Lat-33.6152Lon150.7236Samp17Line17,2020042171102,F,0.78,0.72,0.89,0.8,0.8,0.65,0.78,0.8,0.8,0.76,0.74,0.74,0.76,0.74,0.74,0.66,0.78,F,0.83,0.83,0.77,0.8,0.81,0.8,0.8,0.75,0.75,0.75,0.87,0.84,0.76,0.83,F,F,F,0.78,0.77,0.8,0.77,0.79,0.74,0.8,0.75,0.75,0.8,0.71,0.76,0.88,F,0.63,F,0.78,0.8,0.74,0.77,0.8,0.75,0.8,0.69,0.81,0.74,0.79,0.82,0.62,0.7,0.47,0.66,0.74,0.67,0.78,0.71,0.73,0.75,0.71,0.77,0.8,0.65,0.64,0.71,0.54,0.48,0.59,0.62,F,0.68,0.71,0.71,0.7,0.76,0.79,0.69,0.72,0.66,0.77,0.62,0.68,0.57,0.65,F,F,F,0.79,0.74,0.74,0.75,0.76,0.69,0.85,0.8,0.63,0.62,0.62,0.59,0.67,0.75,0.67,F,F,0.74,0.7,0.77,0.64,0.79,0.73,F,F,0.58,0.76,0.7,0.72,0.72,0.6,F,F,0.65,0.74,0.76,0.73,0.67,F,0.64,0.7,0.61,0.58,0.69,0.72,0.72,0.72,0.65,0.76,0.76,0.77,0.53,0.69,0.65,F,0.63,0.52,0.6,0.6,0.61,0.68,0.73,0.73,0.76,0.71,0.81,0.88,0.76,0.77,F,F,0.35,0.51,0.67,0.62,0.65,0.68,0.71,0.68,0.73,0.78,0.78,0.77,0.74,0.67,F,0.43,F,0.55,0.51,0.62,0.58,0.56,0.61,0.57,0.6,0.75,0.82,0.76,F,0.67,F,0.33,0.42,F,F,F,0.56,0.56,0.63,0.7,0.53,0.6,0.54,0.47,0.53,F,F,F,0.35,0.39,0.4,0.46,0.61,0.58,0.59,0.7,0.66,0.62,0.68,0.67,F,F,F,F,F,0.48,0.54,0.52,0.6,0.65,0.68,0.59,0.59,0.72,0.65,0.71,F,0.56,F,F,0.44,0.52,F,0.54,0.6,0.72,0.7,0.65,0.62,0.63,0.72,0.68,0.53,0.5,0.53,0.53,0.44,0.5,0.6,F,0.67,0.68,0.62,0.62,0.61,0.63,0.65,0.58,0.47,0.52,F,F,F,0.58,0.59,0.73
