MOD15A2H.A2000049.h30v12.006.2020041210828.Lai_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.2,0.3,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,0.1,0.1,0.3,0.2,0.2,F,F,F,0.7,F,F,F,F,F,F,F,0.1,0.3,0.4,0.3,0.5,F,0.3,0.7,0.3,0.3,F,F,F,F,F,F,F,F,F,F,0.3,F,0.2,0.5,0.5,0.5,F,F,F,F,F,F,F,0.1,F,F,F,0.3,0.3,0.3,0.5,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.3,0.6,0.8,0.8,0.5,F,F,F,F,F,F,F,F,F,F,0.3,0.8,1.0,0.8,F,F,F,F,F,F,F,F,F,F,0.3,0.4,0.8,0.8,0.8,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.7,0.7,0.8,F,F,0.8,0.8,0.6,F,F,F,F,F,F,0.3,0.7,0.7,0.6,F,F,F,0.9,0.8,F,F,0.6,1.0,1.1,F,0.3,F,0.5,0.5,0.5,F,F,1.0,0.9,1.0,0.6,0.6,F,F,1.1,F,0.3,0.5,F,F,F,0.5,0.5,0.5,0.6,0.6,0.6,0.6,F,F,F,F,F,0.3,0.3,F,F,0.5,0.5,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.5,0.7,F,F,F,F,F,0.2,F,F,0.6,0.6,F,0.9,0.9,0.5,0.8,0.8,0.7,F,F,F,0.2,0.2,0.5,0.5,0.5,F,F,F,1.0,1.5,1.4,1.4,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000057.h30v12.006.2020037221649.Lai_500m,MOD15A2H,A2000057,Lat-33.6152Lon150.7236Samp17Line17,2020037221649,3.7,4.0,3.6,4.2,2.2,2.0,1.7,1.3,1.6,1.7,1.5,1.7,1.6,1.5,1.0,0.9,0.7,F,3.7,2.2,2.2,2.0,2.1,2.0,1.7,1.5,1.5,1.4,1.4,1.5,0.9,0.7,0.7,F,3.7,4.0,1.9,1.9,1.9,3.0,1.9,1.5,1.5,1.5,1.3,1.4,0.8,0.8,1.2,F,1.4,3.2,1.8,1.8,1.8,3.0,1.9,1.7,1.5,1.3,1.6,1.2,1.9,1.3,1.5,1.2,0.8,0.7,1.7,1.7,1.8,1.0,1.1,1.8,1.8,1.3,1.5,0.8,0.8,1.3,0.7,1.0,1.3,0.9,F,1.7,1.8,1.2,1.0,1.4,1.6,0.8,0.8,0.9,1.9,0.9,0.9,0.8,1.0,F,F,F,1.9,1.2,1.0,1.5,1.7,0.8,2.1,1.4,0.6,0.7,0.7,0.7,0.8,0.9,0.8,F,F,1.2,1.1,1.5,1.0,1.4,1.3,F,F,0.7,1.4,1.4,0.8,1.0,0.7,F,F,0.7,2.0,1.8,1.5,1.7,F,1.1,1.4,1.3,1.3,1.4,1.0,1.0,1.2,0.9,1.1,1.0,0.9,1.3,1.4,0.9,F,0.5,1.0,1.2,1.1,1.3,1.7,1.2,1.2,0.9,0.7,1.1,1.4,0.8,1.1,F,F,0.5,1.0,1.1,0.9,1.3,1.3,1.7,1.2,0.9,0.9,0.9,0.6,0.8,1.1,F,0.5,F,1.1,0.7,0.9,0.9,0.9,1.3,0.8,1.3,1.2,1.3,1.1,F,1.2,F,0.5,0.7,F,F,F,0.7,0.7,0.7,1.1,0.7,1.1,1.1,0.7,1.0,F,F,F,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,0.9,1.0,1.1,0.8,F,F,F,F,F,1.4,1.2,1.0,0.7,1.3,1.3,0.9,0.7,1.0,0.9,1.2,F,0.9,F,F,0.8,0.8,F,0.8,0.7,1.4,1.4,1.4,0.7,1.0,1.3,0.9,0.9,0.8,0.7,1.0,0.8,0.8,1.1,F,1.4,1.6,0.9,0.9,1.0,0.9,1.1,0.7,0.5,0.8,2.0,2.4,2.4,1.2,1.2,1.1
MOD15A2H.A2000065.h30v12.006.2020038182455.Lai_500m,MOD15A2H,A2000065,Lat-33.6152Lon150.7236Samp17Line17,2020038182455,F,F,F,3.2,1.6,1.4,0.8,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.9,0.9,0.5,F,2.6,1.6,1.4,1.4,1.5,1.4,1.2,1.2,1.1,1.2,1.0,1.0,0.7,0.4,0.6,F,2.6,2.6,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.2,0.4,0.4,0.8,F,0.9,F,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,0.9,1.1,0.9,0.9,0.7,0.6,0.6,1.3,1.3,1.3,1.0,0.9,1.2,1.2,1.2,1.2,0.6,0.6,1.1,0.5,0.5,0.7,0.8,F,1.2,1.2,1.0,0.9,1.2,1.2,0.6,0.6,0.6,1.1,0.6,0.6,0.6,0.7,F,F,F,1.2,0.9,0.9,1.2,1.3,0.7,1.1,1.1,0.6,0.6,0.6,0.6,0.7,0.7,0.6,F,F,0.7,0.8,1.4,0.6,0.9,1.1,F,F,0.6,1.0,0.9,0.7,0.7,0.6,F,F,0.6,1.2,1.2,1.1,1.0,F,0.7,1.0,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.8,1.1,1.1,0.6,F,0.7,0.7,0.9,0.9,0.9,1.0,0.9,0.8,0.8,0.6,0.8,0.8,0.6,0.9,F,F,0.5,0.7,0.7,0.6,0.9,1.0,1.0,0.7,0.7,0.7,0.7,0.6,0.7,0.7,F,0.3,F,0.6,0.5,0.5,0.5,0.7,1.0,0.7,0.8,0.8,0.8,0.8,F,0.8,F,0.3,0.6,F,F,F,0.5,0.5,0.5,0.7,0.6,0.7,0.7,0.6,0.7,F,F,F,0.3,0.4,0.3,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,F,F,F,F,F,0.6,0.7,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.6,0.7,F,0.7,F,F,0.6,0.6,F,0.6,0.7,1.0,1.0,0.9,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.8,F,1.0,1.0,0.7,0.7,0.7,0.6,0.8,0.6,0.6,0.7,2.2,2.2,2.2,0.8,0.8,0.8
MOD15A2H.A2000073.h30v12.006.2020040192641.Lai_500m,MOD15A2H,A2000073,Lat-33.6152Lon150.7236Samp17Line17,2020040192641,3.3,3.3,F,F,1.0,1.0,0.6,0.8,1.0,1.0,1.0,1.0,1.2,1.2,1.0,0.9,0.7,F,F,0.7,0.7,0.9,0.9,1.0,1.1,1.1,0.9,1.0,1.0,1.0,0.7,0.6,0.6,F,F,F,0.7,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.9,F,1.0,F,0.8,0.8,0.8,0.8,0.8,0.7,1.0,0.9,0.9,0.7,0.9,0.9,0.9,0.8,0.5,0.8,0.7,0.8,0.7,0.6,0.6,0.7,0.9,0.9,1.0,0.6,0.6,0.8,0.7,0.7,0.7,0.6,F,0.7,0.7,0.5,0.6,0.7,0.9,0.6,0.6,0.6,0.9,0.5,0.5,0.5,0.7,F,F,F,0.6,0.6,0.6,0.7,0.9,0.6,1.0,0.9,0.6,0.6,0.6,0.6,0.7,0.7,0.7,F,F,0.5,0.5,0.7,0.5,0.6,0.7,F,F,0.4,0.8,1.0,0.7,0.7,0.5,F,F,0.6,0.7,0.7,0.7,0.7,F,0.6,0.7,0.8,0.8,1.0,0.8,0.8,0.8,0.8,0.8,1.1,1.1,0.7,0.7,0.3,F,0.5,0.6,0.7,0.9,0.9,1.0,0.8,0.7,0.8,0.6,1.1,1.1,0.7,0.7,F,F,0.3,0.5,0.7,0.6,0.9,1.0,1.0,0.7,0.7,0.7,0.7,0.6,0.8,0.9,F,0.3,F,0.5,0.6,0.6,0.6,0.6,0.7,0.5,0.7,0.7,0.7,0.7,F,0.9,F,0.3,0.5,F,F,F,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.8,F,F,F,0.3,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.5,F,F,F,F,F,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.5,0.7,0.7,0.9,F,0.7,F,F,0.7,0.8,F,0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.0,1.0,F,0.7,0.7,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.8,2.1,2.3,2.3,1.0,1.2,1.2
MOD15A2H.A2000081.h30v12.006.2020040192650.Lai_500m,MOD15A2H,A2000081,Lat-33.6152Lon150.7236Samp17Line17,2020040192650,F,3.8,5.2,5.3,2.6,2.6,1.4,2.0,2.1,2.1,1.9,1.8,2.0,2.1,1.8,1.8,1.0,4.8,4.6,2.4,2.6,2.6,2.6,2.1,2.1,2.1,1.8,1.8,2.0,2.4,2.5,1.2,1.3,F,4.6,5.3,2.3,2.3,2.1,2.1,2.1,1.9,1.9,1.7,1.7,2.1,1.5,1.2,1.3,F,1.5,4.9,2.2,2.1,2.1,2.0,2.0,2.0,1.8,1.8,2.1,1.9,2.1,2.1,1.0,1.2,0.9,1.2,2.2,1.8,2.0,1.8,1.6,2.0,1.8,2.1,2.1,1.2,1.2,1.7,0.8,1.0,1.2,1.1,F,1.8,1.9,1.8,1.6,1.8,1.8,1.3,1.1,1.1,1.7,1.1,1.0,1.0,1.4,F,F,F,2.0,1.8,1.7,1.9,2.2,1.3,1.8,1.8,0.8,1.0,1.0,0.9,1.4,1.6,1.6,F,F,1.1,1.2,1.9,1.4,1.8,1.5,F,F,1.0,1.6,1.5,1.6,1.6,1.0,F,F,1.2,2.0,1.8,1.5,1.3,F,1.1,1.5,1.5,1.1,1.1,1.3,1.6,1.4,1.6,1.6,2.6,4.2,1.3,1.8,0.8,F,0.8,0.8,1.4,1.4,1.5,1.5,1.7,1.7,1.7,0.9,2.3,4.2,1.7,1.6,F,F,0.5,1.1,1.4,1.2,1.4,1.5,1.5,1.2,1.7,1.3,2.1,1.3,1.2,1.4,F,0.6,F,1.1,0.9,0.9,1.1,1.1,1.4,1.2,1.2,1.2,1.4,1.2,F,1.4,F,0.6,0.9,F,F,F,1.1,1.1,1.1,1.3,1.1,1.3,1.4,0.8,1.2,F,F,F,0.6,0.8,0.5,1.0,1.0,1.1,1.1,1.3,1.3,1.3,1.4,1.2,F,F,F,F,F,0.9,1.1,1.0,1.0,1.2,1.4,1.1,1.1,1.5,1.2,1.5,F,1.0,F,F,0.8,1.0,F,1.0,1.2,1.6,1.6,1.5,1.2,1.2,1.5,1.5,1.0,1.0,1.1,0.9,0.8,1.0,1.0,F,1.4,1.5,1.3,1.1,1.2,1.2,1.4,0.9,0.9,1.1,2.5,2.6,2.6,1.2,1.5,1.6
MOD15A2H.A2000089.h30v12.006.2020041212553.Lai_500m,MOD15A2H,A2000089,Lat-33.6152Lon150.7236Samp17Line17,2020041212553,0.2,3.9,0.2,4.5,2.5,2.4,1.4,1.9,2.3,2.4,2.5,2.3,2.1,2.5,2.8,2.0,1.5,0.2,F,2.7,2.7,2.5,2.5,2.5,2.3,2.1,2.2,2.3,2.1,3.0,2.8,1.4,1.2,F,F,3.8,2.2,2.4,2.3,2.5,2.4,2.3,2.4,2.1,2.0,3.0,1.7,1.2,1.9,F,1.7,3.6,2.3,2.2,2.3,2.2,2.1,2.3,2.4,2.3,2.5,2.4,2.6,2.6,1.6,1.0,1.0,1.2,2.1,1.8,2.1,1.9,1.8,2.4,2.2,2.3,2.7,1.4,1.3,1.8,1.3,1.3,1.4,1.5,F,1.8,2.1,1.7,1.8,2.3,2.2,1.3,1.4,1.2,1.6,1.0,1.1,1.0,1.1,F,F,F,1.9,2.3,2.0,2.2,2.6,1.5,2.0,1.5,1.0,1.0,1.3,1.1,2.1,2.3,1.8,F,F,1.5,1.3,2.5,1.5,2.3,1.5,F,F,1.1,2.0,1.8,1.8,1.9,1.0,F,F,1.2,2.2,2.1,1.8,1.6,F,1.3,1.6,1.6,1.5,1.5,1.5,1.4,1.7,1.3,2.1,3.7,3.8,1.5,2.0,1.2,F,1.3,1.0,1.5,1.5,1.7,2.0,1.5,2.0,1.9,1.1,1.5,2.9,1.4,2.2,F,F,0.6,1.3,1.6,1.1,1.6,1.8,2.2,1.8,1.8,1.5,2.0,1.8,2.1,1.7,F,0.7,F,1.1,0.9,0.9,1.1,1.1,1.4,1.1,1.5,1.5,2.5,1.9,F,1.5,F,0.5,1.0,F,F,F,1.0,1.1,1.1,1.6,1.0,1.5,1.5,0.8,1.4,F,F,F,0.5,0.6,0.6,1.0,1.2,1.0,1.1,1.6,1.6,1.5,1.6,1.2,F,F,F,F,F,0.9,1.3,0.9,1.0,1.9,1.6,1.1,1.1,1.6,1.4,1.8,F,1.4,F,F,1.1,0.9,F,0.8,1.0,1.9,1.9,1.6,1.1,1.3,1.8,1.8,1.5,1.1,1.1,1.0,1.1,1.2,0.9,F,1.9,1.8,1.3,1.3,1.2,1.2,1.8,1.0,0.7,1.2,2.4,2.4,2.4,1.2,1.5,1.9
MOD15A2H.A2000097.h30v12.006.2020041042002.Lai_500m,MOD15A2H,A2000097,Lat-33.6152Lon150.7236Samp17Line17,2020041042002,3.8,3.8,F,5.2,2.8,2.7,1.5,2.5,2.5,2.8,2.8,2.6,2.3,2.7,3.4,3.5,1.4,F,F,3.1,3.0,2.8,3.0,2.4,2.5,2.3,2.4,2.5,2.4,2.7,2.5,1.2,1.2,F,F,4.1,2.6,2.6,3.0,2.4,2.2,2.4,2.6,2.2,2.4,2.3,1.3,1.3,1.5,F,1.7,4.1,2.6,2.6,2.3,2.3,2.5,2.5,2.6,2.2,2.9,2.7,2.6,2.6,1.5,1.5,0.8,1.3,2.2,2.0,2.0,2.2,1.9,2.5,2.3,2.6,2.6,1.2,1.4,1.4,1.0,0.7,1.1,1.2,F,2.1,2.3,2.3,1.9,2.4,2.4,1.4,1.7,1.1,2.5,1.2,1.2,1.1,1.7,F,F,F,2.1,2.3,2.1,2.4,2.8,1.5,2.8,2.1,1.0,1.2,1.3,1.1,1.7,2.3,1.4,F,F,1.7,1.4,2.6,1.1,2.6,1.8,F,F,0.9,1.7,2.0,1.8,1.8,1.2,F,F,1.3,2.1,1.8,2.1,1.8,F,1.4,1.8,1.7,1.6,1.6,1.4,1.4,2.0,1.9,1.3,2.1,2.2,1.8,1.4,1.2,F,0.5,1.4,1.7,1.5,1.5,2.0,2.0,2.0,1.9,1.2,2.0,4.2,1.3,2.1,F,F,0.5,1.0,1.8,1.4,1.6,1.6,2.4,2.1,1.7,1.7,2.4,1.9,1.9,1.7,F,0.5,F,1.4,1.0,1.0,1.3,1.2,1.6,1.1,1.5,1.5,2.7,1.7,F,1.6,F,0.5,0.7,F,F,F,1.0,1.3,1.3,1.7,1.2,1.5,1.5,1.0,1.0,F,F,F,0.6,0.6,0.5,1.0,1.2,1.2,1.3,1.6,1.7,1.7,1.7,1.5,F,F,F,F,F,0.8,1.4,1.0,1.0,2.0,1.7,1.3,1.3,1.8,1.6,1.8,F,1.3,F,F,0.9,1.1,F,1.1,1.1,2.0,2.1,1.7,1.4,1.5,2.0,1.8,1.3,1.2,1.2,1.2,1.2,1.1,1.6,F,1.9,1.9,1.4,1.4,1.4,1.5,1.7,1.3,0.8,1.3,2.6,2.7,2.6,1.4,1.5,1.9
MOD15A2H.A2000105.h30v12.006.2020041072656.Lai_500m,MOD15A2H,A2000105,Lat-33.6152Lon150.7236Samp17Line17,2020041072656,3.6,F,6.5,5.9,1.7,2.3,1.0,1.7,1.7,2.5,2.5,1.8,2.7,3.0,2.0,3.7,1.0,3.6,4.0,1.7,1.8,1.8,2.8,1.6,1.6,1.6,1.5,2.3,1.6,2.5,2.0,1.0,1.0,F,3.5,5.0,2.3,2.6,1.8,1.6,1.5,1.5,2.3,2.1,2.2,1.6,1.0,1.4,2.1,F,1.2,5.8,2.3,2.6,1.6,1.7,2.4,2.4,1.6,1.7,1.7,2.4,2.6,2.5,1.1,1.3,0.6,0.6,2.0,1.5,2.2,1.6,1.6,2.4,1.6,1.6,2.4,1.0,1.0,2.1,1.1,0.8,1.0,1.5,F,1.9,2.3,2.2,1.6,1.6,2.4,1.1,1.1,1.6,2.4,0.8,1.2,1.0,1.1,F,F,F,1.6,2.4,1.7,1.6,2.4,1.7,3.1,1.8,0.8,0.8,1.4,0.9,2.0,2.1,1.4,F,F,1.1,1.5,2.4,1.1,1.2,2.1,F,F,1.1,1.4,1.4,1.1,2.1,0.9,F,F,1.4,2.2,1.2,1.2,2.1,F,1.1,1.2,1.6,1.0,1.2,1.1,1.3,2.1,1.2,1.4,2.2,1.2,2.3,1.2,0.8,F,1.6,0.9,1.0,1.1,1.1,1.7,1.6,2.7,1.6,1.0,3.0,3.1,1.6,1.8,F,F,0.8,0.9,1.5,1.0,1.4,1.4,1.6,1.8,1.4,1.7,3.0,1.1,1.9,1.2,F,0.7,F,1.0,0.9,1.0,0.9,1.0,1.7,0.9,1.2,2.3,2.7,1.9,F,1.3,F,0.5,1.0,F,F,F,1.0,1.0,1.0,1.2,1.0,1.1,1.5,0.9,0.9,F,F,F,0.7,0.6,0.6,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.9,1.1,F,F,F,F,F,1.2,1.0,0.9,1.1,1.2,1.3,1.2,1.0,1.8,1.2,1.8,F,1.0,F,F,1.0,0.7,F,0.9,1.2,1.2,1.9,1.3,1.1,1.1,1.9,1.3,1.4,0.8,0.9,0.9,0.7,0.7,1.2,F,1.6,1.3,1.2,1.1,1.1,1.1,1.2,1.0,0.8,0.9,2.7,2.2,2.4,1.0,1.4,2.1
MOD15A2H.A2000113.h30v12.006.2020041221651.Lai_500m,MOD15A2H,A2000113,Lat-33.6152Lon150.7236Samp17Line17,2020041221651,3.7,F,F,4.4,2.4,2.5,1.1,2.1,2.2,2.4,2.5,2.3,2.2,2.8,2.6,2.5,1.2,F,5.0,2.7,2.7,2.5,2.4,2.5,2.3,2.1,2.3,2.4,2.2,2.5,1.6,1.0,1.5,F,F,3.7,2.2,2.5,2.6,2.4,2.0,2.0,2.4,2.4,1.7,1.9,1.1,1.4,1.5,F,1.3,3.7,2.2,2.5,2.2,2.2,2.4,2.4,2.3,1.9,1.8,1.8,2.6,2.5,1.5,1.6,0.6,0.9,2.3,1.9,2.4,2.0,2.0,2.2,1.9,1.9,1.8,1.1,1.1,1.6,1.5,0.8,1.0,0.8,F,1.8,2.1,2.0,1.7,2.2,1.9,1.2,1.2,1.1,1.6,0.8,0.8,0.8,1.1,F,F,F,1.3,1.4,1.7,2.1,2.6,1.2,2.0,1.6,1.0,0.9,1.4,0.8,2.0,1.9,1.2,F,F,1.0,1.1,1.3,1.0,1.6,1.4,F,F,1.2,1.4,1.9,1.2,1.9,0.8,F,F,1.2,1.5,1.5,1.6,1.6,F,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.4,1.4,1.3,2.0,1.4,1.5,1.5,0.9,F,0.9,1.2,1.2,1.2,1.2,1.5,1.3,2.4,1.8,1.3,2.1,1.5,1.2,1.5,F,F,0.8,1.0,1.0,1.1,1.5,1.5,2.1,1.7,1.7,1.7,2.1,1.9,1.7,1.8,F,0.6,F,1.0,1.1,1.2,1.2,1.0,1.2,1.1,2.0,2.2,2.4,1.9,F,1.8,F,0.6,0.7,F,F,F,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,F,F,F,0.7,0.8,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,F,F,F,F,F,1.1,1.1,1.0,1.0,1.2,1.0,0.9,0.9,1.0,0.9,1.0,F,0.8,F,F,1.0,0.9,F,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.8,0.8,0.9,0.9,0.9,1.1,F,1.6,1.9,1.3,1.3,1.4,1.4,1.0,0.9,0.9,0.9,2.6,2.6,2.6,1.2,1.2,1.2
MOD15A2H.A2000121.h30v12.006.2020042020434.Lai_500m,MOD15A2H,A2000121,Lat-33.6152Lon150.7236Samp17Line17,2020042020434,F,F,0.2,F,2.3,2.1,1.0,1.5,1.7,1.7,2.3,1.6,1.6,2.5,2.3,1.8,1.1,0.6,0.1,1.9,1.9,1.7,1.7,2.5,1.7,1.5,1.5,1.6,1.6,2.2,2.1,1.2,1.2,F,2.8,6.9,1.6,2.2,1.6,1.6,1.7,1.5,1.5,2.2,1.5,1.7,1.1,1.1,2.5,F,1.1,0.3,2.2,2.2,1.6,1.6,1.7,2.4,2.4,1.5,1.8,2.1,1.9,1.7,1.5,1.4,0.6,0.9,1.5,1.4,2.2,1.4,1.9,1.6,1.5,1.7,1.7,1.1,0.9,1.6,0.8,0.8,1.2,1.2,F,1.3,1.7,1.4,1.4,1.6,2.5,1.2,1.2,0.9,1.6,1.0,1.0,0.9,1.2,F,F,F,1.7,2.3,2.3,1.8,2.0,1.2,2.8,1.8,1.1,0.9,0.9,0.9,1.2,1.5,1.3,F,F,1.3,1.1,1.7,1.0,2.3,1.8,F,F,0.9,1.4,1.9,1.3,1.8,0.9,F,F,1.1,2.6,2.1,1.7,1.5,F,1.2,1.8,1.5,1.5,1.8,1.4,1.3,1.3,1.3,1.7,1.7,1.5,1.1,2.0,0.8,F,1.0,0.8,1.5,1.0,1.1,1.8,1.4,2.3,1.7,1.1,2.5,2.7,1.4,1.9,F,F,0.8,0.9,1.1,1.0,1.8,1.2,1.5,2.3,1.4,2.2,3.7,1.5,1.4,1.5,F,0.6,F,1.3,1.0,1.0,1.0,1.0,1.6,0.9,1.1,1.8,1.8,1.2,F,1.4,F,0.4,0.7,F,F,F,1.0,1.0,1.1,1.5,1.0,1.1,1.1,0.9,1.0,F,F,F,0.6,0.6,0.8,0.9,1.4,1.1,1.1,1.3,1.2,1.7,1.5,0.9,F,F,F,F,F,0.7,1.2,0.9,1.0,1.3,1.3,1.1,1.0,1.4,1.2,1.4,F,1.2,F,F,0.9,0.8,F,0.8,1.0,1.3,1.2,1.2,1.1,1.2,1.9,1.2,1.2,0.9,0.9,0.8,0.8,1.0,1.2,F,1.7,1.9,1.2,1.2,1.2,1.1,1.1,0.9,0.7,0.9,F,2.2,2.5,1.1,1.4,2.1
MOD15A2H.A2000129.h30v12.006.2020042171102.Lai_500m,MOD15A2H,A2000129,Lat-33.6152Lon150.7236Samp17Line17,2020042171102,F,2.4,1.9,5.0,2.1,2.1,1.1,2.0,2.1,2.1,1.9,1.7,1.7,1.9,1.7,1.7,1.1,2.4,F,2.3,2.3,2.0,2.1,2.1,2.1,2.1,1.8,1.9,1.9,2.8,2.6,1.5,1.8,F,F,F,2.1,2.0,2.1,2.0,2.1,1.8,2.1,1.9,1.9,2.1,1.3,1.5,2.7,F,1.4,F,2.1,2.1,1.8,1.9,2.1,1.8,2.1,1.6,2.1,1.8,2.1,2.2,1.3,1.5,0.7,1.1,1.8,1.5,2.0,1.6,1.7,1.8,1.7,1.9,2.1,1.1,1.1,1.7,1.0,0.8,1.1,1.0,F,1.6,1.7,1.6,1.5,1.9,2.0,1.2,1.3,1.1,1.9,1.0,1.2,0.8,1.2,F,F,F,2.1,1.8,1.7,1.8,1.8,1.2,2.4,2.1,1.0,1.0,1.0,0.9,1.3,1.7,1.3,F,F,1.4,1.3,1.9,1.1,2.0,1.7,F,F,0.9,1.8,1.5,1.5,1.5,1.0,F,F,1.1,1.7,1.9,1.8,1.5,F,1.3,1.5,1.3,1.2,1.5,1.5,1.6,1.6,1.2,1.7,1.7,1.8,1.0,1.5,1.1,F,1.2,0.9,1.2,1.2,1.3,1.5,1.6,1.6,1.8,1.3,2.1,3.3,1.5,1.8,F,F,0.5,1.0,1.5,1.2,1.4,1.5,1.6,1.4,1.6,1.9,2.0,1.5,1.7,1.4,F,0.6,F,1.1,0.9,1.2,1.1,1.0,1.3,1.0,1.2,1.8,2.2,1.8,F,1.5,F,0.5,0.7,F,F,F,1.0,1.0,1.2,1.6,0.9,1.2,1.0,0.8,1.0,F,F,F,0.5,0.6,0.6,0.7,1.1,1.1,1.1,1.6,1.4,1.3,1.5,1.4,F,F,F,F,F,0.9,1.1,0.9,1.1,1.4,1.5,1.1,1.1,1.6,1.3,1.6,F,1.1,F,F,0.7,0.9,F,0.9,1.1,1.7,1.6,1.4,1.2,1.2,1.7,1.5,1.0,0.9,1.0,1.0,0.7,0.9,1.2,F,1.5,1.5,1.2,1.2,1.2,1.2,1.4,1.1,0.8,1.0,F,F,F,1.2,1.2,1.7
