product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.06,0.59,32.2,0.53,0.2927,0.0124,0.1113,289,110,38.06,2020041210828,0.35
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.24,0.82,114.2801,0.58,0.4535,0.0122,0.1105,289,252,87.2,2020037221649,0.42
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.16,0.75,79.89,0.59,0.3221,0.0075,0.0867,289,248,85.81,2020038182455,0.31
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.2,0.81,80.48,0.61,0.3272,0.0052,0.0724,289,246,85.12,2020040192641,0.34
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.29,0.88,146.04,0.59,0.5795,0.0143,0.1196,289,252,87.2,2020040192650,0.44
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.12,0.87,151.55,0.75,0.6038,0.0165,0.1284,289,251,86.85,2020041212553,0.53
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.26,0.89,156.08,0.63,0.6268,0.0155,0.1245,289,249,86.16,2020041042002,0.58
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.34,0.9,162.13,0.56,0.6434,0.0111,0.1055,289,252,87.2,2020041072656,0.54
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.39,0.88,158.9999,0.49,0.6386,0.0091,0.0956,289,249,86.16,2020041221651,0.61
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.08,0.9,156.6,0.82,0.6289,0.0132,0.1148,289,249,86.16,2020042020434,0.53
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.33,0.89,165.4899,0.56,0.6755,0.0116,0.1075,289,245,84.78,2020042171102,0.58
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.3,0.9,162.73,0.6,0.6588,0.0088,0.0936,289,247,85.47,2020042225448,0.58
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.3,0.9,156.7301,0.6,0.6294,0.0128,0.1131,289,249,86.16,2020043014828,0.63
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.31,0.91,160.45,0.6,0.6392,0.0111,0.1055,289,251,86.85,2020045220244,0.53
MOD15A2H,Fpar_500m,A2000161,2000-06-09,0.33,0.89,137.27,0.56,0.5426,0.0102,0.1009,289,253,87.54,2020046020642,0.49
MOD15A2H,Fpar_500m,A2000169,2000-06-17,0.16,0.87,134.21,0.71,0.5368,0.0092,0.096,289,250,86.51,2020047235920,0.51
MOD15A2H,Fpar_500m,A2000177,2000-06-25,0.26,0.9,136.99,0.64,0.5502,0.0118,0.1085,289,249,86.16,2020048052454,0.5
MOD15A2H,Fpar_500m,A2000185,2000-07-03,0.14,0.9,134.35,0.76,0.531,0.0151,0.1227,289,253,87.54,2020048082503,0.42
MOD15A2H,Fpar_500m,A2000193,2000-07-11,0.26,0.9,134.73,0.64,0.5411,0.0106,0.1028,289,249,86.16,2020051203821,0.49
MOD15A2H,Fpar_500m,A2000201,2000-07-19,0.26,0.9,133.98,0.64,0.5338,0.0119,0.1089,289,251,86.85,2020048200244,0.5
MOD15A2H,Fpar_500m,A2000209,2000-07-27,0.26,0.92,133.46,0.66,0.5275,0.0129,0.1135,289,253,87.54,2020048230806,0.52
MOD15A2H,Fpar_500m,A2000217,2000-08-04,0.25,0.81,114.93,0.56,0.4691,0.0104,0.1019,289,245,84.78,2020049000514,0.42
MOD15A2H,Fpar_500m,A2000225,2000-08-12,0.27,0.88,120.46,0.61,0.4877,0.0096,0.0977,289,247,85.47,2020049163013,0.5
MOD15A2H,Fpar_500m,A2000233,2000-08-20,0.27,0.86,125.52,0.59,0.4961,0.0124,0.1115,289,253,87.54,2020050214255,0.48
MOD15A2H,Fpar_500m,A2000241,2000-08-28,0.2,0.87,127.45,0.67,0.5038,0.0128,0.1133,289,253,87.54,2020051032457,0.46
