product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD17A2HGF,Gpp_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125212308,F
MOD17A2HGF,Gpp_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125224817,F
MOD17A2HGF,Gpp_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125235815,F
MOD17A2HGF,Gpp_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126005812,F
MOD17A2HGF,Gpp_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126020157,F
MOD17A2HGF,Gpp_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126025819,F
MOD17A2HGF,Gpp_500m,A2000049,2000-02-18,0.0108,0.0443,1.626,0.0335,0.028,0.0001,0.0075,289,58,20.07,2020126035532,0.0313
MOD17A2HGF,Gpp_500m,A2000057,2000-02-26,0.0115,0.0733,8.5014,0.0618,0.0351,0.0001,0.0105,289,242,83.74,2020126045108,0.0351
MOD17A2HGF,Gpp_500m,A2000065,2000-03-05,0.0078,0.0425,4.4337,0.0347,0.018,0.0,0.0054,289,247,85.47,2020126055520,0.0188
MOD17A2HGF,Gpp_500m,A2000073,2000-03-13,0.0198,0.0564,1.1475,0.0366,0.037,0.0001,0.0106,289,31,10.73,2020126065144,F
MOD17A2HGF,Gpp_500m,A2000081,2000-03-21,0.0174,0.0624,9.9094,0.045,0.0396,0.0001,0.0092,289,250,86.51,2020126074633,0.0325
MOD17A2HGF,Gpp_500m,A2000089,2000-03-29,0.0157,0.0583,9.7427,0.0426,0.0394,0.0001,0.0089,289,247,85.47,2020126084133,0.0371
MOD17A2HGF,Gpp_500m,A2000097,2000-04-06,0.014,0.055,9.4728,0.041,0.0387,0.0001,0.0086,289,245,84.78,2020126093739,0.0385
MOD17A2HGF,Gpp_500m,A2000105,2000-04-14,0.0187,0.0619,10.2221,0.0432,0.0409,0.0001,0.0083,289,250,86.51,2020126103236,0.0371
MOD17A2HGF,Gpp_500m,A2000113,2000-04-22,0.0207,0.0537,9.0315,0.033,0.0372,0.0,0.0071,289,243,84.08,2020126112807,0.0385
MOD17A2HGF,Gpp_500m,A2000121,2000-04-30,0.0136,0.0501,8.1747,0.0365,0.0342,0.0,0.0065,289,239,82.7,2020126122305,0.0308
MOD17A2HGF,Gpp_500m,A2000129,2000-05-08,0.0145,0.0513,8.3609,0.0368,0.0348,0.0001,0.0072,289,240,83.04,2020126131710,0.0327
MOD17A2HGF,Gpp_500m,A2000137,2000-05-16,0.0139,0.0429,6.19,0.029,0.027,0.0,0.0053,289,229,79.24,2020126141059,0.0271
MOD17A2HGF,Gpp_500m,A2000145,2000-05-24,0.0097,0.0385,5.4543,0.0288,0.0235,0.0,0.0057,289,232,80.28,2020126150504,0.0258
MOD17A2HGF,Gpp_500m,A2000153,2000-06-01,0.0085,0.0335,4.779,0.025,0.0203,0.0,0.0047,289,235,81.31,2020126155759,0.0186
MOD17A2HGF,Gpp_500m,A2000161,2000-06-09,0.0096,0.027,2.7976,0.0174,0.015,0.0,0.0034,289,187,64.71,2020126165128,0.0139
MOD17A2HGF,Gpp_500m,A2000169,2000-06-17,0.0085,0.0339,4.4059,0.0254,0.0181,0.0,0.0044,289,243,84.08,2020126174524,0.0187
MOD17A2HGF,Gpp_500m,A2000177,2000-06-25,0.0069,0.0314,4.1143,0.0245,0.0167,0.0,0.0044,289,246,85.12,2020126183824,0.0165
MOD17A2HGF,Gpp_500m,A2000185,2000-07-03,0.0064,0.031,4.0138,0.0246,0.0161,0.0,0.0047,289,250,86.51,2020126193106,0.0138
MOD17A2HGF,Gpp_500m,A2000193,2000-07-11,0.007,0.0329,4.247,0.0259,0.0172,0.0,0.0045,289,247,85.47,2020126202403,0.017
MOD17A2HGF,Gpp_500m,A2000201,2000-07-19,0.0079,0.0376,4.7182,0.0297,0.0193,0.0,0.0054,289,245,84.78,2020126211607,0.0195
MOD17A2HGF,Gpp_500m,A2000209,2000-07-27,0.0084,0.0377,4.4484,0.0293,0.0198,0.0,0.0059,289,225,77.85,2020126220905,0.0216
MOD17A2HGF,Gpp_500m,A2000217,2000-08-04,0.0098,0.0422,4.9633,0.0324,0.0212,0.0,0.0059,289,234,80.97,2020126230109,0.0207
MOD17A2HGF,Gpp_500m,A2000225,2000-08-12,0.0085,0.0366,4.2056,0.0281,0.0176,0.0,0.0048,289,239,82.7,2020126235256,0.0175
MOD17A2HGF,Gpp_500m,A2000233,2000-08-20,0.01,0.0494,6.0158,0.0394,0.0248,0.0001,0.0075,289,243,84.08,2020127004602,0.0256
MOD17A2HGF,Gpp_500m,A2000241,2000-08-28,0.0095,0.0571,6.7075,0.0476,0.0277,0.0001,0.0087,289,242,83.74,2020127013738,0.027
MOD17A2HGF,Gpp_500m,A2000249,2000-09-05,0.0107,0.0659,7.0768,0.0552,0.0297,0.0001,0.0102,289,238,82.35,2020127022809,0.0235
MOD17A2HGF,Gpp_500m,A2000257,2000-09-13,0.0126,0.0746,8.1612,0.062,0.0339,0.0001,0.0106,289,241,83.39,2020127031836,0.0308
MOD17A2HGF,Gpp_500m,A2000265,2000-09-21,0.0161,0.0701,8.4723,0.054,0.0343,0.0001,0.01,289,247,85.47,2020127040837,0.0358
MOD17A2HGF,Gpp_500m,A2000273,2000-09-29,0.0132,0.076,8.3139,0.0628,0.0342,0.0001,0.0107,289,243,84.08,2020127045906,0.0289
MOD17A2HGF,Gpp_500m,A2000281,2000-10-07,0.0098,0.0622,6.2272,0.0524,0.0271,0.0001,0.0092,289,230,79.58,2020127055834,0.0217
MOD17A2HGF,Gpp_500m,A2000289,2000-10-15,0.0149,0.0795,9.6038,0.0646,0.0384,0.0001,0.0101,289,250,86.51,2020127064934,0.0342
MOD17A2HGF,Gpp_500m,A2000297,2000-10-23,0.016,0.081,10.3174,0.065,0.0418,0.0001,0.0113,289,247,85.47,2020127074133,0.0309
MOD17A2HGF,Gpp_500m,A2000305,2000-10-31,0.0079,0.0784,6.2357,0.0705,0.043,0.0001,0.0111,289,145,50.17,2020127083158,F
MOD17A2HGF,Gpp_500m,A2000313,2000-11-08,0.0109,0.0557,6.0322,0.0448,0.0328,0.0001,0.0085,289,184,63.67,2020127092256,0.0223
MOD17A2HGF,Gpp_500m,A2000321,2000-11-16,0.019,0.084,11.8029,0.065,0.048,0.0001,0.0103,289,246,85.12,2020127101322,0.0354
MOD17A2HGF,Gpp_500m,A2000329,2000-11-24,0.0236,0.1106,16.8476,0.087,0.0671,0.0003,0.0159,289,251,86.85,2020127110502,0.0687
MOD17A2HGF,Gpp_500m,A2000337,2000-12-02,0.0223,0.1159,18.2933,0.0936,0.0726,0.0003,0.0167,289,252,87.2,2020127115857,0.0619
MOD17A2HGF,Gpp_500m,A2000345,2000-12-10,0.0209,0.1001,14.5292,0.0792,0.0586,0.0002,0.0148,289,248,85.81,2020127125006,0.0524
