product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD17A2HGF,Gpp_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125212308,F
MOD17A2HGF,PsnNet_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125212308,F
MOD17A2HGF,Gpp_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125224817,F
MOD17A2HGF,PsnNet_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125224817,F
MOD17A2HGF,Gpp_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125235815,F
MOD17A2HGF,PsnNet_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125235815,F
MOD17A2HGF,Gpp_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126005812,F
MOD17A2HGF,PsnNet_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126005812,F
MOD17A2HGF,Gpp_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126020157,F
MOD17A2HGF,PsnNet_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126020157,F
MOD17A2HGF,Gpp_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126025819,F
MOD17A2HGF,PsnNet_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126025819,F
MOD17A2HGF,Gpp_500m,A2000049,2000-02-18,0.0108,0.0443,1.626,0.0335,0.028,0.0001,0.0075,289,58,20.07,2020126035532,0.0313
MOD17A2HGF,PsnNet_500m,A2000049,2000-02-18,0.0083,0.0344,1.2715,0.0261,0.0208,0.0,0.0059,289,61,21.11,2020126035532,0.0232
MOD17A2HGF,Gpp_500m,A2000057,2000-02-26,0.0115,0.0733,8.5014,0.0618,0.0351,0.0001,0.0105,289,242,83.74,2020126045108,0.0351
MOD17A2HGF,PsnNet_500m,A2000057,2000-02-26,0.0092,0.0562,6.2774,0.047,0.0273,0.0001,0.0085,289,230,79.58,2020126045108,0.0273
MOD17A2HGF,Gpp_500m,A2000065,2000-03-05,0.0078,0.0425,4.4337,0.0347,0.018,0.0,0.0054,289,247,85.47,2020126055520,0.0188
MOD17A2HGF,PsnNet_500m,A2000065,2000-03-05,0.0053,0.0317,3.2902,0.0264,0.0133,0.0,0.0043,289,248,85.81,2020126055520,0.0144
MOD17A2HGF,Gpp_500m,A2000073,2000-03-13,0.0198,0.0564,1.1475,0.0366,0.037,0.0001,0.0106,289,31,10.73,2020126065144,F
MOD17A2HGF,PsnNet_500m,A2000073,2000-03-13,0.0152,0.0469,0.9336,0.0317,0.0292,0.0001,0.0088,289,32,11.07,2020126065144,F
MOD17A2HGF,Gpp_500m,A2000081,2000-03-21,0.0174,0.0624,9.9094,0.045,0.0396,0.0001,0.0092,289,250,86.51,2020126074633,0.0325
MOD17A2HGF,PsnNet_500m,A2000081,2000-03-21,0.0148,0.0492,8.0499,0.0344,0.0329,0.0001,0.0075,289,245,84.78,2020126074633,0.0282
