product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD21A2,LST_Night_1KM,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020041212514,F
MOD21A2,LST_Night_1KM,A2000057,2000-02-26,289.08,293.04,23609.1973,3.96,291.4716,0.9637,0.9817,81,81,100.0,2020037222620,291.9
MOD21A2,LST_Night_1KM,A2000065,2000-03-05,285.96,288.28,2585.2,2.32,287.2444,0.9488,0.9741,81,9,11.11,2020038181240,F
MOD21A2,LST_Night_1KM,A2000073,2000-03-13,281.8,295.08,5447.8804,13.28,286.7306,10.3109,3.2111,81,19,23.46,2020040195024,F
MOD21A2,LST_Night_1KM,A2000081,2000-03-21,275.84,288.54,7118.9404,12.7,284.7576,16.4313,4.0536,81,25,30.86,2020040195142,F
MOD21A2,LST_Night_1KM,A2000089,2000-03-29,288.78,292.3,23561.3848,3.52,290.8813,0.5634,0.7506,81,81,100.0,2020041214954,290.58
MOD21A2,LST_Night_1KM,A2000097,2000-04-06,280.68,289.78,22283.2012,9.1,285.6821,4.2726,2.067,81,78,96.3,2020041043028,F
MOD21A2,LST_Night_1KM,A2000105,2000-04-14,284.12,286.62,23124.5859,2.5,285.4887,0.287,0.5357,81,81,100.0,2020041073337,285.26
MOD21A2,LST_Night_1KM,A2000113,2000-04-22,279.84,283.18,22803.3633,3.34,281.523,0.5559,0.7456,81,81,100.0,2020041223114,281.22
MOD21A2,LST_Night_1KM,A2000121,2000-04-30,277.0,291.06,22707.1133,14.06,287.4318,7.2238,2.6877,81,79,97.53,2020042021543,286.78
MOD21A2,LST_Night_1KM,A2000129,2000-05-08,282.68,285.12,22985.1602,2.44,283.7674,0.2788,0.528,81,81,100.0,2020042173320,283.64
MOD21A2,LST_Night_1KM,A2000137,2000-05-16,278.84,282.06,22700.1953,3.22,280.2493,0.4934,0.7024,81,81,100.0,2020042231122,279.78
MOD21A2,LST_Night_1KM,A2000145,2000-05-24,276.44,281.1,22529.9609,4.66,278.1477,0.5666,0.7527,81,81,100.0,2020043015846,277.86
MOD21A2,LST_Night_1KM,A2000153,2000-06-01,274.76,279.8,22410.0664,5.04,276.6675,1.2421,1.1145,81,81,100.0,2020045222422,276.24
MOD21A2,LST_Night_1KM,A2000161,2000-06-09,276.06,279.86,22540.3887,3.8,278.2764,0.7915,0.8896,81,81,100.0,2020046022020,277.96
MOD21A2,LST_Night_1KM,A2000169,2000-06-17,277.32,282.22,22587.1387,4.9,278.8536,1.0527,1.026,81,81,100.0,2020048002322,278.92
MOD21A2,LST_Night_1KM,A2000177,2000-06-25,277.66,284.68,18274.2207,7.02,281.1418,6.4782,2.5452,81,65,80.25,2020048053530,281.1
MOD21A2,LST_Night_1KM,A2000185,2000-07-03,278.5,282.28,22727.1016,3.78,280.5815,0.6128,0.7828,81,81,100.0,2020048083814,280.7
MOD21A2,LST_Night_1KM,A2000193,2000-07-11,276.06,280.8,22532.9785,4.74,278.1849,1.1519,1.0733,81,81,100.0,2020051211117,278.04
MOD21A2,LST_Night_1KM,A2000201,2000-07-19,276.68,280.92,22574.0195,4.24,278.6916,0.7557,0.8693,81,81,100.0,2020048201052,278.26
MOD21A2,LST_Night_1KM,A2000209,2000-07-27,276.38,280.78,22571.9863,4.4,278.6665,1.1874,1.0897,81,81,100.0,2020048232125,277.78
MOD21A2,LST_Night_1KM,A2000217,2000-08-04,278.66,282.3,12921.8594,3.64,280.91,0.735,0.8573,81,46,56.79,2020049001326,F
MOD21A2,LST_Night_1KM,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020049163335,F
MOD21A2,LST_Night_1KM,A2000233,2000-08-20,277.58,281.46,22619.9238,3.88,279.2583,0.8516,0.9228,81,81,100.0,2020050220104,278.96
MOD21A2,LST_Night_1KM,A2000241,2000-08-28,278.06,282.4,22693.3008,4.34,280.1642,0.9151,0.9566,81,81,100.0,2020051033356,279.74
MOD21A2,LST_Night_1KM,A2000249,2000-09-05,279.94,283.38,22811.6836,3.44,281.6257,0.3669,0.6057,81,81,100.0,2020051065931,281.84
MOD21A2,LST_Night_1KM,A2000257,2000-09-13,281.64,285.92,23004.8848,4.28,284.0109,0.8685,0.932,81,81,100.0,2020051185121,283.74
MOD21A2,LST_Night_1KM,A2000265,2000-09-21,281.46,288.66,23134.418,7.2,285.6101,3.1186,1.766,81,81,100.0,2020052004152,284.96
MOD21A2,LST_Night_1KM,A2000273,2000-09-29,284.16,288.66,23183.7441,4.5,286.2191,0.6432,0.802,81,81,100.0,2020052035832,285.8
MOD21A2,LST_Night_1KM,A2000281,2000-10-07,284.08,287.44,23170.3027,3.36,286.0531,0.4317,0.657,81,81,100.0,2020052180549,285.74
MOD21A2,LST_Night_1KM,A2000289,2000-10-15,281.5,284.42,22918.2012,2.92,282.9408,0.4769,0.6906,81,81,100.0,2020052230646,282.86
MOD21A2,LST_Night_1KM,A2000297,2000-10-23,283.04,288.62,23243.8652,5.58,286.9613,1.5049,1.2267,81,81,100.0,2020053015953,286.84
MOD21A2,LST_Night_1KM,A2000305,2000-10-31,279.96,286.82,19357.9004,6.86,284.675,2.5786,1.6058,81,68,83.95,2020055204936,284.32
MOD21A2,LST_Night_1KM,A2000313,2000-11-08,282.68,286.16,23037.8828,3.48,284.4183,1.1244,1.0604,81,81,100.0,2020056075657,283.36
MOD21A2,LST_Night_1KM,A2000321,2000-11-16,286.72,290.28,23341.1191,3.56,288.162,0.9936,0.9968,81,81,100.0,2020056161814,287.26
MOD21A2,LST_Night_1KM,A2000329,2000-11-24,285.92,292.22,22793.6387,6.3,288.5271,3.0463,1.7454,81,79,97.53,2020056202617,291.34
MOD21A2,LST_Night_1KM,A2000337,2000-12-02,287.88,292.0,23566.1445,4.12,290.9401,0.6051,0.7779,81,81,100.0,2020057064614,290.96
MOD21A2,LST_Night_1KM,A2000345,2000-12-10,290.84,293.64,23671.5801,2.8,292.2417,0.5567,0.7461,81,81,100.0,2020057111212,291.56
MOD21A2,LST_Night_1KM,A2000353,2000-12-18,292.3,294.98,23767.9844,2.68,293.4319,0.2545,0.5045,81,81,100.0,2020057143931,293.18
MOD21A2,LST_Night_1KM,A2000361,2000-12-26,284.38,289.98,3431.48,5.6,285.9567,2.0379,1.4275,81,12,14.81,2020058222345,F
MOD21A2,LST_Night_1KM,A2001001,2001-01-01,288.34,291.36,23514.5254,3.02,290.3028,0.7192,0.8481,81,81,100.0,2020059014311,290.6
