product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD21A2,LST_Day_1KM,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020041212514,F
MOD21A2,LST_Night_1KM,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020041212514,F
MOD21A2,LST_Day_1KM,A2000057,2000-02-26,300.74,311.76,25004.3574,11.02,308.6958,4.7293,2.1747,81,81,100.0,2020037222620,309.22
MOD21A2,LST_Night_1KM,A2000057,2000-02-26,289.08,293.04,23609.1973,3.96,291.4716,0.9637,0.9817,81,81,100.0,2020037222620,291.9
MOD21A2,LST_Day_1KM,A2000065,2000-03-05,298.4,304.94,24535.0859,6.54,302.9023,1.3704,1.1706,81,81,100.0,2020038181240,304.04
MOD21A2,LST_Night_1KM,A2000065,2000-03-05,285.96,288.28,2585.2,2.32,287.2444,0.9488,0.9741,81,9,11.11,2020038181240,F
MOD21A2,LST_Day_1KM,A2000073,2000-03-13,287.96,304.86,1778.26,16.9,296.3767,28.8798,5.374,81,6,7.41,2020040195024,F
MOD21A2,LST_Night_1KM,A2000073,2000-03-13,281.8,295.08,5447.8804,13.28,286.7306,10.3109,3.2111,81,19,23.46,2020040195024,F
MOD21A2,LST_Day_1KM,A2000081,2000-03-21,296.36,301.4,21516.2363,5.04,298.8366,0.9098,0.9539,81,72,88.89,2020040195142,298.24
MOD21A2,LST_Night_1KM,A2000081,2000-03-21,275.84,288.54,7118.9404,12.7,284.7576,16.4313,4.0536,81,25,30.86,2020040195142,F
MOD21A2,LST_Day_1KM,A2000089,2000-03-29,296.86,303.7,24424.1152,6.84,301.5323,0.9566,0.978,81,81,100.0,2020041214954,301.1
MOD21A2,LST_Night_1KM,A2000089,2000-03-29,288.78,292.3,23561.3848,3.52,290.8813,0.5634,0.7506,81,81,100.0,2020041214954,290.58
MOD21A2,LST_Day_1KM,A2000097,2000-04-06,292.72,300.86,24145.4375,8.14,298.0918,1.9264,1.388,81,81,100.0,2020041043028,297.08
MOD21A2,LST_Night_1KM,A2000097,2000-04-06,280.68,289.78,22283.2012,9.1,285.6821,4.2726,2.067,81,78,96.3,2020041043028,F
