MOD15A2H.A2000049.h31v10.006.2020041210759.Lai_500m,MOD15A2H,A2000049,Lat-17.1175Lon145.6301Samp17Line17,2020041210759,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000057.h31v10.006.2020037220600.Lai_500m,MOD15A2H,A2000057,Lat-17.1175Lon145.6301Samp17Line17,2020037220600,5.9,6.2,6.2,6.2,F,F,6.6,6.6,F,F,F,F,F,F,F,F,F,6.2,6.2,6.2,F,6.2,F,F,6.1,F,F,F,F,F,F,F,F,F,0.8,0.8,F,F,F,6.4,6.1,6.4,6.2,6.5,F,F,F,F,F,F,F,0.8,6.2,6.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.2,6.2,F,6.3,6.5,6.5,6.6,6.6,F,F,F,F,F,F,F,F,F,F,F,6.3,6.3,6.6,6.6,F,6.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,5.6,6.2,6.2,F,F,F,F,F,F,F,F,F,F,F,F,F,6.6,F,F,6.2,F,F,F,6.6,6.6,6.6,6.6,F,F,F,F,F,F,6.2,F,F,F,6.6,6.6,F,6.6,6.6,6.6,6.6,F,6.5,6.5,6.3,F,6.2,6.2,6.6,4.9,6.3,6.6,6.6,F,F,F,F,F,F,6.5,6.3,6.3,6.4,6.4,6.2,F,4.9,6.3,6.3,F,F,F,F,F,F,F,F,F,F,F,6.6,6.2,0.1,F,F,6.6,F,F,F,F,F,F,F,F,F,F,6.6,6.6,6.2,3.6,F,6.6,6.6,F,F,F,F,6.4,F,F,F,F,F,F,6.2,5.8,3.6,4.1,4.2,4.2,4.4,6.4,4.5,6.4,6.4,6.5,6.5,6.2,6.2,6.2,6.2,2.1,1.9
MOD15A2H.A2000065.h31v10.006.2020038180715.Lai_500m,MOD15A2H,A2000065,Lat-17.1175Lon145.6301Samp17Line17,2020038180715,5.5,5.9,5.9,5.9,5.9,6.2,5.4,F,F,3.6,3.6,6.6,6.6,6.6,6.6,6.6,4.5,F,5.9,5.9,5.9,6.2,6.2,6.2,5.9,5.9,5.9,F,6.6,6.6,6.6,4.5,F,F,F,2.1,2.1,5.9,5.9,6.2,6.2,5.9,5.9,5.9,6.2,6.2,6.2,6.6,1.5,F,F,F,F,5.9,5.9,5.9,3.7,3.7,6.6,1.6,1.6,6.2,6.2,6.6,6.6,6.6,F,F,F,6.2,6.2,6.2,F,F,6.6,3.7,3.7,5.5,4.9,6.2,6.2,6.2,2.6,F,F,6.2,6.2,6.2,F,F,6.5,F,6.6,6.6,F,6.2,6.2,6.2,F,F,F,5.1,6.2,6.2,F,6.1,6.5,F,6.6,6.6,6.6,F,4.1,5.1,6.4,4.5,F,F,F,6.2,F,6.1,6.1,6.2,6.2,6.2,6.6,F,3.4,3.4,6.4,6.4,6.4,F,F,5.6,F,F,F,F,6.6,6.2,6.6,6.6,3.3,3.3,4.6,4.6,6.4,F,F,F,F,F,F,4.4,4.4,4.8,4.8,F,F,F,3.3,4.6,4.6,F,F,F,F,4.8,6.6,F,F,F,F,F,F,F,F,F,F,4.0,4.0,F,F,F,4.8,F,F,3.1,3.1,F,6.5,4.0,4.0,F,F,4.0,4.0,3.4,6.5,5.6,1.3,2.0,2.8,2.3,2.3,6.5,6.5,2.5,2.5,4.7,F,6.6,6.2,3.4,6.5,5.6,5.6,4.4,4.4,F,2.3,F,F,F,2.5,4.7,4.7,6.6,6.2,6.2,6.2,6.6,6.6,6.6,F,4.4,1.9,1.9,F,F,F,F,F,F,F,F,6.2,6.6,6.6,6.6,6.5,6.5,6.2,3.9,F,F,F,F,F,F,F,F,F,F,F,F,F,6.5,6.2,6.6,F,F,F,0.5,F,F,F,F,F,F,F,F,F,3.5,3.3,1.6,1.6
MOD15A2H.A2000073.h31v10.006.2020040193323.Lai_500m,MOD15A2H,A2000073,Lat-17.1175Lon145.6301Samp17Line17,2020040193323,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.2,1.2
MOD15A2H.A2000081.h31v10.006.2020040193424.Lai_500m,MOD15A2H,A2000081,Lat-17.1175Lon145.6301Samp17Line17,2020040193424,4.5,0.5,0.2,6.3,6.4,6.6,6.5,6.6,6.6,6.2,6.2,6.0,5.9,6.2,6.2,6.6,6.6,4.3,F,F,6.6,F,6.6,6.5,6.2,6.6,6.2,6.0,6.2,F,6.2,6.2,6.5,6.5,6.2,6.2,6.6,F,F,6.2,6.6,6.6,6.6,6.1,6.0,6.6,F,6.5,6.2,6.3,6.0,6.2,3.6,6.6,F,F,6.4,6.4,6.6,6.2,6.2,6.6,6.0,6.2,6.6,6.2,6.2,6.5,6.2,4.0,4.1,6.2,6.6,6.6,F,4.1,6.2,6.6,6.5,6.6,6.4,6.2,6.2,6.5,6.2,6.2,6.1,3.3,4.8,6.6,6.6,4.3,4.3,F,F,F,6.2,F,6.2,6.2,6.6,6.6,5.0,4.1,1.9,2.9,F,6.6,3.3,5.3,6.2,6.2,F,6.5,F,F,F,F,F,F,F,2.9,2.9,F,3.7,3.7,F,6.5,6.5,F,6.6,6.6,F,F,F,F,6.2,6.2,F,F,F,5.7,F,F,F,F,F,F,6.3,6.3,6.6,F,F,6.6,5.6,F,F,6.2,4.2,F,F,F,F,F,F,F,F,6.6,6.6,6.5,5.6,5.6,5.6,F,6.2,0.3,5.6,F,4.3,F,F,F,F,F,F,6.6,F,6.4,6.2,5.2,5.2,0.3,4.4,0.8,4.3,0.6,0.6,1.6,6.3,F,F,4.4,6.0,6.0,5.7,3.6,5.2,5.5,6.2,6.2,5.4,6.6,6.6,1.6,6.3,6.3,F,F,F,F,5.4,F,3.6,6.2,6.6,6.6,4.8,F,6.6,6.2,6.2,6.2,6.6,F,F,F,6.6,6.2,2.0,6.2,F,F,F,F,3.2,6.2,6.2,F,F,F,F,F,F,6.2,6.2,0.9,4.7,5.5,F,F,F,F,3.2,F,F,F,F,F,6.2,6.2,5.7,5.9,3.0,4.0,5.1,F,6.1,4.9,F,F,F,F,F,F,5.7,5.0,5.7,2.5,2.5
MOD15A2H.A2000089.h31v10.006.2020041212249.Lai_500m,MOD15A2H,A2000089,Lat-17.1175Lon145.6301Samp17Line17,2020041212249,4.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,3.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.6,1.7,1.2,1.2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,5.1,F,0.2,F,F,F,F,F,F,F,F,F,F,F,F,6.6,5.1,F,F,F,F,F,F,F,F,F,1.2,F,F,F,F,F,6.6,6.6,6.6,F,F,F,F,F,F,F,5.5,4.1,2.0,F,F,F,F,F,0.1,0.1,0.3,F,F,F,F,F,F,F,5.6,1.1,F,F,F,F,F,F,F,F,F,F,F,F,5.3,5.3,4.0,1.6,1.1,F,F,F,F,F,F,F,0.7,1.2,F,F,F,5.4,4.1,1.4,1.4,1.4,F,F,F,F,F,F,F,1.0,1.1,0.2,F,F,F,F,F,F,F,F,5.2,3.2,5.3,F,F,F,F,0.5,F,F,F,F,F,F,F,F,F,F,3.2,5.3,3.7,F,F,F,1.4,F,F,F,F,F,F,F,F,F,F,5.1,6.2,3.7,F,6.3,6.3,1.4,0.9,0.3,F,F,F,F,F,F,F,F,F,F,4.2,0.1,0.1,5.6,4.7,2.7,0.7,F,F,F,F,F,F,F,F,F,0.6,2.0
MOD15A2H.A2000097.h31v10.006.2020041041939.Lai_500m,MOD15A2H,A2000097,Lat-17.1175Lon145.6301Samp17Line17,2020041041939,F,F,F,3.8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,3.8,3.8,3.6,3.6,3.6,F,F,F,F,F,F,F,F,F,F,3.0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.8,0.8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,1.2,1.2,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,1.2,F,1.4,1.4,F,0.8,1.0,0.4,0.4,F,F,F,F,F,F,F,F,F,F,F,F,F,1.0,1.0,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,3.6,F,F,F,F,F,F,F,F,0.8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2.3,F,F,F,F,0.3,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,F,F,0.3,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000105.h31v10.006.2020041072238.Lai_500m,MOD15A2H,A2000105,Lat-17.1175Lon145.6301Samp17Line17,2020041072238,5.1,4.7,4.1,5.2,5.8,5.8,4.8,5.4,6.6,6.2,2.8,2.8,2.8,F,4.0,F,F,2.7,6.2,3.0,3.0,5.8,5.8,6.0,5.5,F,5.5,5.5,F,F,F,F,F,5.7,3.1,2.7,2.7,2.7,5.0,4.7,4.9,3.1,5.4,5.5,F,5.7,F,6.2,F,F,F,2.7,2.7,2.7,F,F,5.8,F,4.3,5.4,4.2,F,6.2,6.1,F,3.8,3.8,F,2.5,2.5,1.0,1.0,F,F,F,4.3,1.5,F,6.6,F,F,F,3.8,3.8,3.8,2.5,1.0,1.0,F,F,F,F,5.0,F,F,F,F,F,F,5.9,3.8,F,F,F,2.6,2.6,3.1,3.1,F,F,F,F,F,F,F,F,F,F,F,F,2.6,2.6,3.1,3.1,F,F,F,0.8,0.8,F,6.2,F,F,F,F,F,F,F,F,F,F,F,F,F,0.8,0.8,F,3.6,3.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,3.6,F,F,F,6.7,6.4,F,6.2,1.4,1.4,0.5,0.5,0.2,F,F,F,F,5.8,6.6,F,F,F,6.4,F,1.4,1.4,1.4,0.5,0.2,0.2,3.0,4.5,F,F,4.4,F,F,F,6.2,6.1,F,F,3.6,5.2,2.9,2.9,2.7,2.7,F,F,F,F,F,F,F,5.7,6.2,F,2.4,2.4,2.9,2.9,2.7,2.7,3.2,3.2,2.7,3.7,3.7,4.5,4.5,4.5,5.5,5.6,2.9,F,F,F,6.2,4.5,4.8,3.2,4.9,3.7,6.0,3.7,4.5,F,F,5.5,5.6,F,F,F,F,6.2,4.8,4.8,4.9,4.9,F,F,F,F,5.8,5.8,5.9,5.6,F,F,F,F,F,F,F,F,F,F,6.2,6.6,F,5.8,5.6,2.5,2.8
MOD15A2H.A2000113.h31v10.006.2020041221316.Lai_500m,MOD15A2H,A2000113,Lat-17.1175Lon145.6301Samp17Line17,2020041221316,3.6,F,F,0.2,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2.6,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,5.2,F,0.7,0.7,F,F,F,F,F,F,F,F,F,F,5.5,5.5,5.2,F,F,F,F,F,F,2.9,1.6,1.9,F,F,F,6.6,5.9,5.5,5.6,F,F,F,F,F,F,5.0,F,F,F,F,F,F,6.6,5.9,4.8,F,F,4.6,F,F,F,F,F,1.4,1.4,F,F,F,F,F,F,F,F,F,2.8
MOD15A2H.A2000121.h31v10.006.2020042015451.Lai_500m,MOD15A2H,A2000121,Lat-17.1175Lon145.6301Samp17Line17,2020042015451,F,1.8,4.8,4.8,4.8,6.0,F,F,F,F,5.5,5.5,5.4,1.5,3.7,5.7,5.7,4.5,4.0,4.8,4.8,5.2,5.2,4.8,4.8,4.8,F,5.5,5.4,5.4,F,F,F,F,4.0,4.0,4.0,4.8,3.9,4.9,4.8,4.8,F,F,F,F,F,F,F,F,F,4.9,4.9,F,F,F,4.9,4.9,F,F,F,F,F,F,F,F,F,5.6,4.9,F,F,F,4.4,4.4,5.6,F,F,F,5.4,5.5,F,F,F,F,F,4.4,F,4.0,4.4,5.1,5.6,5.6,F,3.7,5.0,F,3.8,4.6,4.6,4.6,F,F,0.8,4.5,4.9,4.6,5.0,5.3,5.3,1.1,1.1,F,F,3.8,4.1,4.1,5.1,6.0,6.0,F,5.3,5.0,5.2,5.5,F,1.9,1.9,F,F,4.4,4.4,4.4,5.1,5.1,6.0,6.0,5.6,5.3,4.9,5.7,5.5,F,F,1.1,F,5.1,4.4,4.4,4.4,F,F,F,F,5.1,5.6,4.9,5.7,F,F,F,1.1,F,F,F,1.2,0.5,4.2,6.0,6.0,6.0,5.2,5.6,6.0,6.0,5.8,6.2,6.2,3.1,F,5.0,5.0,5.1,4.2,5.3,F,6.0,6.1,6.0,3.6,3.6,4.4,3.9,6.2,3.9,3.9,F,5.1,F,F,F,F,F,5.5,6.0,3.8,3.6,4.8,5.7,5.7,5.4,5.5,F,F,5.1,1.1,F,F,F,3.9,F,5.5,F,2.9,5.0,5.4,5.4,5.5,5.5,4.1,4.1,F,F,F,5.9,5.8,5.5,F,4.8,3.2,4.0,5.0,5.4,5.8,5.2,5.2,1.1,F,F,F,5.9,5.9,5.6,5.8,5.7,5.2,5.2,4.9,F,F,5.7,5.7,F,1.4,F,F,6.9,6.7,6.7,6.0,5.4,5.3,5.5,F,F,5.1,F,5.4,5.4,1.4,1.4,F,5.3,6.9,6.7,6.0,6.0,5.4,2.3,2.0
