MOD15A2H.A2000049.h31v10.006.2020041210759.Fpar_500m,MOD15A2H,A2000049,Lat-17.1175Lon145.6301Samp17Line17,2020041210759,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000049.h31v10.006.2020041210759.Lai_500m,MOD15A2H,A2000049,Lat-17.1175Lon145.6301Samp17Line17,2020041210759,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000057.h31v10.006.2020037220600.Fpar_500m,MOD15A2H,A2000057,Lat-17.1175Lon145.6301Samp17Line17,2020037220600,0.88,0.89,0.89,0.89,F,F,0.9,0.9,F,F,F,F,F,F,F,F,F,0.89,0.89,0.89,F,0.89,F,F,0.89,F,F,F,F,F,F,F,F,F,0.31,0.31,F,F,F,0.89,0.89,0.89,0.89,0.9,F,F,F,F,F,F,F,0.31,0.89,0.89,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.89,0.89,F,0.89,0.9,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,0.89,0.89,0.9,0.9,F,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.89,0.89,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,F,F,0.89,F,F,F,0.9,0.9,0.9,0.9,F,F,F,F,F,F,0.89,F,F,F,0.9,0.9,F,0.9,0.9,0.9,0.9,F,0.9,0.9,0.89,F,0.89,0.89,0.9,0.85,0.89,0.9,0.9,F,F,F,F,F,F,0.9,0.89,0.89,0.89,0.89,0.89,F,0.85,0.89,0.89,F,F,F,F,F,F,F,F,F,F,F,0.9,0.89,0.05,F,F,0.9,F,F,F,F,F,F,F,F,F,F,0.9,0.9,0.89,0.75,F,0.9,0.9,F,F,F,F,0.89,F,F,F,F,F,F,0.89,0.88,0.75,0.79,0.8,0.8,0.81,0.9,0.82,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.61,0.58
MOD15A2H.A2000057.h31v10.006.2020037220600.Lai_500m,MOD15A2H,A2000057,Lat-17.1175Lon145.6301Samp17Line17,2020037220600,5.9,6.2,6.2,6.2,F,F,6.6,6.6,F,F,F,F,F,F,F,F,F,6.2,6.2,6.2,F,6.2,F,F,6.1,F,F,F,F,F,F,F,F,F,0.8,0.8,F,F,F,6.4,6.1,6.4,6.2,6.5,F,F,F,F,F,F,F,0.8,6.2,6.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.2,6.2,F,6.3,6.5,6.5,6.6,6.6,F,F,F,F,F,F,F,F,F,F,F,6.3,6.3,6.6,6.6,F,6.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,5.6,6.2,6.2,F,F,F,F,F,F,F,F,F,F,F,F,F,6.6,F,F,6.2,F,F,F,6.6,6.6,6.6,6.6,F,F,F,F,F,F,6.2,F,F,F,6.6,6.6,F,6.6,6.6,6.6,6.6,F,6.5,6.5,6.3,F,6.2,6.2,6.6,4.9,6.3,6.6,6.6,F,F,F,F,F,F,6.5,6.3,6.3,6.4,6.4,6.2,F,4.9,6.3,6.3,F,F,F,F,F,F,F,F,F,F,F,6.6,6.2,0.1,F,F,6.6,F,F,F,F,F,F,F,F,F,F,6.6,6.6,6.2,3.6,F,6.6,6.6,F,F,F,F,6.4,F,F,F,F,F,F,6.2,5.8,3.6,4.1,4.2,4.2,4.4,6.4,4.5,6.4,6.4,6.5,6.5,6.2,6.2,6.2,6.2,2.1,1.9
MOD15A2H.A2000065.h31v10.006.2020038180715.Fpar_500m,MOD15A2H,A2000065,Lat-17.1175Lon145.6301Samp17Line17,2020038180715,0.88,0.88,0.88,0.88,0.88,0.89,0.86,F,F,0.76,0.76,0.9,0.9,0.9,0.9,0.9,0.82,F,0.88,0.88,0.88,0.89,0.89,0.89,0.88,0.88,0.88,F,0.9,0.9,0.9,0.82,F,F,F,0.57,0.57,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.89,0.89,0.89,0.9,0.48,F,F,F,F,0.88,0.88,0.88,0.77,0.77,0.9,0.51,0.51,0.89,0.89,0.9,0.9,0.9,F,F,F,0.89,0.89,0.89,F,F,0.9,0.77,0.77,0.86,0.84,0.89,0.89,0.89,0.66,F,F,0.89,0.89,0.89,F,F,0.9,F,0.9,0.9,F,0.89,0.89,0.89,F,F,F,0.85,0.89,0.89,F,0.89,0.9,F,0.9,0.9,0.9,F,0.79,0.85,0.89,0.82,F,F,F,0.89,F,0.89,0.89,0.89,0.89,0.89,0.9,F,0.74,0.74,0.89,0.89,0.89,F,F,0.88,F,F,F,F,0.9,0.89,0.9,0.9,0.73,0.73,0.83,0.83,0.89,F,F,F,F,F,F,0.81,0.81,0.83,0.83,F,F,F,0.73,0.83,0.83,F,F,F,F,0.84,0.9,F,F,F,F,F,F,F,F,F,F,0.78,0.78,F,F,F,0.84,F,F,0.74,0.74,F,0.9,0.78,0.78,F,F,0.79,0.79,0.75,0.9,0.88,0.46,0.61,0.71,0.64,0.64,0.9,0.9,0.63,0.63,0.83,F,0.9,0.89,0.75,0.9,0.88,0.88,0.81,0.81,F,0.64,F,F,F,0.63,0.83,0.83,0.9,0.89,0.89,0.89,0.9,0.9,0.9,F,0.81,0.53,0.53,F,F,F,F,F,F,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.8,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,0.89,0.9,F,F,F,0.21,F,F,F,F,F,F,F,F,F,0.78,0.73,0.52,0.52
MOD15A2H.A2000065.h31v10.006.2020038180715.Lai_500m,MOD15A2H,A2000065,Lat-17.1175Lon145.6301Samp17Line17,2020038180715,5.5,5.9,5.9,5.9,5.9,6.2,5.4,F,F,3.6,3.6,6.6,6.6,6.6,6.6,6.6,4.5,F,5.9,5.9,5.9,6.2,6.2,6.2,5.9,5.9,5.9,F,6.6,6.6,6.6,4.5,F,F,F,2.1,2.1,5.9,5.9,6.2,6.2,5.9,5.9,5.9,6.2,6.2,6.2,6.6,1.5,F,F,F,F,5.9,5.9,5.9,3.7,3.7,6.6,1.6,1.6,6.2,6.2,6.6,6.6,6.6,F,F,F,6.2,6.2,6.2,F,F,6.6,3.7,3.7,5.5,4.9,6.2,6.2,6.2,2.6,F,F,6.2,6.2,6.2,F,F,6.5,F,6.6,6.6,F,6.2,6.2,6.2,F,F,F,5.1,6.2,6.2,F,6.1,6.5,F,6.6,6.6,6.6,F,4.1,5.1,6.4,4.5,F,F,F,6.2,F,6.1,6.1,6.2,6.2,6.2,6.6,F,3.4,3.4,6.4,6.4,6.4,F,F,5.6,F,F,F,F,6.6,6.2,6.6,6.6,3.3,3.3,4.6,4.6,6.4,F,F,F,F,F,F,4.4,4.4,4.8,4.8,F,F,F,3.3,4.6,4.6,F,F,F,F,4.8,6.6,F,F,F,F,F,F,F,F,F,F,4.0,4.0,F,F,F,4.8,F,F,3.1,3.1,F,6.5,4.0,4.0,F,F,4.0,4.0,3.4,6.5,5.6,1.3,2.0,2.8,2.3,2.3,6.5,6.5,2.5,2.5,4.7,F,6.6,6.2,3.4,6.5,5.6,5.6,4.4,4.4,F,2.3,F,F,F,2.5,4.7,4.7,6.6,6.2,6.2,6.2,6.6,6.6,6.6,F,4.4,1.9,1.9,F,F,F,F,F,F,F,F,6.2,6.6,6.6,6.6,6.5,6.5,6.2,3.9,F,F,F,F,F,F,F,F,F,F,F,F,F,6.5,6.2,6.6,F,F,F,0.5,F,F,F,F,F,F,F,F,F,3.5,3.3,1.6,1.6
MOD15A2H.A2000073.h31v10.006.2020040193323.Fpar_500m,MOD15A2H,A2000073,Lat-17.1175Lon145.6301Samp17Line17,2020040193323,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.42,0.42
MOD15A2H.A2000073.h31v10.006.2020040193323.Lai_500m,MOD15A2H,A2000073,Lat-17.1175Lon145.6301Samp17Line17,2020040193323,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.2,1.2
MOD15A2H.A2000081.h31v10.006.2020040193424.Fpar_500m,MOD15A2H,A2000081,Lat-17.1175Lon145.6301Samp17Line17,2020040193424,0.84,0.21,0.11,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.88,0.89,0.89,0.9,0.9,0.83,F,F,0.9,F,0.9,0.9,0.89,0.9,0.89,0.89,0.89,F,0.89,0.89,0.9,0.9,0.89,0.89,0.9,F,F,0.89,0.9,0.9,0.9,0.89,0.89,0.9,F,0.9,0.89,0.89,0.89,0.89,0.78,0.9,F,F,0.89,0.89,0.9,0.89,0.89,0.9,0.89,0.89,0.9,0.89,0.89,0.9,0.89,0.81,0.81,0.89,0.9,0.9,F,0.81,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.76,0.85,0.9,0.9,0.83,0.83,F,F,F,0.89,F,0.89,0.89,0.9,0.9,0.86,0.81,0.58,0.72,F,0.9,0.76,0.87,0.89,0.89,F,0.9,F,F,F,F,F,F,F,0.72,0.72,F,0.78,0.78,F,0.9,0.9,F,0.9,0.9,F,F,F,F,0.89,0.89,F,F,F,0.88,F,F,F,F,F,F,0.89,0.89,0.9,F,F,0.9,0.88,F,F,0.89,0.82,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.88,0.88,0.88,F,0.89,0.16,0.88,F,0.83,F,F,F,F,F,F,0.9,F,0.89,0.89,0.86,0.86,0.16,0.83,0.35,0.83,0.26,0.26,0.55,0.89,F,F,0.83,0.89,0.89,0.88,0.77,0.86,0.87,0.89,0.89,0.87,0.9,0.9,0.55,0.89,0.89,F,F,F,F,0.87,F,0.77,0.89,0.9,0.9,0.85,F,0.9,0.89,0.89,0.89,0.9,F,F,F,0.9,0.89,0.6,0.89,F,F,F,F,0.75,0.89,0.89,F,F,F,F,F,F,0.89,0.89,0.36,0.85,0.87,F,F,F,F,0.75,F,F,F,F,F,0.89,0.89,0.88,0.88,0.72,0.8,0.86,F,0.89,0.85,F,F,F,F,F,F,0.88,0.86,0.88,0.67,0.67
MOD15A2H.A2000081.h31v10.006.2020040193424.Lai_500m,MOD15A2H,A2000081,Lat-17.1175Lon145.6301Samp17Line17,2020040193424,4.5,0.5,0.2,6.3,6.4,6.6,6.5,6.6,6.6,6.2,6.2,6.0,5.9,6.2,6.2,6.6,6.6,4.3,F,F,6.6,F,6.6,6.5,6.2,6.6,6.2,6.0,6.2,F,6.2,6.2,6.5,6.5,6.2,6.2,6.6,F,F,6.2,6.6,6.6,6.6,6.1,6.0,6.6,F,6.5,6.2,6.3,6.0,6.2,3.6,6.6,F,F,6.4,6.4,6.6,6.2,6.2,6.6,6.0,6.2,6.6,6.2,6.2,6.5,6.2,4.0,4.1,6.2,6.6,6.6,F,4.1,6.2,6.6,6.5,6.6,6.4,6.2,6.2,6.5,6.2,6.2,6.1,3.3,4.8,6.6,6.6,4.3,4.3,F,F,F,6.2,F,6.2,6.2,6.6,6.6,5.0,4.1,1.9,2.9,F,6.6,3.3,5.3,6.2,6.2,F,6.5,F,F,F,F,F,F,F,2.9,2.9,F,3.7,3.7,F,6.5,6.5,F,6.6,6.6,F,F,F,F,6.2,6.2,F,F,F,5.7,F,F,F,F,F,F,6.3,6.3,6.6,F,F,6.6,5.6,F,F,6.2,4.2,F,F,F,F,F,F,F,F,6.6,6.6,6.5,5.6,5.6,5.6,F,6.2,0.3,5.6,F,4.3,F,F,F,F,F,F,6.6,F,6.4,6.2,5.2,5.2,0.3,4.4,0.8,4.3,0.6,0.6,1.6,6.3,F,F,4.4,6.0,6.0,5.7,3.6,5.2,5.5,6.2,6.2,5.4,6.6,6.6,1.6,6.3,6.3,F,F,F,F,5.4,F,3.6,6.2,6.6,6.6,4.8,F,6.6,6.2,6.2,6.2,6.6,F,F,F,6.6,6.2,2.0,6.2,F,F,F,F,3.2,6.2,6.2,F,F,F,F,F,F,6.2,6.2,0.9,4.7,5.5,F,F,F,F,3.2,F,F,F,F,F,6.2,6.2,5.7,5.9,3.0,4.0,5.1,F,6.1,4.9,F,F,F,F,F,F,5.7,5.0,5.7,2.5,2.5
