product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041210759,F
MOD15A2H,Lai_500m,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041210759,F
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.05,0.9,84.54,0.85,0.8454,0.0248,0.1575,289,100,34.6,2020037220600,F
MOD15A2H,Lai_500m,A2000057,2000-02-26,0.1,6.6,580.3003,6.5,5.803,2.2313,1.4938,289,100,34.6,2020037220600,F
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.21,0.9,149.1599,0.69,0.8287,0.0124,0.1115,289,180,62.28,2020038180715,0.73
MOD15A2H,Lai_500m,A2000065,2000-03-05,0.5,6.6,939.8,6.1,5.2211,2.3549,1.5346,289,180,62.28,2020038180715,3.3
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.42,0.42,0.84,0.0,0.42,0.0,0.0,289,2,0.69,2020040193323,F
MOD15A2H,Lai_500m,A2000073,2000-03-13,1.2,1.2,2.4,0.0,1.2,0.0,0.0,289,2,0.69,2020040193323,F
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.11,0.9,161.14,0.79,0.8393,0.0201,0.1417,289,192,66.44,2020040193424,F
MOD15A2H,Lai_500m,A2000081,2000-03-21,0.2,6.6,1052.2,6.4,5.4802,2.3885,1.5455,289,192,66.44,2020040193424,F
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.05,0.9,37.23,0.85,0.6005,0.0826,0.2874,289,62,21.45,2020041212249,F
MOD15A2H,Lai_500m,A2000089,2000-03-29,0.1,6.6,189.9,6.5,3.0629,5.012,2.2388,289,62,21.45,2020041212249,F
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.13,0.79,14.75,0.66,0.4214,0.0511,0.2261,289,35,12.11,2020041041939,F
MOD15A2H,Lai_500m,A2000097,2000-04-06,0.3,3.8,51.7,3.5,1.4771,1.5029,1.2259,289,35,12.11,2020041041939,F
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.11,0.9,114.39,0.79,0.7476,0.032,0.1789,289,153,52.94,2020041072238,0.35
MOD15A2H,Lai_500m,A2000105,2000-04-14,0.2,6.7,607.3001,6.5,3.9693,3.0545,1.7477,289,153,52.94,2020041072238,0.8
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.11,0.9,17.78,0.79,0.6131,0.0848,0.2911,289,29,10.03,2020041221316,F
MOD15A2H,Lai_500m,A2000113,2000-04-22,0.2,6.6,93.4,6.4,3.2207,5.1423,2.2677,289,29,10.03,2020041221316,F
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.25,0.91,160.85,0.66,0.8378,0.0151,0.1229,289,192,66.44,2020042015451,F
MOD15A2H,Lai_500m,A2000121,2000-04-30,0.5,6.9,911.6003,6.4,4.7479,1.7256,1.3136,289,192,66.44,2020042015451,F
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.06,0.91,113.28,0.85,0.7215,0.0489,0.2212,289,157,54.33,2020042172951,F
