product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD09A1,sur_refl_b05,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020041205005,F
MOD09A1,sur_refl_b05,A2000057,2000-02-26,0.1623,0.3627,68.5736,0.2004,0.2373,0.0007,0.0274,289,289,100.0,2020037221349,0.2383
MOD09A1,sur_refl_b05,A2000065,2000-03-05,0.1606,0.3468,64.2195,0.1862,0.2238,0.0007,0.0262,289,287,99.31,2020038171353,0.2212
MOD09A1,sur_refl_b05,A2000073,2000-03-13,0.1731,0.421,74.4217,0.2479,0.2602,0.0014,0.0373,289,286,98.96,2020040191419,0.2761
MOD09A1,sur_refl_b05,A2000081,2000-03-21,0.1684,0.3158,59.6865,0.1474,0.2065,0.0005,0.0222,289,289,100.0,2020040191306,0.2048
MOD09A1,sur_refl_b05,A2000089,2000-03-29,0.1516,0.3071,61.2966,0.1555,0.2121,0.0006,0.0244,289,289,100.0,2020041210159,0.2271
MOD09A1,sur_refl_b05,A2000097,2000-04-06,0.1613,0.2961,57.8728,0.1348,0.2003,0.0004,0.021,289,289,100.0,2020041041833,0.2043
MOD09A1,sur_refl_b05,A2000105,2000-04-14,0.1438,0.3278,48.2856,0.184,0.1963,0.0005,0.0214,289,246,85.12,2020041072415,0.21
MOD09A1,sur_refl_b05,A2000113,2000-04-22,0.1475,0.294,53.445,0.1465,0.1849,0.0004,0.0199,289,289,100.0,2020041220338,0.1941
MOD09A1,sur_refl_b05,A2000121,2000-04-30,0.0907,0.3353,25.0281,0.2446,0.2176,0.0019,0.044,289,115,39.79,2020042020057,0.2649
MOD09A1,sur_refl_b05,A2000129,2000-05-08,0.1535,0.271,62.4054,0.1175,0.2159,0.0002,0.0158,289,289,100.0,2020042170109,0.2343
