MOD11A2.A2000049.h30v12.006.2020048120245.LST_Day_1km,MOD11A2,A2000049,Lat-35.6566Lon148.1517Samp9Line9,2020048120245,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD11A2.A2000057.h30v12.006.2020045130158.LST_Day_1km,MOD11A2,A2000057,Lat-35.6566Lon148.1517Samp9Line9,2020045130158,297.88,297.6,297.36,298.54,299.76,300.96,298.68,297.22,295.58,297.36,298.5,299.12,300.38,298.14,296.08,295.58,295.12,294.52,300.52,301.08,299.58,296.24,295.22,294.76,294.46,294.24,293.84,298.44,296.1,295.46,294.82,294.58,294.44,294.32,294.04,293.52,295.32,294.56,294.42,294.56,294.56,294.36,294.5,294.76,294.86,294.54,294.26,294.52,294.58,294.78,295.14,295.16,295.0,294.66,294.54,294.8,295.08,295.36,295.4,295.2,295.12,294.44,294.2,295.46,295.84,295.74,295.34,295.06,294.48,294.32,294.56,295.32,295.92,295.56,295.28,294.76,294.36,294.54,295.48,295.84,295.86
MOD11A2.A2000065.h30v12.006.2020045130452.LST_Day_1km,MOD11A2,A2000065,Lat-35.6566Lon148.1517Samp9Line9,2020045130452,295.44,295.3,295.66,296.4,297.0,297.44,295.82,294.02,293.8,295.32,295.68,297.38,298.16,296.7,294.48,293.76,293.44,291.84,297.92,298.54,297.68,295.3,294.1,293.66,293.16,292.0,291.22,296.44,294.82,293.02,292.4,293.24,292.3,291.72,291.1,291.52,293.1,292.42,292.14,292.44,292.12,291.8,291.8,292.04,292.12,292.44,292.02,292.02,291.96,291.94,292.46,291.88,291.96,292.64,292.08,292.68,292.76,292.8,292.5,292.44,293.06,292.84,292.66,293.26,293.04,292.98,293.22,292.8,292.72,292.6,292.76,292.94,293.72,293.08,292.64,292.32,292.3,292.36,292.72,293.2,293.16
MOD11A2.A2000073.h30v12.006.2020045130701.LST_Day_1km,MOD11A2,A2000073,Lat-35.6566Lon148.1517Samp9Line9,2020045130701,295.94,296.22,296.18,296.02,296.58,298.06,293.08,292.4,292.86,294.9,295.86,298.4,298.4,293.12,291.88,291.94,292.46,292.26,298.88,299.24,294.2,291.98,291.64,292.48,292.24,291.98,291.92,296.94,294.36,293.48,293.04,292.44,292.36,292.12,291.94,291.74,293.66,292.78,292.3,292.38,292.46,292.26,292.56,292.6,292.96,291.48,291.32,292.48,292.68,292.92,293.1,293.08,293.42,293.38,291.44,292.98,293.32,293.44,293.58,293.72,293.62,293.36,292.92,293.72,294.32,294.06,293.8,293.58,293.44,292.82,293.16,293.36,294.44,294.1,293.8,293.32,292.96,292.98,293.36,294.16,294.24
MOD11A2.A2000081.h30v12.006.2020045130829.LST_Day_1km,MOD11A2,A2000081,Lat-35.6566Lon148.1517Samp9Line9,2020045130829,291.7,290.74,290.56,291.48,292.16,292.56,290.64,289.9,289.32,290.68,291.64,293.62,293.88,291.74,290.28,289.56,289.44,289.18,293.72,294.48,293.66,290.72,290.2,289.7,289.4,289.32,289.06,292.8,291.32,289.96,289.54,289.38,289.42,289.32,289.1,288.48,289.92,289.12,288.52,288.8,289.32,289.42,289.04,289.06,289.28,288.7,288.46,288.82,288.4,288.46,289.42,289.52,289.74,289.62,288.78,289.2,288.66,288.88,289.52,289.64,289.76,289.42,289.16,289.48,289.92,290.34,289.58,289.42,289.12,288.9,289.1,289.78,290.66,289.66,289.18,288.8,288.58,288.8,289.84,290.16,290.14
MOD11A2.A2000089.h30v12.006.2020045131118.LST_Day_1km,MOD11A2,A2000089,Lat-35.6566Lon148.1517Samp9Line9,2020045131118,289.46,289.66,290.08,290.2,290.46,290.52,289.34,288.64,288.42,289.54,289.86,290.5,290.86,289.5,288.6,288.3,287.68,287.2,290.78,290.9,290.06,288.84,287.98,287.78,286.98,286.72,286.72,289.74,288.52,288.24,287.66,287.06,286.9,286.86,286.62,286.54,288.06,287.46,287.14,287.14,287.12,287.06,287.14,287.28,287.5,287.44,287.08,287.1,287.2,287.44,287.8,287.78,287.82,287.94,287.12,287.46,287.68,287.96,288.08,288.12,288.28,288.12,288.2,287.82,288.16,288.3,288.28,288.2,288.08,288.04,288.1,288.3,288.44,288.32,288.16,288.02,287.86,288.04,288.16,288.24,288.92
MOD11A2.A2000097.h30v12.006.2020045131300.LST_Day_1km,MOD11A2,A2000097,Lat-35.6566Lon148.1517Samp9Line9,2020045131300,289.72,289.86,290.0,290.08,290.38,290.34,289.7,288.74,288.54,289.5,290.0,290.82,290.94,290.02,288.66,288.38,288.02,287.62,291.0,291.2,289.68,288.88,288.34,288.08,287.56,287.08,286.94,289.4,288.44,287.62,287.54,287.52,287.2,286.96,286.84,286.38,287.62,287.34,287.24,287.12,286.94,286.88,286.46,286.52,287.12,287.38,287.04,286.94,286.62,286.74,286.96,287.12,287.28,287.36,287.14,286.7,286.84,287.14,287.2,287.44,287.48,287.4,287.48,287.16,287.68,287.62,287.48,287.46,287.26,287.24,287.54,287.64,287.9,287.64,287.26,287.08,287.0,287.2,287.54,287.78,288.32
MOD11A2.A2000105.h30v12.006.2020045131451.LST_Day_1km,MOD11A2,A2000105,Lat-35.6566Lon148.1517Samp9Line9,2020045131451,285.26,285.4,285.6,285.68,285.72,285.66,284.82,284.14,283.9,284.72,284.84,285.9,285.72,285.12,284.14,283.68,283.54,283.1,285.8,285.56,284.96,284.34,283.66,283.38,283.32,282.86,282.18,284.76,284.18,283.6,283.22,283.1,282.5,282.36,282.36,282.66,283.2,283.0,282.96,282.62,282.38,282.38,282.7,282.72,282.86,282.96,282.56,282.46,282.54,282.46,282.76,282.96,283.6,283.16,281.94,281.94,282.28,282.82,282.94,283.62,283.7,283.18,283.22,282.24,282.86,282.94,282.94,283.36,282.9,283.42,283.62,284.32,283.0,282.68,283.06,283.18,283.2,283.72,284.38,284.58,284.02
MOD11A2.A2000113.h30v12.006.2020045131618.LST_Day_1km,MOD11A2,A2000113,Lat-35.6566Lon148.1517Samp9Line9,2020045131618,286.86,286.86,286.98,287.16,287.4,287.46,286.74,285.92,285.54,286.26,286.72,287.2,287.44,286.66,285.9,285.3,284.82,284.6,287.18,287.68,287.04,286.08,285.42,284.88,284.54,284.48,284.52,286.14,285.66,285.14,284.74,284.42,284.34,284.26,284.22,284.1,284.9,284.44,284.04,284.08,284.22,284.18,284.04,284.02,284.16,284.04,283.88,284.06,284.16,284.14,284.2,284.16,284.14,284.32,283.92,284.12,284.14,284.24,284.32,284.36,284.46,284.46,284.56,284.18,284.3,284.48,284.44,284.46,284.42,284.36,284.5,284.64,284.48,284.46,284.44,284.36,284.32,284.42,284.76,284.88,284.94
MOD11A2.A2000121.h30v12.006.2020045131755.LST_Day_1km,MOD11A2,A2000121,Lat-35.6566Lon148.1517Samp9Line9,2020045131755,289.08,289.2,289.7,289.82,289.46,288.82,288.02,288.2,288.36,288.68,288.96,289.52,289.62,287.7,287.28,287.9,287.48,287.44,289.46,289.6,288.74,287.88,287.42,287.4,287.08,287.1,286.48,288.52,288.04,287.26,286.98,286.84,286.82,286.68,285.96,286.18,288.78,286.82,286.64,286.6,286.6,286.64,286.2,286.14,286.1,285.82,285.8,285.9,285.94,285.98,286.12,286.12,286.12,286.12,285.82,285.96,285.92,286.02,286.06,286.08,286.08,287.66,285.94,286.0,286.04,286.0,286.02,285.88,285.86,285.82,285.92,285.9,286.04,286.02,285.86,285.8,285.82,287.64,285.84,285.9,286.28
MOD11A2.A2000129.h30v12.006.2020045132053.LST_Day_1km,MOD11A2,A2000129,Lat-35.6566Lon148.1517Samp9Line9,2020045132053,285.06,285.1,286.8,287.18,287.26,287.26,285.02,284.2,285.36,284.66,284.5,285.3,285.58,285.46,284.14,284.98,284.72,284.34,284.96,285.48,285.72,284.3,284.0,284.72,283.98,283.86,283.9,285.18,284.52,283.6,284.22,283.9,283.54,283.52,283.44,283.38,284.34,284.08,283.94,283.44,283.42,283.38,283.18,283.18,283.2,283.76,283.32,283.24,283.22,283.14,283.12,283.1,282.68,282.94,281.58,281.86,282.16,283.12,283.1,282.64,282.84,283.2,283.68,282.32,283.36,283.28,282.6,282.66,283.34,283.42,283.54,283.52,282.48,282.6,282.52,283.2,283.18,283.34,283.36,283.4,283.66
