MOD11A2.A2000049.h30v12.006.2020048120245.LST_Night_1km,MOD11A2,A2000049,Lat-35.6566Lon148.1517Samp9Line9,2020048120245,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD11A2.A2000057.h30v12.006.2020045130158.LST_Night_1km,MOD11A2,A2000057,Lat-35.6566Lon148.1517Samp9Line9,2020045130158,289.48,288.94,288.14,288.04,287.92,287.8,287.82,287.68,287.5,288.82,288.32,287.82,287.82,288.06,287.86,287.72,287.74,287.78,288.26,288.18,288.44,288.4,288.02,287.88,287.92,288.02,288.04,289.04,289.02,288.74,288.22,287.92,287.76,287.66,287.8,287.86,288.84,288.6,288.02,287.54,287.3,287.22,287.44,287.48,287.44,288.36,287.92,287.56,287.24,287.12,287.02,287.14,287.1,287.16,287.82,287.38,287.0,286.82,286.84,286.84,287.26,287.5,287.74,286.36,286.02,286.36,286.68,287.28,287.8,287.8,287.66,287.76,286.22,286.96,287.16,287.54,287.56,287.34,287.14,287.56,288.5
MOD11A2.A2000065.h30v12.006.2020045130452.LST_Night_1km,MOD11A2,A2000065,Lat-35.6566Lon148.1517Samp9Line9,2020045130452,285.22,284.98,284.42,284.28,283.96,283.56,283.74,283.78,283.84,285.94,284.84,283.48,283.16,283.88,283.9,283.7,284.04,284.2,283.54,283.4,284.58,284.54,284.04,284.38,284.32,284.34,284.72,284.34,284.88,285.84,285.54,285.5,284.68,284.88,285.32,285.74,285.84,285.96,286.22,285.38,284.76,285.02,285.12,285.14,284.92,286.5,286.22,285.36,284.96,284.4,284.34,284.38,284.38,284.52,286.24,285.22,284.52,283.74,283.7,283.8,284.34,285.18,285.36,284.14,283.4,283.58,284.24,285.04,285.48,285.74,285.04,284.6,283.36,284.28,284.9,285.72,285.82,285.24,284.0,284.44,285.7
MOD11A2.A2000073.h30v12.006.2020045130701.LST_Night_1km,MOD11A2,A2000073,Lat-35.6566Lon148.1517Samp9Line9,2020045130701,286.54,286.34,286.1,285.82,284.72,284.58,284.68,284.68,284.74,286.94,286.48,285.74,284.86,284.82,284.98,283.94,284.6,284.98,285.38,285.2,286.16,285.66,284.92,284.54,284.88,285.18,285.58,286.42,287.1,286.0,285.74,285.38,284.72,284.92,285.54,285.26,286.78,286.3,286.0,284.58,283.72,284.68,284.46,284.48,284.46,286.0,285.84,285.18,284.52,283.62,283.34,283.74,283.26,282.9,285.7,285.1,284.02,283.02,282.96,283.02,282.64,283.2,283.6,282.94,282.66,281.96,282.56,282.84,283.36,283.64,283.6,283.54,282.86,282.86,283.3,283.46,283.68,283.34,282.44,284.22,286.42
MOD11A2.A2000081.h30v12.006.2020045130829.LST_Night_1km,MOD11A2,A2000081,Lat-35.6566Lon148.1517Samp9Line9,2020045130829,283.86,283.24,282.72,281.98,281.72,282.04,282.14,282.12,281.96,283.34,282.8,281.86,281.7,282.24,282.26,282.14,282.22,282.3,282.26,282.08,282.34,282.64,282.44,282.32,282.34,282.56,282.48,282.84,283.0,282.74,282.52,282.24,282.22,282.26,282.16,282.04,282.8,282.56,282.26,282.02,281.98,281.76,281.66,281.66,281.76,282.08,282.16,282.1,281.86,281.38,281.26,281.32,281.26,281.06,281.88,281.78,281.46,280.94,280.9,281.02,281.34,281.18,281.46,280.56,280.64,280.64,280.86,281.1,281.46,281.28,281.52,281.54,280.6,280.78,281.1,281.44,281.38,281.14,280.9,281.24,281.64
MOD11A2.A2000089.h30v12.006.2020045131118.LST_Night_1km,MOD11A2,A2000089,Lat-35.6566Lon148.1517Samp9Line9,2020045131118,283.02,282.54,281.94,281.64,281.24,280.96,280.98,282.2,282.34,282.82,282.1,281.58,280.88,281.1,281.18,282.52,282.56,282.68,281.7,281.4,281.3,281.6,282.58,282.62,282.56,282.66,282.6,282.06,282.1,281.96,282.78,282.6,282.32,282.4,282.36,282.34,282.22,281.98,281.4,281.18,281.64,281.54,282.5,282.56,282.1,281.66,281.3,281.06,280.56,280.34,282.1,281.72,281.76,281.62,281.18,280.74,280.26,280.34,281.44,281.42,281.76,282.24,282.52,280.42,280.3,280.32,281.32,281.74,282.06,282.26,282.42,282.42,280.28,280.78,280.92,281.12,282.28,281.98,281.96,282.18,281.58
MOD11A2.A2000097.h30v12.006.2020045131300.LST_Night_1km,MOD11A2,A2000097,Lat-35.6566Lon148.1517Samp9Line9,2020045131300,283.0,282.46,282.08,281.78,281.18,281.08,281.24,281.24,281.06,282.8,282.14,281.5,280.92,281.34,281.36,281.18,281.16,281.32,281.52,281.54,281.96,282.04,281.48,281.38,281.3,281.54,281.6,282.5,282.74,282.42,281.92,281.62,281.16,281.36,281.36,281.26,282.8,282.5,281.92,281.26,280.82,280.64,280.56,280.56,280.54,282.12,281.68,281.18,280.76,280.2,280.0,280.08,279.98,279.9,281.52,281.04,280.12,279.5,279.4,279.66,280.08,280.9,281.24,279.74,279.0,278.96,279.48,280.42,281.12,281.36,281.04,280.82,279.06,279.6,280.34,281.14,281.34,280.86,280.3,280.4,282.06
MOD11A2.A2000105.h30v12.006.2020045131451.LST_Night_1km,MOD11A2,A2000105,Lat-35.6566Lon148.1517Samp9Line9,2020045131451,279.0,278.84,278.52,278.34,277.96,277.92,277.64,277.8,278.34,279.12,278.42,277.66,277.6,277.8,277.94,278.46,278.48,278.6,276.58,277.38,277.98,278.22,278.2,278.62,278.6,278.64,278.64,278.3,278.6,278.36,278.3,278.58,278.38,278.42,278.4,278.2,278.54,278.48,278.36,278.38,278.2,277.8,277.56,277.76,277.84,278.22,278.16,277.98,277.68,277.44,277.46,277.4,277.46,277.42,277.94,277.72,277.08,276.7,276.96,277.0,277.42,277.84,278.94,277.08,276.66,276.58,276.66,276.56,277.26,278.24,278.74,278.8,276.4,276.28,276.58,277.76,278.16,278.0,278.5,277.82,278.28
MOD11A2.A2000113.h30v12.006.2020045131618.LST_Night_1km,MOD11A2,A2000113,Lat-35.6566Lon148.1517Samp9Line9,2020045131618,278.2,278.26,277.88,277.34,278.4,278.32,278.84,279.1,277.22,279.94,279.1,278.28,278.18,278.9,279.36,279.06,277.22,277.26,278.32,278.04,279.16,279.62,279.32,277.24,277.34,277.34,277.54,279.5,280.28,279.96,277.86,277.5,277.1,277.0,277.28,277.1,280.22,279.72,279.38,276.82,276.36,278.08,278.2,278.12,277.94,279.34,279.02,278.6,278.28,277.84,277.54,277.56,277.5,275.82,278.8,278.38,277.9,275.22,277.18,277.1,278.44,278.7,279.0,277.52,277.04,278.44,278.74,279.14,278.58,278.9,278.6,277.98,278.14,277.7,277.92,279.44,278.66,278.44,277.26,277.24,280.34
MOD11A2.A2000121.h30v12.006.2020045131755.LST_Night_1km,MOD11A2,A2000121,Lat-35.6566Lon148.1517Samp9Line9,2020045131755,282.26,282.18,282.14,281.96,281.82,280.22,281.94,282.0,281.92,282.5,282.14,280.98,280.94,280.76,282.18,281.96,281.86,281.42,281.9,281.96,282.24,282.3,281.86,281.64,281.28,281.22,281.22,282.66,282.68,282.32,281.88,281.58,280.9,280.98,280.88,280.78,282.16,281.96,281.64,281.14,280.6,280.28,280.18,280.28,280.68,281.18,280.7,280.22,280.12,279.82,280.1,279.92,279.98,280.04,280.06,279.88,279.8,279.54,279.84,279.66,279.54,279.84,279.96,279.28,279.0,279.0,279.24,279.42,279.82,279.98,279.88,279.12,278.6,278.88,279.24,279.46,279.94,279.78,279.52,279.72,280.6
MOD11A2.A2000129.h30v12.006.2020045132053.LST_Night_1km,MOD11A2,A2000129,Lat-35.6566Lon148.1517Samp9Line9,2020045132053,278.62,276.16,275.98,275.6,275.38,275.28,276.06,F,277.62,F,F,275.4,275.4,275.9,275.9,279.16,277.7,277.88,F,F,F,275.9,275.9,F,277.42,277.5,278.04,F,F,276.74,276.46,276.0,276.72,277.32,277.82,277.64,278.1,278.04,276.18,277.14,276.96,277.06,276.98,276.82,276.98,279.42,277.64,277.3,277.06,276.68,276.38,276.76,276.0,275.48,277.64,277.2,275.0,274.9,275.28,276.2,275.56,275.92,277.64,274.56,274.24,274.88,275.52,275.98,276.8,277.22,277.54,277.22,274.42,276.52,276.0,276.1,277.0,276.96,276.82,276.88,277.84
