product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD11A2,LST_Night_1km,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020048120245,F
MOD11A2,LST_Night_1km,A2000057,2000-02-26,286.02,289.48,23303.8418,3.46,287.7018,0.4215,0.6492,81,81,100.0,2020045130158,287.3
MOD11A2,LST_Night_1km,A2000065,2000-03-05,283.16,286.5,23059.7344,3.34,284.6881,0.6421,0.8013,81,81,100.0,2020045130452,284.76
MOD11A2,LST_Night_1km,A2000073,2000-03-13,281.96,287.1,23050.918,5.14,284.5792,1.5559,1.2474,81,81,100.0,2020045130701,283.72
MOD11A2,LST_Night_1km,A2000081,2000-03-21,280.56,283.86,22830.8379,3.3,281.8622,0.4599,0.6782,81,81,100.0,2020045130829,281.98
MOD11A2,LST_Night_1km,A2000089,2000-03-29,280.26,283.02,22821.6992,2.76,281.7494,0.5163,0.7185,81,81,100.0,2020045131118,281.64
MOD11A2,LST_Night_1km,A2000097,2000-04-06,278.96,283.0,22767.541,4.04,281.0807,0.8448,0.9192,81,81,100.0,2020045131300,280.82
MOD11A2,LST_Night_1km,A2000105,2000-04-14,276.28,279.12,22510.9434,2.84,277.9129,0.4576,0.6765,81,81,100.0,2020045131451,278.2
MOD11A2,LST_Night_1km,A2000113,2000-04-22,275.22,280.34,22535.4961,5.12,278.216,0.9903,0.9951,81,81,100.0,2020045131618,276.36
MOD11A2,LST_Night_1km,A2000121,2000-04-30,278.6,282.68,22741.0605,4.08,280.7538,1.1968,1.094,81,81,100.0,2020045131755,280.6
MOD11A2,LST_Night_1km,A2000129,2000-05-08,274.24,279.42,19916.3203,5.18,276.6156,1.1539,1.0742,81,72,88.89,2020045132053,276.96
MOD11A2,LST_Night_1km,A2000137,2000-05-16,272.9,276.58,22288.7969,3.68,275.1703,0.7449,0.8631,81,81,100.0,2020045132247,275.42
MOD11A2,LST_Night_1km,A2000145,2000-05-24,272.36,278.5,17702.9805,6.14,276.6091,1.9565,1.3988,81,64,79.01,2020048135436,F
MOD11A2,LST_Night_1km,A2000153,2000-06-01,271.76,274.18,19646.7363,2.42,272.8713,0.2981,0.546,81,72,88.89,2020051190823,272.84
MOD11A2,LST_Night_1km,A2000161,2000-06-09,272.8,275.56,22207.1621,2.76,274.1625,0.4788,0.6919,81,81,100.0,2020051191751,273.84
MOD11A2,LST_Night_1km,A2000169,2000-06-17,273.88,276.28,22264.8965,2.4,274.8753,0.2658,0.5156,81,81,100.0,2020051192739,275.28
MOD11A2,LST_Night_1km,A2000177,2000-06-25,272.82,275.9,22224.9824,3.08,274.3825,0.4093,0.6397,81,81,100.0,2020051193603,273.98
MOD11A2,LST_Night_1km,A2000185,2000-07-03,273.58,275.88,22237.6758,2.3,274.5392,0.3697,0.608,81,81,100.0,2020051194601,274.54
MOD11A2,LST_Night_1km,A2000193,2000-07-11,272.46,275.38,22190.1953,2.92,273.953,0.3801,0.6165,81,81,100.0,2020051195347,273.44
MOD11A2,LST_Night_1km,A2000201,2000-07-19,271.08,275.28,6584.2598,4.2,274.3441,1.6143,1.2706,81,24,29.63,2020051200143,F
MOD11A2,LST_Night_1km,A2000209,2000-07-27,272.68,276.06,22235.2949,3.38,274.5098,0.476,0.6899,81,81,100.0,2020052011909,274.34
MOD11A2,LST_Night_1km,A2000217,2000-08-04,275.04,278.46,22380.1387,3.42,276.298,0.3968,0.6299,81,81,100.0,2020055170454,275.92
MOD11A2,LST_Night_1km,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020055184254,F
MOD11A2,LST_Night_1km,A2000233,2000-08-20,266.64,275.82,7946.04,9.18,274.0014,2.5858,1.608,81,29,35.8,2020056003559,F
MOD11A2,LST_Night_1km,A2000241,2000-08-28,271.84,275.88,18164.6602,4.04,275.2221,0.4656,0.6823,81,66,81.48,2020056060618,F
MOD11A2,LST_Night_1km,A2000249,2000-09-05,272.94,275.26,22181.5586,2.32,273.8464,0.3862,0.6214,81,81,100.0,2020056162250,272.96
MOD11A2,LST_Night_1km,A2000257,2000-09-13,276.14,279.92,22503.9863,3.78,277.827,0.5678,0.7535,81,81,100.0,2020056220223,277.36
MOD11A2,LST_Night_1km,A2000265,2000-09-21,278.48,280.74,22652.918,2.26,279.6656,0.3426,0.5853,81,81,100.0,2020057034120,279.3
MOD11A2,LST_Night_1km,A2000273,2000-09-29,277.38,281.56,22632.5625,4.18,279.4143,0.8857,0.9411,81,81,100.0,2020057095140,279.04
MOD11A2,LST_Night_1km,A2000281,2000-10-07,275.38,278.38,22421.6992,3.0,276.8111,0.4223,0.6498,81,81,100.0,2020057155459,276.98
MOD11A2,LST_Night_1km,A2000289,2000-10-15,276.32,280.36,22505.2188,4.04,277.8422,0.5449,0.7382,81,81,100.0,2020058220808,278.82
MOD11A2,LST_Night_1km,A2000297,2000-10-23,275.08,278.54,22453.0156,3.46,277.1977,0.6118,0.7822,81,81,100.0,2020059044018,277.12
MOD11A2,LST_Night_1km,A2000305,2000-10-31,278.66,281.16,22655.2598,2.5,279.6946,0.3246,0.5697,81,81,100.0,2020059110417,279.38
MOD11A2,LST_Night_1km,A2000313,2000-11-08,279.6,281.7,21583.2012,2.1,280.3013,0.2054,0.4532,81,77,95.06,2020059190029,280.04
MOD11A2,LST_Night_1km,A2000321,2000-11-16,282.46,286.06,22991.9648,3.6,283.8514,0.566,0.7523,81,81,100.0,2020060014909,283.22
MOD11A2,LST_Night_1km,A2000329,2000-11-24,283.12,288.5,23067.1855,5.38,284.7801,0.6303,0.7939,81,81,100.0,2020060091336,284.52
MOD11A2,LST_Night_1km,A2000337,2000-12-02,281.54,286.1,22992.0371,4.56,283.8523,0.8431,0.9182,81,81,100.0,2020060154110,283.46
MOD11A2,LST_Night_1km,A2000345,2000-12-10,285.36,289.22,23275.1152,3.86,287.3471,0.6917,0.8317,81,81,100.0,2020079233605,287.06
MOD11A2,LST_Night_1km,A2000353,2000-12-18,283.6,287.16,23123.2012,3.56,285.4716,0.6449,0.803,81,81,100.0,2020080103754,285.38
MOD11A2,LST_Night_1km,A2000361,2000-12-26,280.48,283.14,22825.4199,2.66,281.7953,0.2898,0.5383,81,81,100.0,2020081205228,281.72
MOD11A2,LST_Night_1km,A2001001,2001-01-01,282.5,288.66,23172.8789,6.16,286.0849,1.4332,1.1972,81,81,100.0,2020082064555,286.3
MOD11A2,LST_Night_1km,A2001009,2001-01-09,285.86,289.88,23323.8242,4.02,287.9485,0.6066,0.7788,81,81,100.0,2020083010145,287.68
MOD11A2,LST_Night_1km,A2001017,2001-01-17,285.76,288.46,23224.4238,2.7,286.7213,0.5447,0.738,81,81,100.0,2020083140325,286.06
MOD11A2,LST_Night_1km,A2001025,2001-01-25,285.22,287.88,23207.2031,2.66,286.5087,0.2963,0.5444,81,81,100.0,2020084010101,286.26
MOD11A2,LST_Night_1km,A2001033,2001-02-02,287.14,290.26,23361.2383,3.12,288.4103,0.6072,0.7792,81,81,100.0,2020084101718,287.94
MOD11A2,LST_Night_1km,A2001041,2001-02-10,284.18,287.54,23151.0195,3.36,285.8151,0.5048,0.7105,81,81,100.0,2020086023928,285.52
MOD11A2,LST_Night_1km,A2001049,2001-02-18,284.42,288.72,23204.9004,4.3,286.4803,0.9156,0.9569,81,81,100.0,2020086102403,285.94
MOD11A2,LST_Night_1km,A2001057,2001-02-26,285.28,288.02,23208.9551,2.74,286.5303,0.4047,0.6362,81,81,100.0,2020086181728,286.18
MOD11A2,LST_Night_1km,A2001065,2001-03-06,282.58,285.88,23036.7773,3.3,284.4047,0.457,0.676,81,81,100.0,2020087054743,284.24
MOD11A2,LST_Night_1km,A2001073,2001-03-14,282.18,284.98,22972.8848,2.8,283.6159,0.4501,0.6709,81,81,100.0,2020087135656,283.26
MOD11A2,LST_Night_1km,A2001081,2001-03-22,277.76,281.86,22675.5605,4.1,279.9452,0.4678,0.684,81,81,100.0,2020087232036,279.62
MOD11A2,LST_Night_1km,A2001089,2001-03-30,279.7,283.92,22846.877,4.22,282.0602,0.9389,0.9689,81,81,100.0,2020088085252,281.98
MOD11A2,LST_Night_1km,A2001097,2001-04-07,275.0,281.08,22511.5371,6.08,277.9202,1.5124,1.2298,81,81,100.0,2020090160955,277.32
MOD11A2,LST_Night_1km,A2001105,2001-04-15,278.9,285.52,22872.6836,6.62,282.3788,2.5609,1.6003,81,81,100.0,2020091014438,281.96
MOD11A2,LST_Night_1km,A2001113,2001-04-23,277.86,280.6,22627.7793,2.74,279.3553,0.443,0.6656,81,81,100.0,2020091085133,279.52
MOD11A2,LST_Night_1km,A2001121,2001-05-01,276.1,278.94,22478.3984,2.84,277.5111,0.3476,0.5895,81,81,100.0,2020091151721,277.28
MOD11A2,LST_Night_1km,A2001129,2001-05-09,275.04,279.22,22469.4199,4.18,277.4002,0.8056,0.8975,81,81,100.0,2020091221652,277.2
MOD11A2,LST_Night_1km,A2001137,2001-05-17,273.88,277.18,22338.7012,3.3,275.7864,0.549,0.7409,81,81,100.0,2020092044108,275.6
MOD11A2,LST_Night_1km,A2001145,2001-05-25,273.0,276.06,22247.3008,3.06,274.658,0.4295,0.6554,81,81,100.0,2020092110439,274.62
MOD11A2,LST_Night_1km,A2001153,2001-06-02,274.24,276.92,22319.7617,2.68,275.5526,0.4051,0.6365,81,81,100.0,2020092210950,275.44
MOD11A2,LST_Night_1km,A2001161,2001-06-10,269.8,278.9,22390.8965,9.1,276.4308,4.062,2.0154,81,81,100.0,2020094134337,276.46
MOD11A2,LST_Night_1km,A2001177,2001-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020094155038,F
MOD11A2,LST_Night_1km,A2001185,2001-07-04,271.42,276.44,22246.373,5.02,274.6466,1.2423,1.1146,81,81,100.0,2020095032331,274.44
MOD11A2,LST_Night_1km,A2001193,2001-07-12,273.04,276.08,22284.0742,3.04,275.112,0.4264,0.653,81,81,100.0,2020095135629,275.42
MOD11A2,LST_Night_1km,A2001201,2001-07-20,273.1,276.02,22241.459,2.92,274.5859,0.4726,0.6874,81,81,100.0,2020096144530,274.18
MOD11A2,LST_Night_1km,A2001209,2001-07-28,273.12,275.64,22234.6191,2.52,274.5015,0.3064,0.5535,81,81,100.0,2020097144612,274.38
MOD11A2,LST_Night_1km,A2001217,2001-08-05,272.2,276.72,22265.9375,4.52,274.8881,0.8905,0.9436,81,81,100.0,2020098071240,275.22
MOD11A2,LST_Night_1km,A2001225,2001-08-13,275.6,279.84,22464.9199,4.24,277.3447,0.8089,0.8994,81,81,100.0,2020098183931,276.92
MOD11A2,LST_Night_1km,A2001233,2001-08-21,271.92,273.68,18798.957,1.76,272.4486,0.1578,0.3973,81,69,85.19,2020099095003,272.28
MOD11A2,LST_Night_1km,A2001241,2001-08-29,272.98,275.98,22228.6367,3.0,274.4276,0.4495,0.6705,81,81,100.0,2020099235746,273.6
MOD11A2,LST_Night_1km,A2001249,2001-09-06,275.76,278.22,22451.084,2.46,277.1739,0.2848,0.5336,81,81,100.0,2020100091608,276.68
MOD11A2,LST_Night_1km,A2001257,2001-09-14,277.34,280.24,22584.6973,2.9,278.8234,0.4651,0.682,81,81,100.0,2020101060534,278.66
MOD11A2,LST_Night_1km,A2001265,2001-09-22,276.96,279.62,22528.9785,2.66,278.1355,0.3486,0.5904,81,81,100.0,2020102013020,278.42
MOD11A2,LST_Night_1km,A2001273,2001-09-30,276.06,278.86,22470.8613,2.8,277.418,0.3347,0.5785,81,81,100.0,2020102104638,277.4
MOD11A2,LST_Night_1km,A2001281,2001-10-08,274.8,277.6,22363.4043,2.8,276.0914,0.2677,0.5174,81,81,100.0,2020102202810,275.82
MOD11A2,LST_Night_1km,A2001289,2001-10-16,273.8,277.1,22318.127,3.3,275.5324,0.6421,0.8013,81,81,100.0,2020103051958,275.36
MOD11A2,LST_Night_1km,A2001297,2001-10-24,275.74,279.98,22495.7637,4.24,277.7255,1.6136,1.2703,81,81,100.0,2020103155346,276.52
MOD11A2,LST_Night_1km,A2001305,2001-11-01,278.94,283.6,22785.6055,4.66,281.3038,1.2982,1.1394,81,81,100.0,2020104014456,280.56
MOD11A2,LST_Night_1km,A2001313,2001-11-09,276.18,280.2,22515.1562,4.02,277.9649,0.5183,0.72,81,81,100.0,2020104145758,278.2
MOD11A2,LST_Night_1km,A2001321,2001-11-17,280.1,284.56,22824.9434,4.46,281.7894,0.7384,0.8593,81,81,100.0,2020105110734,282.48
MOD11A2,LST_Night_1km,A2001329,2001-11-25,281.02,283.8,22883.9629,2.78,282.5181,0.3379,0.5813,81,81,100.0,2020106062840,282.44
MOD11A2,LST_Night_1km,A2001337,2001-12-03,279.98,286.24,22965.8203,6.26,283.5287,2.6387,1.6244,81,81,100.0,2020107071402,284.82
MOD11A2,LST_Night_1km,A2001345,2001-12-11,281.4,284.22,22930.3438,2.82,283.0907,0.4506,0.6713,81,81,100.0,2020108010208,283.1
MOD11A2,LST_Night_1km,A2001353,2001-12-19,280.0,284.68,22817.3828,4.68,281.6961,0.668,0.8173,81,81,100.0,2020108104230,282
MOD11A2,LST_Night_1km,A2001361,2001-12-27,281.82,284.52,22911.8027,2.7,282.8618,0.2659,0.5156,81,81,100.0,2020109102453,282.66
MOD11A2,LST_Night_1km,A2002001,2002-01-01,280.54,283.7,22822.3184,3.16,281.757,0.3398,0.5829,81,81,100.0,2020109144753,281.54
MOD11A2,LST_Night_1km,A2002009,2002-01-09,283.1,285.82,23029.1445,2.72,284.3104,0.3348,0.5786,81,81,100.0,2020109222016,283.72
MOD11A2,LST_Night_1km,A2002017,2002-01-17,285.38,289.02,23244.3867,3.64,286.9677,0.5907,0.7686,81,81,100.0,2020110054011,286.46
MOD11A2,LST_Night_1km,A2002025,2002-01-25,286.94,290.5,23321.3242,3.56,287.9176,0.5543,0.7445,81,81,100.0,2020110121045,287.22
MOD11A2,LST_Night_1km,A2002033,2002-02-02,281.9,284.2,22923.2402,2.3,283.003,0.203,0.4506,81,81,100.0,2020110171347,282.7
MOD11A2,LST_Night_1km,A2002041,2002-02-10,284.26,287.62,23169.0352,3.36,286.0375,0.6371,0.7982,81,81,100.0,2020110223856,286.36
MOD11A2,LST_Night_1km,A2002049,2002-02-18,283.82,286.66,23083.1035,2.84,284.9766,0.3905,0.6249,81,81,100.0,2020111030817,284.68
