MOD15A2H.A2000049.h30v12.006.2020041210828.Fpar_500m,MOD15A2H,A2000049,Lat-35.6566Lon148.1517Samp17Line17,2020041210828,68.0,68.0,68.0,90.0,90.0,90.0,90.0,91.0,91.0,88.0,88.0,88.0,53.0,53.0,50.0,50.0,50.0,68.0,68.0,55.0,55.0,55.0,90.0,87.0,87.0,87.0,88.0,88.0,54.0,54.0,54.0,88.0,88.0,94.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,87.0,89.0,89.0,89.0,54.0,54.0,88.0,88.0,88.0,92.0,20.0,20.0,55.0,55.0,55.0,55.0,68.0,68.0,68.0,89.0,93.0,93.0,93.0,88.0,88.0,92.0,92.0,44.0,44.0,44.0,44.0,68.0,68.0,68.0,68.0,89.0,89.0,93.0,93.0,91.0,91.0,91.0,90.0,90.0,44.0,44.0,44.0,26.0,26.0,26.0,68.0,89.0,89.0,89.0,89.0,67.0,91.0,91.0,19.0,19.0,19.0,50.0,26.0,26.0,26.0,26.0,30.0,30.0,30.0,89.0,67.0,67.0,67.0,67.0,30.0,19.0,19.0,12.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,20.0,20.0,67.0,67.0,30.0,30.0,30.0,30.0,12.0,12.0,15.0,6.0,6.0,6.0,6.0,20.0,20.0,20.0,20.0,13.0,13.0,30.0,30.0,12.0,12.0,12.0,29.0,5.0,6.0,6.0,7.0,7.0,7.0,20.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,29.0,29.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,85.0,85.0,29.0,43.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,15.0,15.0,15.0,13.0,85.0,85.0,85.0,100.0,100.0,100.0,4.0,4.0,5.0,5.0,5.0,10.0,10.0,15.0,15.0,87.0,87.0,87.0,85.0,100.0,100.0,100.0,27.0,3.0,3.0,5.0,5.0,10.0,18.0,18.0,32.0,87.0,87.0,87.0,66.0,66.0,66.0,100.0,27.0,27.0,3.0,7.0,7.0,18.0,18.0,18.0,32.0,19.0,23.0,23.0,66.0,66.0,66.0,12.0,12.0,12.0,13.0,7.0,7.0,7.0,15.0,15.0,19.0,19.0,23.0,14.0,14.0,14.0,14.0,12.0,12.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,14.0,14.0,14.0,8.0,8.0,7.0,7.0,9.0,9.0,19.0
MOD15A2H.A2000057.h30v12.006.2020037221649.Fpar_500m,MOD15A2H,A2000057,Lat-35.6566Lon148.1517Samp17Line17,2020037221649,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,87.0,86.0,86.0,86.0,86.0,86.0,93.0,93.0,93.0,88.0,82.0,88.0,89.0,89.0,89.0,85.0,85.0,70.0,88.0,86.0,86.0,93.0,93.0,92.0,85.0,86.0,88.0,88.0,87.0,87.0,78.0,60.0,72.0,87.0,88.0,87.0,70.0,81.0,89.0,20.0,88.0,88.0,87.0,89.0,89.0,87.0,86.0,68.0,73.0,87.0,87.0,87.0,74.0,89.0,89.0,88.0,88.0,88.0,87.0,88.0,89.0,87.0,87.0,78.0,87.0,87.0,87.0,74.0,74.0,90.0,86.0,88.0,88.0,87.0,87.0,86.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,89.0,90.0,90.0,89.0,89.0,88.0,88.0,86.0,86.0,88.0,88.0,88.0,88.0,87.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,88.0,85.0,85.0,87.0,88.0,88.0,88.0,94.0,88.0,88.0,88.0,89.0,88.0,87.0,87.0,86.0,84.0,84.0,85.0,87.0,87.0,87.0,85.0,85.0,88.0,88.0,88.0,87.0,87.0,87.0,85.0,86.0,85.0,85.0,85.0,85.0,85.0,84.0,84.0,85.0,85.0,86.0,88.0,78.0,84.0,86.0,86.0,85.0,85.0,86.0,86.0,85.0,84.0,84.0,85.0,85.0,85.0,85.0,98.0,82.0,84.0,85.0,85.0,85.0,85.0,85.0,85.0,84.0,83.0,84.0,84.0,85.0,83.0,84.0,84.0,82.0,87.0,84.0,85.0,85.0,85.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,83.0,84.0,88.0,88.0,85.0,83.0,85.0,83.0,83.0,83.0,83.0,83.0,84.0,83.0,83.0,86.0,87.0,88.0,88.0,89.0,86.0,85.0,83.0,83.0,82.0,82.0,83.0,83.0,82.0,87.0,86.0,86.0,87.0,88.0,88.0,88.0,86.0,83.0,83.0,82.0,83.0,83.0,83.0,85.0,87.0,88.0,88.0,86.0,87.0,87.0,88.0,86.0,86.0,81.0,82.0,82.0,82.0,82.0,83.0,84.0,84.0,87.0,87.0,87.0,87.0,88.0,88.0,85.0,78.0,76.0,85.0,83.0,83.0,84.0,84.0,84.0,84.0,85.0,86.0,86.0,87.0,88.0,87.0,84.0,78.0,78.0,83.0,85.0
MOD15A2H.A2000065.h30v12.006.2020038182455.Fpar_500m,MOD15A2H,A2000065,Lat-35.6566Lon148.1517Samp17Line17,2020038182455,85.0,86.0,81.0,81.0,88.0,89.0,88.0,88.0,83.0,82.0,42.0,83.0,64.0,94.0,94.0,95.0,94.0,86.0,86.0,87.0,86.0,86.0,87.0,84.0,83.0,86.0,84.0,78.0,64.0,64.0,93.0,91.0,94.0,87.0,87.0,87.0,82.0,88.0,75.0,75.0,75.0,84.0,84.0,78.0,78.0,92.0,93.0,84.0,84.0,84.0,85.0,87.0,86.0,82.0,82.0,82.0,82.0,83.0,74.0,74.0,92.0,90.0,90.0,89.0,82.0,84.0,83.0,85.0,87.0,85.0,86.0,82.0,82.0,78.0,93.0,95.0,89.0,85.0,85.0,87.0,84.0,83.0,84.0,83.0,85.0,84.0,85.0,91.0,83.0,85.0,93.0,85.0,89.0,85.0,86.0,86.0,83.0,83.0,82.0,85.0,89.0,89.0,85.0,84.0,90.0,89.0,84.0,85.0,85.0,83.0,81.0,83.0,80.0,80.0,83.0,84.0,89.0,89.0,86.0,92.0,84.0,83.0,84.0,84.0,83.0,82.0,82.0,83.0,83.0,78.0,80.0,82.0,81.0,89.0,83.0,83.0,84.0,83.0,85.0,86.0,80.0,80.0,82.0,82.0,80.0,84.0,80.0,81.0,81.0,82.0,80.0,81.0,81.0,85.0,85.0,78.0,80.0,80.0,79.0,81.0,80.0,84.0,81.0,81.0,80.0,83.0,83.0,80.0,76.0,83.0,82.0,82.0,82.0,79.0,82.0,81.0,81.0,82.0,81.0,80.0,80.0,83.0,83.0,80.0,76.0,75.0,77.0,82.0,82.0,80.0,82.0,81.0,81.0,80.0,80.0,80.0,79.0,79.0,78.0,79.0,76.0,79.0,82.0,87.0,80.0,86.0,79.0,81.0,79.0,80.0,80.0,80.0,79.0,79.0,77.0,79.0,83.0,83.0,85.0,87.0,87.0,89.0,79.0,78.0,77.0,77.0,78.0,78.0,76.0,76.0,77.0,84.0,83.0,79.0,85.0,88.0,85.0,83.0,79.0,77.0,77.0,77.0,77.0,78.0,80.0,82.0,86.0,84.0,81.0,80.0,84.0,85.0,85.0,80.0,80.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0,79.0,84.0,81.0,84.0,85.0,86.0,83.0,80.0,70.0,74.0,77.0,78.0,78.0,80.0,78.0,80.0,79.0,83.0,84.0,83.0,79.0,79.0,83.0,73.0,71.0,73.0,78.0
MOD15A2H.A2000073.h30v12.006.2020040192641.Fpar_500m,MOD15A2H,A2000073,Lat-35.6566Lon148.1517Samp17Line17,2020040192641,87.0,88.0,87.0,86.0,88.0,88.0,88.0,85.0,88.0,73.0,82.0,82.0,77.0,94.0,94.0,96.0,96.0,88.0,91.0,88.0,85.0,85.0,88.0,85.0,84.0,84.0,85.0,77.0,95.0,95.0,95.0,84.0,95.0,92.0,85.0,85.0,85.0,87.0,44.0,44.0,42.0,86.0,80.0,95.0,95.0,95.0,95.0,86.0,92.0,92.0,81.0,63.0,85.0,85.0,81.0,49.0,86.0,86.0,80.0,95.0,95.0,95.0,95.0,86.0,86.0,91.0,83.0,83.0,85.0,85.0,55.0,87.0,86.0,85.0,97.0,97.0,97.0,97.0,82.0,86.0,86.0,83.0,83.0,83.0,89.0,85.0,55.0,87.0,87.0,82.0,94.0,86.0,97.0,97.0,89.0,88.0,87.0,83.0,83.0,82.0,87.0,84.0,86.0,88.0,88.0,94.0,85.0,86.0,86.0,86.0,85.0,85.0,87.0,84.0,87.0,90.0,89.0,84.0,33.0,83.0,93.0,93.0,85.0,86.0,85.0,85.0,85.0,85.0,84.0,84.0,84.0,84.0,89.0,80.0,60.0,60.0,93.0,86.0,96.0,96.0,83.0,85.0,85.0,85.0,85.0,84.0,85.0,84.0,84.0,84.0,81.0,83.0,85.0,83.0,95.0,95.0,83.0,84.0,84.0,85.0,85.0,85.0,85.0,85.0,83.0,82.0,84.0,83.0,85.0,85.0,92.0,92.0,83.0,83.0,84.0,85.0,85.0,85.0,84.0,82.0,81.0,82.0,84.0,84.0,84.0,79.0,83.0,91.0,88.0,84.0,84.0,85.0,83.0,83.0,79.0,81.0,81.0,79.0,82.0,80.0,83.0,79.0,83.0,88.0,84.0,84.0,83.0,82.0,81.0,79.0,79.0,81.0,81.0,79.0,79.0,80.0,83.0,85.0,88.0,88.0,89.0,84.0,82.0,81.0,80.0,79.0,79.0,81.0,81.0,83.0,86.0,85.0,85.0,85.0,86.0,88.0,48.0,85.0,82.0,80.0,80.0,81.0,81.0,81.0,83.0,83.0,86.0,88.0,83.0,86.0,87.0,88.0,48.0,46.0,13.0,79.0,80.0,80.0,81.0,82.0,83.0,83.0,83.0,84.0,87.0,86.0,87.0,84.0,24.0,67.0,65.0,42.0,81.0,81.0,81.0,83.0,82.0,82.0,85.0,86.0,87.0,88.0,84.0,57.0,57.0,44.0,65.0,82.0,82.0
MOD15A2H.A2000081.h30v12.006.2020040192650.Fpar_500m,MOD15A2H,A2000081,Lat-35.6566Lon148.1517Samp17Line17,2020040192650,92.0,83.0,98.0,98.0,70.0,91.0,88.0,87.0,46.0,78.0,83.0,87.0,87.0,37.0,87.0,87.0,93.0,100.0,98.0,88.0,79.0,89.0,85.0,78.0,74.0,87.0,87.0,95.0,93.0,93.0,87.0,93.0,72.0,88.0,96.0,93.0,82.0,86.0,84.0,72.0,84.0,83.0,86.0,86.0,94.0,94.0,93.0,92.0,89.0,92.0,92.0,83.0,84.0,85.0,85.0,85.0,84.0,87.0,86.0,86.0,95.0,94.0,92.0,92.0,89.0,93.0,92.0,92.0,84.0,85.0,85.0,78.0,87.0,87.0,88.0,95.0,94.0,93.0,85.0,93.0,93.0,93.0,92.0,82.0,83.0,85.0,89.0,83.0,87.0,88.0,88.0,93.0,92.0,84.0,85.0,93.0,93.0,91.0,78.0,92.0,92.0,92.0,89.0,89.0,92.0,93.0,93.0,82.0,92.0,84.0,92.0,83.0,77.0,79.0,77.0,95.0,95.0,82.0,92.0,94.0,94.0,82.0,93.0,92.0,83.0,82.0,79.0,82.0,78.0,82.0,77.0,76.0,82.0,82.0,91.0,91.0,81.0,93.0,81.0,94.0,66.0,80.0,78.0,82.0,83.0,82.0,79.0,87.0,87.0,87.0,85.0,85.0,85.0,92.0,93.0,93.0,97.0,78.0,78.0,80.0,83.0,77.0,80.0,78.0,86.0,83.0,85.0,87.0,87.0,85.0,92.0,93.0,92.0,78.0,78.0,81.0,77.0,81.0,76.0,78.0,86.0,83.0,84.0,84.0,83.0,80.0,73.0,93.0,100.0,77.0,80.0,80.0,78.0,82.0,76.0,74.0,75.0,77.0,84.0,82.0,83.0,80.0,84.0,84.0,77.0,77.0,75.0,75.0,74.0,82.0,72.0,74.0,73.0,72.0,84.0,82.0,85.0,86.0,86.0,88.0,88.0,79.0,76.0,75.0,74.0,73.0,73.0,75.0,78.0,72.0,84.0,86.0,86.0,84.0,86.0,88.0,87.0,92.0,75.0,75.0,74.0,75.0,74.0,76.0,79.0,86.0,86.0,79.0,85.0,84.0,86.0,83.0,83.0,83.0,81.0,75.0,73.0,74.0,77.0,76.0,84.0,84.0,84.0,85.0,85.0,86.0,87.0,87.0,83.0,73.0,73.0,79.0,75.0,74.0,77.0,86.0,86.0,84.0,84.0,86.0,76.0,86.0,86.0,85.0,79.0,75.0,73.0,75.0,84.0
MOD15A2H.A2000089.h30v12.006.2020041212553.Fpar_500m,MOD15A2H,A2000089,Lat-35.6566Lon148.1517Samp17Line17,2020041212553,86.0,86.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,80.0,75.0,81.0,79.0,79.0,78.0,79.0,86.0,90.0,90.0,90.0,90.0,90.0,86.0,90.0,84.0,84.0,82.0,81.0,83.0,81.0,81.0,19.0,84.0,90.0,85.0,82.0,87.0,83.0,80.0,85.0,85.0,83.0,81.0,83.0,83.0,81.0,92.0,91.0,84.0,84.0,86.0,83.0,84.0,84.0,84.0,86.0,84.0,90.0,90.0,61.0,61.0,85.0,85.0,85.0,85.0,91.0,82.0,85.0,82.0,87.0,87.0,86.0,90.0,90.0,74.0,71.0,90.0,90.0,85.0,85.0,85.0,92.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,84.0,84.0,84.0,90.0,90.0,90.0,83.0,81.0,90.0,90.0,91.0,85.0,90.0,90.0,90.0,90.0,84.0,84.0,84.0,81.0,81.0,82.0,83.0,77.0,57.0,6.0,85.0,85.0,90.0,84.0,86.0,85.0,86.0,88.0,88.0,84.0,84.0,84.0,84.0,83.0,82.0,82.0,83.0,78.0,81.0,84.0,86.0,85.0,86.0,88.0,88.0,84.0,84.0,90.0,90.0,90.0,84.0,80.0,83.0,81.0,82.0,83.0,83.0,83.0,72.0,79.0,77.0,83.0,83.0,85.0,90.0,83.0,84.0,81.0,79.0,79.0,79.0,82.0,89.0,30.0,77.0,79.0,83.0,83.0,85.0,85.0,83.0,83.0,40.0,83.0,79.0,79.0,80.0,82.0,84.0,77.0,75.0,83.0,83.0,92.0,83.0,82.0,75.0,79.0,78.0,78.0,82.0,79.0,80.0,81.0,77.0,90.0,90.0,90.0,83.0,82.0,83.0,82.0,82.0,78.0,75.0,76.0,82.0,80.0,77.0,82.0,85.0,90.0,90.0,90.0,90.0,82.0,81.0,80.0,78.0,79.0,75.0,76.0,79.0,81.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,84.0,80.0,78.0,77.0,79.0,80.0,80.0,80.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.0,86.0,78.0,78.0,79.0,85.0,84.0,80.0,84.0,90.0,90.0,90.0,90.0,90.0,23.0,61.0,74.0,81.0,86.0,78.0,81.0,85.0,85.0,80.0,80.0,90.0,90.0,90.0,90.0,90.0,85.0,79.0,81.0,81.0,85.0,85.0
MOD15A2H.A2000097.h30v12.006.2020041042002.Fpar_500m,MOD15A2H,A2000097,Lat-35.6566Lon148.1517Samp17Line17,2020041042002,92.0,92.0,93.0,92.0,85.0,85.0,92.0,92.0,81.0,83.0,68.0,80.0,91.0,94.0,94.0,94.0,94.0,92.0,92.0,92.0,92.0,92.0,83.0,78.0,68.0,83.0,80.0,92.0,95.0,18.0,94.0,94.0,94.0,93.0,92.0,88.0,74.0,83.0,69.0,69.0,69.0,79.0,77.0,94.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,83.0,79.0,75.0,69.0,73.0,85.0,80.0,93.0,95.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,75.0,75.0,79.0,74.0,82.0,66.0,6.0,6.0,6.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,89.0,78.0,82.0,83.0,92.0,93.0,58.0,61.0,6.0,6.0,94.0,94.0,94.0,94.0,94.0,94.0,87.0,87.0,82.0,83.0,98.0,96.0,58.0,61.0,54.0,54.0,31.0,93.0,93.0,76.0,94.0,93.0,93.0,62.0,62.0,94.0,96.0,96.0,93.0,84.0,84.0,44.0,31.0,18.0,78.0,75.0,92.0,92.0,92.0,88.0,83.0,72.0,94.0,93.0,93.0,88.0,44.0,44.0,13.0,93.0,79.0,77.0,77.0,76.0,78.0,89.0,75.0,77.0,76.0,87.0,88.0,93.0,93.0,93.0,93.0,94.0,94.0,80.0,92.0,79.0,77.0,89.0,74.0,75.0,92.0,51.0,93.0,93.0,93.0,81.0,94.0,72.0,72.0,72.0,41.0,76.0,75.0,74.0,75.0,75.0,81.0,69.0,68.0,93.0,93.0,93.0,93.0,93.0,94.0,100.0,72.0,74.0,76.0,74.0,75.0,75.0,74.0,75.0,88.0,88.0,93.0,93.0,93.0,76.0,94.0,72.0,72.0,72.0,70.0,74.0,71.0,74.0,80.0,91.0,92.0,83.0,93.0,92.0,92.0,76.0,74.0,73.0,82.0,74.0,71.0,72.0,79.0,81.0,76.0,92.0,92.0,93.0,93.0,93.0,89.0,73.0,73.0,84.0,74.0,74.0,76.0,79.0,92.0,83.0,78.0,92.0,92.0,92.0,76.0,66.0,75.0,74.0,84.0,84.0,77.0,73.0,74.0,75.0,76.0,92.0,78.0,93.0,93.0,93.0,92.0,66.0,70.0,76.0,74.0,74.0,75.0,78.0,75.0,77.0,76.0,92.0,92.0,93.0,93.0,81.0,40.0,71.0,67.0,69.0,72.0
MOD15A2H.A2000105.h30v12.006.2020041072656.Fpar_500m,MOD15A2H,A2000105,Lat-35.6566Lon148.1517Samp17Line17,2020041072656,85.0,90.0,90.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,83.0,90.0,90.0,50.0,93.0,51.0,93.0,91.0,90.0,90.0,83.0,90.0,84.0,83.0,81.0,81.0,90.0,90.0,90.0,93.0,92.0,92.0,92.0,91.0,44.0,44.0,87.0,83.0,84.0,83.0,81.0,81.0,84.0,81.0,93.0,93.0,94.0,94.0,19.0,90.0,90.0,82.0,81.0,81.0,81.0,83.0,83.0,84.0,84.0,84.0,94.0,94.0,89.0,88.0,19.0,90.0,90.0,90.0,81.0,81.0,83.0,83.0,87.0,87.0,94.0,94.0,94.0,89.0,89.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,87.0,87.0,87.0,94.0,94.0,93.0,85.0,89.0,90.0,90.0,92.0,84.0,84.0,84.0,90.0,90.0,90.0,93.0,93.0,91.0,90.0,90.0,90.0,96.0,94.0,91.0,92.0,97.0,84.0,84.0,86.0,86.0,90.0,85.0,85.0,96.0,96.0,90.0,90.0,96.0,91.0,91.0,97.0,97.0,97.0,85.0,85.0,84.0,84.0,85.0,85.0,96.0,96.0,98.0,88.0,93.0,93.0,93.0,93.0,81.0,90.0,90.0,85.0,84.0,84.0,86.0,95.0,95.0,85.0,95.0,93.0,93.0,93.0,94.0,93.0,90.0,90.0,90.0,81.0,88.0,88.0,91.0,91.0,95.0,95.0,95.0,93.0,93.0,94.0,94.0,94.0,92.0,92.0,84.0,81.0,89.0,80.0,80.0,78.0,78.0,85.0,92.0,90.0,91.0,98.0,98.0,82.0,83.0,100.0,89.0,100.0,80.0,90.0,90.0,90.0,90.0,90.0,92.0,91.0,37.0,37.0,98.0,83.0,83.0,80.0,80.0,80.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,86.0,86.0,87.0,83.0,83.0,83.0,80.0,77.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,100.0,86.0,86.0,82.0,86.0,84.0,84.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,95.0,86.0,86.0,87.0,87.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,95.0,86.0,86.0,81.0,87.0,86.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,87.0,91.0,90.0,91.0,90.0
MOD15A2H.A2000113.h30v12.006.2020041221651.Fpar_500m,MOD15A2H,A2000113,Lat-35.6566Lon148.1517Samp17Line17,2020041221651,92.0,90.0,90.0,92.0,92.0,91.0,90.0,90.0,84.0,84.0,80.0,79.0,90.0,92.0,92.0,93.0,93.0,93.0,93.0,92.0,92.0,90.0,90.0,83.0,81.0,80.0,80.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,81.0,81.0,79.0,80.0,80.0,82.0,82.0,82.0,93.0,93.0,93.0,93.0,93.0,90.0,90.0,81.0,80.0,79.0,77.0,80.0,80.0,82.0,82.0,82.0,95.0,95.0,94.0,94.0,94.0,90.0,90.0,90.0,80.0,80.0,83.0,83.0,85.0,85.0,92.0,94.0,94.0,94.0,90.0,90.0,90.0,93.0,90.0,90.0,90.0,80.0,83.0,90.0,90.0,91.0,94.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.0,93.0,90.0,90.0,90.0,90.0,93.0,93.0,90.0,90.0,90.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,90.0,90.0,90.0,90.0,90.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,90.0,94.0,94.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,81.0,91.0,90.0,90.0,91.0,92.0,94.0,94.0,94.0,93.0,93.0,90.0,90.0,90.0,92.0,90.0,84.0,84.0,87.0,87.0,90.0,90.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,90.0,90.0,84.0,84.0,84.0,85.0,85.0,89.0,89.0,93.0,93.0,93.0,93.0,92.0,92.0,91.0,91.0,82.0,82.0,84.0,84.0,85.0,85.0,86.0,90.0,90.0,92.0,92.0,91.0,91.0,91.0,90.0,89.0,82.0,89.0,89.0,89.0,89.0,86.0,86.0,90.0,90.0,90.0,92.0,91.0,90.0,90.0,89.0,89.0,89.0,81.0,89.0,90.0,91.0,91.0,90.0,89.0,90.0,90.0,90.0,91.0,89.0,80.0,88.0,88.0,81.0,85.0,85.0,90.0,91.0,90.0,90.0,90.0,92.0,92.0,90.0,80.0,82.0,83.0,83.0,83.0,81.0,89.0,89.0,89.0,91.0,92.0,90.0,90.0,90.0,90.0,94.0,75.0,81.0,78.0,88.0,88.0,90.0,90.0,90.0,89.0,92.0,92.0,92.0,92.0,90.0,90.0,94.0,74.0,74.0,87.0
MOD15A2H.A2000121.h30v12.006.2020042020434.Fpar_500m,MOD15A2H,A2000121,Lat-35.6566Lon148.1517Samp17Line17,2020042020434,87.0,89.0,89.0,90.0,90.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.0,90.0,88.0,88.0,90.0,88.0,88.0,90.0,90.0,30.0,31.0,75.0,75.0,84.0,90.0,90.0,86.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,93.0,81.0,91.0,90.0,84.0,90.0,90.0,90.0,88.0,88.0,88.0,88.0,90.0,88.0,88.0,90.0,90.0,93.0,93.0,90.0,89.0,93.0,88.0,88.0,90.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,93.0,86.0,89.0,90.0,89.0,88.0,90.0,90.0,90.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,86.0,89.0,92.0,85.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,77.0,84.0,90.0,91.0,90.0,90.0,90.0,85.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,84.0,91.0,91.0,85.0,90.0,90.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,82.0,83.0,83.0,83.0,90.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,78.0,91.0,92.0,90.0,83.0,84.0,83.0,90.0,90.0,87.0,73.0,90.0,90.0,90.0,90.0,90.0,90.0,80.0,86.0,90.0,90.0,90.0,90.0,90.0,94.0,82.0,82.0,87.0,83.0,81.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,69.0,94.0,80.0,83.0,81.0,84.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,80.0,83.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,52.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.0,90.0,80.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,77.0,73.0,89.0
