MOD15A2H.A2000049.h30v12.006.2020041210828.Lai_500m,MOD15A2H,A2000049,Lat-35.6566Lon148.1517Samp17Line17,2020041210828,24.0,24.0,24.0,60.0,59.0,59.0,59.0,59.0,59.0,48.0,48.0,48.0,15.0,15.0,13.0,13.0,13.0,24.0,24.0,16.0,16.0,16.0,59.0,49.0,49.0,49.0,48.0,48.0,15.0,15.0,15.0,51.0,51.0,63.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,49.0,58.0,58.0,58.0,15.0,15.0,51.0,51.0,51.0,60.0,5.0,5.0,16.0,16.0,16.0,16.0,25.0,25.0,25.0,58.0,61.0,61.0,61.0,51.0,51.0,60.0,60.0,11.0,11.0,11.0,11.0,25.0,25.0,25.0,25.0,57.0,57.0,61.0,61.0,69.0,69.0,69.0,63.0,63.0,11.0,11.0,11.0,6.0,6.0,6.0,25.0,57.0,57.0,57.0,57.0,24.0,69.0,69.0,4.0,4.0,4.0,13.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,57.0,24.0,24.0,24.0,24.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,5.0,5.0,24.0,24.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,7.0,7.0,3.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,41.0,41.0,7.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,41.0,41.0,41.0,70.0,70.0,70.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,46.0,46.0,46.0,41.0,70.0,70.0,70.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,8.0,46.0,46.0,46.0,24.0,24.0,24.0,70.0,7.0,7.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,4.0,5.0,5.0,24.0,24.0,24.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
MOD15A2H.A2000057.h30v12.006.2020037221649.Lai_500m,MOD15A2H,A2000057,Lat-35.6566Lon148.1517Samp17Line17,2020037221649,54.0,51.0,51.0,50.0,56.0,55.0,54.0,56.0,47.0,45.0,43.0,43.0,42.0,42.0,62.0,62.0,62.0,50.0,42.0,52.0,54.0,55.0,54.0,42.0,42.0,28.0,46.0,45.0,45.0,61.0,62.0,61.0,42.0,43.0,53.0,53.0,49.0,45.0,36.0,20.0,25.0,46.0,46.0,48.0,24.0,40.0,56.0,4.0,49.0,49.0,46.0,56.0,55.0,46.0,42.0,26.0,31.0,46.0,46.0,48.0,30.0,57.0,56.0,51.0,51.0,49.0,46.0,50.0,51.0,46.0,47.0,31.0,46.0,46.0,46.0,30.0,30.0,58.0,43.0,51.0,51.0,46.0,46.0,43.0,50.0,44.0,47.0,50.0,49.0,49.0,51.0,57.0,58.0,58.0,55.0,55.0,49.0,49.0,45.0,45.0,51.0,51.0,52.0,50.0,48.0,52.0,51.0,51.0,51.0,47.0,47.0,46.0,49.0,41.0,41.0,46.0,51.0,51.0,50.0,63.0,48.0,48.0,52.0,53.0,51.0,46.0,46.0,42.0,40.0,40.0,40.0,46.0,46.0,46.0,41.0,41.0,51.0,51.0,48.0,47.0,46.0,46.0,41.0,44.0,41.0,42.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,45.0,48.0,36.0,38.0,50.0,50.0,40.0,41.0,43.0,44.0,41.0,39.0,40.0,41.0,41.0,41.0,41.0,68.0,36.0,38.0,41.0,41.0,41.0,40.0,42.0,42.0,39.0,38.0,39.0,39.0,41.0,38.0,38.0,38.0,36.0,49.0,40.0,41.0,40.0,40.0,40.0,39.0,38.0,38.0,38.0,39.0,39.0,39.0,38.0,39.0,51.0,49.0,41.0,38.0,40.0,38.0,38.0,37.0,37.0,37.0,39.0,37.0,38.0,44.0,47.0,49.0,53.0,54.0,44.0,40.0,38.0,38.0,37.0,36.0,37.0,37.0,37.0,48.0,45.0,44.0,49.0,50.0,51.0,51.0,45.0,38.0,38.0,37.0,38.0,37.0,37.0,40.0,47.0,49.0,49.0,45.0,49.0,46.0,50.0,44.0,45.0,34.0,37.0,37.0,37.0,36.0,38.0,39.0,39.0,46.0,46.0,49.0,46.0,50.0,50.0,42.0,30.0,29.0,40.0,38.0,38.0,38.0,38.0,38.0,38.0,42.0,45.0,42.0,49.0,50.0,49.0,40.0,30.0,31.0,38.0,42.0
MOD15A2H.A2000065.h30v12.006.2020038182455.Lai_500m,MOD15A2H,A2000065,Lat-35.6566Lon148.1517Samp17Line17,2020038182455,41.0,42.0,39.0,39.0,54.0,54.0,54.0,49.0,38.0,35.0,10.0,38.0,23.0,63.0,63.0,64.0,62.0,49.0,49.0,46.0,49.0,42.0,49.0,36.0,38.0,42.0,39.0,36.0,23.0,23.0,62.0,60.0,62.0,45.0,47.0,48.0,41.0,50.0,32.0,32.0,32.0,40.0,40.0,36.0,36.0,60.0,62.0,38.0,38.0,39.0,41.0,48.0,44.0,42.0,42.0,42.0,37.0,38.0,31.0,31.0,61.0,58.0,59.0,57.0,36.0,39.0,37.0,41.0,47.0,40.0,41.0,42.0,37.0,30.0,62.0,64.0,53.0,40.0,40.0,55.0,39.0,37.0,38.0,37.0,41.0,44.0,40.0,60.0,38.0,41.0,62.0,40.0,53.0,41.0,43.0,43.0,38.0,38.0,36.0,41.0,57.0,57.0,40.0,40.0,58.0,58.0,40.0,40.0,41.0,37.0,40.0,36.0,33.0,33.0,37.0,39.0,57.0,57.0,42.0,60.0,39.0,37.0,40.0,39.0,44.0,36.0,35.0,42.0,42.0,31.0,33.0,35.0,34.0,55.0,37.0,37.0,39.0,37.0,48.0,52.0,33.0,33.0,35.0,35.0,33.0,39.0,33.0,35.0,34.0,36.0,33.0,34.0,35.0,48.0,48.0,31.0,32.0,33.0,32.0,35.0,34.0,39.0,35.0,35.0,39.0,43.0,43.0,33.0,28.0,38.0,41.0,41.0,41.0,32.0,35.0,34.0,33.0,35.0,35.0,39.0,39.0,43.0,43.0,33.0,28.0,27.0,29.0,41.0,41.0,33.0,35.0,34.0,33.0,32.0,38.0,38.0,38.0,38.0,31.0,32.0,29.0,33.0,36.0,45.0,33.0,45.0,32.0,34.0,31.0,38.0,38.0,38.0,38.0,38.0,30.0,32.0,38.0,37.0,41.0,45.0,46.0,54.0,32.0,31.0,30.0,30.0,31.0,30.0,29.0,28.0,30.0,39.0,38.0,32.0,41.0,50.0,41.0,37.0,31.0,30.0,30.0,30.0,30.0,30.0,33.0,37.0,45.0,39.0,34.0,39.0,38.0,41.0,41.0,39.0,39.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,32.0,39.0,34.0,39.0,41.0,43.0,37.0,39.0,23.0,27.0,30.0,31.0,31.0,33.0,31.0,34.0,32.0,36.0,40.0,38.0,37.0,37.0,37.0,26.0,24.0,25.0,31.0
MOD15A2H.A2000073.h30v12.006.2020040192641.Lai_500m,MOD15A2H,A2000073,Lat-35.6566Lon148.1517Samp17Line17,2020040192641,45.0,50.0,49.0,45.0,51.0,49.0,50.0,42.0,56.0,26.0,36.0,36.0,29.0,63.0,63.0,66.0,66.0,50.0,59.0,56.0,40.0,40.0,50.0,42.0,38.0,38.0,42.0,30.0,64.0,64.0,64.0,39.0,64.0,60.0,41.0,41.0,41.0,47.0,10.0,10.0,10.0,42.0,33.0,64.0,64.0,64.0,64.0,44.0,60.0,60.0,35.0,22.0,41.0,41.0,34.0,13.0,43.0,42.0,33.0,64.0,64.0,64.0,64.0,44.0,45.0,59.0,37.0,37.0,42.0,41.0,16.0,45.0,43.0,41.0,67.0,67.0,67.0,66.0,37.0,43.0,43.0,37.0,37.0,37.0,53.0,41.0,16.0,45.0,46.0,36.0,63.0,42.0,66.0,66.0,57.0,57.0,48.0,37.0,37.0,36.0,49.0,40.0,45.0,56.0,56.0,63.0,41.0,42.0,42.0,42.0,41.0,41.0,48.0,39.0,54.0,59.0,58.0,40.0,8.0,38.0,61.0,61.0,41.0,42.0,41.0,41.0,41.0,41.0,39.0,39.0,38.0,38.0,58.0,33.0,16.0,16.0,61.0,42.0,65.0,65.0,37.0,41.0,40.0,41.0,41.0,39.0,40.0,39.0,39.0,39.0,35.0,38.0,41.0,37.0,65.0,65.0,37.0,38.0,38.0,41.0,41.0,40.0,40.0,40.0,37.0,36.0,39.0,38.0,41.0,41.0,61.0,61.0,38.0,38.0,39.0,40.0,41.0,41.0,39.0,37.0,35.0,36.0,39.0,39.0,39.0,32.0,37.0,60.0,56.0,39.0,39.0,40.0,37.0,37.0,32.0,34.0,35.0,32.0,36.0,33.0,38.0,32.0,37.0,50.0,39.0,39.0,38.0,36.0,35.0,32.0,32.0,34.0,35.0,32.0,32.0,34.0,38.0,41.0,50.0,50.0,57.0,38.0,36.0,35.0,34.0,32.0,32.0,35.0,35.0,38.0,43.0,42.0,42.0,40.0,42.0,57.0,13.0,42.0,36.0,34.0,34.0,35.0,35.0,34.0,37.0,38.0,43.0,51.0,38.0,44.0,47.0,57.0,13.0,12.0,2.0,32.0,33.0,34.0,35.0,37.0,37.0,38.0,38.0,40.0,46.0,44.0,47.0,38.0,6.0,21.0,20.0,10.0,34.0,34.0,34.0,37.0,36.0,37.0,41.0,44.0,46.0,57.0,39.0,15.0,15.0,10.0,20.0,37.0,37.0
MOD15A2H.A2000081.h30v12.006.2020040192650.Lai_500m,MOD15A2H,A2000081,Lat-35.6566Lon148.1517Samp17Line17,2020040192650,60.0,38.0,67.0,67.0,24.0,60.0,51.0,46.0,11.0,31.0,38.0,45.0,45.0,9.0,47.0,47.0,61.0,70.0,67.0,53.0,31.0,57.0,40.0,32.0,27.0,48.0,48.0,64.0,62.0,62.0,47.0,62.0,25.0,54.0,65.0,61.0,36.0,44.0,39.0,25.0,38.0,38.0,43.0,44.0,63.0,63.0,62.0,60.0,54.0,60.0,60.0,38.0,39.0,40.0,41.0,41.0,38.0,49.0,43.0,44.0,64.0,63.0,60.0,60.0,54.0,62.0,61.0,61.0,39.0,42.0,42.0,32.0,49.0,49.0,50.0,64.0,63.0,61.0,41.0,61.0,61.0,62.0,61.0,36.0,38.0,41.0,55.0,37.0,49.0,47.0,47.0,61.0,61.0,40.0,41.0,61.0,61.0,60.0,30.0,61.0,60.0,61.0,55.0,56.0,60.0,61.0,61.0,36.0,61.0,40.0,61.0,38.0,30.0,32.0,29.0,64.0,64.0,36.0,60.0,63.0,63.0,36.0,62.0,60.0,36.0,36.0,31.0,36.0,30.0,36.0,29.0,28.0,36.0,36.0,60.0,59.0,33.0,61.0,35.0,63.0,21.0,33.0,30.0,35.0,37.0,36.0,31.0,45.0,45.0,45.0,42.0,42.0,40.0,60.0,61.0,62.0,67.0,30.0,30.0,32.0,37.0,29.0,33.0,31.0,42.0,38.0,42.0,46.0,46.0,41.0,61.0,62.0,61.0,30.0,30.0,33.0,29.0,33.0,28.0,30.0,42.0,38.0,39.0,39.0,37.0,33.0,25.0,62.0,70.0,29.0,33.0,33.0,31.0,37.0,28.0,26.0,27.0,29.0,39.0,35.0,37.0,33.0,40.0,40.0,29.0,29.0,27.0,27.0,26.0,37.0,25.0,26.0,25.0,24.0,39.0,35.0,41.0,43.0,43.0,48.0,51.0,31.0,28.0,28.0,26.0,26.0,26.0,28.0,30.0,24.0,39.0,43.0,43.0,38.0,43.0,48.0,47.0,60.0,27.0,28.0,27.0,27.0,26.0,29.0,32.0,44.0,42.0,31.0,40.0,38.0,43.0,37.0,36.0,37.0,34.0,27.0,26.0,26.0,28.0,29.0,39.0,39.0,38.0,40.0,40.0,44.0,47.0,47.0,37.0,25.0,25.0,32.0,27.0,27.0,28.0,44.0,44.0,38.0,38.0,42.0,28.0,43.0,43.0,41.0,32.0,27.0,26.0,28.0,39.0
MOD15A2H.A2000089.h30v12.006.2020041212553.Lai_500m,MOD15A2H,A2000089,Lat-35.6566Lon148.1517Samp17Line17,2020041212553,43.0,42.0,69.0,69.0,64.0,64.0,64.0,64.0,69.0,69.0,33.0,27.0,34.0,32.0,32.0,31.0,32.0,42.0,69.0,69.0,69.0,64.0,64.0,43.0,69.0,40.0,40.0,35.0,34.0,38.0,34.0,34.0,3.0,39.0,69.0,40.0,36.0,47.0,36.0,25.0,40.0,40.0,37.0,34.0,37.0,38.0,34.0,61.0,59.0,39.0,39.0,42.0,37.0,39.0,39.0,36.0,44.0,39.0,69.0,69.0,17.0,17.0,40.0,40.0,40.0,40.0,59.0,35.0,41.0,28.0,47.0,47.0,44.0,69.0,69.0,26.0,24.0,69.0,69.0,40.0,40.0,40.0,61.0,66.0,66.0,69.0,69.0,69.0,62.0,62.0,39.0,40.0,40.0,69.0,69.0,69.0,37.0,34.0,66.0,66.0,59.0,41.0,69.0,69.0,62.0,62.0,39.0,40.0,40.0,34.0,34.0,34.0,37.0,29.0,17.0,1.0,41.0,41.0,69.0,39.0,42.0,40.0,44.0,50.0,50.0,39.0,39.0,39.0,39.0,37.0,35.0,35.0,36.0,30.0,34.0,38.0,42.0,40.0,44.0,50.0,50.0,39.0,39.0,69.0,69.0,69.0,38.0,33.0,36.0,34.0,35.0,37.0,37.0,38.0,25.0,33.0,29.0,37.0,37.0,40.0,69.0,37.0,38.0,34.0,32.0,32.0,32.0,35.0,57.0,6.0,29.0,33.0,37.0,37.0,40.0,40.0,37.0,37.0,8.0,37.0,32.0,32.0,33.0,35.0,38.0,29.0,27.0,36.0,36.0,61.0,37.0,36.0,28.0,31.0,30.0,30.0,35.0,32.0,33.0,33.0,30.0,66.0,66.0,69.0,36.0,36.0,37.0,36.0,36.0,31.0,28.0,28.0,35.0,33.0,29.0,35.0,40.0,66.0,66.0,66.0,69.0,36.0,34.0,33.0,31.0,32.0,28.0,28.0,32.0,34.0,69.0,69.0,68.0,69.0,69.0,69.0,69.0,38.0,32.0,31.0,30.0,32.0,32.0,33.0,33.0,69.0,69.0,69.0,68.0,68.0,69.0,69.0,69.0,56.0,44.0,31.0,31.0,31.0,40.0,39.0,33.0,38.0,69.0,69.0,69.0,69.0,69.0,5.0,18.0,26.0,35.0,44.0,30.0,35.0,41.0,41.0,33.0,33.0,69.0,69.0,69.0,69.0,69.0,40.0,31.0,35.0,35.0,40.0,40.0
MOD15A2H.A2000097.h30v12.006.2020041042002.Lai_500m,MOD15A2H,A2000097,Lat-35.6566Lon148.1517Samp17Line17,2020041042002,60.0,60.0,62.0,60.0,41.0,41.0,60.0,60.0,34.0,38.0,22.0,32.0,60.0,63.0,63.0,63.0,63.0,60.0,60.0,61.0,61.0,61.0,38.0,31.0,22.0,38.0,33.0,60.0,64.0,3.0,63.0,63.0,63.0,62.0,60.0,56.0,26.0,38.0,23.0,23.0,23.0,32.0,30.0,63.0,64.0,64.0,64.0,64.0,64.0,62.0,63.0,37.0,32.0,27.0,23.0,26.0,38.0,33.0,62.0,64.0,65.0,64.0,64.0,64.0,62.0,62.0,63.0,63.0,28.0,27.0,32.0,27.0,35.0,21.0,1.0,1.0,1.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,57.0,31.0,37.0,36.0,60.0,62.0,17.0,18.0,1.0,1.0,63.0,63.0,63.0,63.0,63.0,63.0,48.0,48.0,36.0,37.0,67.0,65.0,17.0,18.0,15.0,15.0,7.0,62.0,62.0,29.0,63.0,62.0,62.0,19.0,19.0,63.0,65.0,65.0,62.0,39.0,39.0,10.0,7.0,4.0,30.0,27.0,60.0,60.0,60.0,51.0,38.0,25.0,63.0,62.0,62.0,53.0,10.0,10.0,2.0,62.0,32.0,29.0,29.0,28.0,31.0,57.0,27.0,29.0,29.0,48.0,53.0,62.0,62.0,62.0,62.0,62.0,62.0,33.0,60.0,31.0,29.0,57.0,26.0,27.0,60.0,13.0,62.0,62.0,62.0,33.0,62.0,25.0,25.0,25.0,9.0,29.0,27.0,26.0,27.0,28.0,33.0,23.0,22.0,62.0,62.0,62.0,61.0,61.0,62.0,70.0,25.0,26.0,28.0,26.0,27.0,28.0,26.0,27.0,51.0,51.0,62.0,61.0,61.0,28.0,62.0,25.0,25.0,25.0,24.0,26.0,24.0,26.0,33.0,59.0,61.0,37.0,61.0,61.0,61.0,28.0,26.0,25.0,36.0,26.0,24.0,25.0,31.0,34.0,28.0,60.0,61.0,61.0,61.0,61.0,55.0,26.0,26.0,39.0,26.0,26.0,28.0,32.0,60.0,36.0,31.0,61.0,61.0,61.0,29.0,21.0,27.0,26.0,39.0,39.0,30.0,26.0,26.0,27.0,28.0,60.0,31.0,61.0,61.0,61.0,61.0,21.0,24.0,28.0,26.0,26.0,27.0,30.0,27.0,29.0,28.0,61.0,61.0,61.0,61.0,34.0,8.0,24.0,22.0,23.0,25.0
MOD15A2H.A2000105.h30v12.006.2020041072656.Lai_500m,MOD15A2H,A2000105,Lat-35.6566Lon148.1517Samp17Line17,2020041072656,41.0,67.0,67.0,67.0,67.0,63.0,63.0,54.0,54.0,54.0,29.0,69.0,69.0,13.0,61.0,13.0,61.0,60.0,67.0,67.0,29.0,63.0,31.0,29.0,27.0,27.0,69.0,69.0,69.0,62.0,61.0,61.0,61.0,60.0,10.0,10.0,55.0,29.0,31.0,29.0,27.0,27.0,32.0,27.0,62.0,62.0,63.0,63.0,3.0,69.0,69.0,28.0,26.0,26.0,26.0,29.0,29.0,32.0,32.0,32.0,63.0,63.0,52.0,44.0,3.0,69.0,69.0,69.0,26.0,26.0,29.0,29.0,45.0,45.0,64.0,63.0,63.0,52.0,52.0,44.0,69.0,69.0,69.0,69.0,65.0,67.0,67.0,45.0,45.0,45.0,64.0,63.0,62.0,40.0,50.0,69.0,69.0,60.0,37.0,37.0,37.0,69.0,67.0,69.0,61.0,61.0,59.0,69.0,69.0,69.0,65.0,63.0,59.0,60.0,66.0,37.0,37.0,44.0,44.0,69.0,40.0,40.0,66.0,66.0,68.0,69.0,65.0,59.0,59.0,66.0,66.0,66.0,40.0,40.0,40.0,40.0,40.0,40.0,66.0,66.0,68.0,48.0,62.0,62.0,62.0,62.0,34.0,69.0,69.0,40.0,40.0,40.0,43.0,64.0,64.0,31.0,64.0,61.0,61.0,62.0,63.0,62.0,69.0,69.0,69.0,34.0,56.0,56.0,60.0,60.0,64.0,64.0,64.0,61.0,61.0,63.0,63.0,63.0,60.0,60.0,31.0,34.0,57.0,32.0,32.0,30.0,31.0,41.0,61.0,59.0,59.0,67.0,67.0,28.0,31.0,70.0,57.0,70.0,32.0,68.0,69.0,69.0,62.0,69.0,61.0,59.0,7.0,7.0,67.0,37.0,37.0,33.0,33.0,33.0,70.0,68.0,68.0,68.0,69.0,65.0,65.0,61.0,44.0,44.0,55.0,37.0,37.0,37.0,34.0,30.0,69.0,68.0,68.0,69.0,66.0,66.0,65.0,65.0,70.0,52.0,51.0,28.0,53.0,37.0,37.0,69.0,69.0,69.0,68.0,68.0,66.0,69.0,69.0,64.0,51.0,52.0,55.0,55.0,41.0,41.0,69.0,67.0,67.0,67.0,67.0,68.0,68.0,69.0,69.0,64.0,51.0,51.0,27.0,55.0,53.0,69.0,69.0,69.0,69.0,67.0,68.0,68.0,69.0,69.0,54.0,59.0,58.0,60.0,68.0
MOD15A2H.A2000113.h30v12.006.2020041221651.Lai_500m,MOD15A2H,A2000113,Lat-35.6566Lon148.1517Samp17Line17,2020041221651,61.0,63.0,66.0,61.0,61.0,59.0,69.0,61.0,32.0,32.0,25.0,24.0,58.0,61.0,61.0,62.0,61.0,61.0,61.0,61.0,61.0,69.0,69.0,29.0,27.0,26.0,26.0,58.0,61.0,61.0,62.0,62.0,62.0,62.0,61.0,61.0,26.0,26.0,24.0,26.0,26.0,27.0,27.0,27.0,61.0,62.0,62.0,62.0,62.0,65.0,65.0,26.0,25.0,24.0,23.0,26.0,26.0,28.0,27.0,27.0,64.0,64.0,63.0,63.0,63.0,65.0,65.0,69.0,25.0,25.0,29.0,29.0,32.0,32.0,60.0,63.0,63.0,63.0,69.0,65.0,69.0,61.0,68.0,68.0,68.0,25.0,29.0,67.0,67.0,60.0,62.0,69.0,69.0,69.0,68.0,65.0,69.0,69.0,68.0,61.0,61.0,69.0,67.0,67.0,67.0,61.0,61.0,68.0,69.0,69.0,68.0,62.0,62.0,61.0,61.0,62.0,62.0,61.0,61.0,62.0,62.0,61.0,61.0,68.0,69.0,66.0,66.0,66.0,61.0,61.0,61.0,62.0,61.0,61.0,61.0,61.0,62.0,68.0,62.0,62.0,66.0,66.0,66.0,66.0,69.0,69.0,60.0,60.0,27.0,60.0,69.0,69.0,60.0,61.0,62.0,62.0,62.0,62.0,62.0,69.0,69.0,69.0,60.0,69.0,30.0,30.0,44.0,44.0,59.0,58.0,62.0,62.0,61.0,61.0,62.0,61.0,61.0,60.0,69.0,69.0,30.0,30.0,31.0,32.0,32.0,58.0,58.0,62.0,61.0,61.0,62.0,61.0,61.0,60.0,59.0,27.0,27.0,31.0,31.0,32.0,32.0,35.0,68.0,69.0,61.0,61.0,60.0,60.0,59.0,58.0,57.0,27.0,57.0,57.0,57.0,57.0,35.0,35.0,69.0,65.0,65.0,61.0,60.0,58.0,58.0,57.0,57.0,57.0,27.0,57.0,69.0,60.0,60.0,69.0,50.0,69.0,69.0,69.0,59.0,57.0,25.0,57.0,57.0,27.0,33.0,33.0,69.0,60.0,69.0,69.0,69.0,60.0,60.0,59.0,26.0,28.0,29.0,29.0,29.0,27.0,57.0,57.0,57.0,60.0,60.0,68.0,68.0,69.0,58.0,63.0,21.0,27.0,23.0,56.0,57.0,68.0,68.0,68.0,57.0,60.0,60.0,60.0,60.0,58.0,58.0,63.0,20.0,20.0,55.0
MOD15A2H.A2000121.h30v12.006.2020042020434.Lai_500m,MOD15A2H,A2000121,Lat-35.6566Lon148.1517Samp17Line17,2020042020434,40.0,52.0,52.0,59.0,59.0,48.0,69.0,60.0,60.0,60.0,60.0,60.0,60.0,69.0,69.0,69.0,66.0,64.0,62.0,69.0,48.0,48.0,69.0,48.0,48.0,60.0,60.0,5.0,5.0,21.0,21.0,31.0,69.0,69.0,36.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,62.0,27.0,59.0,69.0,31.0,69.0,69.0,69.0,49.0,49.0,49.0,49.0,65.0,48.0,48.0,65.0,65.0,61.0,61.0,69.0,53.0,61.0,48.0,48.0,63.0,49.0,49.0,49.0,49.0,49.0,65.0,65.0,65.0,61.0,45.0,50.0,68.0,51.0,46.0,63.0,63.0,69.0,49.0,49.0,49.0,60.0,60.0,66.0,65.0,41.0,50.0,61.0,32.0,51.0,69.0,69.0,69.0,69.0,69.0,69.0,60.0,60.0,60.0,60.0,66.0,66.0,66.0,62.0,57.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,29.0,37.0,60.0,60.0,66.0,69.0,59.0,41.0,66.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,37.0,60.0,60.0,41.0,69.0,59.0,56.0,66.0,66.0,66.0,66.0,69.0,69.0,69.0,69.0,60.0,60.0,36.0,38.0,38.0,36.0,65.0,49.0,66.0,66.0,66.0,66.0,66.0,69.0,69.0,23.0,60.0,60.0,69.0,38.0,32.0,36.0,59.0,59.0,38.0,20.0,66.0,66.0,69.0,69.0,69.0,69.0,25.0,37.0,69.0,69.0,61.0,69.0,68.0,63.0,29.0,29.0,42.0,29.0,27.0,69.0,69.0,69.0,69.0,62.0,62.0,65.0,65.0,69.0,69.0,69.0,18.0,63.0,25.0,29.0,27.0,31.0,69.0,69.0,62.0,62.0,61.0,61.0,61.0,63.0,69.0,69.0,69.0,68.0,68.0,25.0,30.0,48.0,46.0,63.0,63.0,61.0,61.0,61.0,63.0,63.0,65.0,69.0,68.0,68.0,68.0,69.0,68.0,48.0,63.0,63.0,62.0,62.0,62.0,63.0,65.0,63.0,65.0,65.0,10.0,69.0,69.0,69.0,69.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,65.0,65.0,65.0,54.0,59.0,26.0,69.0,69.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,65.0,65.0,65.0,24.0,20.0,52.0
