product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD16A2GF,ET_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256103450,F
MOD16A2GF,ET_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256130645,F
MOD16A2GF,ET_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256151926,F
MOD16A2GF,ET_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256174426,F
MOD16A2GF,ET_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256201613,F
MOD16A2GF,ET_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256222400,F
MOD16A2GF,ET_500m,A2000049,2000-02-18,19.6,33.7,927.9001,14.1,29.9323,8.9132,2.9855,289,31,10.73,2020257002255,F
MOD16A2GF,ET_500m,A2000057,2000-02-26,14.6,34.7,8285.2031,20.1,29.8029,7.9101,2.8125,289,278,96.19,2020257024716,28.9
MOD16A2GF,ET_500m,A2000065,2000-03-05,9.3,27.6,5538.4009,18.3,21.3015,4.6755,2.1623,289,260,89.97,2020257064341,20
MOD16A2GF,ET_500m,A2000073,2000-03-13,8.3,27.4,4628.6997,19.1,22.2534,7.6667,2.7689,289,208,71.97,2020257093003,23.4
MOD16A2GF,ET_500m,A2000081,2000-03-21,7.1,24.7,4090.0,17.6,19.5694,7.2793,2.698,289,209,72.32,2020257114305,20.3
MOD16A2GF,ET_500m,A2000089,2000-03-29,10.6,25.8,4155.8999,15.2,19.1516,5.9911,2.4477,289,217,75.09,2020257141506,F
MOD16A2GF,ET_500m,A2000097,2000-04-06,6.7,23.3,2251.5007,16.6,14.8125,6.7924,2.6062,289,152,52.6,2020257165639,15.4
MOD16A2GF,ET_500m,A2000105,2000-04-14,7.4,19.1,2744.8008,11.7,16.1459,8.2651,2.8749,289,170,58.82,2020257191304,F
MOD16A2GF,ET_500m,A2000113,2000-04-22,9.5,20.2,2353.7004,10.7,16.2324,14.6408,3.8263,289,145,50.17,2020257214334,20
MOD16A2GF,ET_500m,A2000121,2000-04-30,7.0,15.5,3593.5005,8.5,13.6117,3.7461,1.9355,289,264,91.35,2020257234524,14.7
MOD16A2GF,ET_500m,A2000129,2000-05-08,6.5,13.8,808.0,7.3,9.5059,6.3653,2.5229,289,85,29.41,2020258031130,F
MOD16A2GF,ET_500m,A2000137,2000-05-16,6.0,12.1,1504.5,6.1,8.7982,4.5022,2.1218,289,171,59.17,2020258065503,11.9
MOD16A2GF,ET_500m,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020258100600,F
MOD16A2GF,ET_500m,A2000153,2000-06-01,3.8,7.0,1188.6997,3.2,5.0156,0.9555,0.9775,289,237,82.01,2020258134042,7
MOD16A2GF,ET_500m,A2000161,2000-06-09,4.8,9.6,1515.8997,4.8,6.2127,1.8813,1.3716,289,244,84.43,2020258182108,9.1
MOD16A2GF,ET_500m,A2000169,2000-06-17,4.8,9.3,1874.0001,4.5,7.649,2.4889,1.5776,289,245,84.78,2020258230200,8.4
MOD16A2GF,ET_500m,A2000177,2000-06-25,4.4,9.3,915.1002,4.9,5.5799,0.9062,0.952,289,164,56.75,2020259025124,5.8
MOD16A2GF,ET_500m,A2000185,2000-07-03,4.7,9.4,1585.8993,4.7,7.4455,3.2672,1.8075,289,213,73.7,2020259094919,8.7
MOD16A2GF,ET_500m,A2000193,2000-07-11,4.9,10.5,1407.7002,5.6,6.2564,2.6234,1.6197,289,225,77.85,2020259210510,F
MOD16A2GF,ET_500m,A2000201,2000-07-19,5.4,9.6,1014.7004,4.2,7.0958,1.7253,1.3135,289,143,49.48,2020260065823,7.6
MOD16A2GF,ET_500m,A2000209,2000-07-27,6.5,12.3,2764.999,5.8,9.805,3.5768,1.8912,289,282,97.58,2020260170829,8.4
MOD16A2GF,ET_500m,A2000217,2000-08-04,5.4,10.5,958.5999,5.1,6.1845,0.9605,0.9801,289,155,53.63,2020261023300,5.9
MOD16A2GF,ET_500m,A2000225,2000-08-12,6.4,6.4,6.4,0.0,6.4,0.0,0.0,289,1,0.35,2020261094001,F
MOD16A2GF,ET_500m,A2000233,2000-08-20,8.4,8.8,34.6,0.4,8.65,0.0225,0.15,289,4,1.38,2020261210220,F
MOD16A2GF,ET_500m,A2000241,2000-08-28,8.7,12.8,1398.6996,4.1,10.4381,0.9885,0.9942,289,134,46.37,2020262075228,F
MOD16A2GF,ET_500m,A2000249,2000-09-05,8.8,11.8,2605.2017,3.0,10.2972,0.4864,0.6974,289,253,87.54,2020262145432,11.2
