product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD16A2GF,ET_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256103450,F
MOD16A2GF,LE_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256103450,F
MOD16A2GF,PET_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256103450,F
MOD16A2GF,PLE_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256103450,F
MOD16A2GF,ET_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256130645,F
MOD16A2GF,LE_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256130645,F
MOD16A2GF,PET_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256130645,F
MOD16A2GF,PLE_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256130645,F
MOD16A2GF,ET_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256151926,F
MOD16A2GF,LE_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256151926,F
MOD16A2GF,PET_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256151926,F
MOD16A2GF,PLE_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256151926,F
MOD16A2GF,ET_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256174426,F
MOD16A2GF,LE_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256174426,F
MOD16A2GF,PET_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256174426,F
MOD16A2GF,PLE_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256174426,F
MOD16A2GF,ET_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256201613,F
MOD16A2GF,LE_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256201613,F
MOD16A2GF,PET_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256201613,F
MOD16A2GF,PLE_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256201613,F
MOD16A2GF,ET_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256222400,F
MOD16A2GF,LE_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256222400,F
MOD16A2GF,PET_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256222400,F
MOD16A2GF,PLE_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256222400,F
MOD16A2GF,ET_500m,A2000049,2000-02-18,19.6,33.7,927.9001,14.1,29.9323,8.9132,2.9855,289,31,10.73,2020257002255,F
MOD16A2GF,LE_500m,A2000049,2000-02-18,5980000.0,10290000.0,283220000.0,4310000.0,9136129.0,834281865216.0,913390.3125,289,31,10.73,2020257002255,F
MOD16A2GF,PET_500m,A2000049,2000-02-18,47.3,50.6,1524.2001,3.3,49.1677,0.6357,0.7973,289,31,10.73,2020257002255,F
MOD16A2GF,PLE_500m,A2000049,2000-02-18,14440000.0,15440000.0,465320064.0,1000000.0,15010325.0,58783772672.0,242453.6562,289,31,10.73,2020257002255,F
MOD16A2GF,ET_500m,A2000057,2000-02-26,14.6,34.7,8285.2031,20.1,29.8029,7.9101,2.8125,289,278,96.19,2020257024716,28.9
MOD16A2GF,LE_500m,A2000057,2000-02-26,4440000.0,10580000.0,2544499968.0,6140000.0,9087500.0,743772192768.0,862422.3125,289,280,96.89,2020257024716,8820000
MOD16A2GF,PET_500m,A2000057,2000-02-26,49.0,54.7,14546.5967,5.7,51.9521,0.8895,0.9431,289,280,96.89,2020257024716,52.3
MOD16A2GF,PLE_500m,A2000057,2000-02-26,14970000.0,16690000.0,4440009216.0,1720000.0,15857176.0,83195281408.0,288435.9375,289,280,96.89,2020257024716,15950000
MOD16A2GF,ET_500m,A2000065,2000-03-05,9.3,27.6,5538.4009,18.3,21.3015,4.6755,2.1623,289,260,89.97,2020257064341,20
MOD16A2GF,LE_500m,A2000065,2000-03-05,2860000.0,8450000.0,1743169664.0,5590000.0,6553269.5,455770112000.0,675107.5,289,266,92.04,2020257064341,6140000
MOD16A2GF,PET_500m,A2000065,2000-03-05,34.3,41.1,9758.3018,6.8,36.6853,0.5722,0.7565,289,266,92.04,2020257064341,36.7
MOD16A2GF,PLE_500m,A2000065,2000-03-05,10510000.0,12600000.0,2989059072.0,2090000.0,11237064.0,53598158848.0,231512.7656,289,266,92.04,2020257064341,11250000
MOD16A2GF,ET_500m,A2000073,2000-03-13,8.3,27.4,4628.6997,19.1,22.2534,7.6667,2.7689,289,208,71.97,2020257093003,23.4
MOD16A2GF,LE_500m,A2000073,2000-03-13,3000000.0,8380000.0,1497700224.0,5380000.0,6870184.5,635836497920.0,797393.5625,289,218,75.43,2020257093003,7150000
MOD16A2GF,PET_500m,A2000073,2000-03-13,37.0,48.2,8620.001,11.2,39.3607,1.1313,1.0636,289,219,75.78,2020257093003,38.9
MOD16A2GF,PLE_500m,A2000073,2000-03-13,11300000.0,14730000.0,2635499520.0,3430000.0,12034244.0,105570533376.0,324916.1875,289,219,75.78,2020257093003,11900000
MOD16A2GF,ET_500m,A2000081,2000-03-21,7.1,24.7,4090.0,17.6,19.5694,7.2793,2.698,289,209,72.32,2020257114305,20.3
MOD16A2GF,LE_500m,A2000081,2000-03-21,2180000.0,7790000.0,1287070208.0,5610000.0,6042583.0,726412492800.0,852298.375,289,213,73.7,2020257114305,6230000
MOD16A2GF,PET_500m,A2000081,2000-03-21,33.6,41.5,7663.5005,7.9,35.9789,0.8271,0.9095,289,213,73.7,2020257114305,35.9
MOD16A2GF,PLE_500m,A2000081,2000-03-21,10300000.0,12750000.0,2353109760.0,2450000.0,11047464.0,79094980608.0,281238.3125,289,213,73.7,2020257114305,11020000
MOD16A2GF,ET_500m,A2000089,2000-03-29,10.6,25.8,4155.8999,15.2,19.1516,5.9911,2.4477,289,217,75.09,2020257141506,F
MOD16A2GF,LE_500m,A2000089,2000-03-29,3240000.0,7910000.0,1703750144.0,4670000.0,6263787.5,1031493976064.0,1015624.9375,289,272,94.12,2020257141506,7800000
MOD16A2GF,PET_500m,A2000089,2000-03-29,32.1,38.1,9126.3975,6.0,33.5529,0.5105,0.7145,289,272,94.12,2020257141506,33
MOD16A2GF,PLE_500m,A2000089,2000-03-29,9840000.0,11710000.0,2801378816.0,1870000.0,10299187.0,48549339136.0,220339.1406,289,272,94.12,2020257141506,10120000
MOD16A2GF,ET_500m,A2000097,2000-04-06,6.7,23.3,2251.5007,16.6,14.8125,6.7924,2.6062,289,152,52.6,2020257165639,15.4
MOD16A2GF,LE_500m,A2000097,2000-04-06,2070000.0,7180000.0,692140224.0,5110000.0,4553554.0,641382023168.0,800863.3125,289,152,52.6,2020257165639,4740000
MOD16A2GF,PET_500m,A2000097,2000-04-06,25.9,32.3,4128.6006,6.4,27.3417,0.848,0.9209,289,151,52.25,2020257165639,26.9
MOD16A2GF,PLE_500m,A2000097,2000-04-06,7830000.0,9920000.0,1276380032.0,2090000.0,8397237.0,81843642368.0,286083.2812,289,152,52.6,2020257165639,8270000
MOD16A2GF,ET_500m,A2000105,2000-04-14,7.4,19.1,2744.8008,11.7,16.1459,8.2651,2.8749,289,170,58.82,2020257191304,F
MOD16A2GF,LE_500m,A2000105,2000-04-14,2300000.0,5900000.0,846619968.0,3600000.0,4980117.5,787731775488.0,887542.5625,289,170,58.82,2020257191304,F
MOD16A2GF,PET_500m,A2000105,2000-04-14,24.7,29.7,1121.2,5.0,26.0744,1.314,1.1463,289,43,14.88,2020257191304,F
MOD16A2GF,PLE_500m,A2000105,2000-04-14,7610000.0,9160000.0,1335219968.0,1550000.0,7854235.0,45950279680.0,214360.1562,289,170,58.82,2020257191304,F
MOD16A2GF,ET_500m,A2000113,2000-04-22,9.5,20.2,2353.7004,10.7,16.2324,14.6408,3.8263,289,145,50.17,2020257214334,20
MOD16A2GF,LE_500m,A2000113,2000-04-22,2920000.0,6220000.0,725600128.0,3300000.0,5004139.0,1392727687168.0,1180138.875,289,145,50.17,2020257214334,6160000
MOD16A2GF,PET_500m,A2000113,2000-04-22,23.6,24.7,2892.5999,1.1,24.3076,0.0647,0.2544,289,119,41.18,2020257214334,24.2
MOD16A2GF,PLE_500m,A2000113,2000-04-22,7280000.0,7790000.0,1091249792.0,510000.0,7525860.5,10515290112.0,102544.0859,289,145,50.17,2020257214334,7450000
MOD16A2GF,ET_500m,A2000121,2000-04-30,7.0,15.5,3593.5005,8.5,13.6117,3.7461,1.9355,289,264,91.35,2020257234524,14.7
MOD16A2GF,LE_500m,A2000121,2000-04-30,2150000.0,4770000.0,1105350144.0,2620000.0,4202852.5,347687223296.0,589650.0625,289,263,91.0,2020257234524,4540000
MOD16A2GF,PET_500m,A2000121,2000-04-30,14.7,17.8,4364.2002,3.1,16.5311,0.5184,0.72,289,264,91.35,2020257234524,16.9
MOD16A2GF,PLE_500m,A2000121,2000-04-30,4530000.0,5480000.0,1345070336.0,950000.0,5094963.5,49190891520.0,221790.2031,289,264,91.35,2020257234524,5210000
MOD16A2GF,ET_500m,A2000129,2000-05-08,6.5,13.8,808.0,7.3,9.5059,6.3653,2.5229,289,85,29.41,2020258031130,F
MOD16A2GF,LE_500m,A2000129,2000-05-08,2010000.0,4270000.0,239860000.0,2260000.0,2961234.5,627731726336.0,792295.25,289,81,28.03,2020258031130,F
MOD16A2GF,PET_500m,A2000129,2000-05-08,13.1,16.2,1185.1001,3.1,13.9424,0.4862,0.6973,289,85,29.41,2020258031130,F
MOD16A2GF,PLE_500m,A2000129,2000-05-08,4040000.0,5020000.0,366340096.0,980000.0,4309883.5,46650576896.0,215987.4531,289,85,29.41,2020258031130,F
MOD16A2GF,ET_500m,A2000137,2000-05-16,6.0,12.1,1504.5,6.1,8.7982,4.5022,2.1218,289,171,59.17,2020258065503,11.9
MOD16A2GF,LE_500m,A2000137,2000-05-16,1870000.0,3760000.0,458589952.0,1890000.0,2729702.0,439270866944.0,662775.125,289,168,58.13,2020258065503,3690000
MOD16A2GF,PET_500m,A2000137,2000-05-16,14.1,17.1,2524.1016,3.0,14.7608,0.1286,0.3586,289,171,59.17,2020258065503,15
MOD16A2GF,PLE_500m,A2000137,2000-05-16,4360000.0,5300000.0,781599680.0,940000.0,4570758.5,12680711168.0,112608.6641,289,171,59.17,2020258065503,4650000
MOD16A2GF,ET_500m,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020258100600,F
MOD16A2GF,LE_500m,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020258100600,F
MOD16A2GF,PET_500m,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020258100600,F
MOD16A2GF,PLE_500m,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020258100600,F
MOD16A2GF,ET_500m,A2000153,2000-06-01,3.8,7.0,1188.6997,3.2,5.0156,0.9555,0.9775,289,237,82.01,2020258134042,7
MOD16A2GF,LE_500m,A2000153,2000-06-01,1190000.0,2190000.0,369610016.0,1000000.0,1559535.875,93083729920.0,305096.25,289,237,82.01,2020258134042,2160000
MOD16A2GF,PET_500m,A2000153,2000-06-01,5.9,8.6,1642.799,2.7,6.9316,0.5801,0.7617,289,237,82.01,2020258134042,8.4
MOD16A2GF,PLE_500m,A2000153,2000-06-01,1840000.0,2660000.0,485850048.0,820000.0,2140308.5,52651466752.0,229459.0781,289,227,78.55,2020258134042,2630000
MOD16A2GF,ET_500m,A2000161,2000-06-09,4.8,9.6,1515.8997,4.8,6.2127,1.8813,1.3716,289,244,84.43,2020258182108,9.1
MOD16A2GF,LE_500m,A2000161,2000-06-09,1480000.0,2980000.0,470429888.0,1500000.0,1927991.375,181672624128.0,426230.7188,289,244,84.43,2020258182108,2820000
MOD16A2GF,PET_500m,A2000161,2000-06-09,9.7,11.5,2513.7996,1.8,10.3025,0.2093,0.4574,289,244,84.43,2020258182108,11
MOD16A2GF,PLE_500m,A2000161,2000-06-09,3000000.0,3560000.0,779949568.0,560000.0,3196514.5,20173520896.0,142033.5156,289,244,84.43,2020258182108,3430000
MOD16A2GF,ET_500m,A2000169,2000-06-17,4.8,9.3,1874.0001,4.5,7.649,2.4889,1.5776,289,245,84.78,2020258230200,8.4
MOD16A2GF,LE_500m,A2000169,2000-06-17,1500000.0,2880000.0,551079936.0,1380000.0,2365150.0,251598422016.0,501595.875,289,233,80.62,2020258230200,2620000
MOD16A2GF,PET_500m,A2000169,2000-06-17,7.7,10.6,2296.3018,2.9,9.3727,1.0287,1.0142,289,245,84.78,2020258230200,9.8
MOD16A2GF,PLE_500m,A2000169,2000-06-17,2380000.0,3280000.0,699350016.0,900000.0,2913958.5,97524752384.0,312289.5312,289,240,83.04,2020258230200,3030000
MOD16A2GF,ET_500m,A2000177,2000-06-25,4.4,9.3,915.1002,4.9,5.5799,0.9062,0.952,289,164,56.75,2020259025124,5.8
MOD16A2GF,LE_500m,A2000177,2000-06-25,1380000.0,2900000.0,283790016.0,1520000.0,1730426.875,87091904512.0,295113.375,289,164,56.75,2020259025124,1810000
MOD16A2GF,PET_500m,A2000177,2000-06-25,9.2,11.1,1561.902,1.9,9.5238,0.1132,0.3364,289,164,56.75,2020259025124,9.3
MOD16A2GF,PLE_500m,A2000177,2000-06-25,2850000.0,3440000.0,483940160.0,590000.0,2950854.75,10782192640.0,103837.3359,289,164,56.75,2020259025124,2880000
MOD16A2GF,ET_500m,A2000185,2000-07-03,4.7,9.4,1585.8993,4.7,7.4455,3.2672,1.8075,289,213,73.7,2020259094919,8.7
MOD16A2GF,LE_500m,A2000185,2000-07-03,1470000.0,2920000.0,489439872.0,1450000.0,2308678.75,316974661632.0,563005.0,289,212,73.36,2020259094919,2700000
MOD16A2GF,PET_500m,A2000185,2000-07-03,7.4,11.0,2021.0006,3.6,9.4883,1.636,1.279,289,213,73.7,2020259094919,10.3
MOD16A2GF,PLE_500m,A2000185,2000-07-03,2310000.0,3400000.0,604360064.0,1090000.0,2962549.25,156087533568.0,395079.1562,289,204,70.59,2020259094919,3190000
MOD16A2GF,ET_500m,A2000193,2000-07-11,4.9,10.5,1407.7002,5.6,6.2564,2.6234,1.6197,289,225,77.85,2020259210510,F
MOD16A2GF,LE_500m,A2000193,2000-07-11,1530000.0,3270000.0,431620000.0,1740000.0,1935515.75,252383494144.0,502377.8438,289,223,77.16,2020259210510,F
MOD16A2GF,PET_500m,A2000193,2000-07-11,11.2,13.0,2692.3,1.8,11.9658,0.1662,0.4076,289,225,77.85,2020259210510,F
MOD16A2GF,PLE_500m,A2000193,2000-07-11,3490000.0,4040000.0,835049984.0,550000.0,3711333.25,15928894464.0,126209.7266,289,225,77.85,2020259210510,F
MOD16A2GF,ET_500m,A2000201,2000-07-19,5.4,9.6,1014.7004,4.2,7.0958,1.7253,1.3135,289,143,49.48,2020260065823,7.6
MOD16A2GF,LE_500m,A2000201,2000-07-19,1690000.0,3000000.0,300630080.0,1310000.0,2194380.25,171059593216.0,413593.5,289,137,47.4,2020260065823,2370000
MOD16A2GF,PET_500m,A2000201,2000-07-19,7.8,11.1,1301.4993,3.3,9.1014,0.9994,0.9997,289,143,49.48,2020260065823,9.5
MOD16A2GF,PLE_500m,A2000201,2000-07-19,2420000.0,3450000.0,336349984.0,1030000.0,2899568.75,92016222208.0,303341.75,289,116,40.14,2020260065823,2940000
MOD16A2GF,ET_500m,A2000209,2000-07-27,6.5,12.3,2764.999,5.8,9.805,3.5768,1.8912,289,282,97.58,2020260170829,8.4
MOD16A2GF,LE_500m,A2000209,2000-07-27,2000000.0,3820000.0,822909824.0,1820000.0,3070559.0,347209793536.0,589245.125,289,268,92.73,2020260170829,2600000
MOD16A2GF,PET_500m,A2000209,2000-07-27,13.4,15.0,3973.0999,1.6,14.089,0.1409,0.3754,289,282,97.58,2020260170829,13.4
MOD16A2GF,PLE_500m,A2000209,2000-07-27,4160000.0,4660000.0,1232000512.0,500000.0,4368796.0,13682238464.0,116971.1016,289,282,97.58,2020260170829,4160000
MOD16A2GF,ET_500m,A2000217,2000-08-04,5.4,10.5,958.5999,5.1,6.1845,0.9605,0.9801,289,155,53.63,2020261023300,5.9
MOD16A2GF,LE_500m,A2000217,2000-08-04,1680000.0,3260000.0,294629952.0,1580000.0,1913181.5,89772343296.0,299620.3438,289,154,53.29,2020261023300,1840000
MOD16A2GF,PET_500m,A2000217,2000-08-04,11.8,13.9,1891.5995,2.1,12.2039,0.1497,0.3869,289,155,53.63,2020261023300,12
MOD16A2GF,PLE_500m,A2000217,2000-08-04,3670000.0,4310000.0,586060096.0,640000.0,3781033.0,14281520128.0,119505.3125,289,155,53.63,2020261023300,3710000
MOD16A2GF,ET_500m,A2000225,2000-08-12,6.4,6.4,6.4,0.0,6.4,0.0,0.0,289,1,0.35,2020261094001,F
MOD16A2GF,LE_500m,A2000225,2000-08-12,1990000.0,1990000.0,1990000.0,0.0,1990000.0,0.0,0.0,289,1,0.35,2020261094001,F
MOD16A2GF,PET_500m,A2000225,2000-08-12,12.7,12.7,12.7,0.0,12.7,0.0,0.0,289,1,0.35,2020261094001,F
MOD16A2GF,PLE_500m,A2000225,2000-08-12,3930000.0,3930000.0,3930000.0,0.0,3930000.0,0.0,0.0,289,1,0.35,2020261094001,F
MOD16A2GF,ET_500m,A2000233,2000-08-20,8.4,8.8,34.6,0.4,8.65,0.0225,0.15,289,4,1.38,2020261210220,F
MOD16A2GF,LE_500m,A2000233,2000-08-20,2620000.0,2720000.0,10750000.0,100000.0,2687500.0,1568750080.0,39607.4492,289,4,1.38,2020261210220,F
MOD16A2GF,PET_500m,A2000233,2000-08-20,11.9,12.7,48.6,0.8,12.15,0.1025,0.3202,289,4,1.38,2020261210220,F
MOD16A2GF,PLE_500m,A2000233,2000-08-20,3690000.0,3940000.0,15080000.0,250000.0,3770000.0,9849999360.0,99247.1641,289,4,1.38,2020261210220,F
