product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD16A2GF,PET_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256103450,F
MOD16A2GF,PET_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256130645,F
MOD16A2GF,PET_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256151926,F
MOD16A2GF,PET_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256174426,F
MOD16A2GF,PET_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256201613,F
MOD16A2GF,PET_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020256222400,F
MOD16A2GF,PET_500m,A2000049,2000-02-18,47.3,50.6,1524.2001,3.3,49.1677,0.6357,0.7973,289,31,10.73,2020257002255,F
MOD16A2GF,PET_500m,A2000057,2000-02-26,49.0,54.7,14546.5967,5.7,51.9521,0.8895,0.9431,289,280,96.89,2020257024716,52.3
MOD16A2GF,PET_500m,A2000065,2000-03-05,34.3,41.1,9758.3018,6.8,36.6853,0.5722,0.7565,289,266,92.04,2020257064341,36.7
MOD16A2GF,PET_500m,A2000073,2000-03-13,37.0,48.2,8620.001,11.2,39.3607,1.1313,1.0636,289,219,75.78,2020257093003,38.9
MOD16A2GF,PET_500m,A2000081,2000-03-21,33.6,41.5,7663.5005,7.9,35.9789,0.8271,0.9095,289,213,73.7,2020257114305,35.9
MOD16A2GF,PET_500m,A2000089,2000-03-29,32.1,38.1,9126.3975,6.0,33.5529,0.5105,0.7145,289,272,94.12,2020257141506,33
MOD16A2GF,PET_500m,A2000097,2000-04-06,25.9,32.3,4128.6006,6.4,27.3417,0.848,0.9209,289,151,52.25,2020257165639,26.9
MOD16A2GF,PET_500m,A2000105,2000-04-14,24.7,29.7,1121.2,5.0,26.0744,1.314,1.1463,289,43,14.88,2020257191304,F
MOD16A2GF,PET_500m,A2000113,2000-04-22,23.6,24.7,2892.5999,1.1,24.3076,0.0647,0.2544,289,119,41.18,2020257214334,24.2
MOD16A2GF,PET_500m,A2000121,2000-04-30,14.7,17.8,4364.2002,3.1,16.5311,0.5184,0.72,289,264,91.35,2020257234524,16.9
MOD16A2GF,PET_500m,A2000129,2000-05-08,13.1,16.2,1185.1001,3.1,13.9424,0.4862,0.6973,289,85,29.41,2020258031130,F
MOD16A2GF,PET_500m,A2000137,2000-05-16,14.1,17.1,2524.1016,3.0,14.7608,0.1286,0.3586,289,171,59.17,2020258065503,15
MOD16A2GF,PET_500m,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020258100600,F
MOD16A2GF,PET_500m,A2000153,2000-06-01,5.9,8.6,1642.799,2.7,6.9316,0.5801,0.7617,289,237,82.01,2020258134042,8.4
MOD16A2GF,PET_500m,A2000161,2000-06-09,9.7,11.5,2513.7996,1.8,10.3025,0.2093,0.4574,289,244,84.43,2020258182108,11
MOD16A2GF,PET_500m,A2000169,2000-06-17,7.7,10.6,2296.3018,2.9,9.3727,1.0287,1.0142,289,245,84.78,2020258230200,9.8
MOD16A2GF,PET_500m,A2000177,2000-06-25,9.2,11.1,1561.902,1.9,9.5238,0.1132,0.3364,289,164,56.75,2020259025124,9.3
MOD16A2GF,PET_500m,A2000185,2000-07-03,7.4,11.0,2021.0006,3.6,9.4883,1.636,1.279,289,213,73.7,2020259094919,10.3
MOD16A2GF,PET_500m,A2000193,2000-07-11,11.2,13.0,2692.3,1.8,11.9658,0.1662,0.4076,289,225,77.85,2020259210510,F
MOD16A2GF,PET_500m,A2000201,2000-07-19,7.8,11.1,1301.4993,3.3,9.1014,0.9994,0.9997,289,143,49.48,2020260065823,9.5
MOD16A2GF,PET_500m,A2000209,2000-07-27,13.4,15.0,3973.0999,1.6,14.089,0.1409,0.3754,289,282,97.58,2020260170829,13.4
MOD16A2GF,PET_500m,A2000217,2000-08-04,11.8,13.9,1891.5995,2.1,12.2039,0.1497,0.3869,289,155,53.63,2020261023300,12
MOD16A2GF,PET_500m,A2000225,2000-08-12,12.7,12.7,12.7,0.0,12.7,0.0,0.0,289,1,0.35,2020261094001,F
MOD16A2GF,PET_500m,A2000233,2000-08-20,11.9,12.7,48.6,0.8,12.15,0.1025,0.3202,289,4,1.38,2020261210220,F
MOD16A2GF,PET_500m,A2000241,2000-08-28,16.5,18.8,2364.0999,2.3,17.6425,0.2323,0.482,289,134,46.37,2020262075228,F
MOD16A2GF,PET_500m,A2000249,2000-09-05,15.8,17.6,4263.3003,1.8,16.851,0.1434,0.3787,289,253,87.54,2020262145432,17.4
MOD16A2GF,PET_500m,A2000257,2000-09-13,33.6,36.5,9813.4014,2.9,34.5542,0.0922,0.3036,289,284,98.27,2020262215701,34.5
MOD16A2GF,PET_500m,A2000265,2000-09-21,30.6,32.8,8861.8018,2.2,31.877,0.1226,0.3501,289,278,96.19,2020263030905,31.9
MOD16A2GF,PET_500m,A2000273,2000-09-29,37.5,40.2,10962.3008,2.7,38.736,0.1229,0.3506,289,283,97.92,2020263115011,38.9
MOD16A2GF,PET_500m,A2000281,2000-10-07,36.0,38.1,10705.5039,2.1,37.3014,0.1345,0.3667,289,287,99.31,2020263171922,37.5
MOD16A2GF,PET_500m,A2000289,2000-10-15,35.7,39.0,9533.7002,3.3,37.5343,0.2185,0.4674,289,254,87.89,2020263205432,37.8
MOD16A2GF,PET_500m,A2000297,2000-10-23,31.9,34.3,7726.0981,2.4,33.3021,0.1836,0.4285,289,232,80.28,2020263222600,33.3
MOD16A2GF,PET_500m,A2000305,2000-10-31,43.2,47.1,12943.7012,3.9,45.5764,0.3372,0.5807,289,284,98.27,2020263235333,46.3
MOD16A2GF,PET_500m,A2000313,2000-11-08,42.7,45.2,12481.0078,2.5,44.2589,0.1924,0.4387,289,282,97.58,2020264005715,44.6
MOD16A2GF,PET_500m,A2000321,2000-11-16,58.4,61.6,13143.3057,3.2,60.2904,0.3269,0.5718,289,218,75.43,2020264015851,60.7
MOD16A2GF,PET_500m,A2000329,2000-11-24,61.3,64.5,18414.4141,3.2,63.7177,0.3489,0.5907,289,289,100.0,2020264030548,64.3
MOD16A2GF,PET_500m,A2000337,2000-12-02,60.3,65.9,18475.4004,5.6,63.9287,0.7733,0.8794,289,289,100.0,2020264041147,64.1
MOD16A2GF,PET_500m,A2000345,2000-12-10,67.5,73.5,20775.6094,6.0,71.8879,0.7835,0.8851,289,289,100.0,2020264051440,72.4
MOD16A2GF,PET_500m,A2000353,2000-12-18,62.3,70.2,19029.9961,7.9,66.3066,0.9569,0.9782,289,287,99.31,2020264062945,66.8
MOD16A2GF,PET_500m,A2000361,2000-12-26,48.3,52.1,14811.7939,3.8,51.2519,0.456,0.6753,289,289,100.0,2020264070757,51.6
MOD16A2GF,PET_500m,A2001001,2001-01-01,58.9,68.3,18233.002,9.4,63.309,1.567,1.2518,289,288,99.65,2020265165222,63.8
MOD16A2GF,PET_500m,A2001009,2001-01-09,63.0,72.0,19505.2988,9.0,68.2003,1.7929,1.339,289,286,98.96,2020265204517,68.3
MOD16A2GF,PET_500m,A2001017,2001-01-17,58.9,63.7,17975.8105,4.8,62.2,0.6866,0.8286,289,289,100.0,2020266001312,62.7
MOD16A2GF,PET_500m,A2001025,2001-01-25,60.6,66.1,15684.6982,5.5,62.9908,0.6366,0.7979,289,249,86.16,2020266023902,F
MOD16A2GF,PET_500m,A2001033,2001-02-02,52.6,61.4,11878.4023,8.8,55.5066,2.4472,1.5643,289,214,74.05,2020266050438,56.1
MOD16A2GF,PET_500m,A2001041,2001-02-10,51.5,56.2,15393.5977,4.7,54.3943,0.6971,0.8349,289,283,97.92,2020266070046,54.3
MOD16A2GF,PET_500m,A2001049,2001-02-18,54.3,60.3,16113.0977,6.0,57.753,1.1184,1.0575,289,279,96.54,2020266091736,57.6
MOD16A2GF,PET_500m,A2001057,2001-02-26,52.1,61.4,14388.3008,9.3,54.7084,0.7339,0.8567,289,263,91.0,2020266120231,54.5
MOD16A2GF,PET_500m,A2001065,2001-03-06,44.0,50.2,13035.502,6.2,46.2252,0.4982,0.7058,289,282,97.58,2020266160741,46.2
MOD16A2GF,PET_500m,A2001073,2001-03-14,36.9,44.1,7438.1973,7.2,39.5649,1.8858,1.3732,289,188,65.05,2020266201214,38.7
MOD16A2GF,PET_500m,A2001081,2001-03-22,32.0,40.1,5643.3018,8.1,33.9958,1.0485,1.024,289,166,57.44,2020267003434,33.6
MOD16A2GF,PET_500m,A2001089,2001-03-30,36.8,43.1,7377.7974,6.3,39.6656,0.7577,0.8705,289,186,64.36,2020267044612,39.8
MOD16A2GF,PET_500m,A2001097,2001-04-07,28.6,32.1,7237.501,3.5,30.0311,0.5041,0.71,289,241,83.39,2020267074215,29.8
MOD16A2GF,PET_500m,A2001105,2001-04-15,24.6,30.0,4438.5996,5.4,26.1094,0.6363,0.7977,289,170,58.82,2020267123740,F
MOD16A2GF,PET_500m,A2001113,2001-04-23,18.1,23.1,3071.8008,5.0,19.1988,0.3411,0.5841,289,160,55.36,2020267190046,19.6
MOD16A2GF,PET_500m,A2001121,2001-05-01,16.1,22.7,3360.8999,6.6,17.2354,1.0399,1.0198,289,195,67.47,2020267232355,16.9
MOD16A2GF,PET_500m,A2001129,2001-05-09,16.9,19.1,3558.9006,2.2,17.6183,0.1107,0.3327,289,202,69.9,2020268025410,17.4
MOD16A2GF,PET_500m,A2001137,2001-05-17,11.5,13.6,1607.6007,2.1,12.6583,0.3911,0.6254,289,127,43.94,2020268065837,F
MOD16A2GF,PET_500m,A2001145,2001-05-25,11.0,14.2,2203.8999,3.2,11.6608,0.2274,0.4768,289,189,65.4,2020268112125,11.5
MOD16A2GF,PET_500m,A2001153,2001-06-02,14.1,15.0,2298.2002,0.9,14.5456,0.0494,0.2224,289,158,54.67,2020268150919,14.7
MOD16A2GF,PET_500m,A2001161,2001-06-10,8.0,10.7,956.8,2.7,9.0264,0.7059,0.8402,289,106,36.68,2020268180618,F
MOD16A2GF,PET_500m,A2001169,2001-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020268220304,F
MOD16A2GF,PET_500m,A2001177,2001-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020269013409,F
MOD16A2GF,PET_500m,A2001185,2001-07-04,8.0,11.2,1731.9994,3.2,9.4645,0.7734,0.8795,289,183,63.32,2020269041304,8.8
MOD16A2GF,PET_500m,A2001193,2001-07-12,6.7,6.9,40.8,0.2,6.8,0.0067,0.0816,289,6,2.08,2020269070116,F
MOD16A2GF,PET_500m,A2001201,2001-07-20,11.3,13.9,2136.8987,2.6,12.2108,0.8694,0.9324,289,175,60.55,2020269095614,F
MOD16A2GF,PET_500m,A2001209,2001-07-28,13.8,15.2,1763.9003,1.4,14.4582,0.1365,0.3695,289,122,42.21,2020269124649,14.4
MOD16A2GF,PET_500m,A2001217,2001-08-05,13.1,17.2,973.3,4.1,14.3132,0.6053,0.778,289,68,23.53,2020269161341,F
MOD16A2GF,PET_500m,A2001225,2001-08-13,14.3,15.4,1191.9001,1.1,14.7148,0.0492,0.2217,289,81,28.03,2020269201609,F
MOD16A2GF,PET_500m,A2001233,2001-08-21,13.2,15.3,3637.3997,2.1,14.0984,0.1007,0.3173,289,258,89.27,2020269225837,14.6
MOD16A2GF,PET_500m,A2001241,2001-08-29,19.5,21.1,3020.4001,1.6,20.0026,0.0538,0.2319,289,151,52.25,2020270015829,F
MOD16A2GF,PET_500m,A2001249,2001-09-06,22.8,25.8,5281.2974,3.0,23.4724,0.1024,0.3201,289,225,77.85,2020270062141,23.5
MOD16A2GF,PET_500m,A2001257,2001-09-14,34.0,36.4,10117.8027,2.4,35.1313,0.1392,0.373,289,288,99.65,2020270103929,34.8
MOD16A2GF,PET_500m,A2001265,2001-09-22,35.0,38.6,9977.1006,3.6,36.4128,0.1601,0.4001,289,274,94.81,2020270145241,36.2
MOD16A2GF,PET_500m,A2001273,2001-09-30,31.4,34.0,3868.8008,2.6,32.7864,0.2234,0.4726,289,118,40.83,2020270192836,F
MOD16A2GF,PET_500m,A2001281,2001-10-08,30.6,33.2,9152.1973,2.6,32.226,0.1701,0.4124,289,284,98.27,2020271001949,32.3
MOD16A2GF,PET_500m,A2001289,2001-10-16,39.4,41.6,11736.998,2.2,40.8955,0.1319,0.3632,289,287,99.31,2020271045452,41
