product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD17A2HGF,Gpp_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125212308,F
MOD17A2HGF,PsnNet_500m,A2000001,2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125212308,F
MOD17A2HGF,Gpp_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125224817,F
MOD17A2HGF,PsnNet_500m,A2000009,2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125224817,F
MOD17A2HGF,Gpp_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125235815,F
MOD17A2HGF,PsnNet_500m,A2000017,2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020125235815,F
MOD17A2HGF,Gpp_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126005812,F
MOD17A2HGF,PsnNet_500m,A2000025,2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126005812,F
MOD17A2HGF,Gpp_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126020157,F
MOD17A2HGF,PsnNet_500m,A2000033,2000-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126020157,F
MOD17A2HGF,Gpp_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126025819,F
MOD17A2HGF,PsnNet_500m,A2000041,2000-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020126025819,F
MOD17A2HGF,Gpp_500m,A2000049,2000-02-18,0.0489,0.0632,1.8763,0.0143,0.0605,0.0,0.0029,289,31,10.73,2020126035532,F
MOD17A2HGF,PsnNet_500m,A2000049,2000-02-18,0.0366,0.0425,1.2443,0.0059,0.0401,0.0,0.0013,289,31,10.73,2020126035532,F
MOD17A2HGF,Gpp_500m,A2000057,2000-02-26,0.0454,0.0685,18.2134,0.0231,0.065,0.0,0.0027,289,280,96.89,2020126045108,0.0647
MOD17A2HGF,PsnNet_500m,A2000057,2000-02-26,0.0364,0.0485,12.7223,0.0121,0.0454,0.0,0.0017,289,280,96.89,2020126045108,0.0463
MOD17A2HGF,Gpp_500m,A2000065,2000-03-05,0.0291,0.0626,15.1446,0.0335,0.0569,0.0,0.0032,289,266,92.04,2020126055520,0.0558
MOD17A2HGF,PsnNet_500m,A2000065,2000-03-05,0.0257,0.0472,11.9384,0.0215,0.0449,0.0,0.0018,289,266,92.04,2020126055520,0.0451
MOD17A2HGF,Gpp_500m,A2000073,2000-03-13,0.0086,0.0583,11.6723,0.0497,0.0533,0.0,0.0051,289,219,75.78,2020126065144,0.055
MOD17A2HGF,PsnNet_500m,A2000073,2000-03-13,0.0079,0.0406,8.4125,0.0327,0.0386,0.0,0.0028,289,218,75.43,2020126065144,0.0393
MOD17A2HGF,Gpp_500m,A2000081,2000-03-21,0.0288,0.0692,13.4391,0.0404,0.0631,0.0,0.0044,289,213,73.7,2020126074633,0.0647
MOD17A2HGF,PsnNet_500m,A2000081,2000-03-21,0.0263,0.0561,11.388,0.0298,0.0535,0.0,0.0027,289,213,73.7,2020126074633,0.0547
