product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD21A2,LST_Day_1KM,A2000049,2000-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020041212514,F
MOD21A2,LST_Day_1KM,A2000057,2000-02-26,294.02,304.16,24035.8066,10.14,296.7383,5.1052,2.2595,81,81,100.0,2020037222620,295.64
MOD21A2,LST_Day_1KM,A2000065,2000-03-05,290.66,300.3,23786.5625,9.64,293.6613,5.4408,2.3326,81,81,100.0,2020038181240,291.84
MOD21A2,LST_Day_1KM,A2000073,2000-03-13,288.32,302.14,23813.1797,13.82,293.9899,6.2435,2.4987,81,81,100.0,2020040195024,292.96
MOD21A2,LST_Day_1KM,A2000081,2000-03-21,288.14,295.0,23482.2637,6.86,289.9045,2.8122,1.677,81,81,100.0,2020040195142,289.08
MOD21A2,LST_Day_1KM,A2000089,2000-03-29,284.92,294.72,23450.1191,9.8,289.5076,1.9868,1.4095,81,81,100.0,2020041214954,288.14
MOD21A2,LST_Day_1KM,A2000097,2000-04-06,286.2,292.16,23335.3457,5.96,288.0907,2.1418,1.4635,81,81,100.0,2020041043028,287
MOD21A2,LST_Day_1KM,A2000105,2000-04-14,282.26,288.46,23041.0977,6.2,284.458,2.4898,1.5779,81,81,100.0,2020041073337,283.78
MOD21A2,LST_Day_1KM,A2000113,2000-04-22,283.24,287.88,23063.0,4.64,284.7284,1.2607,1.1228,81,81,100.0,2020041223114,284
MOD21A2,LST_Day_1KM,A2000121,2000-04-30,285.58,292.9,23348.6152,7.32,288.2545,3.6083,1.8995,81,81,100.0,2020042021543,286.98
MOD21A2,LST_Day_1KM,A2000129,2000-05-08,281.72,288.68,23009.7461,6.96,284.071,2.2187,1.4895,81,81,100.0,2020042173320,283.28
MOD21A2,LST_Day_1KM,A2000137,2000-05-16,280.5,284.24,22820.8047,3.74,281.7383,0.7704,0.8777,81,81,100.0,2020042231122,281.42
MOD21A2,LST_Day_1KM,A2000145,2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020043015846,F
MOD21A2,LST_Day_1KM,A2000153,2000-06-01,275.3,278.82,22425.9785,3.52,276.8639,0.5314,0.729,81,81,100.0,2020045222422,276.26
MOD21A2,LST_Day_1KM,A2000161,2000-06-09,277.6,281.7,22601.2773,4.1,279.0281,1.4147,1.1894,81,81,100.0,2020046022020,278.42
MOD21A2,LST_Day_1KM,A2000169,2000-06-17,279.04,286.12,22868.7539,7.08,282.3303,3.1347,1.7705,81,81,100.0,2020048002322,281.9
MOD21A2,LST_Day_1KM,A2000177,2000-06-25,278.76,283.2,22694.3574,4.44,280.1772,1.7962,1.3402,81,81,100.0,2020048053530,279.1
MOD21A2,LST_Day_1KM,A2000185,2000-07-03,276.54,282.02,22627.4844,5.48,279.3517,1.9622,1.4008,81,81,100.0,2020048083814,278.04
MOD21A2,LST_Day_1KM,A2000193,2000-07-11,276.72,280.98,22529.7969,4.26,278.1456,0.9527,0.976,81,81,100.0,2020051211117,277.98
MOD21A2,LST_Day_1KM,A2000201,2000-07-19,277.14,281.12,22576.7734,3.98,278.7256,1.3249,1.151,81,81,100.0,2020048201052,277.36
MOD21A2,LST_Day_1KM,A2000209,2000-07-27,275.9,281.42,22518.7578,5.52,278.0094,1.0721,1.0354,81,81,100.0,2020048232125,278
MOD21A2,LST_Day_1KM,A2000217,2000-08-04,280.5,287.5,22893.2012,7.0,282.6321,3.36,1.833,81,81,100.0,2020049001326,280.82
MOD21A2,LST_Day_1KM,A2000225,2000-08-12,280.24,280.24,280.24,0.0,280.24,0.0,0.0,81,1,1.23,2020049163335,F
MOD21A2,LST_Day_1KM,A2000233,2000-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0.0,2020050220104,F
MOD21A2,LST_Day_1KM,A2000241,2000-08-28,275.66,280.96,13630.54,5.3,278.1743,1.5893,1.2607,81,49,60.49,2020051033356,F
MOD21A2,LST_Day_1KM,A2000249,2000-09-05,274.34,282.56,11973.9805,8.22,278.4647,4.112,2.0278,81,43,53.09,2020051065931,279.6
MOD21A2,LST_Day_1KM,A2000257,2000-09-13,285.54,291.04,23279.1797,5.5,287.3973,1.9201,1.3857,81,81,100.0,2020051185121,286.54
MOD21A2,LST_Day_1KM,A2000265,2000-09-21,287.66,295.96,23490.1426,8.3,290.0018,3.8133,1.9528,81,81,100.0,2020052004152,289.06
MOD21A2,LST_Day_1KM,A2000273,2000-09-29,286.24,295.62,23427.3984,9.38,289.2271,3.9858,1.9965,81,81,100.0,2020052035832,288.26
MOD21A2,LST_Day_1KM,A2000281,2000-10-07,286.12,297.74,23428.2812,11.62,289.238,5.2967,2.3015,81,81,100.0,2020052180549,291.56
MOD21A2,LST_Day_1KM,A2000289,2000-10-15,279.66,290.6,22465.1562,10.94,284.3691,5.0599,2.2494,81,79,97.53,2020052230646,283.84
MOD21A2,LST_Day_1KM,A2000297,2000-10-23,282.94,294.52,23130.6387,11.58,285.5634,4.4897,2.1189,81,81,100.0,2020053015953,284.34
MOD21A2,LST_Day_1KM,A2000305,2000-10-31,284.5,299.02,15054.8584,14.52,289.5165,8.9934,2.9989,81,52,64.2,2020055204936,289.52
MOD21A2,LST_Day_1KM,A2000313,2000-11-08,289.18,297.74,23679.8203,8.56,292.3435,3.4577,1.8595,81,81,100.0,2020056075657,292.52
MOD21A2,LST_Day_1KM,A2000321,2000-11-16,287.16,297.48,21247.1152,10.32,291.0564,7.6131,2.7592,81,73,90.12,2020056161814,290.26
MOD21A2,LST_Day_1KM,A2000329,2000-11-24,293.96,304.74,24058.498,10.78,297.0185,5.2138,2.2834,81,81,100.0,2020056202617,294.92
MOD21A2,LST_Day_1KM,A2000337,2000-12-02,291.0,301.8,23835.9551,10.8,294.2711,5.1454,2.2684,81,81,100.0,2020057064614,292.66
MOD21A2,LST_Day_1KM,A2000345,2000-12-10,296.2,308.7,24200.8887,12.5,298.7764,5.6311,2.373,81,81,100.0,2020057111212,296.62
MOD21A2,LST_Day_1KM,A2000353,2000-12-18,295.38,306.26,24246.8809,10.88,299.3442,4.9032,2.2143,81,81,100.0,2020057143931,299.04
MOD21A2,LST_Day_1KM,A2000361,2000-12-26,291.28,302.26,23809.9219,10.98,293.9496,7.4274,2.7253,81,81,100.0,2020058222345,292.34
MOD21A2,LST_Day_1KM,A2001001,2001-01-01,295.44,305.88,24196.8438,10.44,298.7265,4.9078,2.2153,81,81,100.0,2020059014311,297.62
MOD21A2,LST_Day_1KM,A2001009,2001-01-09,291.42,305.3,24020.1211,13.88,296.5447,11.7078,3.4217,81,81,100.0,2020062013305,293.72
MOD21A2,LST_Day_1KM,A2001017,2001-01-17,294.82,309.7,24390.0918,14.88,301.1122,7.6409,2.7642,81,81,100.0,2020062024144,299.84
MOD21A2,LST_Day_1KM,A2001025,2001-01-25,293.6,301.06,23958.7734,7.46,295.7873,3.3599,1.833,81,81,100.0,2020062034725,294.32
MOD21A2,LST_Day_1KM,A2001033,2001-02-02,295.2,305.98,23033.3203,10.78,299.134,6.1472,2.4793,81,77,95.06,2020064203010,298.14
MOD21A2,LST_Day_1KM,A2001041,2001-02-10,289.86,299.02,23752.2812,9.16,293.238,5.4571,2.336,81,81,100.0,2020062043217,290.96
MOD21A2,LST_Day_1KM,A2001049,2001-02-18,294.9,302.32,24083.7168,7.42,297.3298,2.9208,1.709,81,81,100.0,2020062053149,296.06
MOD21A2,LST_Day_1KM,A2001057,2001-02-26,292.9,300.34,23917.0977,7.44,295.2728,3.2814,1.8115,81,81,100.0,2020062062427,293.78
MOD21A2,LST_Day_1KM,A2001065,2001-03-06,287.48,301.56,23738.4219,14.08,293.0669,6.1795,2.4859,81,81,100.0,2020062071231,292.06
MOD21A2,LST_Day_1KM,A2001073,2001-03-14,286.5,299.1,22745.7363,12.6,291.612,6.0379,2.4572,81,78,96.3,2020062092112,290.4
MOD21A2,LST_Day_1KM,A2001081,2001-03-22,284.72,291.5,23283.4727,6.78,287.4503,1.9342,1.3908,81,81,100.0,2020062100224,287.54
MOD21A2,LST_Day_1KM,A2001089,2001-03-30,289.68,295.4,23610.4375,5.72,291.4869,1.8975,1.3775,81,81,100.0,2020062105828,290.16
MOD21A2,LST_Day_1KM,A2001097,2001-04-07,284.56,291.56,23211.5977,7.0,286.5629,2.3609,1.5365,81,81,100.0,2020062113042,285.4
MOD21A2,LST_Day_1KM,A2001105,2001-04-15,290.46,296.14,23678.5,5.68,292.3271,2.1489,1.4659,81,81,100.0,2020062120259,291.3
MOD21A2,LST_Day_1KM,A2001113,2001-04-23,284.5,289.0,23153.9785,4.5,285.8516,1.2461,1.1163,81,81,100.0,2020062124014,284.88
