product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD15A2H,Fpar_500m,A2000049,2000-02-18,0.05,0.28,46.0899,0.23,0.1595,0.0032,0.0562,289,289,100.0,2020041210522,0.22
MOD15A2H,Fpar_500m,A2000057,2000-02-26,0.15,0.54,94.85,0.39,0.3282,0.0087,0.0933,289,289,100.0,2020037221808,0.42
MOD15A2H,Fpar_500m,A2000065,2000-03-05,0.16,0.5,88.5199,0.34,0.3063,0.0069,0.0829,289,289,100.0,2020038182640,0.45
MOD15A2H,Fpar_500m,A2000073,2000-03-13,0.13,0.75,94.5999,0.62,0.3273,0.014,0.1181,289,289,100.0,2020040193626,0.5
MOD15A2H,Fpar_500m,A2000081,2000-03-21,0.16,0.42,86.9699,0.26,0.3009,0.0046,0.0682,289,289,100.0,2020040193119,0.42
MOD15A2H,Fpar_500m,A2000089,2000-03-29,0.2,0.61,104.2399,0.41,0.3607,0.0069,0.0828,289,289,100.0,2020041212200,0.52
MOD15A2H,Fpar_500m,A2000097,2000-04-06,0.2,0.45,96.53,0.25,0.334,0.0039,0.0623,289,289,100.0,2020041042513,0.45
MOD15A2H,Fpar_500m,A2000105,2000-04-14,0.25,0.51,101.7901,0.26,0.3522,0.0024,0.0486,289,289,100.0,2020041072817,0.42
MOD15A2H,Fpar_500m,A2000113,2000-04-22,0.33,0.56,117.5,0.23,0.4066,0.0022,0.0464,289,289,100.0,2020041221450,0.46
MOD15A2H,Fpar_500m,A2000121,2000-04-30,0.25,0.66,111.07,0.41,0.3843,0.004,0.063,289,289,100.0,2020042015716,0.35
MOD15A2H,Fpar_500m,A2000129,2000-05-08,0.36,0.76,151.88,0.4,0.5255,0.0065,0.0809,289,289,100.0,2020042172430,0.55
MOD15A2H,Fpar_500m,A2000137,2000-05-16,0.3,0.84,139.6599,0.54,0.4833,0.0154,0.1241,289,289,100.0,2020042225450,0.43
MOD15A2H,Fpar_500m,A2000145,2000-05-24,0.09,0.83,137.53,0.74,0.4843,0.0161,0.1271,289,284,98.27,2020043014831,0.46
MOD15A2H,Fpar_500m,A2000153,2000-06-01,0.39,0.81,164.85,0.42,0.5704,0.0144,0.1202,289,289,100.0,2020045220713,0.55
MOD15A2H,Fpar_500m,A2000161,2000-06-09,0.35,0.84,163.1599,0.49,0.5646,0.0185,0.1359,289,289,100.0,2020046020758,0.47
MOD15A2H,Fpar_500m,A2000169,2000-06-17,0.3,0.85,160.36,0.55,0.5549,0.0207,0.1439,289,289,100.0,2020048001930,0.47
MOD15A2H,Fpar_500m,A2000177,2000-06-25,0.22,0.79,144.74,0.57,0.5008,0.0191,0.1381,289,289,100.0,2020048052634,0.42
MOD15A2H,Fpar_500m,A2000185,2000-07-03,0.29,0.86,146.4601,0.57,0.5121,0.0167,0.1294,289,286,98.96,2020048083246,0.46
MOD15A2H,Fpar_500m,A2000193,2000-07-11,0.23,0.87,151.54,0.64,0.5244,0.029,0.1703,289,289,100.0,2020051203615,0.43
MOD15A2H,Fpar_500m,A2000201,2000-07-19,0.25,0.94,158.53,0.69,0.5485,0.0258,0.1606,289,289,100.0,2020048200137,0.52
MOD15A2H,Fpar_500m,A2000209,2000-07-27,0.3,0.94,160.0101,0.64,0.5537,0.0283,0.1682,289,289,100.0,2020048231133,0.41
MOD15A2H,Fpar_500m,A2000217,2000-08-04,0.23,0.87,158.17,0.64,0.5473,0.0333,0.1825,289,289,100.0,2020049000543,0.43
MOD15A2H,Fpar_500m,A2000225,2000-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2020049162250,F
MOD15A2H,Fpar_500m,A2000233,2000-08-20,0.15,0.92,133.9801,0.77,0.5317,0.0265,0.1628,289,252,87.2,2020050212911,0.56
